,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:36.0,C. Andersen misses 2-pt layup from 1 ft (block by J. Noah),,0,0
1,1,11:33.0,Offensive rebound by C. Andersen,,0,0
2,1,11:33.0,C. Andersen makes 2-pt layup from 2 ft,,2,0
3,1,11:19.0,,D. Rose misses 2-pt jump shot from 12 ft,2,0
4,1,11:18.0,,Offensive rebound by P. Gasol,2,0
5,1,11:18.0,,P. Gasol makes 2-pt layup from 2 ft,2,2
6,1,10:52.0,Turnover by M. Chalmers (lost ball),,2,2
7,1,10:40.0,,Turnover by D. Rose (bad pass; steal by C. Bosh),2,2
8,1,10:35.0,C. Bosh misses 2-pt layup from 1 ft (block by J. Noah),,2,2
9,1,10:31.0,,Defensive rebound by T. Snell,2,2
10,1,10:28.0,,T. Snell makes 2-pt layup from 1 ft,2,4
11,1,10:14.0,Turnover by D. Wade (bad pass),,2,4
12,1,9:54.0,,D. Rose makes 2-pt layup from 1 ft,2,6
13,1,9:32.0,C. Bosh misses 2-pt jump shot from 15 ft,,2,6
14,1,9:31.0,,Defensive rebound by Team,2,6
15,1,9:14.0,,J. Butler misses 2-pt layup from 1 ft,2,6
16,1,9:13.0,Defensive rebound by C. Andersen,,2,6
17,1,9:05.0,C. Bosh misses 2-pt jump shot from 22 ft,,2,6
18,1,9:04.0,,Defensive rebound by P. Gasol,2,6
19,1,8:52.0,,D. Rose misses 3-pt jump shot from 23 ft,2,6
20,1,8:51.0,Defensive rebound by C. Bosh,,2,6
21,1,8:40.0,M. Chalmers makes 2-pt layup from 3 ft,,4,6
22,1,8:20.0,,Turnover by P. Gasol (lost ball),4,6
23,1,8:08.0,D. Wade makes 2-pt layup from 1 ft (assist by L. Deng),,6,6
24,1,7:51.0,,Personal foul by C. Andersen (drawn by P. Gasol),6,6
25,1,7:45.0,,P. Gasol misses 2-pt jump shot from 19 ft,6,6
26,1,7:44.0,Defensive rebound by M. Chalmers,,6,6
27,1,7:42.0,D. Wade makes 2-pt layup from 2 ft (assist by M. Chalmers),,8,6
28,1,7:20.0,,J. Butler misses 2-pt jump shot from 22 ft,8,6
29,1,7:19.0,Defensive rebound by C. Andersen,,8,6
30,1,7:10.0,C. Bosh makes 2-pt jump shot from 16 ft (assist by L. Deng),,10,6
31,1,6:57.0,,T. Snell misses 3-pt jump shot from 23 ft,10,6
32,1,6:56.0,Defensive rebound by C. Andersen,,10,6
33,1,6:39.0,C. Bosh misses 2-pt jump shot from 12 ft,,10,6
34,1,6:38.0,,Defensive rebound by J. Noah,10,6
35,1,6:31.0,,D. Rose misses 2-pt layup from 1 ft,10,6
