,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:45.0,,T. Harris misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,,Offensive rebound by D. Dedmon,0,0
2,1,11:43.0,,D. Dedmon makes 2-pt dunk at rim,0,2
3,1,11:21.0,P. Gasol misses 2-pt jump shot from 11 ft,,0,2
4,1,11:20.0,,Defensive rebound by V. Oladipo,0,2
5,1,11:11.0,,N. Vučević misses 2-pt jump shot from 18 ft,0,2
6,1,11:10.0,Defensive rebound by J. Noah,,0,2
7,1,10:54.0,D. Rose misses 3-pt jump shot from 25 ft,,0,2
8,1,10:52.0,,Defensive rebound by N. Vučević,0,2
9,1,10:33.0,,D. Dedmon misses 2-pt jump shot from 17 ft,0,2
10,1,10:31.0,Defensive rebound by D. Rose,,0,2
11,1,10:22.0,P. Gasol misses 2-pt jump shot from 18 ft,,0,2
12,1,10:21.0,,Defensive rebound by V. Oladipo,0,2
13,1,10:13.0,,Turnover by V. Oladipo (lost ball; steal by J. Noah),0,2
14,1,10:09.0,Shooting foul by D. Dedmon (drawn by J. Butler),,0,2
15,1,10:09.0,J. Butler makes free throw 1 of 2,,1,2
16,1,10:09.0,J. Butler makes free throw 2 of 2,,2,2
17,1,9:55.0,,Turnover by V. Oladipo (lost ball; steal by J. Butler),2,2
18,1,9:49.0,D. Rose makes 3-pt jump shot from 22 ft (assist by J. Butler),,5,2
19,1,9:25.0,,E. Payton misses 2-pt layup from 2 ft (block by P. Gasol),5,2
20,1,9:21.0,,Offensive rebound by D. Dedmon,5,2
21,1,9:21.0,,Turnover by D. Dedmon (lost ball; steal by D. Rose),5,2
22,1,9:13.0,Turnover by D. Rose (bad pass),,5,2
23,1,9:02.0,,Shooting foul by M. Dunleavy (drawn by T. Harris),5,2
24,1,9:02.0,,T. Harris makes free throw 1 of 2,5,3
25,1,9:02.0,,T. Harris makes free throw 2 of 2,5,4
26,1,8:43.0,P. Gasol makes 2-pt layup from 2 ft (assist by M. Dunleavy),,7,4
27,1,8:23.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by V. Oladipo),7,6
28,1,8:05.0,D. Rose misses 3-pt jump shot from 24 ft,,7,6
29,1,8:04.0,,Defensive rebound by D. Dedmon,7,6
30,1,7:54.0,,E. Payton makes 2-pt jump shot from 8 ft,7,8
31,1,7:37.0,P. Gasol makes 2-pt jump shot from 13 ft,,9,8
32,1,7:27.0,,N. Vučević misses 2-pt jump shot from 18 ft,9,8
33,1,7:26.0,Defensive rebound by J. Noah,,9,8
34,1,7:12.0,D. Rose makes 2-pt jump shot from 18 ft (assist by M. Dunleavy),,11,8
35,1,6:54.0,,N. Vučević makes 2-pt jump shot from 14 ft,11,10
36,1,6:25.0,J. Butler makes 3-pt jump shot from 24 ft (assist by J. Noah),,14,10
37,1,6:06.0,,N. Vučević makes 2-pt jump shot from 11 ft (assist by V. Oladipo),14,12
38,1,5:57.0,Chicago full timeout,,14,12
39,1,5:57.0,A. Brooks enters the game for D. Rose,,14,12
40,1,5:57.0,,A. Gordon enters the game for T. Harris,14,12
41,1,5:48.0,M. Dunleavy makes 2-pt dunk at rim (assist by J. Noah),,16,12
42,1,5:35.0,,V. Oladipo misses 2-pt jump shot from 11 ft,16,12
43,1,5:34.0,Defensive rebound by J. Butler,,16,12
44,1,5:16.0,M. Dunleavy misses 3-pt jump shot from 26 ft,,16,12
45,1,5:15.0,,Defensive rebound by A. Gordon,16,12
46,1,5:01.0,,N. Vučević misses 2-pt jump shot from 16 ft,16,12
47,1,4:59.0,Defensive rebound by M. Dunleavy,,16,12
48,1,4:47.0,J. Noah misses 2-pt hook shot from 9 ft,,16,12
49,1,4:45.0,,Defensive rebound by E. Payton,16,12
50,1,4:25.0,,V. Oladipo makes 2-pt jump shot from 16 ft,16,14
51,1,4:06.0,M. Dunleavy misses 3-pt jump shot from 26 ft,,16,14
52,1,4:05.0,,Defensive rebound by D. Dedmon,16,14
53,1,3:55.0,,Turnover by D. Dedmon (bad pass),16,14
54,1,3:55.0,,E. Fournier enters the game for V. Oladipo,16,14
55,1,3:55.0,T. Gibson enters the game for J. Noah,,16,14
56,1,3:40.0,A. Brooks makes 3-pt jump shot from 25 ft (assist by J. Butler),,19,14
57,1,3:37.0,,Orlando full timeout,19,14
58,1,3:37.0,,T. Harris enters the game for D. Dedmon,19,14
59,1,3:22.0,,Turnover by N. Vučević (lost ball; steal by P. Gasol),19,14
60,1,3:14.0,M. Dunleavy makes 3-pt jump shot from 22 ft (assist by J. Butler),,22,14
61,1,2:59.0,,E. Payton misses 2-pt jump shot from 8 ft,22,14
62,1,2:58.0,,Offensive rebound by N. Vučević,22,14
63,1,2:57.0,,N. Vučević makes 2-pt layup from 1 ft,22,16
64,1,2:39.0,A. Brooks makes 2-pt layup from 1 ft,,24,16
65,1,2:25.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by T. Harris),24,19
66,1,2:01.0,P. Gasol misses 2-pt layup from 1 ft,,24,19
67,1,2:01.0,,Defensive rebound by Team,24,19
68,1,2:01.0,N. Mirotić enters the game for M. Dunleavy,,24,19
