,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BROOKLYN_ACTION,LA LAKERS_SCORE,BROOKLYN_SCORE
0,1,11:50.0,,B. Lopez misses 2-pt jump shot from 12 ft,0,0
1,1,11:49.0,Defensive rebound by Team,,0,0
2,1,11:30.0,Turnover by W. Ellington (bad pass; steal by M. Plumlee),,0,0
3,1,11:18.0,,D. Williams misses 3-pt jump shot from 24 ft,0,0
4,1,11:17.0,Defensive rebound by J. Clarkson,,0,0
5,1,10:58.0,J. Clarkson misses 2-pt jump shot from 20 ft,,0,0
6,1,10:57.0,,Defensive rebound by B. Lopez,0,0
7,1,10:50.0,,Personal foul by R. Kelly (drawn by D. Williams),0,0
8,1,10:46.0,,J. Johnson makes 2-pt layup from 2 ft (assist by M. Plumlee),0,2
9,1,10:29.0,Turnover by W. Ellington (bad pass; steal by J. Johnson),,0,2
10,1,10:17.0,,B. Lopez misses 2-pt jump shot from 4 ft,0,2
11,1,10:16.0,Defensive rebound by W. Johnson,,0,2
12,1,10:09.0,T. Black misses 2-pt layup at rim,,0,2
13,1,10:08.0,,Defensive rebound by M. Plumlee,0,2
14,1,9:52.0,,Shooting foul by W. Ellington (drawn by B. Lopez),0,2
15,1,9:52.0,,B. Lopez makes 2-pt layup from 2 ft (assist by D. Williams),0,4
16,1,9:52.0,,B. Lopez misses free throw 1 of 1,0,4
17,1,9:51.0,Defensive rebound by T. Black,,0,4
18,1,9:37.0,Turnover by R. Kelly (lost ball; steal by D. Williams),,0,4
19,1,9:24.0,,B. Lopez makes 2-pt layup at rim (assist by J. Johnson),0,6
20,1,9:09.0,J. Clarkson makes 2-pt jump shot from 18 ft,,2,6
21,1,8:58.0,,D. Williams misses 2-pt layup from 3 ft,2,6
22,1,8:57.0,,Offensive rebound by B. Lopez,2,6
23,1,8:56.0,,M. Plumlee misses 2-pt tip-in from 2 ft,2,6
24,1,8:55.0,,Offensive rebound by Team,2,6
25,1,8:46.0,,J. Johnson misses 2-pt jump shot from 12 ft,2,6
26,1,8:45.0,Defensive rebound by W. Ellington,,2,6
27,1,8:34.0,W. Johnson makes 2-pt jump shot from 14 ft,,4,6
28,1,8:16.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by J. Johnson),4,9
29,1,8:02.0,J. Clarkson makes 2-pt layup from 1 ft,,6,9
30,1,7:54.0,,D. Williams makes 2-pt layup from 2 ft,6,11
31,1,7:37.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by R. Kelly),,9,11
32,1,7:18.0,,M. Brown misses 3-pt jump shot from 23 ft,9,11
33,1,7:17.0,,Offensive rebound by Team,9,11
34,1,7:12.0,,D. Williams makes 2-pt layup from 2 ft (assist by M. Plumlee),9,13
35,1,6:49.0,T. Black misses 2-pt hook shot from 8 ft,,9,13
36,1,6:48.0,,Defensive rebound by J. Johnson,9,13
37,1,6:38.0,,B. Lopez misses 2-pt jump shot from 8 ft,9,13
38,1,6:37.0,Defensive rebound by J. Clarkson,,9,13
39,1,6:17.0,W. Johnson misses 2-pt jump shot from 14 ft,,9,13
40,1,6:17.0,,Defensive rebound by B. Lopez,9,13
41,1,6:08.0,,B. Lopez makes 2-pt layup from 2 ft (assist by D. Williams),9,15
42,1,5:46.0,J. Clarkson makes 2-pt jump shot from 15 ft (assist by T. Black),,11,15
43,1,5:26.0,,B. Lopez makes 2-pt layup at rim (assist by J. Johnson),11,17
44,1,5:20.0,LA Lakers full timeout,,11,17
45,1,5:20.0,J. Brown enters the game for J. Clarkson,,11,17
46,1,5:20.0,R. Sacre enters the game for T. Black,,11,17
47,1,5:15.0,R. Kelly makes 2-pt layup from 2 ft (assist by R. Sacre),,13,17
48,1,4:59.0,,M. Brown makes 2-pt jump shot from 18 ft (assist by D. Williams),13,19
49,1,4:35.0,R. Sacre makes 2-pt jump shot from 10 ft (assist by R. Kelly),,15,19
50,1,4:16.0,,M. Brown makes 3-pt jump shot from 25 ft (assist by M. Plumlee),15,22
51,1,3:57.0,W. Johnson misses 2-pt jump shot from 17 ft,,15,22
52,1,3:56.0,,Defensive rebound by M. Plumlee,15,22
53,1,3:45.0,,M. Brown misses 3-pt jump shot from 23 ft,15,22
54,1,3:44.0,,Offensive rebound by Team,15,22
55,1,3:44.0,Loose ball foul by R. Kelly (drawn by M. Plumlee),,15,22
56,1,3:44.0,J. Hill enters the game for R. Kelly,,15,22
57,1,3:34.0,,M. Brown makes 2-pt dunk at rim (assist by J. Johnson),15,24
58,1,3:11.0,J. Hill makes 2-pt layup at rim (assist by J. Brown),,17,24
59,1,2:57.0,,B. Lopez makes 2-pt jump shot from 13 ft,17,26
60,1,2:38.0,W. Ellington makes 2-pt jump shot from 19 ft,,19,26
61,1,2:29.0,,D. Williams makes 2-pt layup from 1 ft,19,28
62,1,2:08.0,J. Brown misses 3-pt jump shot from 25 ft,,19,28
63,1,2:07.0,,Defensive rebound by M. Brown,19,28
64,1,1:52.0,,J. Johnson misses 3-pt jump shot from 24 ft,19,28
65,1,1:51.0,Defensive rebound by J. Hill,,19,28
66,1,1:32.0,J. Brown misses 2-pt jump shot from 3 ft (block by B. Lopez),,19,28
67,1,1:31.0,,Defensive rebound by M. Brown,19,28
68,1,1:19.0,,D. Williams misses 3-pt jump shot from 24 ft,19,28
69,1,1:18.0,Defensive rebound by J. Hill,,19,28
70,1,1:16.0,Personal foul by J. Johnson (drawn by W. Ellington),,19,28
71,1,1:16.0,,Brooklyn full timeout,19,28
72,1,1:16.0,,E. Clark enters the game for M. Plumlee,19,28
73,1,1:16.0,,A. Anderson enters the game for J. Johnson,19,28
74,1,1:00.0,J. Brown misses 3-pt jump shot from 27 ft,,19,28
75,1,1:00.0,,Defensive rebound by A. Anderson,19,28
76,1,0:49.0,,D. Williams misses 3-pt jump shot from 25 ft,19,28
77,1,0:47.0,Defensive rebound by J. Brown,,19,28
78,1,0:34.0,J. Brown misses 2-pt jump shot from 15 ft,,19,28
79,1,0:33.0,,Defensive rebound by B. Lopez,19,28
80,1,0:15.0,,B. Lopez makes 2-pt jump shot from 13 ft (assist by D. Williams),19,30
81,1,0:00.0,W. Ellington misses 2-pt jump shot from 12 ft,,19,30
82,1,0:00.0,Offensive rebound by Team,,19,30
83,2,11:46.0,J. Clarkson misses 2-pt jump shot from 18 ft,,19,30
84,2,11:45.0,Offensive rebound by J. Hill,,19,30
