,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:45.0,,Turnover by D. Motiejūnas (bad pass; steal by A. Afflalo),0,0
1,1,11:37.0,A. Afflalo makes 2-pt jump shot from 19 ft (assist by W. Chandler),,2,0
2,1,11:24.0,,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),2,2
3,1,11:09.0,Turnover by T. Mozgov (bad pass; steal by P. Beverley),,2,2
4,1,11:00.0,,Personal foul by J. Hickson (drawn by D. Motiejūnas),2,2
5,1,10:53.0,,D. Motiejūnas misses 2-pt hook shot from 7 ft,2,2
6,1,10:51.0,Defensive rebound by J. Hickson,,2,2
7,1,10:38.0,Shooting foul by D. Motiejūnas (drawn by J. Hickson),,2,2
8,1,10:38.0,J. Hickson makes free throw 1 of 2,,3,2
9,1,10:38.0,J. Hickson misses free throw 2 of 2,,3,2
10,1,10:38.0,,Defensive rebound by D. Motiejūnas,3,2
11,1,10:24.0,,T. Ariza misses 3-pt jump shot from 23 ft,3,2
12,1,10:23.0,Defensive rebound by J. Hickson,,3,2
13,1,10:18.0,A. Afflalo misses 2-pt jump shot from 22 ft,,3,2
14,1,10:16.0,,Defensive rebound by D. Howard,3,2
15,1,10:10.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),3,5
16,1,9:50.0,J. Hickson makes 2-pt hook shot from 6 ft (assist by T. Mozgov),,5,5
17,1,9:28.0,,D. Howard misses 2-pt hook shot from 6 ft,5,5
18,1,9:25.0,Defensive rebound by J. Hickson,,5,5
19,1,9:21.0,Shooting foul by D. Howard (drawn by J. Hickson),,5,5
20,1,9:21.0,J. Hickson misses free throw 1 of 2,,5,5
21,1,9:21.0,Offensive rebound by Team,,5,5
22,1,9:21.0,J. Hickson misses free throw 2 of 2,,5,5
23,1,9:18.0,Offensive rebound by J. Hickson,,5,5
24,1,9:04.0,W. Chandler makes 2-pt jump shot from 8 ft (assist by A. Afflalo),,7,5
25,1,8:48.0,,Shooting foul by W. Chandler (drawn by D. Howard),7,5
26,1,8:48.0,,D. Howard misses free throw 1 of 2,7,5
27,1,8:48.0,,Offensive rebound by Team,7,5
28,1,8:48.0,,D. Howard misses free throw 2 of 2,7,5
29,1,8:48.0,Defensive rebound by W. Chandler,,7,5
30,1,8:36.0,W. Chandler makes 2-pt jump shot from 11 ft (assist by T. Lawson),,9,5
31,1,8:25.0,,Shooting foul by T. Mozgov (drawn by D. Howard),9,5
32,1,8:25.0,,D. Howard misses free throw 1 of 2,9,5
33,1,8:25.0,,Offensive rebound by Team,9,5
34,1,8:25.0,,D. Howard misses free throw 2 of 2,9,5
35,1,8:25.0,,Offensive rebound by T. Ariza,9,5
36,1,8:23.0,,T. Ariza misses 2-pt layup from 1 ft (block by J. Hickson),9,5
37,1,8:21.0,,Offensive rebound by T. Ariza,9,5
38,1,8:10.0,,D. Motiejūnas misses 3-pt jump shot from 25 ft,9,5
39,1,8:09.0,Defensive rebound by W. Chandler,,9,5
40,1,7:56.0,W. Chandler misses 2-pt jump shot from 11 ft,,9,5
41,1,7:54.0,,Defensive rebound by D. Howard,9,5
42,1,7:50.0,,J. Harden misses 2-pt layup from 1 ft,9,5
43,1,7:47.0,,Offensive rebound by D. Motiejūnas,9,5
44,1,7:46.0,,D. Motiejūnas misses 2-pt layup from 1 ft (block by J. Hickson),9,5
45,1,7:44.0,Defensive rebound by A. Afflalo,,9,5
46,1,7:37.0,W. Chandler misses 3-pt jump shot from 25 ft,,9,5
47,1,7:36.0,,Defensive rebound by D. Motiejūnas,9,5
48,1,7:22.0,,Shooting foul by T. Mozgov (drawn by D. Howard),9,5
49,1,7:22.0,,D. Howard makes free throw 1 of 2,9,6
50,1,7:22.0,J. Nurkić enters the game for T. Mozgov,,9,6
51,1,7:22.0,,D. Howard makes free throw 2 of 2,9,7
52,1,7:05.0,Personal foul by T. Ariza (drawn by T. Lawson),,9,7
53,1,7:00.0,J. Nurkić makes 2-pt layup from 1 ft (assist by J. Hickson),,11,7
54,1,6:47.0,,J. Harden misses 2-pt jump shot from 4 ft,11,7
55,1,6:46.0,,Offensive rebound by D. Motiejūnas,11,7
56,1,6:46.0,,D. Motiejūnas misses 2-pt tip-in at rim,11,7
57,1,6:44.0,Defensive rebound by A. Afflalo,,11,7
58,1,6:43.0,Shooting foul by P. Beverley (drawn by T. Lawson),,11,7
59,1,6:43.0,T. Lawson makes free throw 1 of 2,,12,7
60,1,6:43.0,T. Lawson misses free throw 2 of 2,,12,7
61,1,6:43.0,Offensive rebound by Team,,12,7
62,1,6:43.0,,Loose ball foul by D. Motiejūnas (drawn by J. Nurkić),12,7
63,1,6:43.0,J. Nurkić misses free throw 1 of 2,,12,7
64,1,6:43.0,Offensive rebound by Team,,12,7
65,1,6:43.0,,T. Black enters the game for D. Motiejūnas,12,7
66,1,6:43.0,J. Nurkić makes free throw 2 of 2,,13,7
67,1,6:28.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by T. Ariza),13,10
68,1,6:15.0,Denver full timeout,,13,10
69,1,6:01.0,A. Afflalo misses 3-pt jump shot from 25 ft,,13,10
70,1,5:59.0,,Defensive rebound by J. Harden,13,10
71,1,5:51.0,,Shooting foul by J. Nurkić (drawn by J. Harden),13,10
72,1,5:51.0,,J. Harden makes free throw 1 of 2,13,11
73,1,5:51.0,,J. Harden makes free throw 2 of 2,13,12
74,1,5:39.0,Personal block foul by D. Howard (drawn by J. Nurkić),,13,12
75,1,5:39.0,J. Nurkić misses free throw 1 of 2,,13,12
76,1,5:39.0,Offensive rebound by Team,,13,12
77,1,5:39.0,,J. Dorsey enters the game for D. Howard,13,12
78,1,5:39.0,J. Nurkić misses free throw 2 of 2,,13,12
79,1,5:39.0,,Defensive rebound by T. Black,13,12
80,1,5:25.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),13,15
81,1,5:13.0,J. Hickson makes 2-pt dunk at rim (assist by T. Lawson),,15,15
82,1,5:01.0,,Turnover by P. Beverley (lost ball),15,15
83,1,4:50.0,J. Nurkić makes 2-pt hook shot from 6 ft (assist by J. Hickson),,17,15
84,1,4:40.0,,J. Harden misses 2-pt layup from 3 ft,17,15
85,1,4:40.0,,Offensive rebound by T. Black,17,15
86,1,4:38.0,,Shooting foul by J. Nurkić (drawn by T. Black),17,15
87,1,4:38.0,,T. Black makes free throw 1 of 2,17,16
88,1,4:38.0,,J. Terry enters the game for P. Beverley,17,16
89,1,4:38.0,K. Faried enters the game for J. Nurkić,,17,16
90,1,4:38.0,,T. Black misses free throw 2 of 2,17,16
91,1,4:38.0,Defensive rebound by J. Hickson,,17,16
92,1,4:25.0,J. Hickson makes 2-pt dunk at rim (assist by K. Faried),,19,16
93,1,3:55.0,,T. Ariza makes 2-pt jump shot from 18 ft,19,18
94,1,3:44.0,T. Lawson makes 3-pt jump shot from 24 ft,,22,18
95,1,3:18.0,,T. Black misses 2-pt jump shot from 5 ft,22,18
96,1,3:16.0,,Offensive rebound by J. Dorsey,22,18
97,1,3:11.0,,T. Ariza misses 3-pt jump shot from 24 ft,22,18
98,1,3:10.0,,Offensive rebound by T. Black,22,18
99,1,3:07.0,,J. Terry misses 3-pt jump shot from 25 ft,22,18
100,1,3:05.0,,Offensive rebound by T. Ariza,22,18
101,1,3:00.0,,J. Harden misses 3-pt jump shot from 25 ft,22,18
102,1,2:58.0,Defensive rebound by T. Lawson,,22,18
103,1,2:54.0,T. Lawson makes 2-pt layup at rim,,24,18
104,1,2:45.0,,Houston full timeout,24,18
105,1,2:45.0,,N. Johnson enters the game for T. Ariza,24,18
106,1,2:33.0,,J. Harden misses 2-pt jump shot from 7 ft,24,18
107,1,2:32.0,Defensive rebound by J. Hickson,,24,18
108,1,2:32.0,Offensive foul by J. Hickson (drawn by J. Harden),,24,18
109,1,2:32.0,Turnover by J. Hickson (offensive foul),,24,18
110,1,2:32.0,D. Arthur enters the game for J. Hickson,,24,18
111,1,2:22.0,,J. Harden misses 2-pt jump shot from 21 ft,24,18
112,1,2:20.0,,Offensive rebound by J. Dorsey,24,18
113,1,2:14.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),24,21
114,1,1:59.0,Personal foul by N. Johnson (drawn by A. Afflalo),,24,21
115,1,1:59.0,A. Afflalo makes free throw 1 of 2,,25,21
116,1,1:59.0,J. Nurkić enters the game for W. Chandler,,25,21
117,1,1:59.0,A. Afflalo makes free throw 2 of 2,,26,21
118,1,1:47.0,,J. Terry misses 3-pt jump shot from 25 ft,26,21
119,1,1:45.0,Defensive rebound by D. Arthur,,26,21
120,1,1:33.0,D. Arthur makes 3-pt jump shot from 25 ft (assist by A. Afflalo),,29,21
121,1,1:03.0,,J. Harden misses 2-pt jump shot from 19 ft,29,21
122,1,1:01.0,Defensive rebound by K. Faried,,29,21
123,1,0:56.0,D. Arthur misses 2-pt jump shot from 19 ft,,29,21
124,1,0:54.0,,Defensive rebound by J. Harden,29,21
125,1,0:50.0,,N. Johnson misses 2-pt layup at rim,29,21
126,1,0:48.0,Defensive rebound by A. Afflalo,,29,21
127,1,0:42.0,T. Lawson misses 3-pt jump shot from 25 ft,,29,21
128,1,0:40.0,,Defensive rebound by J. Dorsey,29,21
129,1,0:31.0,,N. Johnson misses 3-pt jump shot from 23 ft,29,21
130,1,0:29.0,Defensive rebound by J. Nurkić,,29,21
131,1,0:05.0,J. Nurkić misses 2-pt jump shot from 18 ft,,29,21
132,1,0:03.0,Offensive rebound by D. Arthur,,29,21
133,1,0:01.0,T. Lawson makes 2-pt jump shot from 20 ft (assist by D. Arthur),,31,21
134,1,0:01.0,,Turnover by T. Black (bad pass; steal by A. Afflalo),31,21
135,1,0:00.0,A. Afflalo misses 3-pt jump shot from 32 ft,,31,21
136,1,0:00.0,Offensive rebound by Team,,31,21
137,2,12:00.0,,Technical foul by Team,31,21
138,2,12:00.0,A. Afflalo makes technical free throw,,32,21
139,2,12:00.0,G. Harris enters the game for A. Afflalo,,32,21
140,2,11:46.0,G. Harris misses 2-pt jump shot from 16 ft,,32,21
141,2,11:43.0,,Defensive rebound by J. Dorsey,32,21
142,2,11:35.0,,T. Ariza misses 3-pt jump shot from 25 ft,32,21
143,2,11:35.0,,Offensive rebound by Team,32,21
144,2,11:35.0,Loose ball foul by D. Arthur (drawn by J. Dorsey),,32,21
145,2,11:21.0,,Offensive foul by J. Terry (drawn by E. Green),32,21
146,2,11:21.0,,Turnover by J. Terry (offensive foul),32,21
147,2,11:08.0,K. Faried misses 2-pt jump shot from 8 ft (block by J. Dorsey),,32,21
148,2,11:06.0,Offensive rebound by K. Faried,,32,21
149,2,11:03.0,K. Faried misses 2-pt jump shot from 12 ft,,32,21
150,2,11:02.0,,Defensive rebound by J. Dorsey,32,21
151,2,10:42.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by P. Beverley),32,24
152,2,10:21.0,G. Harris misses 2-pt jump shot from 5 ft,,32,24
153,2,10:21.0,,Defensive rebound by Team,32,24
154,2,10:10.0,,Offensive foul by J. Dorsey (drawn by D. Arthur),32,24
155,2,10:10.0,,Turnover by J. Dorsey (offensive foul),32,24
156,2,9:57.0,D. Arthur makes 3-pt jump shot from 24 ft (assist by K. Faried),,35,24
157,2,9:45.0,,D. Motiejūnas misses 2-pt jump shot from 15 ft,35,24
158,2,9:44.0,Defensive rebound by Team,,35,24
159,2,9:44.0,,Loose ball foul by P. Beverley (drawn by J. Nurkić),35,24
160,2,9:35.0,K. Faried makes 2-pt dunk at rim (assist by J. Nurkić),,37,24
161,2,9:13.0,,D. Motiejūnas makes 2-pt hook shot from 8 ft,37,26
162,2,9:01.0,E. Green misses 2-pt jump shot from 20 ft,,37,26
163,2,8:59.0,,Defensive rebound by J. Dorsey,37,26
164,2,8:44.0,,Turnover by P. Beverley (bad pass),37,26
165,2,8:44.0,Official timeout,,37,26
166,2,8:44.0,,D. Howard enters the game for J. Dorsey,37,26
167,2,8:29.0,D. Arthur misses 3-pt jump shot from 22 ft,,37,26
168,2,8:28.0,,Defensive rebound by D. Howard,37,26
169,2,8:19.0,,Personal foul by G. Harris (drawn by T. Ariza),37,26
170,2,8:19.0,T. Lawson enters the game for E. Green,,37,26
171,2,8:19.0,A. Afflalo enters the game for G. Harris,,37,26
172,2,8:13.0,,Turnover by J. Terry (bad pass; steal by J. Nurkić),37,26
173,2,8:06.0,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),,40,26
174,2,7:50.0,,J. Harden enters the game for J. Terry,40,26
175,2,7:47.0,Violation by K. Faried (kicked ball),,40,26
176,2,7:34.0,,D. Motiejūnas makes 3-pt jump shot from 23 ft (assist by J. Harden),40,29
177,2,7:19.0,A. Afflalo misses 2-pt jump shot from 20 ft,,40,29
178,2,7:18.0,,Defensive rebound by T. Ariza,40,29
179,2,7:05.0,,D. Motiejūnas makes 2-pt hook shot from 8 ft,40,31
180,2,6:58.0,W. Chandler enters the game for D. Arthur,,40,31
181,2,6:46.0,K. Faried misses 2-pt jump shot from 15 ft,,40,31
182,2,6:44.0,,Defensive rebound by T. Ariza,40,31
183,2,6:44.0,Loose ball foul by J. Nurkić (drawn by T. Ariza),,40,31
184,2,6:44.0,T. Mozgov enters the game for J. Nurkić,,40,31
185,2,6:35.0,,D. Motiejūnas makes 2-pt jump shot from 5 ft,40,33
186,2,6:23.0,Turnover by T. Lawson (bad pass),,40,33
187,2,6:04.0,,Shooting foul by K. Faried (drawn by J. Harden),40,33
188,2,6:04.0,,J. Harden makes free throw 1 of 2,40,34
189,2,6:04.0,J. Hickson enters the game for K. Faried,,40,34
190,2,6:04.0,,J. Harden makes free throw 2 of 2,40,35
191,2,5:49.0,A. Afflalo makes 2-pt jump shot from 17 ft (assist by T. Lawson),,42,35
192,2,5:41.0,,Houston full timeout,42,35
193,2,5:39.0,,P. Beverley makes 2-pt layup from 2 ft (assist by T. Ariza),42,37
194,2,5:25.0,A. Afflalo misses 2-pt jump shot from 17 ft,,42,37
195,2,5:23.0,Offensive rebound by T. Mozgov,,42,37
196,2,5:15.0,T. Mozgov misses 2-pt jump shot from 5 ft (block by D. Howard),,42,37
197,2,5:14.0,,Defensive rebound by T. Ariza,42,37
198,2,5:13.0,,Personal foul by W. Chandler (drawn by J. Harden),42,37
199,2,5:13.0,,J. Harden makes free throw 1 of 2,42,38
200,2,5:13.0,,J. Harden makes free throw 2 of 2,42,39
201,2,4:53.0,A. Afflalo misses 3-pt jump shot from 25 ft,,42,39
