,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
0,1,11:43.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Payton),0,2
1,1,11:19.0,T. Chandler misses 2-pt jump shot from 16 ft,,0,2
2,1,11:17.0,,Defensive rebound by N. Vučević,0,2
3,1,11:05.0,,A. Gordon misses 2-pt layup from 2 ft,0,2
4,1,11:04.0,Defensive rebound by T. Chandler,,0,2
5,1,10:46.0,Personal foul by T. Harris (drawn by R. Jefferson),,0,2
6,1,10:39.0,R. Jefferson makes 3-pt jump shot from 23 ft (assist by M. Ellis),,3,2
7,1,10:32.0,,Turnover by E. Payton (lost ball; steal by D. Nowitzki),3,2
8,1,10:22.0,Dallas full timeout,,3,2
9,1,10:22.0,D. Harris enters the game for R. Rondo,,3,2
10,1,10:08.0,T. Chandler makes 2-pt dunk at rim (assist by D. Harris),,5,2
11,1,9:57.0,,E. Fournier makes 2-pt dunk at rim (assist by N. Vučević),5,4
12,1,9:48.0,M. Ellis misses 2-pt jump shot from 5 ft,,5,4
13,1,9:46.0,,Defensive rebound by N. Vučević,5,4
14,1,9:43.0,,Shooting foul by D. Nowitzki (drawn by T. Harris),5,4
15,1,9:43.0,,T. Harris makes free throw 1 of 2,5,5
16,1,9:43.0,,T. Harris misses free throw 2 of 2,5,5
17,1,9:42.0,Defensive rebound by D. Nowitzki,,5,5
18,1,9:25.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,5,5
19,1,9:24.0,,Defensive rebound by E. Fournier,5,5
20,1,9:21.0,Offensive charge foul by T. Harris (drawn by D. Harris),,5,5
21,1,9:21.0,,Turnover by T. Harris (offensive foul),5,5
22,1,9:21.0,,C. Frye enters the game for T. Harris,5,5
23,1,9:21.0,G. Smith enters the game for T. Chandler,,5,5
24,1,9:02.0,G. Smith makes 2-pt layup from 2 ft (assist by D. Nowitzki),,7,5
25,1,8:45.0,,C. Frye misses 3-pt jump shot from 25 ft,7,5
26,1,8:43.0,Defensive rebound by G. Smith,,7,5
27,1,8:29.0,M. Ellis makes 2-pt jump shot from 16 ft,,9,5
28,1,8:09.0,,N. Vučević misses 2-pt dunk at rim (block by R. Jefferson),9,5
29,1,8:06.0,Defensive rebound by G. Smith,,9,5
30,1,7:58.0,Shooting foul by A. Gordon (drawn by R. Jefferson),,9,5
31,1,7:58.0,R. Jefferson misses free throw 1 of 2,,9,5
32,1,7:58.0,Offensive rebound by Team,,9,5
33,1,7:58.0,R. Jefferson makes free throw 2 of 2,,10,5
34,1,7:46.0,,Shooting foul by R. Jefferson (drawn by A. Gordon),10,5
35,1,7:46.0,,A. Gordon makes free throw 1 of 2,10,6
