,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:40.0,,J. Smith makes 2-pt jump shot from 5 ft (assist by J. Calderón),0,2
1,1,11:22.0,U. Haslem makes 2-pt jump shot from 16 ft (assist by L. Deng),,2,2
2,1,11:10.0,,J. Calderón misses 2-pt layup from 2 ft,2,2
3,1,11:09.0,Defensive rebound by U. Haslem,,2,2
4,1,10:57.0,Shooting foul by C. Early (drawn by L. Deng),,2,2
5,1,10:57.0,L. Deng makes free throw 1 of 2,,3,2
6,1,10:57.0,L. Deng misses free throw 2 of 2,,3,2
7,1,10:56.0,,Defensive rebound by C. Early,3,2
8,1,10:36.0,,L. Amundson misses 2-pt jump shot from 5 ft (block by U. Haslem),3,2
9,1,10:35.0,,Offensive rebound by Team,3,2
10,1,10:33.0,,J. Smith misses 2-pt jump shot from 18 ft,3,2
11,1,10:32.0,Defensive rebound by M. Chalmers,,3,2
12,1,10:26.0,D. Wade misses 2-pt jump shot from 6 ft (block by L. Galloway),,3,2
13,1,10:25.0,,Defensive rebound by L. Galloway,3,2
14,1,10:24.0,,Turnover by L. Galloway (bad pass),3,2
15,1,10:14.0,D. Wade makes 2-pt jump shot from 14 ft,,5,2
16,1,10:02.0,,C. Early misses 3-pt jump shot from 24 ft,5,2
17,1,10:01.0,Defensive rebound by Team,,5,2
18,1,10:01.0,,Loose ball foul by L. Amundson (drawn by H. Whiteside),5,2
19,1,9:43.0,H. Whiteside makes 2-pt dunk at rim (assist by L. Deng),,7,2
20,1,9:31.0,,J. Calderón makes 2-pt jump shot from 20 ft (assist by L. Amundson),7,4
21,1,9:20.0,U. Haslem misses 2-pt jump shot from 16 ft,,7,4
22,1,9:19.0,Offensive rebound by H. Whiteside,,7,4
23,1,9:12.0,Personal foul by C. Early (drawn by L. Deng),,7,4
24,1,9:12.0,,L. Thomas enters the game for C. Early,7,4
25,1,9:07.0,Shooting foul by J. Calderón (drawn by L. Deng),,7,4
26,1,9:07.0,L. Deng makes free throw 1 of 2,,8,4
27,1,9:07.0,L. Deng makes free throw 2 of 2,,9,4
28,1,8:56.0,,J. Calderón misses 3-pt jump shot from 25 ft,9,4
29,1,8:55.0,,Offensive rebound by L. Amundson,9,4
30,1,8:49.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by L. Thomas),9,7
31,1,8:36.0,H. Whiteside misses 2-pt layup from 1 ft,,9,7
32,1,8:35.0,Offensive rebound by H. Whiteside,,9,7
33,1,8:34.0,H. Whiteside makes 2-pt layup at rim,,11,7
34,1,8:15.0,,L. Amundson misses 2-pt layup from 2 ft,11,7
35,1,8:14.0,Defensive rebound by D. Wade,,11,7
36,1,7:56.0,D. Wade misses 2-pt jump shot from 12 ft,,11,7
37,1,7:55.0,,Defensive rebound by J. Smith,11,7
38,1,7:47.0,,L. Thomas makes 2-pt jump shot from 4 ft (assist by L. Galloway),11,9
39,1,7:39.0,Personal foul by L. Thomas (drawn by L. Deng),,11,9
