,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,TORONTO_ACTION,LA LAKERS_SCORE,TORONTO_SCORE
0,1,11:43.0,,J. Valančiūnas misses 2-pt jump shot from 9 ft,0,0
1,1,11:42.0,Defensive rebound by W. Johnson,,0,0
2,1,11:20.0,R. Kelly misses 2-pt layup from 4 ft,,0,0
3,1,11:19.0,,Defensive rebound by D. DeRozan,0,0
4,1,11:11.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),0,2
5,1,10:43.0,J. Clarkson makes 2-pt hook shot from 8 ft,,2,2
6,1,10:21.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,2,2
7,1,10:20.0,Defensive rebound by T. Black,,2,2
8,1,10:12.0,J. Clarkson misses 2-pt jump shot from 16 ft,,2,2
9,1,10:10.0,Offensive rebound by J. Clarkson,,2,2
10,1,10:08.0,J. Clarkson makes 2-pt layup at rim,,4,2
11,1,9:45.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by G. Vásquez),4,4
12,1,9:26.0,W. Johnson misses 2-pt jump shot from 18 ft,,4,4
13,1,9:25.0,,Defensive rebound by D. DeRozan,4,4
14,1,9:15.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),4,6
15,1,8:54.0,J. Lin makes 3-pt jump shot from 25 ft,,7,6
16,1,8:42.0,,Turnover by D. DeRozan (bad pass; steal by J. Lin),7,6
17,1,8:38.0,Shooting foul by G. Vásquez (drawn by J. Lin),,7,6
18,1,8:38.0,J. Lin makes free throw 1 of 2,,8,6
19,1,8:38.0,J. Lin makes free throw 2 of 2,,9,6
20,1,8:19.0,,D. DeRozan misses 2-pt jump shot from 5 ft,9,6
21,1,8:18.0,Defensive rebound by J. Lin,,9,6
22,1,8:12.0,Turnover by J. Lin (bad pass; steal by T. Ross),,9,6
23,1,8:07.0,,Shooting foul by J. Clarkson (drawn by D. DeRozan),9,6
24,1,8:07.0,,D. DeRozan misses free throw 1 of 2,9,6
25,1,8:07.0,,Offensive rebound by Team,9,6
26,1,8:07.0,,D. DeRozan makes free throw 2 of 2,9,7
27,1,7:59.0,J. Lin misses 2-pt layup from 3 ft (block by T. Ross),,9,7
28,1,7:57.0,Offensive rebound by T. Black,,9,7
29,1,7:54.0,T. Black misses 2-pt layup from 2 ft (block by J. Valančiūnas),,9,7
30,1,7:54.0,Offensive rebound by Team,,9,7
31,1,7:47.0,T. Black misses 2-pt layup from 1 ft,,9,7
32,1,7:46.0,Offensive rebound by T. Black,,9,7
33,1,7:46.0,T. Black makes 2-pt layup from 1 ft,,11,7
34,1,7:46.0,Shooting foul by J. Valančiūnas (drawn by T. Black),,11,7
35,1,7:46.0,T. Black misses free throw 1 of 1,,11,7
36,1,7:45.0,,Defensive rebound by J. Valančiūnas,11,7
37,1,7:30.0,,A. Johnson makes 2-pt hook shot from 4 ft (assist by D. DeRozan),11,9
38,1,7:07.0,W. Johnson misses 3-pt jump shot from 23 ft,,11,9
39,1,7:06.0,Offensive rebound by T. Black,,11,9
40,1,6:59.0,J. Clarkson misses 2-pt jump shot from 5 ft,,11,9
41,1,6:58.0,Offensive rebound by T. Black,,11,9
42,1,6:53.0,R. Kelly makes 2-pt jump shot from 18 ft (assist by T. Black),,13,9
43,1,6:46.0,,Toronto full timeout,13,9
44,1,6:46.0,,P. Patterson enters the game for J. Valančiūnas,13,9
45,1,6:29.0,,A. Johnson makes 2-pt dunk at rim (assist by G. Vásquez),13,11
46,1,6:03.0,J. Lin makes 3-pt jump shot from 27 ft,,16,11
47,1,5:49.0,,Shooting foul by T. Black (drawn by D. DeRozan),16,11
48,1,5:49.0,,D. DeRozan misses free throw 1 of 2,16,11
49,1,5:49.0,,Offensive rebound by Team,16,11
50,1,5:49.0,W. Ellington enters the game for J. Clarkson,,16,11
51,1,5:49.0,R. Sacre enters the game for T. Black,,16,11
52,1,5:49.0,,D. DeRozan makes free throw 2 of 2,16,12
53,1,5:27.0,W. Johnson misses 2-pt jump shot from 19 ft,,16,12
54,1,5:26.0,,Defensive rebound by G. Vásquez,16,12
55,1,5:16.0,,D. DeRozan misses 2-pt layup from 2 ft,16,12
56,1,5:15.0,Defensive rebound by W. Johnson,,16,12
57,1,5:06.0,W. Johnson misses 2-pt jump shot from 16 ft,,16,12
58,1,5:05.0,,Defensive rebound by P. Patterson,16,12
59,1,4:54.0,,A. Johnson makes 2-pt layup from 1 ft (assist by P. Patterson),16,14
60,1,4:37.0,W. Ellington misses 3-pt jump shot from 22 ft,,16,14
61,1,4:36.0,,Defensive rebound by P. Patterson,16,14
62,1,4:24.0,,Turnover by P. Patterson (lost ball; steal by R. Sacre),16,14
63,1,4:10.0,W. Johnson misses 3-pt jump shot from 25 ft,,16,14
64,1,4:10.0,,Defensive rebound by T. Ross,16,14
65,1,3:58.0,,Turnover by A. Johnson (lost ball),16,14
66,1,3:50.0,J. Lin makes 2-pt layup from 1 ft (assist by W. Johnson),,18,14
67,1,3:21.0,,G. Vásquez misses 3-pt jump shot from 27 ft,18,14
68,1,3:19.0,Defensive rebound by W. Johnson,,18,14
69,1,2:57.0,W. Ellington misses 2-pt hook shot from 4 ft,,18,14
70,1,2:55.0,Offensive rebound by R. Sacre,,18,14
71,1,2:55.0,Turnover by Team (shot clock),,18,14
72,1,2:55.0,LA Lakers full timeout,,18,14
73,1,2:55.0,,T. Hansbrough enters the game for A. Johnson,18,14
74,1,2:55.0,,L. Williams enters the game for G. Vásquez,18,14
75,1,2:55.0,E. Davis enters the game for W. Johnson,,18,14
76,1,2:55.0,J. Brown enters the game for R. Kelly,,18,14
77,1,2:31.0,,D. DeRozan misses 2-pt jump shot from 17 ft,18,14
78,1,2:30.0,Defensive rebound by R. Sacre,,18,14
79,1,2:08.0,R. Sacre misses 2-pt jump shot from 16 ft,,18,14
80,1,2:06.0,Offensive rebound by Team,,18,14
81,1,2:06.0,,Violation by T. Ross (kicked ball),18,14
82,1,1:58.0,Shooting foul by D. DeRozan (drawn by E. Davis),,18,14
83,1,1:58.0,E. Davis makes free throw 1 of 2,,19,14
84,1,1:58.0,E. Davis makes free throw 2 of 2,,20,14
85,1,1:45.0,,T. Ross misses 2-pt jump shot from 16 ft,20,14
