,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:45.0,Turnover by R. Foye (lost ball; steal by A. Afflalo),,0,0
1,1,11:40.0,,A. Afflalo makes 2-pt layup from 1 ft (assist by D. Lillard),0,2
2,1,11:13.0,T. Lawson misses 2-pt jump shot from 20 ft,,0,2
3,1,11:12.0,,Defensive rebound by A. Afflalo,0,2
4,1,11:07.0,,N. Batum makes 2-pt jump shot from 3 ft (assist by D. Lillard),0,4
5,1,10:45.0,J. Hickson makes 2-pt jump shot from 12 ft (assist by R. Foye),,2,4
6,1,10:29.0,,A. Afflalo makes 2-pt jump shot from 18 ft,2,6
7,1,10:16.0,K. Faried misses 2-pt layup from 1 ft,,2,6
8,1,10:15.0,Offensive rebound by J. Hickson,,2,6
9,1,10:15.0,J. Hickson misses 2-pt tip-in at rim,,2,6
10,1,10:13.0,Offensive rebound by J. Hickson,,2,6
11,1,10:13.0,J. Hickson makes 2-pt layup from 1 ft,,4,6
12,1,10:01.0,,A. Afflalo misses 2-pt jump shot from 19 ft,4,6
13,1,10:00.0,Defensive rebound by J. Hickson,,4,6
14,1,9:53.0,J. Hickson misses 2-pt jump shot from 4 ft,,4,6
15,1,9:51.0,Offensive rebound by K. Faried,,4,6
16,1,9:51.0,K. Faried misses 2-pt tip-in from 1 ft,,4,6
17,1,9:50.0,Offensive rebound by K. Faried,,4,6
18,1,9:50.0,K. Faried misses 2-pt tip-in from 1 ft,,4,6
19,1,9:50.0,Offensive rebound by K. Faried,,4,6
20,1,9:50.0,Shooting foul by L. Aldridge (drawn by K. Faried),,4,6
21,1,9:50.0,K. Faried makes free throw 1 of 2,,5,6
22,1,9:50.0,K. Faried makes free throw 2 of 2,,6,6
23,1,9:35.0,,Personal foul by K. Faried (drawn by L. Aldridge),6,6
24,1,9:24.0,,L. Aldridge misses 2-pt jump shot from 5 ft,6,6
25,1,9:23.0,Defensive rebound by J. Hickson,,6,6
26,1,9:14.0,J. Hickson misses 2-pt jump shot from 4 ft,,6,6
27,1,9:13.0,,Defensive rebound by R. Lopez,6,6
28,1,9:06.0,,Turnover by D. Lillard (bad pass; steal by J. Hickson),6,6
29,1,9:00.0,J. Hickson makes 2-pt layup from 1 ft,,8,6
30,1,8:50.0,,D. Lillard makes 2-pt layup from 1 ft,8,8
31,1,8:31.0,R. Foye makes 2-pt jump shot from 18 ft (assist by J. Hickson),,10,8
32,1,8:15.0,,D. Lillard misses 2-pt layup from 1 ft,10,8
33,1,8:14.0,Defensive rebound by W. Chandler,,10,8
34,1,8:11.0,Offensive foul by K. Faried (drawn by A. Afflalo),,10,8
35,1,8:11.0,Turnover by K. Faried (offensive foul),,10,8
36,1,8:11.0,J. Lauvergne enters the game for K. Faried,,10,8
37,1,8:00.0,,R. Lopez makes 2-pt layup from 1 ft (assist by N. Batum),10,10
38,1,7:45.0,J. Lauvergne misses 2-pt jump shot from 4 ft,,10,10
39,1,7:44.0,,Defensive rebound by L. Aldridge,10,10
40,1,7:24.0,,R. Lopez makes 2-pt hook shot from 8 ft,10,12
41,1,7:05.0,J. Lauvergne makes 2-pt jump shot from 19 ft (assist by W. Chandler),,12,12
42,1,6:48.0,,Shooting foul by J. Lauvergne (drawn by L. Aldridge),12,12
43,1,6:48.0,,L. Aldridge makes free throw 1 of 2,12,13
44,1,6:48.0,,L. Aldridge makes free throw 2 of 2,12,14
45,1,6:32.0,J. Hickson makes 2-pt jump shot from 17 ft (assist by J. Lauvergne),,14,14
46,1,6:15.0,,Personal foul by J. Lauvergne (drawn by L. Aldridge),14,14
47,1,6:10.0,,Turnover by D. Lillard (bad pass; steal by R. Foye),14,14
48,1,5:59.0,R. Foye misses 2-pt jump shot from 20 ft,,14,14
49,1,5:58.0,,Defensive rebound by L. Aldridge,14,14
50,1,5:49.0,,L. Aldridge misses 3-pt jump shot from 26 ft,14,14
51,1,5:48.0,Defensive rebound by W. Chandler,,14,14
52,1,5:25.0,R. Foye misses 3-pt jump shot from 34 ft,,14,14
53,1,5:24.0,,Defensive rebound by D. Lillard,14,14
