,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
0,1,11:36.0,Shooting foul by D. Favors (drawn by J. Lamb),,0,0
1,1,11:36.0,J. Lamb makes free throw 1 of 2,,1,0
2,1,11:36.0,J. Lamb makes free throw 2 of 2,,2,0
3,1,11:21.0,,D. Favors makes 2-pt hook shot from 4 ft,2,2
4,1,11:04.0,R. Jackson makes 2-pt jump shot from 9 ft,,4,2
5,1,10:53.0,,T. Burke misses 2-pt jump shot from 13 ft,4,2
6,1,10:51.0,Defensive rebound by S. Ibaka,,4,2
7,1,10:43.0,L. Thomas misses 2-pt jump shot from 9 ft,,4,2
8,1,10:42.0,,Defensive rebound by E. Freedom,4,2
9,1,10:30.0,,D. Favors misses 2-pt jump shot from 14 ft,4,2
10,1,10:29.0,Defensive rebound by J. Lamb,,4,2
11,1,10:15.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by R. Jackson),,7,2
12,1,9:54.0,,E. Freedom misses 2-pt jump shot from 6 ft,7,2
13,1,9:52.0,Defensive rebound by J. Lamb,,7,2
14,1,9:42.0,S. Adams misses 2-pt layup from 2 ft,,7,2
15,1,9:40.0,,Defensive rebound by E. Freedom,7,2
16,1,9:33.0,,G. Hayward makes 2-pt layup at rim (assist by T. Burke),7,4
17,1,9:27.0,J. Lamb misses 3-pt jump shot from 24 ft,,7,4
18,1,9:23.0,,Defensive rebound by G. Hayward,7,4
19,1,9:04.0,,Shooting foul by S. Adams (drawn by D. Favors),7,4
20,1,9:04.0,,D. Favors misses free throw 1 of 2,7,4
21,1,9:04.0,,Offensive rebound by Team,7,4
22,1,9:04.0,,D. Favors misses free throw 2 of 2,7,4
23,1,9:03.0,Defensive rebound by L. Thomas,,7,4
24,1,8:45.0,S. Adams makes 2-pt hook shot at rim,,9,4
25,1,8:26.0,,E. Freedom makes 2-pt jump shot from 16 ft,9,6
26,1,8:03.0,Turnover by S. Adams (3 sec),,9,6
27,1,7:49.0,,G. Hayward misses 2-pt layup from 2 ft (block by S. Adams),9,6
28,1,7:47.0,Defensive rebound by J. Lamb,,9,6
29,1,7:39.0,S. Adams makes 2-pt layup from 2 ft (assist by J. Lamb),,11,6
30,1,7:31.0,,Utah full timeout,11,6
31,1,7:26.0,,G. Hayward misses 3-pt jump shot from 24 ft,11,6
32,1,7:26.0,Defensive rebound by Team,,11,6
33,1,7:14.0,J. Lamb misses 2-pt jump shot from 20 ft,,11,6
34,1,7:12.0,,Defensive rebound by A. Burks,11,6
35,1,7:08.0,Offensive charge foul by G. Hayward (drawn by R. Jackson),,11,6
36,1,7:08.0,,Turnover by G. Hayward (offensive foul),11,6
37,1,7:00.0,S. Ibaka misses 2-pt jump shot from 19 ft,,11,6
38,1,6:56.0,,Defensive rebound by A. Burks,11,6
39,1,6:37.0,,E. Freedom misses 2-pt jump shot from 10 ft,11,6
40,1,6:37.0,,Offensive rebound by Team,11,6
41,1,6:37.0,Loose ball foul by J. Lamb (drawn by D. Favors),,11,6
42,1,6:31.0,,T. Burke misses 2-pt jump shot from 19 ft,11,6
43,1,6:29.0,Defensive rebound by S. Ibaka,,11,6
44,1,6:12.0,R. Jackson makes 2-pt jump shot from 19 ft,,13,6
45,1,5:52.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by A. Burks),13,9
46,1,5:36.0,Turnover by S. Adams (bad pass; steal by G. Hayward),,13,9
47,1,5:32.0,,G. Hayward misses 2-pt layup from 2 ft (block by S. Ibaka),13,9
48,1,5:32.0,,Offensive rebound by Team,13,9
49,1,5:32.0,,R. Gobert enters the game for D. Favors,13,9
50,1,5:32.0,,T. Booker enters the game for E. Freedom,13,9
51,1,5:32.0,,J. Ingles enters the game for G. Hayward,13,9
52,1,5:22.0,,Turnover by T. Burke (bad pass; steal by L. Thomas),13,9
53,1,5:06.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Jackson),,15,9
54,1,4:52.0,,A. Burks makes 2-pt jump shot from 9 ft,15,11
55,1,4:35.0,S. Adams misses 2-pt hook shot from 4 ft,,15,11
56,1,4:34.0,,Defensive rebound by R. Gobert,15,11
57,1,4:34.0,,Personal foul by L. Thomas (drawn by R. Gobert),15,11
58,1,4:34.0,A. Morrow enters the game for J. Lamb,,15,11
59,1,4:34.0,K. Perkins enters the game for S. Adams,,15,11
60,1,4:19.0,,T. Burke misses 2-pt jump shot from 5 ft,15,11
