,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),0,2
1,1,11:25.0,C. Boozer makes 2-pt jump shot from 11 ft,,2,2
2,1,11:10.0,,K. Thompson misses 2-pt jump shot from 4 ft,2,2
3,1,11:10.0,Defensive rebound by Team,,2,2
4,1,10:52.0,K. Bryant misses 2-pt jump shot from 10 ft,,2,2
5,1,10:51.0,,Defensive rebound by S. Curry,2,2
6,1,10:44.0,,S. Curry misses 2-pt jump shot from 4 ft,2,2
7,1,10:43.0,Defensive rebound by K. Bryant,,2,2
8,1,10:29.0,K. Bryant misses 3-pt jump shot from 26 ft,,2,2
9,1,10:28.0,Offensive rebound by C. Boozer,,2,2
10,1,10:22.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by J. Lin),,5,2
11,1,10:03.0,,H. Barnes makes 2-pt dunk at rim (assist by A. Bogut),5,4
12,1,9:38.0,J. Hill misses 2-pt jump shot from 13 ft,,5,4
13,1,9:37.0,Offensive rebound by C. Boozer,,5,4
14,1,9:35.0,C. Boozer misses 2-pt jump shot from 10 ft,,5,4
15,1,9:33.0,,Defensive rebound by H. Barnes,5,4
16,1,9:28.0,,Turnover by A. Bogut (lost ball),5,4
17,1,9:09.0,J. Hill makes 2-pt jump shot from 11 ft (assist by K. Bryant),,7,4
18,1,8:56.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),7,6
19,1,8:39.0,C. Boozer makes 2-pt jump shot from 10 ft (assist by J. Lin),,9,6
20,1,8:32.0,,Personal foul by C. Boozer (drawn by S. Curry),9,6
21,1,8:28.0,,Turnover by A. Bogut (bad pass),9,6
22,1,8:18.0,J. Hill makes 2-pt jump shot from 19 ft (assist by J. Lin),,11,6
23,1,8:04.0,,A. Bogut misses 2-pt hook shot from 7 ft,11,6
24,1,8:03.0,Defensive rebound by C. Boozer,,11,6
25,1,7:57.0,Shooting foul by K. Thompson (drawn by K. Bryant),,11,6
26,1,7:57.0,K. Bryant makes free throw 1 of 2,,12,6
27,1,7:57.0,K. Bryant makes free throw 2 of 2,,13,6
28,1,7:45.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by H. Barnes),13,9
29,1,7:26.0,C. Boozer misses 2-pt layup from 2 ft (block by A. Bogut),,13,9
30,1,7:25.0,,Defensive rebound by Team,13,9
31,1,7:17.0,,Offensive foul by K. Thompson (drawn by W. Johnson),13,9
32,1,7:17.0,,Turnover by K. Thompson (offensive foul),13,9
33,1,7:17.0,,L. Barbosa enters the game for K. Thompson,13,9
34,1,7:03.0,K. Bryant misses 2-pt jump shot from 17 ft,,13,9
35,1,7:02.0,,Defensive rebound by D. Green,13,9
36,1,6:52.0,,S. Curry makes 2-pt jump shot from 19 ft,13,11
37,1,6:32.0,Shooting foul by A. Bogut (drawn by W. Johnson),,13,11
38,1,6:32.0,W. Johnson makes 2-pt layup from 2 ft (assist by J. Hill),,15,11
39,1,6:32.0,W. Johnson makes free throw 1 of 1,,16,11
40,1,6:24.0,,Personal foul by J. Lin (drawn by S. Curry),16,11
41,1,6:21.0,,S. Curry misses 3-pt jump shot from 25 ft,16,11
42,1,6:19.0,Defensive rebound by Team,,16,11
43,1,6:08.0,Turnover by K. Bryant (lost ball; steal by H. Barnes),,16,11
44,1,6:03.0,,S. Curry misses 2-pt jump shot from 7 ft (block by J. Hill),16,11
45,1,6:03.0,,Offensive rebound by Team,16,11
46,1,5:54.0,,L. Barbosa misses 2-pt jump shot from 17 ft,16,11
47,1,5:52.0,,Offensive rebound by A. Bogut,16,11
48,1,5:52.0,,A. Bogut makes 2-pt layup at rim,16,13
49,1,5:29.0,K. Bryant misses 2-pt jump shot from 13 ft,,16,13
50,1,5:28.0,Offensive rebound by Team,,16,13
51,1,5:27.0,,Golden State full timeout,16,13
52,1,5:25.0,J. Lin misses 2-pt jump shot from 13 ft,,16,13
53,1,5:24.0,,Defensive rebound by A. Bogut,16,13
54,1,5:12.0,Violation by W. Johnson (kicked ball),,16,13
55,1,5:02.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by L. Barbosa),16,16
56,1,4:48.0,K. Bryant makes 2-pt jump shot from 20 ft,,18,16
57,1,4:40.0,,Shooting foul by J. Hill (drawn by S. Curry),18,16
58,1,4:40.0,,S. Curry makes free throw 1 of 2,18,17
59,1,4:40.0,,A. Iguodala enters the game for H. Barnes,18,17
60,1,4:40.0,,F. Ezeli enters the game for A. Bogut,18,17
61,1,4:40.0,R. Price enters the game for J. Lin,,18,17
62,1,4:40.0,E. Davis enters the game for C. Boozer,,18,17
63,1,4:40.0,,S. Curry makes free throw 2 of 2,18,18
64,1,4:25.0,K. Bryant makes 2-pt jump shot from 17 ft,,20,18
65,1,4:13.0,,D. Green misses 2-pt jump shot from 9 ft,20,18
66,1,4:11.0,Defensive rebound by K. Bryant,,20,18
67,1,4:00.0,J. Hill makes 2-pt dunk at rim (assist by E. Davis),,22,18
68,1,3:46.0,,S. Curry makes 2-pt jump shot from 18 ft (assist by L. Barbosa),22,20
69,1,3:27.0,Turnover by K. Bryant (lost ball; steal by A. Iguodala),,22,20
70,1,3:19.0,,S. Curry makes 2-pt jump shot from 11 ft,22,22
71,1,3:06.0,Turnover by W. Johnson (step out of bounds),,22,22
72,1,3:06.0,W. Ellington enters the game for K. Bryant,,22,22
73,1,2:50.0,,D. Green misses 2-pt jump shot from 9 ft,22,22
74,1,2:48.0,,Offensive rebound by L. Barbosa,22,22
75,1,2:47.0,,L. Barbosa makes 2-pt layup from 1 ft,22,24
76,1,2:34.0,W. Johnson makes 2-pt jump shot from 21 ft (assist by R. Price),,24,24
77,1,2:28.0,,Turnover by S. Curry (lost ball; steal by R. Price),24,24
78,1,2:16.0,J. Hill makes 2-pt jump shot from 11 ft (assist by R. Price),,26,24
79,1,2:11.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by L. Barbosa),26,27
80,1,1:50.0,E. Davis makes 2-pt hook shot from 7 ft,,28,27
81,1,1:37.0,,A. Iguodala misses 2-pt jump shot from 17 ft,28,27
82,1,1:36.0,,Offensive rebound by F. Ezeli,28,27
83,1,1:25.0,,F. Ezeli makes 2-pt hook shot from 8 ft (assist by A. Iguodala),28,29
84,1,1:06.0,J. Hill makes 2-pt hook shot from 9 ft,,30,29
85,1,0:49.0,,S. Curry misses 3-pt jump shot from 26 ft,30,29
86,1,0:46.0,,Offensive rebound by D. Green,30,29
87,1,0:44.0,,D. Green misses 2-pt layup from 2 ft (block by J. Hill),30,29
88,1,0:43.0,Defensive rebound by W. Johnson,,30,29
89,1,0:40.0,E. Davis makes 2-pt hook shot from 2 ft (assist by W. Ellington),,32,29
90,1,0:40.0,Shooting foul by S. Curry (drawn by E. Davis),,32,29
91,1,0:40.0,LA Lakers full timeout,,32,29
92,1,0:40.0,,M. Speights enters the game for D. Green,32,29
93,1,0:40.0,,S. Livingston enters the game for S. Curry,32,29
94,1,0:40.0,E. Davis makes free throw 1 of 1,,33,29
95,1,0:25.0,,L. Barbosa misses 2-pt jump shot from 16 ft,33,29
96,1,0:23.0,Defensive rebound by W. Ellington,,33,29
97,1,0:02.0,E. Davis misses 2-pt jump shot at rim,,33,29
98,1,0:01.0,Offensive rebound by E. Davis,,33,29
99,1,0:01.0,E. Davis makes 2-pt tip-in at rim,,35,29
100,2,11:50.0,LA Lakers full timeout,,35,29
101,2,11:40.0,R. Price misses 2-pt jump shot from 18 ft,,35,29
102,2,11:38.0,Offensive rebound by R. Sacre,,35,29
