,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:39.0,,D. Howard misses 2-pt hook shot from 6 ft,0,0
1,1,11:37.0,Defensive rebound by R. Gobert,,0,0
2,1,11:16.0,J. Ingles misses 2-pt jump shot from 20 ft,,0,0
3,1,11:15.0,,Defensive rebound by D. Motiejūnas,0,0
4,1,11:05.0,,Turnover by J. Harden (lost ball; steal by J. Ingles),0,0
5,1,10:50.0,Turnover by D. Favors (bad pass; steal by J. Harden),,0,0
6,1,10:46.0,,J. Harden makes 2-pt dunk at rim (assist by P. Beverley),0,2
7,1,10:28.0,G. Hayward makes 2-pt jump shot from 11 ft,,2,2
8,1,10:09.0,,P. Beverley misses 3-pt jump shot from 23 ft,2,2
9,1,10:08.0,Defensive rebound by D. Favors,,2,2
10,1,9:49.0,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),,4,2
11,1,9:38.0,,T. Ariza misses 2-pt jump shot from 20 ft,4,2
12,1,9:35.0,,Offensive rebound by T. Ariza,4,2
13,1,9:30.0,,P. Beverley misses 2-pt jump shot from 20 ft,4,2
14,1,9:29.0,,Offensive rebound by D. Motiejūnas,4,2
15,1,9:25.0,,D. Motiejūnas makes 2-pt hook shot from 9 ft,4,4
16,1,8:56.0,J. Ingles misses 2-pt layup from 2 ft,,4,4
17,1,8:54.0,,Defensive rebound by D. Howard,4,4
18,1,8:48.0,,J. Harden misses 3-pt jump shot from 24 ft,4,4
19,1,8:46.0,Defensive rebound by D. Favors,,4,4
20,1,8:32.0,D. Favors makes 2-pt layup from 2 ft (assist by R. Gobert),,6,4
21,1,8:32.0,Shooting foul by J. Harden (drawn by D. Favors),,6,4
22,1,8:32.0,,Violation by J. Harden (lane),6,4
23,1,8:32.0,D. Favors makes free throw 1 of 1,,7,4
24,1,8:13.0,,D. Howard misses 2-pt hook shot from 3 ft,7,4
25,1,8:11.0,Defensive rebound by R. Gobert,,7,4
26,1,8:07.0,Personal foul by P. Beverley (drawn by T. Burke),,7,4
27,1,7:55.0,Turnover by T. Burke (bad pass; steal by P. Beverley),,7,4
28,1,7:52.0,,Shooting foul by D. Favors (drawn by P. Beverley),7,4
