,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,,D. Green makes 2-pt jump shot from 18 ft,0,2
1,1,11:17.0,T. Evans makes 3-pt jump shot from 23 ft (assist by J. Holiday),,3,2
2,1,10:53.0,,T. Duncan misses 2-pt jump shot from 16 ft,3,2
3,1,10:52.0,Defensive rebound by A. Davis,,3,2
4,1,10:36.0,A. Davis misses 2-pt jump shot from 3 ft,,3,2
5,1,10:35.0,,Defensive rebound by K. Leonard,3,2
6,1,10:27.0,,T. Parker makes 2-pt jump shot from 6 ft,3,4
7,1,10:09.0,T. Evans misses 2-pt layup from 3 ft (block by K. Leonard),,3,4
8,1,10:08.0,Offensive rebound by Team,,3,4
9,1,10:05.0,A. Davis makes 2-pt jump shot from 9 ft (assist by T. Evans),,5,4
10,1,9:42.0,,D. Green makes 3-pt jump shot from 26 ft (assist by T. Parker),5,7
11,1,9:26.0,A. Davis makes 2-pt jump shot from 16 ft (assist by E. Gordon),,7,7
12,1,9:11.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),7,10
13,1,8:55.0,A. Davis makes 2-pt jump shot from 8 ft (assist by J. Holiday),,9,10
14,1,8:41.0,,B. Diaw misses 3-pt jump shot from 25 ft,9,10
15,1,8:39.0,Defensive rebound by T. Evans,,9,10
16,1,8:30.0,Ö. Aşık makes 2-pt layup from 1 ft (assist by T. Evans),,11,10
17,1,8:18.0,,T. Parker makes 2-pt jump shot from 15 ft,11,12
18,1,7:59.0,J. Holiday makes 2-pt jump shot from 9 ft,,13,12
19,1,7:47.0,,Turnover by B. Diaw (lost ball; steal by J. Holiday),13,12
20,1,7:42.0,E. Gordon makes 2-pt layup from 2 ft (assist by J. Holiday),,15,12
21,1,7:27.0,,Turnover by T. Parker (lost ball),15,12
22,1,7:17.0,J. Holiday misses 2-pt jump shot from 16 ft,,15,12
23,1,7:16.0,,Defensive rebound by K. Leonard,15,12
24,1,7:03.0,,T. Parker misses 2-pt jump shot from 19 ft,15,12
25,1,7:02.0,Defensive rebound by Ö. Aşık,,15,12
26,1,6:48.0,A. Davis misses 2-pt jump shot from 9 ft (block by B. Diaw),,15,12
27,1,6:47.0,,Defensive rebound by B. Diaw,15,12
28,1,6:42.0,,D. Green misses 3-pt jump shot from 26 ft (block by A. Davis),15,12
29,1,6:40.0,,Offensive rebound by B. Diaw,15,12
