,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:40.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,0,0
1,1,11:39.0,Defensive rebound by D. Favors,,0,0
2,1,11:19.0,E. Freedom misses 2-pt jump shot from 21 ft,,0,0
3,1,11:18.0,,Defensive rebound by D. Nowitzki,0,0
4,1,10:59.0,,C. Parsons misses 2-pt layup from 2 ft,0,0
5,1,10:57.0,Defensive rebound by E. Freedom,,0,0
6,1,10:46.0,Turnover by E. Millsap (bad pass; steal by D. Nowitzki),,0,0
7,1,10:29.0,,M. Ellis misses 2-pt jump shot from 18 ft,0,0
8,1,10:27.0,Defensive rebound by E. Freedom,,0,0
9,1,10:06.0,D. Favors misses 2-pt jump shot from 13 ft,,0,0
10,1,10:05.0,,Defensive rebound by Team,0,0
11,1,9:42.0,,J. Barea misses 3-pt jump shot from 22 ft,0,0
12,1,9:41.0,Defensive rebound by E. Millsap,,0,0
13,1,9:18.0,D. Exum misses 2-pt jump shot from 18 ft,,0,0
14,1,9:17.0,,Defensive rebound by D. Nowitzki,0,0
15,1,9:10.0,,Turnover by J. Barea (lost ball; steal by E. Millsap),0,0
16,1,9:08.0,Turnover by E. Millsap (lost ball; steal by M. Ellis),,0,0
17,1,9:02.0,,C. Parsons misses 2-pt layup from 2 ft,0,0
18,1,8:59.0,Defensive rebound by E. Freedom,,0,0
19,1,8:54.0,,Violation by J. Barea (kicked ball),0,0
20,1,8:38.0,D. Exum misses 3-pt jump shot from 24 ft,,0,0
21,1,8:37.0,,Defensive rebound by J. Barea,0,0
22,1,8:27.0,,J. Barea misses 2-pt layup from 1 ft (block by D. Favors),0,0
23,1,8:25.0,Defensive rebound by G. Hayward,,0,0
24,1,8:20.0,E. Freedom misses 2-pt jump shot from 5 ft,,0,0
25,1,8:17.0,,Defensive rebound by C. Parsons,0,0
26,1,8:05.0,,C. Parsons misses 2-pt jump shot from 16 ft,0,0
27,1,8:04.0,Defensive rebound by E. Millsap,,0,0
28,1,7:47.0,G. Hayward makes 2-pt jump shot from 16 ft,,2,0
29,1,7:30.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by G. Smith),2,2
30,1,7:10.0,Turnover by D. Favors (bad pass),,2,2
31,1,6:47.0,,J. Barea misses 2-pt layup from 1 ft (block by D. Favors),2,2
32,1,6:44.0,Defensive rebound by D. Exum,,2,2
33,1,6:24.0,D. Favors misses 2-pt jump shot from 13 ft,,2,2
34,1,6:23.0,,Defensive rebound by D. Nowitzki,2,2
35,1,6:01.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by J. Barea),2,4
36,1,5:47.0,E. Millsap misses 3-pt jump shot from 25 ft,,2,4
37,1,5:46.0,Offensive rebound by D. Favors,,2,4
38,1,5:43.0,Personal foul by C. Parsons (drawn by G. Hayward),,2,4
39,1,5:43.0,,Dallas full timeout,2,4
40,1,5:43.0,,A. Aminu enters the game for D. Nowitzki,2,4
41,1,5:43.0,,D. Harris enters the game for G. Smith,2,4
42,1,5:43.0,,B. James enters the game for J. Barea,2,4
43,1,5:43.0,T. Burke enters the game for E. Freedom,,2,4
44,1,5:43.0,R. Gobert enters the game for D. Exum,,2,4
45,1,5:30.0,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),,5,4
46,1,5:16.0,,M. Ellis misses 2-pt jump shot from 6 ft,5,4
47,1,5:14.0,Defensive rebound by T. Burke,,5,4
48,1,5:07.0,G. Hayward misses 2-pt jump shot from 11 ft (block by B. James),,5,4
49,1,5:04.0,,Defensive rebound by C. Parsons,5,4
50,1,5:04.0,,Shooting foul by T. Burke (drawn by C. Parsons),5,4
51,1,5:04.0,,C. Parsons makes free throw 1 of 2,5,5
52,1,5:04.0,,C. Parsons makes free throw 2 of 2,5,6
