,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CLEVELAND_ACTION,LA LAKERS_SCORE,CLEVELAND_SCORE
0,1,11:48.0,,J. Smith misses 3-pt jump shot from 24 ft,0,0
1,1,11:47.0,,Offensive rebound by L. James,0,0
2,1,11:42.0,,L. James makes 2-pt jump shot from 7 ft,0,2
3,1,11:28.0,W. Ellington misses 2-pt jump shot from 12 ft,,0,2
4,1,11:27.0,,Defensive rebound by T. Mozgov,0,2
5,1,11:20.0,,K. Love makes 2-pt hook shot from 5 ft (assist by T. Mozgov),0,4
6,1,10:59.0,W. Ellington makes 2-pt jump shot from 12 ft (assist by R. Sacre),,2,4
7,1,10:43.0,,K. Love misses 2-pt jump shot from 16 ft,2,4
8,1,10:41.0,Defensive rebound by T. Black,,2,4
9,1,10:34.0,J. Clarkson makes 2-pt jump shot from 9 ft,,4,4
10,1,10:26.0,,Turnover by K. Irving (bad pass),4,4
11,1,10:10.0,R. Sacre misses 2-pt jump shot from 11 ft,,4,4
12,1,10:08.0,,Defensive rebound by K. Love,4,4
13,1,10:04.0,,Turnover by L. James (bad pass; steal by R. Sacre),4,4
14,1,9:53.0,R. Kelly misses 2-pt jump shot from 8 ft,,4,4
15,1,9:52.0,,Defensive rebound by J. Smith,4,4
16,1,9:45.0,,Personal foul by R. Kelly (drawn by K. Love),4,4
17,1,9:40.0,,Shooting foul by R. Kelly (drawn by K. Love),4,4
18,1,9:40.0,,K. Love misses free throw 1 of 2,4,4
19,1,9:40.0,,Offensive rebound by Team,4,4
20,1,9:40.0,W. Johnson enters the game for R. Kelly,,4,4
21,1,9:40.0,,K. Love makes free throw 2 of 2,4,5
22,1,9:30.0,W. Johnson makes 2-pt jump shot from 17 ft,,6,5
23,1,9:11.0,,K. Love misses 2-pt layup from 1 ft,6,5
24,1,9:10.0,,Offensive rebound by T. Mozgov,6,5
25,1,9:07.0,,T. Mozgov misses 2-pt layup at rim (block by R. Sacre),6,5
26,1,9:05.0,,Offensive rebound by L. James,6,5
27,1,9:04.0,,L. James makes 2-pt hook shot from 7 ft,6,7
28,1,8:44.0,W. Johnson makes 2-pt jump shot from 15 ft,,8,7
29,1,8:44.0,Shooting foul by L. James (drawn by W. Johnson),,8,7
30,1,8:44.0,W. Johnson makes free throw 1 of 1,,9,7
31,1,8:34.0,,L. James makes 2-pt jump shot from 18 ft (assist by K. Love),9,9
32,1,8:22.0,R. Sacre misses 2-pt jump shot from 12 ft,,9,9
33,1,8:21.0,,Defensive rebound by K. Love,9,9
34,1,8:01.0,,K. Love misses 3-pt jump shot from 23 ft,9,9
35,1,7:59.0,Defensive rebound by R. Sacre,,9,9
36,1,7:40.0,W. Johnson misses 2-pt jump shot from 16 ft,,9,9
37,1,7:39.0,,Defensive rebound by T. Mozgov,9,9
38,1,7:31.0,,Turnover by L. James (bad pass; steal by J. Clarkson),9,9
39,1,7:27.0,J. Clarkson makes 2-pt layup at rim,,11,9
40,1,7:17.0,,K. Love makes 2-pt dunk at rim (assist by K. Irving),11,11
41,1,7:03.0,J. Clarkson makes 2-pt layup from 1 ft (assist by R. Sacre),,13,11
42,1,6:44.0,,T. Mozgov misses 2-pt hook shot from 8 ft,13,11
43,1,6:41.0,Defensive rebound by J. Clarkson,,13,11
44,1,6:36.0,J. Clarkson misses 2-pt jump shot from 15 ft,,13,11
45,1,6:34.0,,Defensive rebound by L. James,13,11
46,1,6:30.0,,K. Irving misses 3-pt jump shot from 28 ft,13,11
47,1,6:27.0,,Offensive rebound by T. Mozgov,13,11
48,1,6:26.0,,L. James misses 2-pt layup from 3 ft (block by T. Black),13,11
49,1,6:26.0,Defensive rebound by Team,,13,11
50,1,6:12.0,W. Ellington misses 3-pt jump shot from 25 ft,,13,11
51,1,6:12.0,Offensive rebound by T. Black,,13,11
52,1,6:12.0,T. Black misses 2-pt tip-in from 1 ft,,13,11
53,1,6:10.0,Offensive rebound by R. Sacre,,13,11
54,1,6:07.0,R. Sacre misses 2-pt jump shot from 7 ft,,13,11
55,1,6:06.0,Offensive rebound by J. Clarkson,,13,11
56,1,6:03.0,J. Clarkson misses 2-pt layup from 1 ft,,13,11
57,1,6:02.0,,Defensive rebound by K. Irving,13,11
58,1,6:00.0,,K. Irving makes 2-pt layup at rim,13,13
59,1,6:00.0,,Shooting foul by W. Johnson (drawn by K. Irving),13,13
60,1,6:00.0,,K. Irving makes free throw 1 of 1,13,14
61,1,5:44.0,W. Johnson misses 2-pt jump shot from 17 ft,,13,14
62,1,5:43.0,Offensive rebound by J. Clarkson,,13,14
63,1,5:39.0,W. Johnson makes 2-pt layup at rim (assist by J. Clarkson),,15,14
64,1,5:17.0,,L. James misses 3-pt jump shot from 24 ft,15,14
65,1,5:16.0,Defensive rebound by W. Ellington,,15,14
66,1,5:14.0,Personal foul by K. Irving (drawn by W. Ellington),,15,14
67,1,5:14.0,,Cleveland full timeout,15,14
68,1,5:14.0,C. Boozer enters the game for T. Black,,15,14
