,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:44.0,Turnover by A. Stoudemire (bad pass),,0,0
1,1,11:37.0,,P. Gasol makes 2-pt dunk at rim (assist by J. Butler),0,2
2,1,11:20.0,T. Wear makes 2-pt jump shot from 9 ft,,2,2
3,1,10:58.0,,J. Noah misses 2-pt layup from 2 ft (block by A. Stoudemire),2,2
4,1,10:58.0,,Offensive rebound by Team,2,2
5,1,10:54.0,,P. Gasol misses 2-pt layup from 1 ft (block by A. Stoudemire),2,2
6,1,10:53.0,,Offensive rebound by J. Noah,2,2
7,1,10:53.0,,J. Noah misses 2-pt hook shot from 3 ft,2,2
8,1,10:53.0,,Offensive rebound by Team,2,2
9,1,10:53.0,,Turnover by Team (shot clock),2,2
10,1,10:31.0,T. Hardaway misses 3-pt jump shot from 24 ft,,2,2
11,1,10:30.0,,Defensive rebound by J. Noah,2,2
12,1,10:16.0,,Turnover by K. Hinrich (bad pass; steal by C. Aldrich),2,2
13,1,10:08.0,T. Wear makes 2-pt jump shot from 22 ft (assist by J. Calderón),,4,2
14,1,9:50.0,,K. Hinrich misses 3-pt jump shot from 24 ft,4,2
15,1,9:49.0,Defensive rebound by C. Aldrich,,4,2
16,1,9:43.0,T. Hardaway misses 2-pt layup from 2 ft (block by J. Butler),,4,2
17,1,9:42.0,Offensive rebound by Team,,4,2
18,1,9:29.0,T. Hardaway misses 2-pt jump shot from 16 ft,,4,2
19,1,9:28.0,,Defensive rebound by P. Gasol,4,2
20,1,9:26.0,,Personal foul by T. Wear (drawn by P. Gasol),4,2
21,1,9:11.0,Violation by A. Stoudemire (def goaltending),,4,2
22,1,9:11.0,,P. Gasol makes 2-pt hook shot from 7 ft,4,4
23,1,8:54.0,C. Aldrich makes 2-pt hook shot from 10 ft,,6,4
24,1,8:40.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by P. Gasol),6,7
25,1,8:16.0,A. Stoudemire misses 2-pt jump shot from 11 ft,,6,7
26,1,8:15.0,,Defensive rebound by P. Gasol,6,7
27,1,8:00.0,,J. Butler makes 2-pt jump shot from 17 ft,6,9
28,1,7:43.0,Turnover by A. Stoudemire (lost ball),,6,9
29,1,7:31.0,,Turnover by J. Noah (lost ball; steal by A. Stoudemire),6,9
30,1,7:20.0,Shooting foul by K. Hinrich (drawn by J. Calderón),,6,9
31,1,7:20.0,J. Calderón makes free throw 1 of 2,,7,9
32,1,7:20.0,J. Calderón makes free throw 2 of 2,,8,9
33,1,7:10.0,,Personal foul by T. Hardaway (drawn by J. Butler),8,9
34,1,7:02.0,,M. Dunleavy misses 2-pt jump shot from 8 ft,8,9
35,1,7:01.0,Defensive rebound by A. Stoudemire,,8,9
36,1,6:56.0,T. Wear misses 2-pt jump shot from 21 ft,,8,9
37,1,6:55.0,,Defensive rebound by J. Noah,8,9
38,1,6:44.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by J. Butler),8,11
39,1,6:25.0,Turnover by T. Hardaway (bad pass; steal by J. Butler),,8,11
40,1,6:21.0,,K. Hinrich misses 2-pt layup from 1 ft,8,11
41,1,6:18.0,Defensive rebound by Team,,8,11
42,1,6:03.0,J. Calderón misses 2-pt jump shot from 11 ft,,8,11
43,1,6:03.0,Offensive rebound by Team,,8,11
44,1,6:03.0,,Loose ball foul by M. Dunleavy (drawn by C. Aldrich),8,11
45,1,5:57.0,A. Stoudemire makes 2-pt hook shot from 4 ft (assist by C. Aldrich),,10,11
46,1,5:57.0,Shooting foul by J. Noah (drawn by A. Stoudemire),,10,11
47,1,5:57.0,,Chicago full timeout,10,11
48,1,5:57.0,S. Dalembert enters the game for C. Aldrich,,10,11
49,1,5:57.0,A. Stoudemire misses free throw 1 of 1,,10,11
50,1,5:56.0,Offensive rebound by Team,,10,11
51,1,5:56.0,New York full timeout,,10,11
52,1,5:41.0,A. Stoudemire misses 2-pt hook shot from 4 ft,,10,11
53,1,5:40.0,,Defensive rebound by Team,10,11
54,1,5:23.0,,Shooting foul by S. Dalembert (drawn by J. Noah),10,11
55,1,5:23.0,,J. Noah misses free throw 1 of 2,10,11
56,1,5:23.0,,Offensive rebound by Team,10,11
57,1,5:23.0,,J. Noah misses free throw 2 of 2,10,11
58,1,5:22.0,Defensive rebound by S. Dalembert,,10,11
59,1,5:08.0,Personal foul by J. Noah (drawn by A. Stoudemire),,10,11
60,1,5:08.0,,N. Mirotić enters the game for J. Noah,10,11
61,1,5:03.0,S. Dalembert misses 2-pt jump shot from 8 ft (block by P. Gasol),,10,11
62,1,5:01.0,,Defensive rebound by N. Mirotić,10,11
63,1,4:49.0,,P. Gasol makes 2-pt hook shot from 3 ft (assist by J. Butler),10,13
64,1,4:28.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by A. Stoudemire),,13,13
65,1,4:12.0,,P. Gasol misses 2-pt jump shot from 19 ft,13,13
66,1,4:11.0,Defensive rebound by T. Wear,,13,13
67,1,3:59.0,Turnover by T. Hardaway (bad pass; steal by N. Mirotić),,13,13
68,1,3:56.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by N. Mirotić),13,15
69,1,3:34.0,T. Hardaway makes 2-pt layup from 1 ft,,15,15
70,1,3:14.0,,M. Dunleavy makes 3-pt jump shot from 23 ft (assist by N. Mirotić),15,18
71,1,2:49.0,T. Wear makes 2-pt jump shot from 18 ft,,17,18
72,1,2:37.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by N. Mirotić),17,21
73,1,2:24.0,A. Stoudemire misses 2-pt layup from 3 ft (block by P. Gasol),,17,21
74,1,2:24.0,Offensive rebound by Team,,17,21
75,1,2:24.0,New York full timeout,,17,21
76,1,2:24.0,,T. Snell enters the game for M. Dunleavy,17,21
77,1,2:24.0,,A. Brooks enters the game for K. Hinrich,17,21
78,1,2:24.0,S. Larkin enters the game for J. Calderón,,17,21
79,1,2:24.0,J. Smith enters the game for A. Stoudemire,,17,21
80,1,2:24.0,P. Prigioni enters the game for T. Hardaway,,17,21
81,1,2:23.0,Personal foul by T. Snell (drawn by S. Larkin),,17,21
82,1,2:23.0,S. Larkin misses free throw 1 of 2,,17,21
83,1,2:23.0,Offensive rebound by Team,,17,21
84,1,2:23.0,S. Larkin makes free throw 2 of 2,,18,21
85,1,2:03.0,,A. Brooks makes 3-pt jump shot from 24 ft (assist by J. Butler),18,24
86,1,1:49.0,Turnover by J. Smith (lost ball; steal by N. Mirotić),,18,24
87,1,1:48.0,,Personal foul by S. Dalembert (drawn by N. Mirotić),18,24
