,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,L. Aldridge misses 2-pt jump shot from 13 ft,,0,0
1,1,11:37.0,,Defensive rebound by T. Duncan,0,0
2,1,11:15.0,,D. Green misses 2-pt jump shot from 17 ft,0,0
3,1,11:15.0,,Offensive rebound by Team,0,0
4,1,11:15.0,,Turnover by Team (shot clock),0,0
5,1,10:54.0,A. Crabbe misses 3-pt jump shot from 27 ft,,0,0
6,1,10:52.0,Offensive rebound by L. Aldridge,,0,0
7,1,10:52.0,L. Aldridge makes 2-pt dunk at rim,,2,0
8,1,10:29.0,,T. Duncan makes 2-pt jump shot from 11 ft,2,2
9,1,10:06.0,D. Lillard misses 2-pt jump shot from 12 ft,,2,2
10,1,10:03.0,,Defensive rebound by K. Anderson,2,2
11,1,9:51.0,,D. Green misses 2-pt jump shot from 18 ft,2,2
12,1,9:50.0,,Offensive rebound by D. Green,2,2
13,1,9:37.0,,B. Diaw makes 2-pt layup from 1 ft,2,4
14,1,9:14.0,W. Matthews makes 2-pt hook shot from 5 ft,,4,4
15,1,8:59.0,,T. Duncan makes 2-pt dunk at rim (assist by C. Joseph),4,6
16,1,8:41.0,A. Crabbe misses 3-pt jump shot from 24 ft,,4,6
17,1,8:40.0,,Defensive rebound by B. Diaw,4,6
18,1,8:34.0,,D. Green makes 3-pt jump shot from 23 ft (assist by C. Joseph),4,9
19,1,8:18.0,Offensive foul by L. Aldridge (drawn by C. Joseph),,4,9
20,1,8:18.0,Turnover by L. Aldridge (offensive foul),,4,9
21,1,8:05.0,,Def 3 sec tech foul by A. Crabbe,4,9
22,1,8:05.0,,D. Green makes technical free throw,4,10
23,1,7:57.0,,T. Duncan makes 2-pt jump shot from 13 ft (assist by C. Joseph),4,12
24,1,7:38.0,W. Matthews misses 2-pt layup from 1 ft,,4,12
25,1,7:36.0,Offensive rebound by W. Matthews,,4,12
26,1,7:33.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by J. Freeland),,7,12
27,1,7:14.0,,T. Duncan misses 2-pt layup from 1 ft,7,12
28,1,7:13.0,,Offensive rebound by D. Green,7,12
29,1,7:13.0,,D. Green misses 2-pt tip-in from 1 ft,7,12
30,1,7:11.0,Defensive rebound by L. Aldridge,,7,12
31,1,7:07.0,Turnover by J. Freeland (bad pass; steal by K. Anderson),,7,12
32,1,6:55.0,,C. Joseph makes 2-pt layup from 2 ft,7,14
33,1,6:41.0,Personal foul by B. Diaw (drawn by L. Aldridge),,7,14
34,1,6:41.0,C. Kaman enters the game for J. Freeland,,7,14
35,1,6:41.0,,A. Daye enters the game for K. Anderson,7,14
36,1,6:41.0,,T. Splitter enters the game for T. Duncan,7,14
37,1,6:41.0,,M. Bonner enters the game for B. Diaw,7,14
38,1,6:41.0,,M. Ginóbili enters the game for D. Green,7,14
39,1,6:41.0,,M. Belinelli enters the game for C. Joseph,7,14
40,1,6:31.0,L. Aldridge makes 2-pt jump shot from 15 ft,,9,14
41,1,6:18.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by M. Ginóbili),9,16
42,1,6:01.0,L. Aldridge makes 2-pt layup at rim,,11,16
43,1,5:51.0,,T. Splitter makes 2-pt hook shot from 6 ft,11,18
44,1,5:30.0,Turnover by C. Kaman (traveling),,11,18
45,1,5:30.0,,San Antonio full timeout,11,18
46,1,5:30.0,S. Blake enters the game for A. Crabbe,,11,18
47,1,5:30.0,D. Wright enters the game for W. Matthews,,11,18
48,1,5:18.0,,M. Belinelli misses 3-pt jump shot from 24 ft,11,18
49,1,5:17.0,Defensive rebound by D. Wright,,11,18
50,1,5:02.0,L. Aldridge misses 2-pt jump shot from 14 ft,,11,18
51,1,5:00.0,,Defensive rebound by M. Belinelli,11,18
52,1,4:56.0,,Personal foul by S. Blake (drawn by M. Belinelli),11,18
53,1,4:47.0,,M. Ginóbili makes 2-pt layup from 1 ft,11,20
54,1,4:27.0,D. Lillard makes 2-pt jump shot from 19 ft,,13,20
55,1,4:17.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,13,20
56,1,4:16.0,Defensive rebound by D. Wright,,13,20
57,1,4:08.0,C. Kaman makes 2-pt layup from 1 ft (assist by D. Lillard),,15,20
58,1,3:46.0,,T. Splitter misses 2-pt hook shot from 7 ft,15,20
59,1,3:44.0,Defensive rebound by D. Wright,,15,20
60,1,3:27.0,,Offensive charge foul by D. Lillard (drawn by T. Splitter),15,20
61,1,3:27.0,Turnover by D. Lillard (offensive foul),,15,20
62,1,3:14.0,,Turnover by M. Ginóbili (bad pass; steal by C. Kaman),15,20
63,1,3:08.0,D. Lillard misses 2-pt layup from 2 ft,,15,20
64,1,3:06.0,,Defensive rebound by A. Daye,15,20
65,1,3:01.0,,M. Belinelli misses 2-pt jump shot from 19 ft,15,20
66,1,2:58.0,Defensive rebound by L. Aldridge,,15,20
67,1,2:49.0,S. Blake makes 2-pt jump shot from 16 ft,,17,20
68,1,2:49.0,,San Antonio full timeout,17,20
69,1,2:49.0,Portland full timeout,,17,20
