,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
0,1,11:45.0,Personal foul by M. Miller (drawn by M. Gasol),,0,0
1,1,11:34.0,Turnover by C. Lee (dbl dribble),,0,0
2,1,11:09.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by L. James),0,3
3,1,10:52.0,Turnover by M. Gasol (lost ball),,0,3
4,1,10:38.0,,K. Love makes 2-pt jump shot from 20 ft (assist by M. Miller),0,5
5,1,10:20.0,C. Lee misses 2-pt jump shot from 16 ft,,0,5
6,1,10:20.0,,Defensive rebound by Team,0,5
7,1,10:09.0,,Turnover by K. Irving (bad pass; steal by J. Leuer),0,5
8,1,10:00.0,M. Gasol misses 2-pt jump shot from 19 ft,,0,5
9,1,9:59.0,,Defensive rebound by K. Love,0,5
10,1,9:44.0,Violation by M. Conley (kicked ball),,0,5
11,1,9:36.0,,L. James misses 2-pt jump shot from 16 ft,0,5
12,1,9:35.0,Defensive rebound by M. Conley,,0,5
13,1,9:25.0,M. Gasol makes 2-pt jump shot from 8 ft (assist by M. Conley),,2,5
14,1,9:10.0,,A. Varejão makes 2-pt jump shot from 16 ft (assist by L. James),2,7
15,1,8:50.0,J. Leuer misses 3-pt jump shot from 26 ft,,2,7
16,1,8:49.0,,Defensive rebound by K. Love,2,7
17,1,8:35.0,,A. Varejão misses 2-pt jump shot from 11 ft (block by M. Gasol),2,7
18,1,8:33.0,Defensive rebound by C. Lee,,2,7
19,1,8:29.0,M. Gasol makes 2-pt layup at rim (assist by C. Lee),,4,7
20,1,8:16.0,,Personal foul by M. Gasol (drawn by L. James),4,7
21,1,8:07.0,,K. Irving misses 2-pt jump shot from 11 ft,4,7
22,1,8:04.0,Defensive rebound by C. Lee,,4,7
23,1,7:56.0,C. Lee misses 2-pt jump shot from 6 ft,,4,7
24,1,7:53.0,,Defensive rebound by A. Varejão,4,7
25,1,7:35.0,,Turnover by K. Love (traveling),4,7
26,1,7:18.0,M. Gasol misses 2-pt jump shot from 19 ft,,4,7
27,1,7:17.0,,Defensive rebound by L. James,4,7
28,1,7:08.0,,A. Varejão makes 2-pt layup at rim (assist by L. James),4,9
29,1,6:51.0,T. Prince misses 2-pt jump shot from 17 ft,,4,9
30,1,6:51.0,,Defensive rebound by Team,4,9
31,1,6:51.0,Loose ball foul by M. Gasol (drawn by A. Varejão),,4,9
32,1,6:51.0,K. Koufos enters the game for M. Gasol,,4,9
33,1,6:31.0,,K. Love makes 2-pt jump shot from 12 ft (assist by L. James),4,11
34,1,6:16.0,Turnover by C. Lee (bad pass),,4,11
35,1,6:02.0,,L. James makes 3-pt jump shot from 24 ft (assist by K. Irving),4,14
36,1,6:01.0,Memphis full timeout,,4,14
37,1,5:42.0,J. Leuer misses 2-pt jump shot from 9 ft,,4,14
38,1,5:41.0,,Defensive rebound by A. Varejão,4,14
39,1,5:35.0,,K. Irving makes 2-pt layup at rim,4,16
40,1,5:11.0,M. Conley misses 2-pt jump shot from 17 ft,,4,16
41,1,5:10.0,,Defensive rebound by K. Love,4,16
42,1,5:04.0,,M. Miller misses 3-pt jump shot from 27 ft,4,16
43,1,5:03.0,,Offensive rebound by K. Irving,4,16
44,1,4:58.0,,A. Varejão makes 2-pt layup at rim (assist by M. Miller),4,18
45,1,4:40.0,T. Prince makes 2-pt jump shot from 18 ft (assist by C. Lee),,6,18
46,1,4:23.0,,A. Varejão makes 2-pt layup from 1 ft (assist by L. James),6,20
47,1,4:09.0,M. Conley makes 2-pt jump shot from 6 ft,,8,20
48,1,3:56.0,,K. Irving misses 2-pt jump shot from 12 ft,8,20
49,1,3:55.0,Defensive rebound by K. Koufos,,8,20
50,1,3:41.0,Personal foul by K. Irving (drawn by M. Conley),,8,20
51,1,3:41.0,,D. Waiters enters the game for M. Miller,8,20
52,1,3:41.0,N. Calathes enters the game for C. Lee,,8,20
53,1,3:41.0,Q. Pondexter enters the game for J. Leuer,,8,20
54,1,3:41.0,,M. Dellavedova enters the game for K. Irving,8,20
55,1,3:27.0,M. Conley misses 3-pt jump shot from 27 ft,,8,20
56,1,3:27.0,Offensive rebound by Team,,8,20
57,1,3:27.0,Turnover by Team (shot clock),,8,20
58,1,3:15.0,,K. Love misses 2-pt hook shot from 6 ft,8,20
59,1,3:12.0,Defensive rebound by T. Prince,,8,20
60,1,3:00.0,K. Koufos makes 2-pt jump shot from 6 ft (assist by N. Calathes),,10,20
61,1,2:44.0,,K. Love misses 2-pt jump shot from 4 ft (block by Q. Pondexter),10,20
62,1,2:44.0,,Offensive rebound by Team,10,20
63,1,2:44.0,,Cleveland full timeout,10,20
64,1,2:44.0,,T. Thompson enters the game for A. Varejão,10,20
65,1,2:41.0,,K. Love makes 2-pt jump shot from 15 ft (assist by L. James),10,22
66,1,2:26.0,K. Koufos makes 2-pt layup at rim (assist by N. Calathes),,12,22
67,1,2:02.0,,Turnover by K. Love (bad pass),12,22
68,1,2:02.0,,S. Marion enters the game for K. Love,12,22
69,1,1:41.0,M. Conley makes 2-pt layup at rim,,14,22
70,1,1:41.0,Shooting foul by T. Thompson (drawn by M. Conley),,14,22
71,1,1:41.0,J. Leuer enters the game for T. Prince,,14,22
72,1,1:41.0,M. Conley makes free throw 1 of 1,,15,22
73,1,1:22.0,V. Carter enters the game for M. Conley,,15,22
74,1,1:15.0,,L. James misses 2-pt jump shot from 18 ft,15,22
75,1,1:13.0,,Offensive rebound by M. Dellavedova,15,22
76,1,1:04.0,,L. James misses 3-pt jump shot from 23 ft,15,22
77,1,1:03.0,Defensive rebound by Team,,15,22
78,1,1:03.0,,Loose ball foul by T. Thompson (drawn by V. Carter),15,22
79,1,1:03.0,V. Carter makes free throw 1 of 2,,16,22
80,1,1:03.0,,A. Varejão enters the game for T. Thompson,16,22
81,1,1:03.0,V. Carter makes free throw 2 of 2,,17,22
82,1,0:49.0,,Turnover by L. James (bad pass),17,22
83,1,0:26.0,N. Calathes makes 2-pt hook shot from 6 ft,,19,22
84,1,0:03.0,,Turnover by L. James (bad pass; steal by J. Leuer),19,22
85,2,11:43.0,,S. Marion misses 2-pt jump shot from 7 ft,19,22
86,2,11:42.0,Defensive rebound by V. Carter,,19,22
87,2,11:28.0,J. Leuer misses 3-pt jump shot from 24 ft,,19,22
88,2,11:27.0,,Defensive rebound by M. Dellavedova,19,22
89,2,11:22.0,,Turnover by S. Marion (bad pass; steal by V. Carter),19,22
90,2,11:12.0,Turnover by N. Calathes (lost ball),,19,22
