,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:42.0,D. Cousins misses 2-pt jump shot from 20 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Lillard,0,0
2,1,11:30.0,,Turnover by W. Matthews (bad pass),0,0
3,1,11:16.0,J. Thompson makes 2-pt jump shot from 15 ft,,2,0
4,1,10:59.0,,L. Aldridge misses 2-pt jump shot from 21 ft,2,0
5,1,10:57.0,Defensive rebound by J. Thompson,,2,0
6,1,10:47.0,R. Gay misses 3-pt jump shot from 26 ft,,2,0
7,1,10:47.0,,Defensive rebound by L. Aldridge,2,0
8,1,10:35.0,,C. Kaman makes 2-pt layup from 2 ft (assist by N. Batum),2,2
9,1,10:19.0,Turnover by J. Thompson (bad pass; steal by L. Aldridge),,2,2
10,1,10:14.0,,N. Batum makes 2-pt layup from 1 ft (assist by L. Aldridge),2,4
11,1,9:53.0,D. Cousins misses 2-pt jump shot from 7 ft,,2,4
12,1,9:53.0,,Defensive rebound by N. Batum,2,4
13,1,9:51.0,,Turnover by N. Batum (bad pass; steal by B. McLemore),2,4
14,1,9:41.0,D. Collison misses 2-pt layup from 3 ft,,2,4
15,1,9:40.0,,Defensive rebound by D. Lillard,2,4
16,1,9:33.0,,W. Matthews misses 3-pt jump shot from 24 ft,2,4
17,1,9:32.0,Defensive rebound by D. Cousins,,2,4
18,1,9:30.0,Turnover by D. Cousins (bad pass; steal by D. Lillard),,2,4
19,1,9:23.0,,L. Aldridge makes 3-pt jump shot from 22 ft (assist by D. Lillard),2,7
20,1,9:12.0,Sacramento full timeout,,2,7
21,1,9:03.0,R. Gay makes 2-pt jump shot from 8 ft,,4,7
22,1,8:47.0,,Turnover by L. Aldridge (lost ball; steal by R. Gay),4,7
23,1,8:40.0,D. Collison makes 3-pt jump shot from 22 ft (assist by B. McLemore),,7,7
24,1,8:17.0,,C. Kaman misses 2-pt layup from 1 ft,7,7
25,1,8:15.0,Defensive rebound by D. Cousins,,7,7
26,1,8:09.0,B. McLemore makes 3-pt jump shot from 22 ft (assist by D. Collison),,10,7
27,1,7:55.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Lillard),10,10
28,1,7:32.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by D. Collison),,12,10
29,1,7:20.0,,D. Lillard misses 2-pt jump shot from 3 ft,12,10
30,1,7:18.0,Defensive rebound by D. Cousins,,12,10
31,1,7:12.0,D. Cousins misses 2-pt layup at rim,,12,10
32,1,7:10.0,Offensive rebound by D. Collison,,12,10
33,1,7:03.0,D. Cousins makes 2-pt hook shot from 3 ft (assist by D. Collison),,14,10
34,1,6:51.0,,Personal foul by R. Gay (drawn by C. Kaman),14,10
35,1,6:44.0,,W. Matthews makes 2-pt layup from 1 ft (assist by D. Lillard),14,12
36,1,6:19.0,R. Gay makes 2-pt jump shot from 12 ft,,16,12
37,1,6:02.0,,D. Lillard misses 2-pt jump shot from 20 ft,16,12
38,1,6:01.0,Defensive rebound by B. McLemore,,16,12
39,1,5:52.0,J. Thompson misses 2-pt jump shot from 17 ft,,16,12
40,1,5:52.0,,M. Leonard enters the game for C. Kaman,16,12
41,1,5:52.0,,C. McCollum enters the game for W. Matthews,16,12
42,1,5:51.0,,Defensive rebound by Team,16,12
43,1,5:39.0,,Turnover by M. Leonard (offensive foul),16,12
44,1,5:39.0,,Offensive foul by M. Leonard (drawn by D. Cousins),16,12
45,1,5:20.0,D. Cousins makes 2-pt layup from 1 ft,,18,12
46,1,5:01.0,,N. Batum misses 2-pt layup at rim,18,12
47,1,5:00.0,Defensive rebound by J. Thompson,,18,12
48,1,4:52.0,R. Gay makes 2-pt jump shot from 14 ft,,20,12
49,1,4:50.0,,Portland full timeout,20,12
50,1,4:35.0,,Turnover by N. Batum (bad pass; steal by B. McLemore),20,12
51,1,4:31.0,Shooting foul by N. Batum (drawn by R. Gay),,20,12
52,1,4:31.0,,Technical foul by N. Batum,20,12
