,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,D. Williams misses 2-pt jump shot from 17 ft,,0,0
1,1,11:42.0,,Defensive rebound by Ö. Aşık,0,0
2,1,11:26.0,,Shooting foul by M. Plumlee (drawn by Ö. Aşık),0,0
3,1,11:26.0,,Ö. Aşık makes free throw 1 of 2,0,1
4,1,11:26.0,,Ö. Aşık makes free throw 2 of 2,0,2
5,1,11:06.0,J. Johnson misses 2-pt jump shot from 9 ft,,0,2
6,1,11:04.0,Offensive rebound by M. Brown,,0,2
7,1,11:04.0,M. Brown makes 2-pt layup from 1 ft,,2,2
8,1,10:48.0,,D. Cunningham makes 2-pt jump shot from 18 ft (assist by E. Gordon),2,4
9,1,10:32.0,D. Williams misses 2-pt jump shot from 19 ft,,2,4
10,1,10:31.0,,Defensive rebound by Q. Pondexter,2,4
11,1,10:14.0,,E. Gordon misses 3-pt jump shot from 25 ft,2,4
12,1,10:13.0,Defensive rebound by M. Plumlee,,2,4
13,1,10:05.0,Personal foul by E. Gordon (drawn by J. Johnson),,2,4
14,1,9:51.0,M. Plumlee misses 2-pt layup from 1 ft (block by Ö. Aşık),,2,4
15,1,9:49.0,,Defensive rebound by Q. Pondexter,2,4
16,1,9:39.0,,E. Gordon misses 2-pt layup from 2 ft,2,4
17,1,9:36.0,,Offensive rebound by Ö. Aşık,2,4
18,1,9:36.0,,Ö. Aşık makes 2-pt tip-in at rim,2,6
19,1,9:23.0,A. Anderson misses 3-pt jump shot from 26 ft,,2,6
20,1,9:22.0,,Defensive rebound by Ö. Aşık,2,6
21,1,9:11.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by T. Evans),2,8
22,1,8:59.0,Brooklyn full timeout,,2,8
23,1,8:47.0,Turnover by M. Brown (bad pass; steal by E. Gordon),,2,8
24,1,8:43.0,,E. Gordon misses 2-pt layup from 2 ft,2,8
25,1,8:40.0,Defensive rebound by D. Williams,,2,8
26,1,8:35.0,J. Johnson makes 2-pt jump shot from 15 ft (assist by A. Anderson),,4,8
27,1,8:19.0,,Turnover by Ö. Aşık (traveling),4,8
28,1,8:06.0,M. Brown misses 2-pt jump shot from 14 ft,,4,8
29,1,8:05.0,Offensive rebound by Team,,4,8
30,1,7:58.0,A. Anderson misses 3-pt jump shot from 23 ft,,4,8
31,1,7:57.0,,Defensive rebound by E. Gordon,4,8
32,1,7:49.0,,Q. Pondexter misses 3-pt jump shot from 24 ft,4,8
33,1,7:48.0,,Offensive rebound by Ö. Aşık,4,8
34,1,7:44.0,,Turnover by E. Gordon (bad pass; steal by J. Johnson),4,8
