,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:47.0,,K. Faried misses 2-pt jump shot from 4 ft,0,0
1,1,11:45.0,,Offensive rebound by T. Mozgov,0,0
2,1,11:41.0,,T. Mozgov makes 2-pt dunk at rim,0,2
3,1,11:19.0,R. Price makes 3-pt jump shot from 23 ft (assist by W. Johnson),,3,2
4,1,11:05.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by A. Afflalo),3,5
5,1,10:41.0,E. Davis makes 2-pt layup from 1 ft (assist by K. Bryant),,5,5
6,1,10:21.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by T. Lawson),5,7
7,1,10:04.0,Turnover by K. Bryant (bad pass; steal by T. Lawson),,5,7
8,1,9:58.0,,Turnover by A. Afflalo (bad pass; steal by R. Price),5,7
9,1,9:53.0,R. Price makes 2-pt layup from 1 ft (assist by K. Bryant),,7,7
10,1,9:38.0,,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),7,10
11,1,9:23.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by K. Bryant),,10,10
12,1,9:06.0,,A. Afflalo makes 2-pt jump shot from 17 ft (assist by T. Lawson),10,12
13,1,8:42.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by E. Davis),,13,12
14,1,8:24.0,,K. Faried misses 2-pt jump shot from 17 ft,13,12
15,1,8:23.0,,Offensive rebound by T. Mozgov,13,12
16,1,8:20.0,,T. Mozgov misses 2-pt hook shot from 3 ft,13,12
17,1,8:18.0,Defensive rebound by K. Bryant,,13,12
18,1,8:00.0,J. Hill makes 2-pt layup from 1 ft (assist by R. Price),,15,12
19,1,7:57.0,,Denver full timeout,15,12
20,1,7:40.0,,W. Chandler misses 3-pt jump shot from 26 ft,15,12
21,1,7:39.0,Defensive rebound by K. Bryant,,15,12
22,1,7:31.0,J. Hill makes 2-pt hook shot from 5 ft (assist by K. Bryant),,17,12
23,1,7:15.0,,T. Lawson makes 2-pt jump shot from 13 ft,17,14
24,1,6:55.0,Personal foul by K. Faried (drawn by E. Davis),,17,14
25,1,6:49.0,W. Johnson misses 3-pt jump shot from 26 ft,,17,14
26,1,6:47.0,,Defensive rebound by T. Mozgov,17,14
27,1,6:35.0,,A. Afflalo misses 2-pt jump shot from 20 ft,17,14
28,1,6:33.0,Defensive rebound by W. Johnson,,17,14
29,1,6:24.0,K. Bryant makes 2-pt jump shot from 14 ft,,19,14
30,1,6:08.0,,A. Afflalo misses 3-pt jump shot from 24 ft,19,14
31,1,6:06.0,Defensive rebound by K. Bryant,,19,14
32,1,6:01.0,K. Bryant makes 3-pt jump shot from 24 ft,,22,14
33,1,5:38.0,,A. Afflalo misses 3-pt jump shot from 25 ft,22,14
34,1,5:37.0,,Offensive rebound by K. Faried,22,14
35,1,5:35.0,,K. Faried misses 2-pt layup at rim,22,14
36,1,5:34.0,,Offensive rebound by K. Faried,22,14
37,1,5:32.0,,T. Mozgov misses 2-pt jump shot from 3 ft (block by J. Hill),22,14
38,1,5:31.0,,Offensive rebound by T. Mozgov,22,14
39,1,5:30.0,,Shooting foul by J. Hill (drawn by T. Mozgov),22,14
40,1,5:30.0,,T. Mozgov makes free throw 1 of 2,22,15
41,1,5:30.0,,T. Mozgov misses free throw 2 of 2,22,15
42,1,5:28.0,Defensive rebound by K. Bryant,,22,15
43,1,5:20.0,Personal foul by T. Lawson (drawn by R. Price),,22,15
44,1,5:17.0,Personal foul by K. Faried (drawn by W. Johnson),,22,15
45,1,5:17.0,,J. Hickson enters the game for K. Faried,22,15
46,1,5:05.0,K. Bryant makes 3-pt jump shot from 25 ft,,25,15
47,1,4:54.0,,Personal foul by E. Davis (drawn by T. Lawson),25,15
48,1,4:54.0,,T. Lawson makes free throw 1 of 2,25,16
49,1,4:54.0,C. Boozer enters the game for E. Davis,,25,16
50,1,4:54.0,,T. Lawson makes free throw 2 of 2,25,17
51,1,4:34.0,J. Hill makes 2-pt layup from 2 ft,,27,17
52,1,4:18.0,,Turnover by T. Lawson (bad pass; steal by C. Boozer),27,17
53,1,4:13.0,W. Johnson makes 2-pt dunk at rim (assist by R. Price),,29,17
54,1,3:50.0,,W. Chandler makes 2-pt jump shot from 21 ft,29,19
55,1,3:25.0,J. Hill misses 2-pt jump shot from 13 ft,,29,19
56,1,3:24.0,,Defensive rebound by J. Hickson,29,19
57,1,3:13.0,,A. Afflalo misses 3-pt jump shot from 25 ft,29,19
58,1,3:12.0,Defensive rebound by C. Boozer,,29,19
59,1,2:58.0,J. Hill misses 2-pt jump shot from 17 ft,,29,19
60,1,2:56.0,,Defensive rebound by W. Chandler,29,19
61,1,2:49.0,,Shooting foul by J. Hill (drawn by W. Chandler),29,19
62,1,2:49.0,LA Lakers full timeout,,29,19
63,1,2:49.0,J. Lin enters the game for W. Johnson,,29,19
64,1,2:49.0,N. Young enters the game for J. Hill,,29,19
65,1,2:49.0,R. Sacre enters the game for K. Bryant,,29,19
66,1,2:49.0,W. Ellington enters the game for R. Price,,29,19
67,1,2:49.0,,J. Nurkić enters the game for T. Mozgov,29,19
68,1,2:49.0,,G. Harris enters the game for A. Afflalo,29,19
