,QUARTER,TIME_REMAINING,HOUSTON_ACTION,WASHINGTON_ACTION,HOUSTON_SCORE,WASHINGTON_SCORE
0,1,11:37.0,,N. Hilário misses 2-pt jump shot from 7 ft,0,0
1,1,11:36.0,,Offensive rebound by M. Gortat,0,0
2,1,11:33.0,,M. Gortat misses 2-pt layup from 1 ft,0,0
3,1,11:32.0,Defensive rebound by D. Howard,,0,0
4,1,11:18.0,T. Ariza misses 3-pt jump shot from 23 ft,,0,0
5,1,11:17.0,,Defensive rebound by J. Wall,0,0
6,1,11:11.0,,B. Beal misses 3-pt jump shot from 23 ft,0,0
7,1,11:08.0,Defensive rebound by D. Howard,,0,0
8,1,10:56.0,Turnover by J. Smith (lost ball; steal by N. Hilário),,0,0
9,1,10:51.0,,B. Beal makes 2-pt layup at rim (assist by J. Wall),0,2
10,1,10:32.0,Personal foul by B. Beal (drawn by J. Harden),,0,2
11,1,10:24.0,Turnover by T. Ariza (dbl dribble),,0,2
12,1,10:18.0,,Turnover by J. Wall (bad pass; steal by T. Ariza),0,2
13,1,9:59.0,J. Smith makes 2-pt hook shot from 8 ft,,2,2
14,1,9:36.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),2,4
15,1,9:21.0,Turnover by J. Smith (bad pass; steal by M. Gortat),,2,4
16,1,9:13.0,,Personal foul by D. Howard (drawn by J. Wall),2,4
17,1,9:13.0,Houston full timeout,,2,4
18,1,9:13.0,,J. Wall makes free throw 1 of 2,2,5
19,1,9:13.0,,J. Wall makes free throw 2 of 2,2,6
20,1,8:49.0,Turnover by T. Ariza (bad pass; steal by N. Hilário),,2,6
21,1,8:39.0,,P. Pierce misses 3-pt jump shot from 24 ft,2,6
22,1,8:38.0,Defensive rebound by J. Smith,,2,6
23,1,8:30.0,Turnover by J. Smith (lost ball; steal by N. Hilário),,2,6
24,1,8:13.0,,Shooting foul by D. Howard (drawn by N. Hilário),2,6
25,1,8:13.0,,N. Hilário misses free throw 1 of 2,2,6
26,1,8:13.0,,Offensive rebound by Team,2,6
27,1,8:13.0,J. Dorsey enters the game for D. Howard,,2,6
28,1,8:13.0,,N. Hilário misses free throw 2 of 2,2,6
29,1,8:12.0,Defensive rebound by J. Harden,,2,6
30,1,8:06.0,Turnover by T. Ariza (lost ball; steal by J. Wall),,2,6
31,1,8:00.0,,J. Wall misses 2-pt layup from 1 ft,2,6
32,1,7:58.0,Defensive rebound by J. Smith,,2,6
33,1,7:36.0,J. Smith makes 3-pt jump shot from 23 ft (assist by J. Harden),,5,6
34,1,7:23.0,,M. Gortat misses 2-pt jump shot from 15 ft,5,6
35,1,7:22.0,Defensive rebound by J. Smith,,5,6
36,1,7:15.0,T. Ariza misses 3-pt jump shot from 26 ft,,5,6
37,1,7:13.0,Offensive rebound by J. Smith,,5,6
38,1,7:08.0,Turnover by T. Ariza (bad pass; steal by P. Pierce),,5,6
39,1,7:08.0,,Shooting foul by J. Terry (drawn by B. Beal),5,6
40,1,7:08.0,,B. Beal makes free throw 1 of 2,5,7
41,1,7:08.0,,B. Beal makes free throw 2 of 2,5,8
42,1,6:53.0,J. Smith makes 2-pt jump shot from 7 ft (assist by J. Terry),,7,8
43,1,6:40.0,,N. Hilário misses 2-pt jump shot from 17 ft,7,8
44,1,6:39.0,,Offensive rebound by M. Gortat,7,8
45,1,6:36.0,,M. Gortat misses 2-pt jump shot from 3 ft,7,8
46,1,6:35.0,Defensive rebound by J. Smith,,7,8
47,1,6:25.0,J. Smith misses 2-pt jump shot from 4 ft,,7,8
48,1,6:24.0,,Defensive rebound by N. Hilário,7,8
49,1,6:19.0,,J. Wall misses 2-pt layup at rim,7,8
50,1,6:17.0,Defensive rebound by T. Ariza,,7,8
51,1,6:14.0,Shooting foul by N. Hilário (drawn by J. Harden),,7,8
52,1,6:14.0,J. Harden makes free throw 1 of 2,,8,8
53,1,6:14.0,J. Harden misses free throw 2 of 2,,8,8
54,1,6:13.0,,Defensive rebound by M. Gortat,8,8
55,1,6:03.0,,Turnover by B. Beal (bad pass; steal by J. Dorsey),8,8
56,1,6:01.0,Turnover by J. Harden (traveling),,8,8
57,1,5:47.0,,J. Wall misses 2-pt jump shot from 14 ft,8,8
58,1,5:46.0,,Offensive rebound by J. Wall,8,8
59,1,5:34.0,,J. Wall makes 2-pt jump shot from 17 ft,8,10
60,1,5:19.0,J. Dorsey makes 2-pt layup from 1 ft (assist by J. Terry),,10,10
61,1,5:03.0,,Turnover by B. Beal (bad pass; steal by T. Ariza),10,10
62,1,4:58.0,J. Smith makes 2-pt jump shot from 3 ft,,12,10
63,1,4:44.0,,N. Hilário makes 2-pt layup from 1 ft (assist by J. Wall),12,12
64,1,4:44.0,,Shooting foul by J. Dorsey (drawn by N. Hilário),12,12
65,1,4:44.0,C. Brewer enters the game for T. Ariza,,12,12
66,1,4:44.0,P. Prigioni enters the game for J. Terry,,12,12
67,1,4:44.0,,N. Hilário makes free throw 1 of 1,12,13
68,1,4:26.0,J. Smith makes 3-pt jump shot from 26 ft (assist by J. Harden),,15,13
69,1,4:16.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),15,15
70,1,4:05.0,J. Harden misses 2-pt layup from 2 ft,,15,15
71,1,4:04.0,,Defensive rebound by N. Hilário,15,15
72,1,4:00.0,,M. Gortat misses 2-pt layup at rim (block by C. Brewer),15,15
73,1,3:55.0,Defensive rebound by P. Prigioni,,15,15
74,1,3:50.0,J. Dorsey makes 2-pt jump shot from 3 ft (assist by C. Brewer),,17,15
75,1,3:26.0,,B. Beal misses 2-pt jump shot from 16 ft,17,15
76,1,3:25.0,Defensive rebound by J. Dorsey,,17,15
77,1,3:16.0,Shooting foul by M. Gortat (drawn by J. Harden),,17,15
78,1,3:16.0,J. Harden makes free throw 1 of 2,,18,15
79,1,3:16.0,,M. Webster enters the game for B. Beal,18,15
80,1,3:16.0,J. Harden makes free throw 2 of 2,,19,15
81,1,3:01.0,,J. Wall misses 2-pt jump shot from 15 ft,19,15
82,1,3:00.0,Defensive rebound by J. Dorsey,,19,15
83,1,2:52.0,J. Harden misses 3-pt jump shot from 27 ft,,19,15
84,1,2:51.0,Offensive rebound by C. Brewer,,19,15
