,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
0,1,11:36.0,J. Valančiūnas misses 2-pt jump shot from 3 ft,,0,0
1,1,11:35.0,,Defensive rebound by D. Jordan,0,0
2,1,11:33.0,,Turnover by D. Jordan (lost ball; steal by J. Johnson),0,0
3,1,11:29.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Johnson),,3,0
4,1,11:14.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),3,3
5,1,10:48.0,K. Lowry misses 2-pt jump shot from 9 ft,,3,3
6,1,10:48.0,Offensive rebound by J. Valančiūnas,,3,3
7,1,10:48.0,Turnover by Team (shot clock),,3,3
8,1,10:36.0,,J. Redick misses 2-pt jump shot from 18 ft,3,3
9,1,10:34.0,Defensive rebound by J. Johnson,,3,3
10,1,10:22.0,T. Ross misses 3-pt jump shot from 25 ft,,3,3
11,1,10:21.0,Offensive rebound by A. Johnson,,3,3
12,1,10:17.0,T. Ross misses 2-pt layup from 2 ft,,3,3
13,1,10:16.0,Offensive rebound by J. Valančiūnas,,3,3
14,1,10:16.0,Shooting foul by C. Paul (drawn by J. Valančiūnas),,3,3
15,1,10:16.0,J. Valančiūnas makes free throw 1 of 2,,4,3
16,1,10:16.0,J. Valančiūnas misses free throw 2 of 2,,4,3
17,1,10:15.0,,Defensive rebound by B. Griffin,4,3
18,1,10:00.0,,C. Paul misses 2-pt jump shot from 15 ft,4,3
19,1,9:59.0,,Offensive rebound by D. Jordan,4,3
20,1,9:59.0,,D. Jordan misses 2-pt tip-in from 1 ft,4,3
21,1,9:58.0,Defensive rebound by J. Johnson,,4,3
22,1,9:44.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,4,3
23,1,9:42.0,,Defensive rebound by J. Redick,4,3
24,1,9:28.0,,Personal foul by A. Johnson (drawn by C. Paul),4,3
25,1,9:23.0,,B. Griffin misses 2-pt hook shot from 9 ft,4,3
26,1,9:22.0,Defensive rebound by J. Valančiūnas,,4,3
27,1,9:06.0,T. Ross misses 2-pt jump shot from 3 ft (block by D. Jordan),,4,3
28,1,9:04.0,,Defensive rebound by B. Griffin,4,3
29,1,9:00.0,,J. Redick misses 3-pt jump shot from 26 ft,4,3
30,1,8:58.0,Defensive rebound by A. Johnson,,4,3
31,1,8:42.0,J. Johnson makes 2-pt jump shot from 12 ft (assist by K. Lowry),,6,3
32,1,8:27.0,,B. Griffin makes 2-pt jump shot from 19 ft,6,5
33,1,8:13.0,J. Valančiūnas misses 2-pt dunk at rim (block by B. Griffin),,6,5
34,1,8:11.0,Offensive rebound by J. Valančiūnas,,6,5
35,1,8:09.0,J. Valančiūnas makes 2-pt layup from 1 ft,,8,5
36,1,8:00.0,,C. Paul misses 2-pt jump shot from 17 ft,8,5
37,1,7:59.0,Defensive rebound by A. Johnson,,8,5
38,1,7:54.0,K. Lowry misses 3-pt jump shot from 26 ft,,8,5
39,1,7:51.0,,Defensive rebound by D. Jordan,8,5
40,1,7:41.0,,C. Paul misses 2-pt jump shot from 13 ft,8,5
41,1,7:40.0,Defensive rebound by J. Valančiūnas,,8,5
42,1,7:31.0,Offensive foul by J. Johnson (drawn by M. Barnes),,8,5
43,1,7:31.0,Turnover by J. Johnson (offensive foul),,8,5
44,1,7:12.0,,J. Redick misses 3-pt jump shot from 26 ft,8,5
45,1,7:11.0,Defensive rebound by A. Johnson,,8,5
46,1,6:57.0,T. Ross misses 3-pt jump shot from 26 ft,,8,5
47,1,6:55.0,,Defensive rebound by D. Jordan,8,5
48,1,6:47.0,,C. Paul misses 3-pt jump shot from 26 ft,8,5
49,1,6:45.0,Defensive rebound by K. Lowry,,8,5
50,1,6:36.0,Turnover by A. Johnson (bad pass),,8,5
51,1,6:16.0,,B. Griffin makes 2-pt jump shot from 19 ft,8,7
52,1,6:03.0,Personal foul by M. Barnes (drawn by K. Lowry),,8,7
53,1,5:50.0,Turnover by A. Johnson (lost ball; steal by B. Griffin),,8,7
