,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
0,1,11:37.0,,Turnover by D. Wade (traveling),0,0
1,1,11:23.0,,Violation by H. Whiteside (def goaltending),0,0
2,1,11:23.0,T. Evans makes 2-pt jump shot from 11 ft,,2,0
3,1,11:04.0,,D. Wade misses 3-pt jump shot from 24 ft,2,0
4,1,11:03.0,Defensive rebound by A. Davis,,2,0
5,1,10:43.0,A. Davis misses 2-pt jump shot from 18 ft,,2,0
6,1,10:42.0,,Defensive rebound by H. Whiteside,2,0
7,1,10:24.0,,U. Haslem misses 3-pt jump shot from 23 ft,2,0
8,1,10:23.0,,Offensive rebound by G. Dragić,2,0
9,1,10:22.0,,Personal foul by T. Evans (drawn by G. Dragić),2,0
10,1,10:14.0,,G. Dragić misses 2-pt jump shot from 17 ft,2,0
11,1,10:13.0,Defensive rebound by T. Evans,,2,0
12,1,10:07.0,E. Gordon misses 3-pt jump shot from 25 ft,,2,0
13,1,10:06.0,,Defensive rebound by U. Haslem,2,0
14,1,9:50.0,,L. Deng misses 2-pt jump shot from 12 ft (block by Q. Pondexter),2,0
15,1,9:49.0,Defensive rebound by Q. Pondexter,,2,0
16,1,9:34.0,E. Gordon misses 2-pt jump shot from 11 ft,,2,0
17,1,9:33.0,,Defensive rebound by H. Whiteside,2,0
18,1,9:22.0,,H. Whiteside misses 2-pt dunk at rim,2,0
19,1,9:21.0,Defensive rebound by T. Evans,,2,0
20,1,9:19.0,Turnover by T. Evans (bad pass),,2,0
21,1,9:10.0,,Turnover by L. Deng (step out of bounds),2,0
22,1,8:53.0,Ö. Aşık misses 2-pt layup from 2 ft (block by H. Whiteside),,2,0
23,1,8:52.0,,Defensive rebound by D. Wade,2,0
24,1,8:43.0,,H. Whiteside makes 2-pt hook shot from 7 ft (assist by D. Wade),2,2
25,1,8:28.0,Ö. Aşık makes 2-pt layup from 1 ft (assist by T. Evans),,4,2
26,1,8:13.0,,D. Wade misses 2-pt jump shot from 19 ft,4,2
27,1,8:12.0,Defensive rebound by A. Davis,,4,2
28,1,8:03.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by T. Evans),,7,2
29,1,7:50.0,,Shooting foul by T. Evans (drawn by D. Wade),7,2
30,1,7:50.0,,D. Wade makes free throw 1 of 2,7,3
31,1,7:50.0,,D. Wade misses free throw 2 of 2,7,3
32,1,7:48.0,Defensive rebound by Ö. Aşık,,7,3
33,1,7:32.0,N. Cole enters the game for T. Evans,,7,3
34,1,7:30.0,Shooting foul by H. Whiteside (drawn by A. Davis),,7,3
35,1,7:30.0,A. Davis makes 2-pt jump shot from 10 ft (assist by Ö. Aşık),,9,3
36,1,7:30.0,A. Davis makes free throw 1 of 1,,10,3
37,1,7:16.0,,D. Wade makes 2-pt layup from 1 ft,10,5
38,1,7:02.0,A. Davis misses 2-pt jump shot from 18 ft,,10,5
39,1,7:00.0,Offensive rebound by E. Gordon,,10,5
40,1,6:50.0,Ö. Aşık makes 2-pt layup at rim (assist by E. Gordon),,12,5
41,1,6:30.0,,D. Wade misses 2-pt layup from 1 ft,12,5
42,1,6:29.0,Defensive rebound by Ö. Aşık,,12,5
43,1,6:23.0,Q. Pondexter misses 3-pt jump shot from 24 ft,,12,5
44,1,6:22.0,,Defensive rebound by H. Whiteside,12,5
45,1,6:07.0,,L. Deng misses 2-pt jump shot from 16 ft,12,5
46,1,6:06.0,Defensive rebound by Team,,12,5
47,1,6:06.0,,M. Chalmers enters the game for L. Deng,12,5
48,1,5:49.0,A. Davis misses 2-pt jump shot from 15 ft,,12,5
49,1,5:48.0,Offensive rebound by Team,,12,5
50,1,5:48.0,,Miami full timeout,12,5
51,1,5:39.0,Personal foul by G. Dragić (drawn by A. Davis),,12,5
52,1,5:33.0,Def 3 sec tech foul by H. Whiteside,,12,5
53,1,5:33.0,A. Davis makes technical free throw,,13,5
54,1,5:24.0,Turnover by A. Davis (bad pass),,13,5
55,1,5:03.0,,H. Whiteside misses 2-pt hook shot from 9 ft,13,5
56,1,5:02.0,Defensive rebound by A. Davis,,13,5
57,1,4:52.0,A. Davis makes 2-pt jump shot from 4 ft (assist by N. Cole),,15,5
58,1,4:36.0,,G. Dragić misses 2-pt jump shot from 6 ft,15,5
59,1,4:35.0,Defensive rebound by A. Davis,,15,5
60,1,4:35.0,Personal foul by G. Dragić (drawn by A. Davis),,15,5
61,1,4:35.0,R. Anderson enters the game for Ö. Aşık,,15,5
62,1,4:35.0,,S. Napier enters the game for G. Dragić,15,5
63,1,4:35.0,,J. Ennis enters the game for D. Wade,15,5
64,1,4:35.0,,L. Deng enters the game for U. Haslem,15,5
65,1,4:35.0,D. Cunningham enters the game for Q. Pondexter,,15,5
66,1,4:21.0,A. Davis misses 2-pt jump shot from 19 ft,,15,5
67,1,4:20.0,,Defensive rebound by J. Ennis,15,5
