,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,J. Green misses 2-pt jump shot from 12 ft,0,0
1,1,11:32.0,Defensive rebound by D. Gooden,,0,0
2,1,11:16.0,O. Porter misses 3-pt jump shot from 25 ft,,0,0
3,1,11:16.0,Offensive rebound by B. Beal,,0,0
4,1,11:05.0,M. Gortat misses 2-pt jump shot from 8 ft,,0,0
5,1,11:03.0,,Defensive rebound by J. Green,0,0
6,1,10:56.0,,Shooting foul by B. Beal (drawn by M. Conley),0,0
7,1,10:56.0,,M. Conley makes free throw 1 of 2,0,1
8,1,10:56.0,,M. Conley makes free throw 2 of 2,0,2
9,1,10:38.0,J. Wall makes 3-pt jump shot from 23 ft (assist by M. Gortat),,3,2
10,1,10:19.0,,M. Conley misses 2-pt jump shot from 14 ft,3,2
11,1,10:17.0,Defensive rebound by M. Gortat,,3,2
12,1,10:09.0,D. Gooden makes 2-pt layup at rim,,5,2
13,1,10:00.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),5,4
14,1,9:43.0,D. Gooden makes 3-pt jump shot from 25 ft (assist by J. Wall),,8,4
15,1,9:21.0,,M. Conley makes 2-pt jump shot from 8 ft,8,6
16,1,9:09.0,B. Beal makes 2-pt jump shot from 15 ft (assist by J. Wall),,10,6
17,1,8:52.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),10,8
18,1,8:25.0,J. Wall misses 2-pt jump shot from 3 ft (block by M. Conley),,10,8
19,1,8:25.0,Offensive rebound by Team,,10,8
20,1,8:25.0,Turnover by Team (shot clock),,10,8
21,1,8:13.0,,Turnover by Z. Randolph (bad pass; steal by M. Gortat),10,8
22,1,8:00.0,B. Beal makes 2-pt dunk at rim (assist by D. Gooden),,12,8
23,1,7:59.0,,Memphis full timeout,12,8
24,1,7:46.0,,C. Lee makes 2-pt jump shot from 16 ft (assist by J. Green),12,10
25,1,7:21.0,O. Porter misses 2-pt jump shot from 17 ft,,12,10
26,1,7:18.0,,Defensive rebound by M. Gasol,12,10
27,1,7:04.0,,Personal foul by O. Porter (drawn by M. Gasol),12,10
28,1,6:55.0,,Shooting foul by O. Porter (drawn by J. Green),12,10
29,1,6:55.0,,J. Green makes free throw 1 of 2,12,11
30,1,6:55.0,R. Butler enters the game for O. Porter,,12,11
31,1,6:55.0,,J. Green makes free throw 2 of 2,12,12
32,1,6:45.0,J. Wall misses 2-pt layup from 1 ft,,12,12
33,1,6:44.0,,Defensive rebound by Z. Randolph,12,12
34,1,6:24.0,,J. Green misses 2-pt jump shot from 20 ft,12,12
35,1,6:22.0,Defensive rebound by J. Wall,,12,12
36,1,6:17.0,Personal foul by C. Lee (drawn by B. Beal),,12,12
37,1,6:02.0,R. Butler makes 2-pt jump shot from 20 ft,,14,12
38,1,5:44.0,,M. Gasol misses 2-pt jump shot from 12 ft,14,12
39,1,5:41.0,Defensive rebound by J. Wall,,14,12
40,1,5:37.0,R. Butler makes 2-pt jump shot from 7 ft (assist by J. Wall),,16,12
41,1,5:11.0,,C. Lee makes 2-pt jump shot from 14 ft (assist by M. Conley),16,14
42,1,5:01.0,B. Beal misses 2-pt jump shot from 14 ft,,16,14
43,1,5:00.0,,Defensive rebound by M. Gasol,16,14
44,1,4:53.0,,M. Conley misses 2-pt jump shot from 9 ft,16,14
45,1,4:52.0,Defensive rebound by B. Beal,,16,14
46,1,4:40.0,J. Wall makes 2-pt jump shot from 11 ft,,18,14
47,1,4:26.0,,Turnover by Z. Randolph (offensive foul),18,14
48,1,4:26.0,,Offensive foul by Z. Randolph (drawn by D. Gooden),18,14
49,1,4:26.0,,K. Koufos enters the game for M. Gasol,18,14
50,1,4:26.0,,N. Calathes enters the game for J. Green,18,14
51,1,4:26.0,R. Sessions enters the game for B. Beal,,18,14
52,1,4:09.0,R. Sessions misses 2-pt jump shot from 7 ft,,18,14
53,1,4:08.0,,Defensive rebound by Z. Randolph,18,14
54,1,3:53.0,,N. Calathes makes 2-pt jump shot from 3 ft (assist by M. Conley),18,16
55,1,3:37.0,Turnover by J. Wall (bad pass),,18,16
56,1,3:27.0,,M. Conley misses 3-pt jump shot from 26 ft,18,16
57,1,3:25.0,Defensive rebound by J. Wall,,18,16
58,1,3:06.0,Shooting foul by N. Calathes (drawn by M. Gortat),,18,16
59,1,3:06.0,M. Gortat makes free throw 1 of 2,,19,16
60,1,3:06.0,K. Humphries enters the game for D. Gooden,,19,16
61,1,3:06.0,M. Gortat makes free throw 2 of 2,,20,16
62,1,2:52.0,,K. Koufos makes 2-pt layup at rim (assist by M. Conley),20,18
63,1,2:36.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,22,18
64,1,2:21.0,,N. Calathes misses 2-pt jump shot from 20 ft,22,18
65,1,2:20.0,Defensive rebound by R. Sessions,,22,18
66,1,2:13.0,J. Wall misses 2-pt jump shot from 19 ft,,22,18
67,1,2:11.0,,Defensive rebound by Z. Randolph,22,18
68,1,2:04.0,,Offensive foul by K. Koufos (drawn by M. Gortat),22,18
69,1,2:04.0,,Turnover by K. Koufos (offensive foul),22,18
70,1,2:04.0,Washington full timeout,,22,18
71,1,2:04.0,,V. Carter enters the game for C. Lee,22,18
72,1,1:55.0,Turnover by R. Butler (step out of bounds),,22,18
73,1,1:49.0,,Personal foul by R. Butler (drawn by V. Carter),22,18
74,1,1:38.0,,Z. Randolph misses 2-pt jump shot from 14 ft,22,18
75,1,1:37.0,Defensive rebound by J. Wall,,22,18
76,1,1:32.0,J. Wall makes 2-pt layup at rim,,24,18
77,1,1:19.0,,M. Conley misses 2-pt layup from 1 ft,24,18
78,1,1:18.0,Defensive rebound by M. Gortat,,24,18
79,1,1:12.0,R. Sessions makes 2-pt layup at rim (assist by J. Wall),,26,18
80,1,0:52.0,,V. Carter misses 2-pt jump shot from 20 ft,26,18
81,1,0:51.0,,Offensive rebound by K. Koufos,26,18
82,1,0:46.0,,Turnover by K. Koufos (bad pass; steal by R. Sessions),26,18
83,1,0:39.0,Turnover by J. Wall (traveling),,26,18
84,1,0:39.0,,J. Green enters the game for Z. Randolph,26,18
85,1,0:26.0,,K. Koufos misses 2-pt hook shot from 12 ft,26,18
86,1,0:25.0,Defensive rebound by M. Gortat,,26,18
87,1,0:01.0,R. Butler makes 3-pt jump shot from 25 ft (assist by J. Wall),,29,18
88,1,0:00.0,,J. Green misses 3-pt jump shot from 50 ft,29,18
89,1,0:00.0,,Offensive rebound by Team,29,18
90,2,11:43.0,B. Beal misses 2-pt jump shot from 17 ft,,29,18
91,2,11:42.0,,Defensive rebound by Team,29,18
92,2,11:27.0,,N. Calathes misses 3-pt jump shot from 24 ft,29,18
93,2,11:26.0,Defensive rebound by R. Butler,,29,18
94,2,11:13.0,R. Sessions misses 2-pt jump shot from 12 ft,,29,18
95,2,11:11.0,,Defensive rebound by B. Udrih,29,18
96,2,10:51.0,,V. Carter misses 2-pt jump shot from 9 ft,29,18
97,2,10:49.0,Defensive rebound by R. Butler,,29,18
98,2,10:44.0,R. Sessions misses 2-pt layup at rim,,29,18
99,2,10:43.0,,Defensive rebound by K. Koufos,29,18
100,2,10:38.0,,N. Calathes misses 2-pt jump shot from 9 ft,29,18
101,2,10:36.0,Defensive rebound by B. Beal,,29,18
102,2,10:18.0,R. Butler misses 2-pt jump shot from 16 ft,,29,18
103,2,10:15.0,,Defensive rebound by N. Calathes,29,18
104,2,10:01.0,,K. Koufos makes 2-pt dunk at rim (assist by B. Udrih),29,20
105,2,10:01.0,,Shooting foul by R. Butler (drawn by K. Koufos),29,20
