,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
0,1,11:49.0,K. Thompson misses 2-pt layup from 2 ft (block by J. Johnson),,0,0
1,1,11:47.0,,Defensive rebound by K. Lowry,0,0
2,1,11:31.0,,P. Patterson misses 2-pt jump shot from 3 ft,0,0
3,1,11:30.0,Defensive rebound by D. Green,,0,0
4,1,11:20.0,H. Barnes misses 3-pt jump shot from 22 ft,,0,0
5,1,11:19.0,Offensive rebound by S. Curry,,0,0
6,1,11:15.0,S. Curry makes 2-pt jump shot from 5 ft,,2,0
7,1,10:58.0,,K. Lowry misses 2-pt jump shot from 15 ft,2,0
8,1,10:57.0,Defensive rebound by A. Bogut,,2,0
9,1,10:53.0,Shooting foul by J. Johnson (drawn by S. Curry),,2,0
10,1,10:53.0,S. Curry makes free throw 1 of 2,,3,0
11,1,10:53.0,S. Curry makes free throw 2 of 2,,4,0
12,1,10:30.0,,J. Johnson makes 2-pt jump shot from 16 ft,4,2
13,1,10:18.0,D. Green misses 2-pt jump shot from 6 ft,,4,2
14,1,10:17.0,,Defensive rebound by D. DeRozan,4,2
15,1,10:09.0,,K. Lowry misses 2-pt jump shot from 13 ft,4,2
16,1,10:08.0,Defensive rebound by H. Barnes,,4,2
17,1,10:03.0,S. Curry makes 2-pt layup from 1 ft (assist by K. Thompson),,6,2
18,1,9:45.0,,D. DeRozan misses 2-pt jump shot from 11 ft,6,2
19,1,9:44.0,Defensive rebound by A. Bogut,,6,2
20,1,9:38.0,K. Thompson misses 2-pt layup from 1 ft,,6,2
21,1,9:37.0,,Defensive rebound by J. Valančiūnas,6,2
22,1,9:26.0,,Turnover by K. Lowry (lost ball; steal by D. Green),6,2
23,1,9:22.0,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),,8,2
24,1,9:03.0,,D. DeRozan misses 2-pt jump shot from 7 ft,8,2
25,1,9:02.0,Defensive rebound by H. Barnes,,8,2
26,1,8:52.0,K. Thompson misses 3-pt jump shot from 25 ft,,8,2
27,1,8:51.0,,Defensive rebound by J. Valančiūnas,8,2
28,1,8:41.0,,Turnover by P. Patterson (lost ball),8,2
29,1,8:33.0,Turnover by A. Bogut (lost ball),,8,2
30,1,8:17.0,,Turnover by J. Valančiūnas (lost ball; steal by A. Bogut),8,2
31,1,8:00.0,S. Curry misses 2-pt jump shot from 19 ft,,8,2
32,1,7:59.0,,Defensive rebound by J. Johnson,8,2
33,1,7:44.0,,D. DeRozan misses 2-pt jump shot from 16 ft (block by D. Green),8,2
34,1,7:42.0,Defensive rebound by A. Bogut,,8,2
35,1,7:28.0,S. Curry misses 2-pt layup from 2 ft,,8,2
36,1,7:25.0,,Defensive rebound by J. Valančiūnas,8,2
37,1,7:21.0,,Shooting block foul by A. Bogut (drawn by K. Lowry),8,2
38,1,7:21.0,,K. Lowry makes free throw 1 of 2,8,3
39,1,7:21.0,,K. Lowry makes free throw 2 of 2,8,4
40,1,7:03.0,H. Barnes misses 2-pt jump shot from 7 ft,,8,4
41,1,7:02.0,,Defensive rebound by K. Lowry,8,4
42,1,6:50.0,,D. DeRozan misses 2-pt layup from 2 ft,8,4
43,1,6:49.0,Defensive rebound by D. Green,,8,4
44,1,6:39.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Thompson),,11,4
45,1,6:22.0,,Turnover by J. Johnson (lost ball),11,4
46,1,6:10.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Thompson),,14,4
47,1,6:03.0,,Toronto full timeout,14,4
48,1,5:47.0,,K. Lowry misses 3-pt jump shot from 24 ft,14,4
49,1,5:46.0,,Offensive rebound by J. Valančiūnas,14,4
50,1,5:44.0,,Shooting foul by K. Thompson (drawn by J. Valančiūnas),14,4
51,1,5:44.0,,J. Valančiūnas misses free throw 1 of 2,14,4
52,1,5:44.0,,Offensive rebound by Team,14,4
53,1,5:44.0,,J. Valančiūnas makes free throw 2 of 2,14,5
54,1,5:34.0,Turnover by S. Curry (bad pass; steal by J. Valančiūnas),,14,5
55,1,5:23.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by D. Green),14,5
56,1,5:23.0,Defensive rebound by A. Bogut,,14,5
57,1,5:18.0,Turnover by A. Bogut (bad pass; steal by J. Johnson),,14,5
58,1,5:08.0,,D. DeRozan misses 2-pt layup from 2 ft,14,5
59,1,5:07.0,Defensive rebound by A. Bogut,,14,5
60,1,4:59.0,K. Thompson misses 3-pt jump shot from 26 ft,,14,5
61,1,4:58.0,,Defensive rebound by J. Valančiūnas,14,5
62,1,4:47.0,,D. DeRozan misses 2-pt jump shot from 19 ft,14,5
63,1,4:46.0,Defensive rebound by A. Bogut,,14,5
64,1,4:42.0,Shooting foul by D. DeRozan (drawn by D. Green),,14,5
65,1,4:42.0,D. Green makes free throw 1 of 2,,15,5
66,1,4:42.0,F. Ezeli enters the game for A. Bogut,,15,5
67,1,4:42.0,,A. Johnson enters the game for J. Valančiūnas,15,5
68,1,4:42.0,,L. Williams enters the game for J. Johnson,15,5
69,1,4:42.0,D. Green makes free throw 2 of 2,,16,5
70,1,4:32.0,,K. Lowry misses 3-pt jump shot from 26 ft,16,5
71,1,4:31.0,Defensive rebound by S. Curry,,16,5
72,1,4:13.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),,19,5
73,1,3:54.0,,Personal foul by H. Barnes (drawn by D. DeRozan),19,5
74,1,3:54.0,J. Holiday enters the game for H. Barnes,,19,5
75,1,3:51.0,,Offensive foul by A. Johnson (drawn by J. Holiday),19,5
76,1,3:51.0,,Turnover by A. Johnson (offensive foul),19,5
77,1,3:39.0,D. Green misses 3-pt jump shot from 25 ft,,19,5
78,1,3:38.0,Offensive rebound by S. Curry,,19,5
79,1,3:35.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),,22,5
80,1,3:27.0,,Turnover by L. Williams (bad pass),22,5
81,1,3:16.0,K. Thompson misses 3-pt jump shot from 26 ft,,22,5
82,1,3:15.0,,Defensive rebound by Team,22,5
83,1,2:50.0,,K. Lowry misses 3-pt jump shot from 23 ft,22,5
84,1,2:49.0,,Offensive rebound by D. DeRozan,22,5
85,1,2:39.0,,Shooting foul by J. Holiday (drawn by D. DeRozan),22,5
86,1,2:39.0,Golden State full timeout,,22,5
87,1,2:39.0,L. Barbosa enters the game for K. Thompson,,22,5
88,1,2:39.0,,J. Valančiūnas enters the game for P. Patterson,22,5
89,1,2:39.0,,G. Vásquez enters the game for K. Lowry,22,5
90,1,2:39.0,,D. DeRozan makes free throw 1 of 2,22,6
91,1,2:39.0,,D. DeRozan makes free throw 2 of 2,22,7
92,1,2:25.0,F. Ezeli misses 2-pt jump shot from 5 ft,,22,7
93,1,2:24.0,,Defensive rebound by L. Williams,22,7
94,1,2:19.0,,Shooting foul by L. Barbosa (drawn by G. Vásquez),22,7
95,1,2:19.0,,L. Williams makes free throw 1 of 3,22,8
96,1,2:19.0,,L. Williams makes free throw 2 of 3,22,9
97,1,2:19.0,Technical foul by D. Green,,22,9
98,1,2:19.0,,L. Williams makes technical free throw,22,10
99,1,2:19.0,,L. Williams makes free throw 3 of 3,22,11
100,1,2:08.0,S. Curry misses 2-pt jump shot from 20 ft,,22,11
101,1,2:07.0,Offensive rebound by D. Green,,22,11
102,1,1:58.0,J. Holiday misses 2-pt jump shot from 14 ft,,22,11
103,1,1:57.0,,Defensive rebound by A. Johnson,22,11
104,1,1:48.0,,D. DeRozan misses 2-pt jump shot from 3 ft,22,11
105,1,1:47.0,Defensive rebound by J. Holiday,,22,11
106,1,1:40.0,Personal foul by G. Vásquez (drawn by S. Curry),,22,11
107,1,1:40.0,,T. Ross enters the game for D. DeRozan,22,11
108,1,1:29.0,Shooting foul by A. Johnson (drawn by L. Barbosa),,22,11
109,1,1:29.0,L. Barbosa makes free throw 1 of 2,,23,11
110,1,1:29.0,L. Barbosa makes free throw 2 of 2,,24,11
111,1,1:18.0,,L. Williams misses 3-pt jump shot from 25 ft,24,11
112,1,1:17.0,Defensive rebound by D. Green,,24,11
113,1,1:08.0,S. Curry makes 3-pt jump shot from 25 ft,,27,11
114,1,0:52.0,,G. Vásquez misses 2-pt hook shot from 4 ft,27,11
115,1,0:51.0,Defensive rebound by D. Green,,27,11
116,1,0:46.0,,Offensive charge foul by J. Holiday (drawn by L. Williams),27,11
117,1,0:46.0,Turnover by J. Holiday (offensive foul),,27,11
118,1,0:46.0,D. Lee enters the game for D. Green,,27,11
119,1,0:32.0,,A. Johnson misses 2-pt hook shot from 6 ft,27,11
120,1,0:31.0,Defensive rebound by D. Lee,,27,11
121,1,0:25.0,L. Barbosa misses 2-pt layup from 2 ft,,27,11
122,1,0:24.0,,Defensive rebound by A. Johnson,27,11
123,1,0:00.0,,G. Vásquez misses 3-pt jump shot from 23 ft,27,11
124,1,0:00.0,,Offensive rebound by Team,27,11
125,2,11:49.0,,Turnover by G. Vásquez (bad pass; steal by J. Holiday),27,11
126,2,11:45.0,L. Barbosa misses 2-pt layup from 3 ft,,27,11
127,2,11:44.0,,Defensive rebound by T. Ross,27,11
128,2,11:33.0,,L. Williams misses 2-pt jump shot from 16 ft,27,11
129,2,11:32.0,Defensive rebound by M. Speights,,27,11
130,2,11:13.0,S. Livingston misses 2-pt jump shot from 11 ft,,27,11
131,2,11:12.0,,Defensive rebound by A. Johnson,27,11
132,2,11:00.0,,A. Johnson makes 2-pt layup from 2 ft (assist by G. Vásquez),27,13
133,2,10:55.0,Golden State full timeout,,27,13
134,2,10:47.0,J. Holiday misses 2-pt jump shot from 19 ft,,27,13
135,2,10:46.0,,Defensive rebound by L. Williams,27,13
136,2,10:30.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by G. Vásquez),27,15
137,2,10:09.0,J. Holiday misses 3-pt jump shot from 25 ft,,27,15
138,2,10:08.0,,Defensive rebound by L. Williams,27,15
139,2,10:00.0,,A. Johnson makes 2-pt dunk at rim (assist by G. Vásquez),27,17
140,2,9:40.0,J. Holiday misses 3-pt jump shot from 25 ft,,27,17
141,2,9:39.0,,Defensive rebound by Team,27,17
142,2,9:39.0,,Personal foul by M. Speights (drawn by J. Valančiūnas),27,17
143,2,9:39.0,H. Barnes enters the game for L. Barbosa,,27,17
144,2,9:39.0,K. Thompson enters the game for J. Holiday,,27,17
145,2,9:27.0,,Turnover by J. Valančiūnas (lost ball; steal by D. Lee),27,17
146,2,9:21.0,M. Speights makes 2-pt jump shot from 16 ft (assist by H. Barnes),,29,17
147,2,9:04.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,29,17
148,2,9:03.0,,Offensive rebound by J. Valančiūnas,29,17
149,2,9:02.0,,Shooting foul by D. Lee (drawn by J. Valančiūnas),29,17
150,2,9:02.0,,J. Valančiūnas misses free throw 1 of 2,29,17
151,2,9:02.0,,Offensive rebound by Team,29,17
152,2,9:02.0,,J. Valančiūnas misses free throw 2 of 2,29,17
153,2,9:01.0,Defensive rebound by M. Speights,,29,17
154,2,8:44.0,K. Thompson misses 2-pt jump shot from 10 ft,,29,17
155,2,8:43.0,Offensive rebound by D. Lee,,29,17
156,2,8:41.0,D. Lee makes 2-pt tip-in from 2 ft,,31,17
157,2,8:38.0,,Shooting foul by S. Livingston (drawn by L. Williams),31,17
158,2,8:38.0,,L. Williams makes free throw 1 of 2,31,18
159,2,8:38.0,,L. Williams misses free throw 2 of 2,31,18
160,2,8:37.0,Defensive rebound by H. Barnes,,31,18
161,2,8:28.0,M. Speights makes 2-pt jump shot from 17 ft (assist by S. Livingston),,33,18
162,2,8:09.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Johnson),33,21
163,2,7:55.0,M. Speights makes 2-pt jump shot from 19 ft (assist by S. Livingston),,35,21
164,2,7:38.0,Violation by M. Speights (def goaltending),,35,21
165,2,7:38.0,,T. Ross makes 2-pt layup from 4 ft (assist by G. Vásquez),35,23
166,2,7:18.0,Shooting foul by L. Williams (drawn by S. Livingston),,35,23
167,2,7:18.0,S. Livingston misses free throw 1 of 2,,35,23
168,2,7:18.0,Offensive rebound by Team,,35,23
169,2,7:18.0,,P. Patterson enters the game for J. Valančiūnas,35,23
170,2,7:18.0,S. Livingston makes free throw 2 of 2,,36,23
171,2,7:07.0,Offensive charge foul by T. Ross (drawn by M. Speights),,36,23
172,2,7:07.0,,Turnover by T. Ross (offensive foul),36,23
173,2,7:07.0,D. Green enters the game for D. Lee,,36,23
174,2,6:51.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Livingston),,38,23
175,2,6:28.0,,L. Williams misses 3-pt jump shot from 26 ft,38,23
176,2,6:27.0,Defensive rebound by M. Speights,,38,23
177,2,6:17.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Livingston),,41,23
178,2,6:09.0,,Toronto full timeout,41,23
179,2,6:09.0,,K. Lowry enters the game for L. Williams,41,23
180,2,6:09.0,,D. DeRozan enters the game for G. Vásquez,41,23
181,2,6:00.0,,T. Ross misses 2-pt jump shot from 5 ft,41,23
182,2,5:59.0,Defensive rebound by D. Green,,41,23
183,2,5:42.0,S. Livingston makes 2-pt hook shot from 6 ft (assist by M. Speights),,43,23
184,2,5:25.0,,D. DeRozan misses 2-pt jump shot from 18 ft,43,23
185,2,5:24.0,Defensive rebound by D. Green,,43,23
186,2,5:10.0,K. Thompson makes 2-pt jump shot from 13 ft,,45,23
187,2,4:48.0,Offensive charge foul by D. DeRozan (drawn by M. Speights),,45,23
188,2,4:48.0,,Turnover by D. DeRozan (offensive foul),45,23
189,2,4:28.0,K. Thompson misses 2-pt layup from 3 ft,,45,23
190,2,4:27.0,,Defensive rebound by A. Johnson,45,23
191,2,4:12.0,,T. Ross misses 3-pt jump shot from 23 ft,45,23
192,2,4:11.0,,Offensive rebound by P. Patterson,45,23
193,2,3:54.0,,K. Lowry makes 2-pt jump shot from 20 ft,45,25
194,2,3:48.0,Shooting foul by P. Patterson (drawn by M. Speights),,45,25
195,2,3:48.0,M. Speights makes free throw 1 of 2,,46,25
196,2,3:48.0,,J. Johnson enters the game for A. Johnson,46,25
197,2,3:48.0,,J. Valančiūnas enters the game for P. Patterson,46,25
198,2,3:48.0,S. Curry enters the game for S. Livingston,,46,25
199,2,3:48.0,M. Speights makes free throw 2 of 2,,47,25
200,2,3:28.0,,T. Ross misses 2-pt jump shot from 21 ft,47,25
201,2,3:27.0,Defensive rebound by K. Thompson,,47,25
202,2,3:18.0,M. Speights misses 2-pt jump shot from 19 ft,,47,25
203,2,3:17.0,Offensive rebound by S. Curry,,47,25
204,2,3:12.0,S. Curry makes 2-pt jump shot from 14 ft,,49,25
205,2,2:58.0,,D. DeRozan misses 2-pt jump shot from 11 ft,49,25
206,2,2:57.0,,Offensive rebound by J. Valančiūnas,49,25
207,2,2:57.0,,Shooting foul by D. Green (drawn by J. Valančiūnas),49,25
208,2,2:57.0,Official timeout,,49,25
209,2,2:57.0,,G. Vásquez enters the game for T. Ross,49,25
210,2,2:57.0,A. Bogut enters the game for M. Speights,,49,25
211,2,2:57.0,,J. Valančiūnas makes free throw 1 of 2,49,26
212,2,2:57.0,,J. Valančiūnas makes free throw 2 of 2,49,27
213,2,2:41.0,K. Thompson makes 2-pt jump shot from 23 ft (assist by S. Curry),,51,27
214,2,2:21.0,,J. Johnson misses 3-pt jump shot from 24 ft,51,27
215,2,2:20.0,Defensive rebound by A. Bogut,,51,27
216,2,2:09.0,Personal foul by K. Lowry (drawn by D. Green),,51,27
217,2,2:05.0,A. Bogut misses 2-pt dunk at rim,,51,27
218,2,2:03.0,,Defensive rebound by G. Vásquez,51,27
219,2,1:59.0,,Turnover by G. Vásquez (bad pass; steal by K. Thompson),51,27
