,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
125,2,8:23.0,,B. Roberts misses 3-pt jump shot from 25 ft,42,24
126,2,8:22.0,,Offensive rebound by Team,42,24
127,2,8:14.0,,B. Biyombo makes 2-pt dunk at rim (assist by L. Stephenson),42,26
128,2,8:14.0,,Shooting foul by D. Gooden (drawn by B. Biyombo),42,26
129,2,8:14.0,,B. Biyombo misses free throw 1 of 1,42,26
130,2,8:12.0,Defensive rebound by D. Gooden,,42,26
131,2,7:58.0,R. Sessions misses 2-pt jump shot from 6 ft,,42,26
132,2,7:57.0,,Defensive rebound by M. Kidd-Gilchrist,42,26
133,2,7:45.0,,L. Stephenson makes 2-pt jump shot from 13 ft,42,28
134,2,7:25.0,O. Porter misses 3-pt jump shot from 25 ft,,42,28
135,2,7:24.0,,Defensive rebound by M. Williams,42,28
136,2,7:15.0,,L. Stephenson misses 2-pt jump shot from 6 ft,42,28
137,2,7:14.0,,Offensive rebound by B. Biyombo,42,28
138,2,7:09.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by L. Stephenson),42,31
139,2,7:04.0,Washington full timeout,,42,31
140,2,7:04.0,M. Gortat enters the game for D. Gooden,,42,31
141,2,7:04.0,N. Hilário enters the game for O. Porter,,42,31
142,2,7:04.0,J. Wall enters the game for K. Séraphin,,42,31
143,2,7:04.0,B. Beal enters the game for R. Sessions,,42,31
144,2,7:04.0,,G. Henderson enters the game for M. Kidd-Gilchrist,42,31
145,2,7:04.0,,A. Jefferson enters the game for M. Williams,42,31
146,2,7:04.0,,J. Maxiell enters the game for B. Biyombo,42,31
147,2,6:47.0,B. Beal makes 2-pt jump shot from 17 ft,,44,31
148,2,6:24.0,,A. Jefferson makes 2-pt jump shot from 14 ft,44,33
149,2,6:09.0,N. Hilário makes 2-pt jump shot from 17 ft (assist by J. Wall),,46,33
150,2,5:46.0,,B. Roberts misses 2-pt jump shot from 15 ft,46,33
151,2,5:45.0,Defensive rebound by B. Beal,,46,33
152,2,5:32.0,M. Gortat makes 2-pt jump shot from 14 ft (assist by J. Wall),,48,33
153,2,5:12.0,,B. Roberts misses 3-pt jump shot from 24 ft,48,33
154,2,5:11.0,Defensive rebound by B. Beal,,48,33
155,2,5:04.0,Turnover by J. Wall (bad pass),,48,33
156,2,5:04.0,,M. Williams enters the game for B. Roberts,48,33
157,2,4:52.0,,Turnover by L. Stephenson (lost ball; steal by M. Gortat),48,33
158,2,4:50.0,Shooting foul by M. Williams (drawn by G. Temple),,48,33
159,2,4:50.0,G. Temple makes free throw 1 of 2,,49,33
160,2,4:50.0,G. Temple makes free throw 2 of 2,,50,33
161,2,4:39.0,,A. Jefferson misses 2-pt jump shot from 16 ft,50,33
162,2,4:38.0,Defensive rebound by M. Gortat,,50,33
163,2,4:27.0,M. Gortat misses 2-pt jump shot from 8 ft,,50,33
164,2,4:26.0,,Defensive rebound by A. Jefferson,50,33
165,2,4:07.0,,M. Williams misses 3-pt jump shot from 25 ft,50,33
166,2,4:06.0,,Offensive rebound by J. Maxiell,50,33
167,2,3:51.0,,J. Maxiell makes 2-pt jump shot from 15 ft (assist by M. Williams),50,35
168,2,3:34.0,B. Beal makes 2-pt layup from 1 ft,,52,35
169,2,3:15.0,,G. Henderson makes 2-pt jump shot from 14 ft,52,37
170,2,2:51.0,Turnover by J. Wall (lost ball; steal by M. Williams),,52,37
171,2,2:41.0,,M. Williams misses 3-pt jump shot from 23 ft,52,37
172,2,2:40.0,Defensive rebound by B. Beal,,52,37
173,2,2:36.0,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),,54,37
174,2,2:17.0,,M. Williams makes 2-pt layup at rim (assist by L. Stephenson),54,39
175,2,1:50.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,56,39
176,2,1:31.0,,Shooting foul by J. Wall (drawn by M. Williams),56,39
177,2,1:31.0,,Charlotte full timeout,56,39
178,2,1:31.0,D. Blair enters the game for N. Hilário,,56,39
179,2,1:31.0,,M. Williams misses free throw 1 of 2,56,39
180,2,1:31.0,,Offensive rebound by Team,56,39
181,2,1:31.0,,M. Williams makes free throw 2 of 2,56,40
182,2,1:15.0,B. Beal misses 3-pt jump shot from 23 ft,,56,40
183,2,1:13.0,Offensive rebound by Team,,56,40
184,2,1:00.0,Turnover by G. Temple (bad pass; steal by L. Stephenson),,56,40
185,2,0:53.0,,Shooting foul by M. Gortat (drawn by L. Stephenson),56,40
186,2,0:53.0,,L. Stephenson makes free throw 1 of 2,56,41
187,2,0:53.0,,L. Stephenson makes free throw 2 of 2,56,42
188,2,0:41.0,B. Beal misses 2-pt jump shot from 15 ft,,56,42
189,2,0:41.0,,Defensive rebound by Team,56,42
190,2,0:41.0,Loose ball foul by D. Blair (drawn by J. Maxiell),,56,42
191,2,0:41.0,,J. Maxiell makes free throw 1 of 2,56,43
192,2,0:41.0,,J. Maxiell makes free throw 2 of 2,56,44
193,2,0:31.0,J. Wall misses 2-pt jump shot from 7 ft,,56,44
194,2,0:31.0,,Defensive rebound by Team,56,44
195,2,0:19.0,,Personal foul by G. Temple (drawn by M. Williams),56,44
196,2,0:19.0,,M. Williams makes free throw 1 of 2,56,45
197,2,0:19.0,,B. Biyombo enters the game for A. Jefferson,56,45
198,2,0:19.0,P. Pierce enters the game for D. Blair,,56,45
199,2,0:19.0,,M. Williams enters the game for J. Maxiell,56,45
200,2,0:19.0,Washington full timeout,,56,45
201,2,0:19.0,R. Butler enters the game for G. Temple,,56,45
202,2,0:19.0,,M. Williams makes free throw 2 of 2,56,46
203,2,0:01.0,B. Beal misses 2-pt layup from 1 ft (block by B. Biyombo),,56,46
204,2,0:00.0,Offensive rebound by M. Gortat,,56,46
205,3,11:45.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by M. Williams),56,48
206,3,11:23.0,M. Gortat makes 2-pt jump shot from 14 ft (assist by B. Beal),,58,48
207,3,10:56.0,,A. Jefferson misses 2-pt jump shot from 18 ft,58,48
208,3,10:54.0,Defensive rebound by P. Pierce,,58,48
209,3,10:38.0,P. Pierce makes 2-pt jump shot from 19 ft (assist by J. Wall),,60,48
210,3,10:24.0,,M. Williams makes 2-pt jump shot from 17 ft,60,50
211,3,10:12.0,Turnover by N. Hilário (traveling),,60,50
212,3,9:51.0,,Turnover by A. Jefferson (lost ball; steal by M. Gortat),60,50
213,3,9:45.0,N. Hilário misses 2-pt layup at rim,,60,50
214,3,9:43.0,,Defensive rebound by M. Kidd-Gilchrist,60,50
215,3,9:39.0,,M. Williams misses 2-pt jump shot from 18 ft,60,50
216,3,9:36.0,Defensive rebound by M. Gortat,,60,50
217,3,9:21.0,J. Wall makes 2-pt jump shot from 15 ft,,62,50
218,3,9:12.0,,Offensive foul by G. Henderson (drawn by N. Hilário),62,50
219,3,9:12.0,,Turnover by G. Henderson (offensive foul),62,50
220,3,9:00.0,N. Hilário makes 2-pt jump shot from 16 ft (assist by J. Wall),,64,50
221,3,8:34.0,,M. Williams misses 2-pt jump shot from 17 ft (block by J. Wall),64,50
222,3,8:32.0,,Offensive rebound by M. Kidd-Gilchrist,64,50
223,3,8:29.0,,M. Williams makes 2-pt jump shot from 19 ft (assist by M. Kidd-Gilchrist),64,52
224,3,8:11.0,Turnover by N. Hilário (traveling),,64,52
225,3,7:56.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by M. Williams),64,54
226,3,7:42.0,B. Beal makes 2-pt jump shot from 17 ft,,66,54
227,3,7:27.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,66,54
228,3,7:26.0,Defensive rebound by P. Pierce,,66,54
229,3,7:14.0,J. Wall misses 2-pt jump shot from 17 ft,,66,54
230,3,7:12.0,,Defensive rebound by A. Jefferson,66,54
231,3,7:03.0,,A. Jefferson misses 2-pt jump shot from 16 ft,66,54
232,3,7:00.0,Defensive rebound by P. Pierce,,66,54
233,3,6:54.0,J. Wall misses 2-pt jump shot from 13 ft,,66,54
234,3,6:52.0,,Defensive rebound by G. Henderson,66,54
235,3,6:41.0,,G. Henderson misses 2-pt jump shot from 14 ft,66,54
236,3,6:41.0,,Offensive rebound by M. Kidd-Gilchrist,66,54
237,3,6:41.0,,Personal foul by N. Hilário (drawn by M. Kidd-Gilchrist),66,54
238,3,6:28.0,,M. Williams misses 3-pt jump shot from 26 ft,66,54
239,3,6:27.0,Defensive rebound by J. Wall,,66,54
240,3,6:11.0,P. Pierce misses 3-pt jump shot from 23 ft,,66,54
241,3,6:10.0,,Defensive rebound by M. Williams,66,54
242,3,5:50.0,,A. Jefferson misses 2-pt jump shot from 12 ft,66,54
243,3,5:49.0,Defensive rebound by B. Beal,,66,54
244,3,5:31.0,P. Pierce makes 3-pt jump shot from 25 ft (assist by J. Wall),,69,54
245,3,5:31.0,,Charlotte full timeout,69,54
246,3,5:31.0,,B. Roberts enters the game for M. Kidd-Gilchrist,69,54
247,3,5:31.0,,L. Stephenson enters the game for G. Henderson,69,54
248,3,5:31.0,,J. Maxiell enters the game for M. Williams,69,54
249,3,5:17.0,,Shooting foul by N. Hilário (drawn by M. Williams),69,54
250,3,5:17.0,,M. Williams makes free throw 1 of 2,69,55
251,3,5:17.0,D. Gooden enters the game for N. Hilário,,69,55
252,3,5:17.0,,M. Williams makes free throw 2 of 2,69,56
253,3,4:56.0,Personal foul by L. Stephenson (drawn by P. Pierce),,69,56
254,3,4:50.0,B. Beal misses 2-pt layup from 1 ft,,69,56
255,3,4:49.0,,Defensive rebound by J. Maxiell,69,56
256,3,4:36.0,,L. Stephenson misses 2-pt jump shot from 16 ft,69,56
257,3,4:35.0,Defensive rebound by J. Wall,,69,56
258,3,4:28.0,D. Gooden misses 3-pt jump shot from 23 ft,,69,56
259,3,4:28.0,Offensive rebound by Team,,69,56
260,3,4:28.0,,Loose ball foul by A. Jefferson (drawn by M. Gortat),69,56
261,3,4:18.0,B. Beal misses 2-pt layup from 1 ft,,69,56
262,3,4:16.0,,Defensive rebound by B. Roberts,69,56
263,3,4:08.0,,Offensive foul by A. Jefferson (drawn by D. Gooden),69,56
264,3,4:08.0,,Turnover by A. Jefferson (offensive foul),69,56
265,3,4:08.0,,B. Biyombo enters the game for A. Jefferson,69,56
266,3,3:56.0,M. Gortat makes 2-pt jump shot from 5 ft (assist by J. Wall),,71,56
267,3,3:36.0,,M. Williams misses 3-pt jump shot from 23 ft,71,56
268,3,3:34.0,,Offensive rebound by B. Biyombo,71,56
269,3,3:31.0,,Turnover by B. Biyombo (lost ball; steal by J. Wall),71,56
270,3,3:27.0,J. Wall makes 2-pt layup from 1 ft,,73,56
271,3,3:27.0,,Charlotte full timeout,73,56
272,3,3:27.0,O. Porter enters the game for P. Pierce,,73,56
273,3,3:09.0,,J. Maxiell misses 2-pt jump shot from 17 ft,73,56
274,3,3:08.0,Defensive rebound by J. Wall,,73,56
275,3,2:49.0,D. Gooden misses 2-pt layup from 2 ft (block by J. Maxiell),,73,56
276,3,2:47.0,,Defensive rebound by B. Biyombo,73,56
277,3,2:35.0,,Turnover by L. Stephenson (lost ball; steal by B. Beal),73,56
