,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:38.0,T. Allen makes 2-pt layup from 4 ft,,2,0
1,1,11:21.0,,T. Ariza misses 2-pt layup from 2 ft (block by M. Gasol),2,0
2,1,11:18.0,,Offensive rebound by T. Black,2,0
3,1,11:12.0,,T. Ariza misses 3-pt jump shot from 23 ft,2,0
4,1,11:11.0,Defensive rebound by Z. Randolph,,2,0
5,1,10:57.0,M. Gasol makes 2-pt hook shot from 5 ft,,4,0
6,1,10:46.0,,Turnover by J. Terry (lost ball; steal by T. Allen),4,0
7,1,10:45.0,Personal foul by J. Terry (drawn by M. Conley),,4,0
8,1,10:23.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),,6,0
9,1,10:04.0,Violation by M. Gasol (kicked ball),,6,0
10,1,9:54.0,,Turnover by J. Harden (bad pass),6,0
11,1,9:36.0,M. Gasol makes 2-pt layup from 1 ft,,8,0
12,1,9:23.0,,J. Terry makes 3-pt jump shot from 25 ft (assist by D. Motiejūnas),8,3
13,1,9:15.0,Personal foul by J. Terry (drawn by M. Conley),,8,3
14,1,9:05.0,Z. Randolph makes 2-pt jump shot from 14 ft,,10,3
15,1,8:43.0,,T. Ariza misses 2-pt layup from 1 ft,10,3
16,1,8:42.0,,Offensive rebound by T. Ariza,10,3
17,1,8:42.0,,T. Ariza makes 2-pt tip-in from 1 ft,10,5
18,1,8:24.0,C. Lee makes 2-pt jump shot from 21 ft (assist by M. Gasol),,12,5
19,1,8:12.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by D. Motiejūnas),12,8
20,1,7:59.0,Turnover by Z. Randolph (traveling),,12,8
21,1,7:47.0,,D. Motiejūnas misses 2-pt layup from 2 ft,12,8
22,1,7:46.0,Defensive rebound by Z. Randolph,,12,8
23,1,7:35.0,T. Allen makes 2-pt jump shot from 15 ft (assist by C. Lee),,14,8
24,1,7:26.0,,J. Harden misses 3-pt jump shot from 25 ft,14,8
25,1,7:24.0,Defensive rebound by C. Lee,,14,8
26,1,7:21.0,T. Allen makes 2-pt dunk at rim (assist by C. Lee),,16,8
27,1,7:20.0,,Houston full timeout,16,8
28,1,7:01.0,,D. Motiejūnas makes 2-pt layup from 2 ft (assist by T. Ariza),16,10
29,1,6:38.0,Turnover by T. Allen (bad pass),,16,10
30,1,6:31.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),16,13
31,1,6:16.0,M. Gasol misses 2-pt jump shot from 18 ft,,16,13
32,1,6:15.0,,Defensive rebound by J. Harden,16,13
33,1,6:06.0,,T. Ariza misses 3-pt jump shot from 25 ft,16,13
34,1,6:05.0,,Offensive rebound by J. Harden,16,13
35,1,6:05.0,,J. Harden makes 2-pt tip-in from 1 ft,16,15
36,1,6:03.0,Memphis full timeout,,16,15
37,1,5:49.0,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),,18,15
38,1,5:32.0,,J. Terry makes 2-pt jump shot from 5 ft,18,17
39,1,5:32.0,,Shooting foul by M. Conley (drawn by J. Terry),18,17
40,1,5:32.0,,J. Terry misses free throw 1 of 1,18,17
41,1,5:32.0,Defensive rebound by Z. Randolph,,18,17
42,1,5:13.0,Shooting foul by T. Black (drawn by Z. Randolph),,18,17
43,1,5:13.0,Z. Randolph makes free throw 1 of 2,,19,17
44,1,5:13.0,Z. Randolph misses free throw 2 of 2,,19,17
45,1,5:13.0,,Defensive rebound by T. Black,19,17
46,1,4:50.0,,D. Motiejūnas makes 2-pt hook shot from 4 ft,19,19
47,1,4:42.0,Turnover by T. Allen (lost ball),,19,19
48,1,4:23.0,,J. Terry misses 3-pt jump shot from 24 ft,19,19
49,1,4:22.0,Defensive rebound by M. Gasol,,19,19
50,1,4:17.0,C. Lee makes 2-pt layup from 2 ft (assist by M. Conley),,21,19
51,1,4:07.0,,T. Ariza misses 2-pt jump shot from 19 ft,21,19
52,1,4:06.0,,Offensive rebound by T. Ariza,21,19
53,1,3:54.0,,Shooting foul by T. Allen (drawn by J. Harden),21,19
54,1,3:54.0,,J. Harden makes free throw 1 of 2,21,20
55,1,3:54.0,,J. Dorsey enters the game for T. Black,21,20
56,1,3:54.0,,J. Harden makes free throw 2 of 2,21,21
57,1,3:42.0,Turnover by M. Gasol (lost ball; steal by J. Terry),,21,21
58,1,3:35.0,,T. Ariza misses 2-pt jump shot from 20 ft,21,21
59,1,3:34.0,,Offensive rebound by D. Motiejūnas,21,21
60,1,3:34.0,,Personal foul by C. Lee (drawn by D. Motiejūnas),21,21
61,1,3:34.0,,N. Johnson enters the game for J. Terry,21,21
62,1,3:22.0,,N. Johnson misses 2-pt jump shot from 5 ft,21,21
63,1,3:21.0,,Offensive rebound by J. Dorsey,21,21
64,1,3:16.0,,T. Ariza misses 2-pt layup from 2 ft,21,21
65,1,3:15.0,,Offensive rebound by D. Motiejūnas,21,21
66,1,3:15.0,,D. Motiejūnas misses 2-pt tip-in from 1 ft,21,21
67,1,3:15.0,,Offensive rebound by D. Motiejūnas,21,21
68,1,3:15.0,,D. Motiejūnas makes 2-pt layup from 1 ft,21,23
69,1,3:15.0,,Shooting foul by M. Conley (drawn by D. Motiejūnas),21,23
70,1,3:15.0,B. Udrih enters the game for M. Conley,,21,23
71,1,3:15.0,,D. Motiejūnas misses free throw 1 of 1,21,23
72,1,3:15.0,Defensive rebound by M. Gasol,,21,23
73,1,2:58.0,Shooting foul by J. Dorsey (drawn by T. Allen),,21,23
74,1,2:58.0,T. Allen makes free throw 1 of 2,,22,23
75,1,2:58.0,,F. García enters the game for T. Ariza,22,23
76,1,2:58.0,Q. Pondexter enters the game for C. Lee,,22,23
77,1,2:58.0,T. Allen makes free throw 2 of 2,,23,23
78,1,2:42.0,,Offensive foul by J. Dorsey (drawn by T. Allen),23,23
79,1,2:42.0,,Turnover by J. Dorsey (offensive foul),23,23
80,1,2:28.0,T. Allen misses 2-pt jump shot from 21 ft,,23,23
81,1,2:27.0,,Defensive rebound by N. Johnson,23,23
82,1,2:23.0,,D. Motiejūnas makes 2-pt dunk at rim (assist by N. Johnson),23,25
83,1,2:04.0,T. Allen misses 2-pt layup from 2 ft (block by D. Motiejūnas),,23,25
84,1,2:02.0,,Defensive rebound by J. Dorsey,23,25
85,1,1:58.0,,J. Harden makes 2-pt layup from 1 ft,23,27
86,1,1:44.0,Turnover by B. Udrih (lost ball; steal by N. Johnson),,23,27
87,1,1:38.0,,J. Dorsey makes 2-pt dunk at rim (assist by F. García),23,29
88,1,1:37.0,Memphis full timeout,,23,29
89,1,1:37.0,V. Carter enters the game for T. Allen,,23,29
90,1,1:37.0,K. Koufos enters the game for Z. Randolph,,23,29
91,1,1:37.0,J. Leuer enters the game for M. Gasol,,23,29
92,1,1:37.0,,K. Papanikolaou enters the game for D. Motiejūnas,23,29
93,1,1:26.0,K. Koufos makes 2-pt jump shot from 9 ft (assist by B. Udrih),,25,29
94,1,1:10.0,Offensive charge foul by N. Johnson (drawn by B. Udrih),,25,29
95,1,1:10.0,,Turnover by N. Johnson (offensive foul),25,29
96,1,0:50.0,Shooting foul by N. Johnson (drawn by B. Udrih),,25,29
97,1,0:50.0,B. Udrih makes free throw 1 of 2,,26,29
98,1,0:50.0,B. Udrih misses free throw 2 of 2,,26,29
99,1,0:50.0,,Defensive rebound by J. Dorsey,26,29
100,1,0:32.0,,Shooting foul by Q. Pondexter (drawn by J. Harden),26,29
