,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,E. Payton misses 2-pt layup at rim,,0,0
1,1,11:41.0,,Defensive rebound by Team,0,0
2,1,11:25.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),0,2
3,1,11:03.0,T. Harris makes 2-pt jump shot from 5 ft,,2,2
4,1,10:51.0,,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),2,4
5,1,10:35.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by V. Oladipo),,4,4
6,1,10:13.0,,M. Carter-Williams misses 2-pt layup from 1 ft,4,4
7,1,10:11.0,Defensive rebound by N. Vučević,,4,4
8,1,10:05.0,N. Vučević misses 2-pt hook shot from 6 ft,,4,4
9,1,10:04.0,,Defensive rebound by G. Antetokounmpo,4,4
10,1,9:59.0,,Shooting foul by T. Harris (drawn by G. Antetokounmpo),4,4
11,1,9:59.0,,G. Antetokounmpo makes free throw 1 of 2,4,5
12,1,9:59.0,,G. Antetokounmpo misses free throw 2 of 2,4,5
13,1,9:59.0,Defensive rebound by N. Vučević,,4,5
14,1,9:42.0,Turnover by D. Dedmon (lost ball; steal by K. Middleton),,4,5
15,1,9:36.0,,M. Carter-Williams makes 2-pt jump shot from 14 ft,4,7
16,1,9:23.0,N. Vučević makes 2-pt jump shot from 13 ft (assist by V. Oladipo),,6,7
17,1,9:05.0,,G. Antetokounmpo misses 2-pt hook shot from 2 ft,6,7
18,1,9:04.0,Defensive rebound by N. Vučević,,6,7
19,1,8:53.0,Turnover by V. Oladipo (lost ball; steal by K. Middleton),,6,7
20,1,8:53.0,,Turnover by G. Antetokounmpo (traveling),6,7
21,1,8:41.0,N. Vučević misses 2-pt jump shot from 17 ft,,6,7
22,1,8:40.0,,Defensive rebound by M. Carter-Williams,6,7
23,1,8:28.0,,E. İlyasova misses 2-pt layup from 1 ft (block by D. Dedmon),6,7
24,1,8:24.0,Defensive rebound by T. Harris,,6,7
25,1,8:19.0,Personal block foul by E. İlyasova (drawn by T. Harris),,6,7
26,1,8:13.0,Offensive foul by N. Vučević (drawn by Z. Pachulia),,6,7
27,1,8:13.0,Turnover by N. Vučević (offensive foul),,6,7
28,1,8:03.0,,M. Carter-Williams misses 2-pt jump shot from 16 ft,6,7
29,1,8:01.0,Defensive rebound by N. Vučević,,6,7
30,1,7:44.0,E. Payton makes 2-pt jump shot from 9 ft (assist by T. Harris),,8,7
31,1,7:31.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,8,7
32,1,7:30.0,Defensive rebound by N. Vučević,,8,7
33,1,7:24.0,E. Payton misses 2-pt layup from 2 ft,,8,7
34,1,7:23.0,Offensive rebound by D. Dedmon,,8,7
35,1,7:21.0,D. Dedmon misses 2-pt hook shot from 3 ft,,8,7
36,1,7:19.0,Offensive rebound by N. Vučević,,8,7
37,1,7:18.0,N. Vučević misses 2-pt layup at rim,,8,7
38,1,7:17.0,,Defensive rebound by Z. Pachulia,8,7
39,1,7:08.0,,G. Antetokounmpo misses 2-pt layup at rim (block by D. Dedmon),8,7
40,1,7:08.0,,Offensive rebound by Team,8,7
41,1,6:54.0,,Turnover by Team (shot clock),8,7
42,1,6:35.0,D. Dedmon misses 2-pt hook shot from 5 ft,,8,7
43,1,6:34.0,,Defensive rebound by G. Antetokounmpo,8,7
44,1,6:26.0,,Shooting block foul by D. Dedmon (drawn by Z. Pachulia),8,7
45,1,6:26.0,,Z. Pachulia makes free throw 1 of 2,8,8
46,1,6:26.0,,O. Mayo enters the game for K. Middleton,8,8
47,1,6:26.0,,Z. Pachulia makes free throw 2 of 2,8,9
48,1,6:12.0,V. Oladipo misses 2-pt jump shot from 4 ft,,8,9
49,1,6:11.0,,Defensive rebound by E. İlyasova,8,9
50,1,6:04.0,,E. İlyasova makes 2-pt layup at rim (assist by O. Mayo),8,11
51,1,6:02.0,Orlando full timeout,,8,11
52,1,6:02.0,,M. Plumlee enters the game for Z. Pachulia,8,11
53,1,6:02.0,A. Gordon enters the game for N. Vučević,,8,11
54,1,5:42.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Gordon),,11,11
55,1,5:29.0,,Turnover by O. Mayo (bad pass; steal by E. Payton),11,11
56,1,5:25.0,T. Harris makes 2-pt dunk at rim (assist by E. Payton),,13,11
57,1,5:10.0,,E. İlyasova makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),13,13
