,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:37.0,,Shooting foul by D. Howard (drawn by A. Aminu),0,0
1,1,11:37.0,,A. Aminu misses free throw 1 of 2,0,0
2,1,11:37.0,,Offensive rebound by Team,0,0
3,1,11:37.0,,A. Aminu misses free throw 2 of 2,0,0
4,1,11:36.0,Defensive rebound by T. Jones,,0,0
5,1,11:20.0,Turnover by J. Harden (bad pass),,0,0
6,1,11:06.0,,J. Barea misses 3-pt jump shot from 25 ft,0,0
7,1,11:05.0,,Offensive rebound by Team,0,0
8,1,10:59.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,0
9,1,10:58.0,Defensive rebound by T. Ariza,,0,0
10,1,10:48.0,J. Harden makes 2-pt jump shot from 8 ft,,2,0
11,1,10:38.0,,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),2,2
12,1,10:24.0,T. Jones makes 2-pt jump shot from 6 ft (assist by J. Terry),,4,2
13,1,10:11.0,,M. Ellis makes 2-pt jump shot from 20 ft,4,4
14,1,9:49.0,,Turnover by A. Aminu (bad pass; steal by J. Terry),4,4
15,1,9:38.0,T. Jones makes 2-pt dunk at rim (assist by T. Ariza),,6,4
16,1,9:29.0,,T. Chandler makes 2-pt dunk at rim (assist by J. Barea),6,6
17,1,9:09.0,T. Jones misses 2-pt layup from 2 ft (block by D. Nowitzki),,6,6
18,1,9:07.0,,Defensive rebound by A. Aminu,6,6
19,1,9:01.0,,J. Barea misses 2-pt layup from 1 ft,6,6
20,1,8:59.0,Defensive rebound by D. Howard,,6,6
21,1,8:52.0,T. Ariza misses 2-pt jump shot from 21 ft,,6,6
22,1,8:51.0,,Defensive rebound by A. Aminu,6,6
23,1,8:37.0,,M. Ellis makes 2-pt jump shot from 20 ft,6,8
24,1,8:16.0,J. Harden misses 3-pt jump shot from 25 ft,,6,8
25,1,8:15.0,,Defensive rebound by M. Ellis,6,8
26,1,8:12.0,,Turnover by M. Ellis (bad pass),6,8
27,1,7:54.0,D. Howard makes 2-pt layup from 1 ft,,8,8
28,1,7:54.0,Shooting foul by T. Chandler (drawn by D. Howard),,8,8
29,1,7:54.0,,A. Stoudemire enters the game for T. Chandler,8,8
30,1,7:54.0,D. Howard misses free throw 1 of 1,,8,8
31,1,7:54.0,,Defensive rebound by A. Aminu,8,8
32,1,7:40.0,,J. Barea makes 2-pt jump shot from 8 ft,8,10
33,1,7:23.0,D. Howard makes 2-pt hook shot from 6 ft,,10,10
34,1,7:05.0,,A. Stoudemire misses 2-pt jump shot from 16 ft,10,10
35,1,7:04.0,Defensive rebound by T. Jones,,10,10
36,1,6:56.0,Turnover by D. Howard (lost ball),,10,10
37,1,6:50.0,,D. Nowitzki misses 2-pt jump shot from 7 ft,10,10
38,1,6:49.0,Defensive rebound by T. Jones,,10,10
39,1,6:45.0,D. Howard makes 2-pt dunk at rim (assist by J. Terry),,12,10
40,1,6:27.0,,A. Stoudemire makes 2-pt jump shot from 18 ft (assist by J. Barea),12,12
41,1,6:16.0,Shooting foul by A. Stoudemire (drawn by D. Howard),,12,12
42,1,6:16.0,D. Howard misses free throw 1 of 2,,12,12
43,1,6:16.0,Offensive rebound by Team,,12,12
44,1,6:16.0,,C. Villanueva enters the game for D. Nowitzki,12,12
45,1,6:16.0,,T. Chandler enters the game for A. Stoudemire,12,12
46,1,6:16.0,D. Howard misses free throw 2 of 2,,12,12
47,1,6:15.0,,Defensive rebound by A. Aminu,12,12
48,1,5:55.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by J. Barea),12,15
49,1,5:36.0,T. Jones makes 2-pt layup from 2 ft (assist by J. Harden),,14,15
50,1,5:36.0,Shooting foul by T. Chandler (drawn by T. Jones),,14,15
51,1,5:36.0,,Dallas full timeout,14,15
52,1,5:36.0,,A. Stoudemire enters the game for T. Chandler,14,15
53,1,5:36.0,T. Jones makes free throw 1 of 1,,15,15
54,1,5:14.0,,M. Ellis misses 2-pt jump shot from 19 ft,15,15
55,1,5:14.0,Defensive rebound by T. Jones,,15,15
56,1,5:08.0,Personal foul by C. Villanueva (drawn by D. Howard),,15,15
57,1,5:08.0,J. Smith enters the game for T. Jones,,15,15
58,1,5:03.0,D. Howard makes 2-pt layup at rim (assist by J. Terry),,17,15
59,1,4:52.0,,J. Barea misses 2-pt layup from 1 ft,17,15
60,1,4:51.0,,Offensive rebound by A. Aminu,17,15
61,1,4:51.0,,A. Aminu misses 2-pt tip-in from 1 ft,17,15
62,1,4:49.0,,Offensive rebound by A. Aminu,17,15
63,1,4:49.0,,A. Aminu makes 2-pt layup from 1 ft,17,17
64,1,4:33.0,J. Harden makes 2-pt layup from 2 ft,,19,17
65,1,4:24.0,,A. Stoudemire makes 2-pt dunk at rim (assist by J. Barea),19,19
66,1,4:09.0,D. Howard makes 2-pt dunk at rim (assist by J. Smith),,21,19
67,1,3:56.0,,A. Stoudemire makes 2-pt jump shot from 19 ft (assist by J. Barea),21,21
68,1,3:38.0,J. Terry makes 3-pt jump shot from 22 ft (assist by J. Smith),,24,21
69,1,3:22.0,,Personal foul by J. Terry (drawn by A. Stoudemire),24,21
70,1,3:22.0,C. Capela enters the game for J. Terry,,24,21
71,1,3:22.0,,D. Harris enters the game for A. Stoudemire,24,21
72,1,3:22.0,,D. Nowitzki enters the game for J. Barea,24,21
73,1,3:22.0,C. Brewer enters the game for T. Ariza,,24,21
74,1,3:22.0,P. Prigioni enters the game for D. Howard,,24,21
75,1,3:07.0,,A. Aminu misses 3-pt jump shot from 23 ft,24,21
76,1,3:06.0,,Offensive rebound by C. Villanueva,24,21
77,1,3:04.0,,C. Villanueva misses 2-pt layup at rim (block by C. Brewer),24,21
78,1,3:04.0,T. Jones enters the game for C. Capela,,24,21
79,1,3:04.0,,Offensive rebound by C. Villanueva,24,21
80,1,2:56.0,,C. Villanueva misses 3-pt jump shot from 24 ft,24,21
81,1,2:55.0,Defensive rebound by J. Harden,,24,21
82,1,2:45.0,Turnover by J. Smith (traveling),,24,21
83,1,2:45.0,Houston full timeout,,24,21
84,1,2:45.0,,A. Stoudemire enters the game for A. Aminu,24,21
85,1,2:45.0,,R. Jefferson enters the game for C. Villanueva,24,21
86,1,2:35.0,,Personal block foul by C. Brewer (drawn by M. Ellis),24,21
87,1,2:35.0,C. Capela enters the game for T. Jones,,24,21
88,1,2:27.0,,Turnover by M. Ellis (lost ball; steal by J. Smith),24,21
89,1,2:20.0,P. Prigioni misses 3-pt jump shot from 23 ft,,24,21
90,1,2:19.0,,Defensive rebound by D. Nowitzki,24,21
91,1,2:16.0,,M. Ellis makes 2-pt layup from 1 ft (assist by D. Nowitzki),24,23
92,1,2:05.0,Personal foul by D. Harris (drawn by J. Harden),,24,23
93,1,2:05.0,J. Harden makes free throw 1 of 2,,25,23
94,1,2:05.0,J. Harden makes free throw 2 of 2,,26,23
95,1,1:57.0,,Personal foul by C. Capela (drawn by A. Stoudemire),26,23
96,1,1:49.0,,Shooting foul by C. Capela (drawn by A. Stoudemire),26,23
97,1,1:49.0,,A. Stoudemire misses free throw 1 of 2,26,23
98,1,1:49.0,,Offensive rebound by Team,26,23
99,1,1:49.0,,A. Stoudemire misses free throw 2 of 2,26,23
100,1,1:48.0,Defensive rebound by J. Harden,,26,23
101,1,1:37.0,J. Harden misses 2-pt jump shot from 15 ft,,26,23
102,1,1:37.0,,Defensive rebound by D. Harris,26,23
103,1,1:31.0,,Turnover by M. Ellis (bad pass; steal by J. Harden),26,23
104,1,1:31.0,Personal block foul by M. Ellis (drawn by J. Harden),,26,23
105,1,1:31.0,J. Harden makes free throw 1 of 2,,27,23
106,1,1:31.0,,R. Felton enters the game for M. Ellis,27,23
107,1,1:31.0,J. Harden makes free throw 2 of 2,,28,23
108,1,1:15.0,,A. Stoudemire misses 2-pt jump shot from 8 ft,28,23
109,1,1:14.0,Defensive rebound by C. Brewer,,28,23
110,1,1:11.0,Personal take foul by R. Jefferson (drawn by C. Capela),,28,23
111,1,1:11.0,C. Capela makes free throw 1 of 2,,29,23
112,1,1:11.0,C. Capela makes free throw 2 of 2,,30,23
113,1,0:53.0,,Turnover by D. Nowitzki (bad pass; steal by J. Harden),30,23
114,1,0:50.0,C. Brewer makes 2-pt dunk at rim (assist by J. Harden),,32,23
115,1,0:30.0,,D. Nowitzki makes 2-pt layup from 1 ft,32,25
116,1,0:05.0,J. Harden misses 3-pt jump shot from 24 ft,,32,25
117,1,0:04.0,Offensive rebound by J. Smith,,32,25
118,1,0:00.0,J. Harden makes 2-pt jump shot from 10 ft,,34,25
119,2,11:46.0,T. Ariza makes 2-pt dunk at rim (assist by J. Smith),,36,25
120,2,11:27.0,,D. Harris misses 2-pt jump shot from 6 ft (block by D. Howard),36,25
121,2,11:26.0,Defensive rebound by T. Ariza,,36,25
122,2,11:22.0,Shooting foul by A. Stoudemire (drawn by J. Smith),,36,25
123,2,11:22.0,J. Smith makes free throw 1 of 2,,37,25
124,2,11:22.0,,T. Chandler enters the game for A. Stoudemire,37,25
125,2,11:22.0,,M. Ellis enters the game for R. Felton,37,25
126,2,11:22.0,J. Smith misses free throw 2 of 2,,37,25
127,2,11:21.0,,Defensive rebound by T. Chandler,37,25
128,2,11:14.0,Violation by C. Brewer (kicked ball),,37,25
129,2,11:08.0,,Personal foul by C. Brewer (drawn by M. Ellis),37,25
130,2,10:56.0,,D. Nowitzki makes 2-pt jump shot from 12 ft,37,27
131,2,10:31.0,J. Smith misses 2-pt hook shot from 11 ft,,37,27
132,2,10:30.0,,Defensive rebound by D. Nowitzki,37,27
133,2,10:27.0,,D. Harris makes 2-pt jump shot from 3 ft (assist by D. Nowitzki),37,29
134,2,10:08.0,P. Prigioni misses 3-pt jump shot from 25 ft,,37,29
135,2,10:07.0,Offensive rebound by J. Smith,,37,29
136,2,10:03.0,C. Brewer misses 3-pt jump shot from 23 ft,,37,29
137,2,10:02.0,,Defensive rebound by M. Ellis,37,29
138,2,9:57.0,,R. Jefferson makes 2-pt dunk at rim (assist by M. Ellis),37,31
139,2,9:30.0,Personal foul by D. Nowitzki (drawn by D. Howard),,37,31
140,2,9:30.0,,Technical foul by Team,37,31
141,2,9:30.0,T. Ariza makes technical free throw,,38,31
142,2,9:18.0,P. Prigioni misses 3-pt jump shot from 25 ft,,38,31
143,2,9:15.0,,Defensive rebound by D. Nowitzki,38,31
144,2,9:10.0,,D. Harris misses 3-pt jump shot from 23 ft,38,31
145,2,9:09.0,Defensive rebound by C. Brewer,,38,31
146,2,9:04.0,Turnover by C. Brewer (bad pass; steal by D. Harris),,38,31
147,2,9:00.0,,Turnover by R. Jefferson (bad pass; steal by P. Prigioni),38,31
148,2,8:59.0,Official timeout,,38,31
149,2,8:59.0,,J. Barea enters the game for D. Harris,38,31
150,2,8:59.0,D. Howard misses flagrant free throw 1 of 2,,38,31
151,2,8:59.0,Offensive rebound by Team,,38,31
152,2,8:59.0,D. Howard misses flagrant free throw 2 of 2,,38,31
153,2,8:59.0,Offensive rebound by Team,,38,31
154,2,8:54.0,Personal foul by J. Barea (drawn by C. Brewer),,38,31
