,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:44.0,,Turnover by R. Hibbert (bad pass; steal by J. Teague),0,0
1,1,11:39.0,K. Korver makes 3-pt jump shot from 22 ft (assist by D. Carroll),,3,0
2,1,11:14.0,,Turnover by R. Stuckey (lost ball; steal by P. Millsap),3,0
3,1,11:07.0,A. Horford makes 2-pt jump shot from 17 ft (assist by P. Millsap),,5,0
4,1,10:48.0,,C. Copeland misses 3-pt jump shot from 25 ft,5,0
5,1,10:47.0,Defensive rebound by A. Horford,,5,0
6,1,10:32.0,A. Horford misses 2-pt jump shot from 18 ft,,5,0
7,1,10:31.0,Offensive rebound by A. Horford,,5,0
8,1,10:29.0,A. Horford misses 2-pt layup from 1 ft,,5,0
9,1,10:28.0,,Defensive rebound by R. Hibbert,5,0
10,1,10:22.0,,R. Stuckey makes 2-pt layup from 2 ft,5,2
11,1,10:05.0,Offensive foul by A. Horford (drawn by R. Stuckey),,5,2
12,1,10:05.0,Turnover by A. Horford (offensive foul),,5,2
13,1,9:43.0,,S. Hill misses 3-pt jump shot from 22 ft,5,2
14,1,9:42.0,Defensive rebound by A. Horford,,5,2
15,1,9:21.0,D. Carroll misses 3-pt jump shot from 27 ft,,5,2
16,1,9:19.0,,Defensive rebound by C. Copeland,5,2
17,1,9:02.0,,S. Hill makes 2-pt layup from 1 ft,5,4
18,1,8:44.0,A. Horford misses 2-pt jump shot from 17 ft,,5,4
19,1,8:43.0,,Defensive rebound by R. Stuckey,5,4
20,1,8:36.0,,R. Stuckey misses 2-pt layup from 1 ft,5,4
21,1,8:35.0,Defensive rebound by A. Horford,,5,4
22,1,8:22.0,A. Horford misses 2-pt jump shot from 14 ft,,5,4
23,1,8:21.0,,Defensive rebound by R. Hibbert,5,4
24,1,8:00.0,,R. Hibbert makes 2-pt hook shot from 8 ft (assist by D. West),5,6
25,1,7:50.0,J. Teague makes 2-pt jump shot from 14 ft,,7,6
26,1,7:31.0,,C. Copeland makes 2-pt jump shot from 19 ft (assist by S. Hill),7,8
27,1,7:25.0,A. Horford makes 2-pt dunk at rim (assist by J. Teague),,9,8
28,1,6:59.0,,Turnover by D. West (lost ball; steal by P. Millsap),9,8
29,1,6:46.0,Turnover by P. Millsap (lost ball; steal by S. Hill),,9,8
30,1,6:40.0,,Turnover by S. Hill (lost ball; steal by J. Teague),9,8
31,1,6:23.0,P. Millsap misses 3-pt jump shot from 23 ft,,9,8
32,1,6:22.0,,Defensive rebound by C. Copeland,9,8
33,1,6:04.0,,R. Hibbert misses 2-pt jump shot from 9 ft,9,8
34,1,6:03.0,Defensive rebound by A. Horford,,9,8
35,1,5:52.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by A. Horford),,12,8
36,1,5:44.0,,Indiana full timeout,12,8
37,1,5:36.0,,C. Copeland makes 3-pt jump shot from 23 ft (assist by D. West),12,11
38,1,5:22.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by P. Millsap),,15,11
39,1,5:01.0,,Turnover by R. Stuckey (bad pass; steal by A. Horford),15,11
40,1,4:54.0,D. Carroll misses 3-pt jump shot from 24 ft,,15,11
41,1,4:52.0,,Defensive rebound by C. Copeland,15,11
42,1,4:37.0,,R. Stuckey misses 2-pt jump shot from 5 ft (block by A. Horford),15,11
43,1,4:35.0,Defensive rebound by P. Millsap,,15,11
44,1,4:26.0,A. Horford makes 3-pt jump shot from 24 ft (assist by K. Korver),,18,11
45,1,4:07.0,,Shooting foul by K. Korver (drawn by S. Hill),18,11
46,1,4:07.0,,S. Hill makes free throw 1 of 2,18,12
47,1,4:07.0,P. Antić enters the game for A. Horford,,18,12
48,1,4:07.0,S. Mack enters the game for K. Korver,,18,12
49,1,4:07.0,,L. Allen enters the game for R. Hibbert,18,12
50,1,4:07.0,,C. Miles enters the game for C. Copeland,18,12
51,1,4:07.0,,S. Hill misses free throw 2 of 2,18,12
52,1,4:07.0,Defensive rebound by P. Millsap,,18,12
53,1,3:54.0,Shooting foul by S. Hill (drawn by P. Millsap),,18,12
54,1,3:54.0,P. Millsap misses free throw 1 of 2,,18,12
55,1,3:54.0,Offensive rebound by Team,,18,12
56,1,3:54.0,P. Millsap makes free throw 2 of 2,,19,12
57,1,3:32.0,,D. West misses 2-pt jump shot from 14 ft,19,12
58,1,3:31.0,,Offensive rebound by R. Stuckey,19,12
59,1,3:31.0,,R. Stuckey makes 2-pt layup at rim,19,14
60,1,3:21.0,Shooting foul by L. Allen (drawn by P. Antić),,19,14
61,1,3:21.0,P. Antić makes free throw 1 of 2,,20,14
62,1,3:21.0,P. Antić makes free throw 2 of 2,,21,14
63,1,3:04.0,,C. Miles misses 3-pt jump shot from 24 ft,21,14
64,1,3:02.0,Defensive rebound by P. Millsap,,21,14
65,1,2:54.0,P. Millsap misses 2-pt layup at rim,,21,14
66,1,2:53.0,,Defensive rebound by D. West,21,14
67,1,2:51.0,,Turnover by D. West (bad pass; steal by D. Carroll),21,14
68,1,2:45.0,D. Carroll makes 3-pt jump shot from 22 ft (assist by S. Mack),,24,14
69,1,2:28.0,,Shooting foul by P. Antić (drawn by L. Allen),24,14
70,1,2:28.0,Atlanta full timeout,,24,14
71,1,2:28.0,D. Schröder enters the game for P. Millsap,,24,14
72,1,2:28.0,M. Scott enters the game for J. Teague,,24,14
73,1,2:28.0,,D. Rudež enters the game for S. Hill,24,14
74,1,2:28.0,,C. Watson enters the game for R. Stuckey,24,14
75,1,2:28.0,,L. Allen misses free throw 1 of 2,24,14
76,1,2:28.0,,Offensive rebound by Team,24,14
77,1,2:28.0,,L. Allen misses free throw 2 of 2,24,14
78,1,2:28.0,Defensive rebound by D. Carroll,,24,14
79,1,2:16.0,Turnover by D. Schröder (bad pass),,24,14
80,1,2:02.0,,C. Watson misses 3-pt jump shot from 27 ft,24,14
81,1,2:01.0,Defensive rebound by M. Scott,,24,14
82,1,1:52.0,P. Antić misses 2-pt layup from 2 ft,,24,14
83,1,1:51.0,Offensive rebound by D. Schröder,,24,14
84,1,1:37.0,P. Antić misses 3-pt jump shot from 26 ft,,24,14
85,1,1:36.0,,Defensive rebound by C. Miles,24,14
86,1,1:23.0,,L. Allen makes 2-pt jump shot from 16 ft (assist by D. West),24,16
87,1,1:06.0,S. Mack misses 2-pt jump shot from 17 ft,,24,16
88,1,1:05.0,,Defensive rebound by L. Allen,24,16
89,1,0:52.0,,D. West makes 2-pt jump shot from 6 ft (assist by C. Miles),24,18
90,1,0:30.0,D. Schröder makes 2-pt jump shot from 5 ft,,26,18
91,1,0:10.0,,D. Rudež misses 2-pt jump shot from 3 ft,26,18
92,1,0:08.0,Defensive rebound by D. Carroll,,26,18
93,1,0:03.0,M. Scott makes 2-pt dunk at rim (assist by D. Carroll),,28,18
94,1,0:00.0,,C. Watson misses 3-pt jump shot from 47 ft,28,18
