,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:46.0,Turnover by R. Jackson (bad pass; steal by L. James),,0,0
1,1,11:38.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by K. Irving),0,2
2,1,11:21.0,C. Butler makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,3,2
3,1,11:01.0,,Turnover by J. Smith (bad pass),3,2
4,1,10:49.0,C. Butler misses 3-pt jump shot from 24 ft,,3,2
5,1,10:48.0,,Defensive rebound by T. Mozgov,3,2
6,1,10:41.0,,J. Smith misses 3-pt jump shot from 24 ft,3,2
7,1,10:38.0,,Offensive rebound by T. Mozgov,3,2
8,1,10:19.0,,L. James misses 2-pt jump shot from 15 ft,3,2
9,1,10:16.0,,Offensive rebound by K. Irving,3,2
10,1,10:13.0,,J. Smith misses 3-pt jump shot from 25 ft,3,2
11,1,10:12.0,,Offensive rebound by L. James,3,2
12,1,10:12.0,,L. James misses 2-pt tip-in from 1 ft,3,2
13,1,10:10.0,,Offensive rebound by L. James,3,2
14,1,10:10.0,,L. James makes 2-pt layup at rim,3,4
15,1,9:51.0,Turnover by C. Butler (bad pass; steal by K. Irving),,3,4
16,1,9:46.0,,K. Irving makes 2-pt layup at rim,3,6
17,1,9:40.0,Detroit full timeout,,3,6
18,1,9:23.0,C. Butler misses 2-pt jump shot from 19 ft,,3,6
19,1,9:22.0,,Defensive rebound by T. Mozgov,3,6
20,1,9:06.0,,K. Love misses 3-pt jump shot from 22 ft,3,6
21,1,9:05.0,Defensive rebound by K. Caldwell-Pope,,3,6
22,1,8:47.0,Turnover by A. Drummond (offensive goaltending),,3,6
23,1,8:30.0,,Shooting foul by G. Monroe (drawn by T. Mozgov),3,6
24,1,8:30.0,,T. Mozgov misses free throw 1 of 2,3,6
25,1,8:30.0,,Offensive rebound by Team,3,6
26,1,8:30.0,,T. Mozgov makes free throw 2 of 2,3,7
27,1,8:14.0,K. Caldwell-Pope makes 2-pt jump shot from 15 ft,,5,7
28,1,7:59.0,,K. Love misses 2-pt hook shot from 10 ft,5,7
29,1,7:58.0,,Offensive rebound by T. Mozgov,5,7
30,1,7:57.0,,Turnover by T. Mozgov (bad pass; steal by C. Butler),5,7
31,1,7:56.0,Turnover by C. Butler (bad pass; steal by L. James),,5,7
32,1,7:55.0,,T. Mozgov makes 2-pt dunk at rim (assist by L. James),5,9
33,1,7:38.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,5,9
34,1,7:36.0,,Defensive rebound by K. Love,5,9
35,1,7:26.0,,L. James misses 2-pt jump shot from 12 ft,5,9
36,1,7:23.0,,Offensive rebound by T. Mozgov,5,9
37,1,7:23.0,,T. Mozgov makes 2-pt tip-in from 1 ft,5,11
38,1,7:16.0,Detroit full timeout,,5,11
39,1,7:06.0,R. Jackson misses 2-pt jump shot from 8 ft,,5,11
40,1,7:05.0,,Defensive rebound by K. Love,5,11
41,1,6:49.0,,K. Love misses 3-pt jump shot from 27 ft,5,11
42,1,6:48.0,,Offensive rebound by K. Irving,5,11
43,1,6:42.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Irving),5,14
44,1,6:27.0,Shooting foul by K. Irving (drawn by A. Drummond),,5,14
45,1,6:27.0,A. Drummond misses free throw 1 of 2,,5,14
46,1,6:27.0,Offensive rebound by Team,,5,14
47,1,6:27.0,A. Drummond misses free throw 2 of 2,,5,14
48,1,6:26.0,,Defensive rebound by T. Mozgov,5,14
49,1,6:08.0,,J. Smith makes 2-pt jump shot from 15 ft (assist by T. Mozgov),5,16
50,1,5:52.0,R. Jackson misses 2-pt jump shot from 17 ft,,5,16
51,1,5:50.0,,Defensive rebound by L. James,5,16
52,1,5:46.0,,K. Love makes 2-pt layup at rim (assist by L. James),5,18
53,1,5:34.0,R. Jackson misses 2-pt layup from 1 ft,,5,18
54,1,5:33.0,,Defensive rebound by Team,5,18
55,1,5:33.0,,I. Shumpert enters the game for L. James,5,18
56,1,5:21.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by J. Smith),5,21
57,1,5:03.0,G. Monroe misses 2-pt hook shot from 10 ft,,5,21
58,1,5:00.0,,Defensive rebound by T. Mozgov,5,21
59,1,4:38.0,,K. Irving misses 2-pt jump shot from 6 ft,5,21
60,1,4:35.0,,Offensive rebound by T. Mozgov,5,21
61,1,4:35.0,,T. Mozgov makes 2-pt dunk at rim,5,23
62,1,4:29.0,Detroit full timeout,,5,23
63,1,4:29.0,Q. Miller enters the game for C. Butler,,5,23
64,1,4:18.0,G. Monroe misses 2-pt jump shot from 17 ft,,5,23
65,1,4:17.0,Offensive rebound by A. Drummond,,5,23
66,1,4:17.0,A. Drummond makes 2-pt layup at rim,,7,23
67,1,4:01.0,,Shooting foul by A. Drummond (drawn by T. Mozgov),7,23
68,1,4:01.0,,T. Mozgov misses free throw 1 of 2,7,23
69,1,4:01.0,,Offensive rebound by Team,7,23
