,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,P. Jones misses 2-pt jump shot from 4 ft,0,0
1,1,11:39.0,Defensive rebound by J. Freeland,,0,0
2,1,11:23.0,L. Aldridge misses 2-pt jump shot from 14 ft,,0,0
3,1,11:22.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:14.0,,R. Westbrook makes 2-pt jump shot from 13 ft,0,2
5,1,10:57.0,W. Matthews misses 2-pt jump shot from 12 ft (block by S. Adams),,0,2
6,1,10:55.0,,Defensive rebound by P. Jones,0,2
7,1,10:50.0,,R. Westbrook misses 2-pt layup from 2 ft,0,2
8,1,10:48.0,Defensive rebound by J. Freeland,,0,2
9,1,10:40.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),,3,2
10,1,10:25.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),3,4
11,1,9:59.0,L. Aldridge misses 2-pt hook shot from 1 ft,,3,4
12,1,9:58.0,Offensive rebound by L. Aldridge,,3,4
13,1,9:58.0,L. Aldridge makes 2-pt tip-in from 1 ft,,5,4
14,1,9:43.0,,S. Ibaka misses 2-pt jump shot from 20 ft,5,4
15,1,9:42.0,Defensive rebound by W. Matthews,,5,4
16,1,9:27.0,L. Aldridge makes 2-pt jump shot from 11 ft,,7,4
17,1,9:11.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by A. Roberson),7,6
18,1,8:46.0,J. Freeland misses 2-pt jump shot from 16 ft,,7,6
19,1,8:45.0,,Defensive rebound by A. Roberson,7,6
20,1,8:36.0,,R. Westbrook misses 2-pt layup from 1 ft,7,6
21,1,8:35.0,Defensive rebound by D. Lillard,,7,6
22,1,8:29.0,D. Lillard makes 3-pt jump shot from 25 ft,,10,6
23,1,8:13.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),10,8
24,1,7:52.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by W. Matthews),,13,8
25,1,7:40.0,,Personal foul by A. Crabbe (drawn by A. Roberson),13,8
26,1,7:32.0,,R. Westbrook makes 2-pt layup from 1 ft,13,10
27,1,7:15.0,D. Lillard misses 2-pt jump shot from 17 ft,,13,10
28,1,7:14.0,,Defensive rebound by S. Adams,13,10
29,1,7:07.0,,Turnover by R. Westbrook (lost ball; steal by A. Crabbe),13,10
30,1,7:01.0,A. Crabbe misses 3-pt jump shot from 23 ft,,13,10
31,1,6:59.0,,Defensive rebound by P. Jones,13,10
32,1,6:49.0,,S. Ibaka misses 3-pt jump shot from 24 ft,13,10
33,1,6:48.0,Defensive rebound by J. Freeland,,13,10
34,1,6:36.0,L. Aldridge misses 2-pt jump shot from 12 ft,,13,10
35,1,6:36.0,,Defensive rebound by P. Jones,13,10
36,1,6:20.0,,Turnover by P. Jones (bad pass; steal by J. Freeland),13,10
37,1,6:14.0,J. Freeland misses 2-pt layup from 2 ft (block by S. Ibaka),,13,10
38,1,6:13.0,,Defensive rebound by S. Ibaka,13,10
39,1,5:58.0,,S. Adams makes 2-pt layup at rim,13,12
40,1,5:58.0,,Shooting foul by J. Freeland (drawn by S. Adams),13,12
41,1,5:58.0,,Oklahoma City full timeout,13,12
42,1,5:58.0,C. Kaman enters the game for J. Freeland,,13,12
43,1,5:58.0,S. Blake enters the game for W. Matthews,,13,12
44,1,5:58.0,,R. Jackson enters the game for A. Roberson,13,12
45,1,5:58.0,,S. Adams makes free throw 1 of 1,13,13
46,1,5:45.0,Personal foul by R. Westbrook (drawn by D. Lillard),,13,13
47,1,5:38.0,A. Crabbe makes 2-pt jump shot from 5 ft (assist by D. Lillard),,15,13
48,1,5:25.0,,R. Westbrook misses 2-pt jump shot from 14 ft,15,13
49,1,5:24.0,Defensive rebound by D. Lillard,,15,13
50,1,5:12.0,C. Kaman makes 2-pt jump shot from 2 ft (assist by S. Blake),,17,13
