,QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
0,1,11:46.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by R. Rondo),0,2
1,1,11:28.0,Personal foul by R. Rondo (drawn by K. Lowry),,0,2
2,1,11:12.0,D. DeRozan makes 2-pt jump shot from 19 ft,,2,2
3,1,10:56.0,,T. Chandler makes 2-pt dunk at rim,2,4
4,1,10:36.0,D. DeRozan misses 2-pt jump shot from 16 ft,,2,4
5,1,10:35.0,,Defensive rebound by D. Nowitzki,2,4
6,1,10:26.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Rondo),2,7
7,1,10:08.0,Turnover by J. Johnson (bad pass; steal by D. Nowitzki),,2,7
8,1,10:07.0,,Personal take foul by A. Johnson (drawn by R. Jefferson),2,7
9,1,9:55.0,,Shooting foul by A. Johnson (drawn by D. Nowitzki),2,7
10,1,9:55.0,,D. Nowitzki makes free throw 1 of 2,2,8
11,1,9:55.0,P. Patterson enters the game for A. Johnson,,2,8
12,1,9:55.0,,D. Nowitzki makes free throw 2 of 2,2,9
13,1,9:37.0,K. Lowry makes 2-pt jump shot from 21 ft,,4,9
14,1,9:25.0,,Turnover by R. Jefferson (bad pass; steal by J. Johnson),4,9
15,1,9:24.0,Turnover by J. Johnson (traveling),,4,9
16,1,9:13.0,,R. Jefferson makes 2-pt jump shot from 16 ft,4,11
17,1,9:00.0,D. DeRozan misses 2-pt jump shot from 6 ft,,4,11
18,1,8:59.0,Offensive rebound by D. DeRozan,,4,11
19,1,8:57.0,Turnover by D. DeRozan (lost ball; steal by M. Ellis),,4,11
20,1,8:47.0,,R. Rondo misses 2-pt jump shot from 17 ft,4,11
21,1,8:46.0,Defensive rebound by J. Valančiūnas,,4,11
22,1,8:37.0,K. Lowry misses 2-pt jump shot from 10 ft,,4,11
23,1,8:36.0,,Defensive rebound by D. Nowitzki,4,11
24,1,8:29.0,,R. Jefferson misses 3-pt jump shot from 22 ft,4,11
25,1,8:27.0,Defensive rebound by P. Patterson,,4,11
26,1,8:18.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,6,11
27,1,7:58.0,,R. Rondo misses 2-pt jump shot from 21 ft,6,11
28,1,7:57.0,Defensive rebound by J. Valančiūnas,,6,11
