,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:38.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Lawson),0,3
1,1,11:13.0,D. Favors misses 2-pt jump shot from 4 ft (block by D. Gallinari),,0,3
2,1,11:12.0,Offensive rebound by R. Gobert,,0,3
3,1,11:11.0,Turnover by Team (shot clock),,0,3
4,1,10:47.0,,D. Gallinari misses 3-pt jump shot from 24 ft,0,3
5,1,10:45.0,Defensive rebound by R. Gobert,,0,3
6,1,10:30.0,D. Favors misses 2-pt jump shot from 15 ft,,0,3
7,1,10:27.0,,Defensive rebound by T. Lawson,0,3
8,1,10:11.0,,Shooting foul by D. Favors (drawn by K. Faried),0,3
9,1,10:11.0,,K. Faried makes free throw 1 of 2,0,4
10,1,10:11.0,,K. Faried misses free throw 2 of 2,0,4
11,1,10:09.0,Defensive rebound by D. Favors,,0,4
12,1,9:53.0,J. Ingles misses 3-pt jump shot from 24 ft,,0,4
13,1,9:50.0,,Defensive rebound by R. Foye,0,4
14,1,9:43.0,,Turnover by R. Foye (bad pass; steal by J. Ingles),0,4
15,1,9:33.0,Shooting foul by K. Faried (drawn by D. Favors),,0,4
16,1,9:33.0,D. Favors misses free throw 1 of 2,,0,4
17,1,9:33.0,Offensive rebound by Team,,0,4
18,1,9:33.0,D. Favors misses free throw 2 of 2,,0,4
19,1,9:31.0,,Defensive rebound by W. Chandler,0,4
20,1,9:17.0,,T. Lawson makes 2-pt jump shot from 9 ft,0,6
21,1,8:52.0,D. Exum misses 2-pt layup from 3 ft,,0,6
22,1,8:51.0,Offensive rebound by D. Exum,,0,6
23,1,8:40.0,D. Exum misses 3-pt jump shot from 23 ft,,0,6
24,1,8:39.0,Offensive rebound by R. Gobert,,0,6
25,1,8:38.0,Shooting foul by K. Faried (drawn by R. Gobert),,0,6
26,1,8:38.0,R. Gobert makes free throw 1 of 2,,1,6
27,1,8:38.0,,J. Hickson enters the game for K. Faried,1,6
28,1,8:38.0,R. Gobert makes free throw 2 of 2,,2,6
29,1,8:25.0,,Shooting foul by D. Exum (drawn by T. Lawson),2,6
30,1,8:25.0,,T. Lawson makes free throw 1 of 2,2,7
31,1,8:25.0,,T. Lawson makes free throw 2 of 2,2,8
32,1,8:08.0,Personal foul by T. Lawson (drawn by J. Ingles),,2,8
33,1,7:57.0,R. Gobert misses 2-pt jump shot from 3 ft (block by D. Gallinari),,2,8
34,1,7:55.0,,Defensive rebound by R. Foye,2,8
35,1,7:53.0,,R. Foye misses 2-pt jump shot from 4 ft (block by J. Ingles),2,8
36,1,7:52.0,Defensive rebound by Team,,2,8
37,1,7:40.0,Shooting foul by J. Hickson (drawn by D. Favors),,2,8
38,1,7:40.0,D. Favors makes free throw 1 of 2,,3,8
39,1,7:40.0,D. Favors makes free throw 2 of 2,,4,8
40,1,7:27.0,,Turnover by D. Gallinari (bad pass; steal by D. Exum),4,8
41,1,7:08.0,G. Hayward makes 2-pt jump shot from 16 ft,,6,8
42,1,6:56.0,,T. Lawson makes 2-pt layup from 1 ft,6,10
43,1,6:36.0,G. Hayward misses 2-pt layup from 2 ft (block by D. Gallinari),,6,10
44,1,6:34.0,,Defensive rebound by D. Gallinari,6,10
45,1,6:30.0,,W. Chandler makes 2-pt dunk at rim (assist by T. Lawson),6,12
46,1,6:30.0,Utah full timeout,,6,12
47,1,6:17.0,G. Hayward misses 3-pt jump shot from 25 ft,,6,12
48,1,6:16.0,Offensive rebound by D. Favors,,6,12
49,1,5:59.0,G. Hayward makes 2-pt jump shot from 15 ft (assist by R. Gobert),,8,12
50,1,5:41.0,,W. Chandler makes 3-pt jump shot from 23 ft (assist by T. Lawson),8,15
51,1,5:24.0,D. Favors misses 2-pt jump shot from 10 ft,,8,15
52,1,5:22.0,,Defensive rebound by W. Chandler,8,15
53,1,5:12.0,,J. Hickson misses 2-pt layup from 2 ft,8,15
54,1,5:11.0,Defensive rebound by R. Gobert,,8,15
55,1,5:02.0,,Offensive charge foul by D. Favors (drawn by J. Hickson),8,15
56,1,5:02.0,Turnover by D. Favors (offensive foul),,8,15
57,1,5:02.0,T. Burke enters the game for J. Ingles,,8,15
58,1,5:02.0,E. Millsap enters the game for D. Exum,,8,15
59,1,4:48.0,,T. Lawson misses 2-pt jump shot from 17 ft,8,15
60,1,4:46.0,Defensive rebound by G. Hayward,,8,15
61,1,4:40.0,Turnover by E. Millsap (lost ball),,8,15
62,1,4:40.0,T. Booker enters the game for D. Favors,,8,15
63,1,4:21.0,,D. Gallinari misses 2-pt jump shot from 22 ft,8,15
64,1,4:20.0,Defensive rebound by R. Gobert,,8,15
65,1,4:07.0,G. Hayward makes 2-pt jump shot from 9 ft,,10,15
66,1,4:01.0,,Denver full timeout,10,15
67,1,4:01.0,,J. Nelson enters the game for T. Lawson,10,15
68,1,3:52.0,,W. Chandler misses 2-pt jump shot from 9 ft,10,15
69,1,3:50.0,Defensive rebound by R. Gobert,,10,15
70,1,3:29.0,T. Burke misses 3-pt jump shot from 25 ft,,10,15
71,1,3:27.0,Offensive rebound by E. Millsap,,10,15
72,1,3:27.0,E. Millsap misses 2-pt tip-in from 1 ft,,10,15
73,1,3:26.0,Offensive rebound by Team,,10,15
74,1,3:26.0,,Loose ball foul by W. Chandler (drawn by T. Booker),10,15
75,1,3:26.0,T. Booker makes free throw 1 of 2,,11,15
76,1,3:26.0,,W. Barton enters the game for R. Foye,11,15
77,1,3:26.0,T. Booker makes free throw 2 of 2,,12,15
78,1,3:13.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by J. Nelson),12,18
79,1,2:51.0,G. Hayward makes 2-pt jump shot from 5 ft,,14,18
80,1,2:39.0,,J. Nelson misses 3-pt jump shot from 26 ft,14,18
81,1,2:37.0,Defensive rebound by G. Hayward,,14,18
