,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:45.0,,K. Faried misses 2-pt layup at rim,0,0
1,1,11:44.0,Defensive rebound by T. Black,,0,0
2,1,11:29.0,Shooting foul by K. Faried (drawn by T. Black),,0,0
3,1,11:29.0,T. Black makes free throw 1 of 2,,1,0
4,1,11:29.0,T. Black misses free throw 2 of 2,,1,0
5,1,11:27.0,,Defensive rebound by K. Faried,1,0
6,1,11:15.0,,D. Gallinari misses 2-pt jump shot from 14 ft,1,0
7,1,11:14.0,Defensive rebound by J. Brown,,1,0
8,1,11:10.0,Turnover by J. Brown (bad pass; steal by K. Faried),,1,0
9,1,10:58.0,,T. Lawson makes 2-pt layup at rim,1,2
10,1,10:37.0,J. Clarkson misses 2-pt jump shot from 15 ft,,1,2
11,1,10:36.0,,Defensive rebound by K. Faried,1,2
12,1,10:22.0,,Turnover by T. Lawson (bad pass; steal by R. Kelly),1,2
13,1,10:16.0,R. Kelly makes 2-pt dunk at rim (assist by J. Clarkson),,3,2
14,1,9:56.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by R. Foye),3,5
15,1,9:34.0,J. Brown misses 2-pt jump shot from 10 ft,,3,5
16,1,9:33.0,,Defensive rebound by R. Foye,3,5
17,1,9:29.0,,K. Faried makes 2-pt dunk at rim (assist by R. Foye),3,7
18,1,9:29.0,,Shooting foul by W. Johnson (drawn by K. Faried),3,7
19,1,9:29.0,,K. Faried makes free throw 1 of 1,3,8
20,1,9:12.0,R. Kelly misses 2-pt layup from 3 ft (block by D. Gallinari),,3,8
21,1,9:11.0,,Defensive rebound by Team,3,8
22,1,8:57.0,,Shooting foul by T. Black (drawn by K. Faried),3,8
23,1,8:57.0,,K. Faried makes free throw 1 of 2,3,9
24,1,8:57.0,,K. Faried makes free throw 2 of 2,3,10
25,1,8:49.0,Turnover by J. Clarkson (bad pass; steal by T. Lawson),,3,10
26,1,8:43.0,,R. Foye makes 3-pt jump shot from 23 ft (assist by T. Lawson),3,13
27,1,8:34.0,LA Lakers full timeout,,3,13
28,1,8:21.0,R. Kelly makes 3-pt jump shot from 25 ft,,6,13
29,1,8:03.0,,D. Gallinari makes 3-pt jump shot from 25 ft,6,16
30,1,7:46.0,W. Johnson makes 3-pt jump shot from 25 ft,,9,16
31,1,7:25.0,,W. Chandler misses 2-pt layup from 2 ft,9,16
32,1,7:24.0,,Offensive rebound by K. Faried,9,16
33,1,7:23.0,,Shooting foul by T. Black (drawn by K. Faried),9,16
34,1,7:23.0,,K. Faried makes free throw 1 of 2,9,17
35,1,7:23.0,E. Davis enters the game for T. Black,,9,17
36,1,7:23.0,,K. Faried makes free throw 2 of 2,9,18
37,1,7:13.0,E. Davis makes 2-pt layup from 2 ft (assist by J. Clarkson),,11,18
38,1,7:13.0,Shooting foul by W. Chandler (drawn by E. Davis),,11,18
39,1,7:13.0,E. Davis makes free throw 1 of 1,,12,18
40,1,7:06.0,,Personal foul by R. Kelly (drawn by D. Gallinari),12,18
41,1,7:02.0,,Personal foul by R. Kelly (drawn by D. Gallinari),12,18
42,1,7:02.0,,D. Gallinari misses free throw 1 of 2,12,18
43,1,7:02.0,,Offensive rebound by Team,12,18
44,1,7:02.0,,D. Gallinari makes free throw 2 of 2,12,19
45,1,6:51.0,J. Brown misses 3-pt jump shot from 25 ft,,12,19
46,1,6:50.0,,Defensive rebound by D. Gallinari,12,19
47,1,6:44.0,,Turnover by D. Gallinari (lost ball; steal by W. Johnson),12,19
48,1,6:32.0,Turnover by J. Clarkson (lost ball; steal by K. Faried),,12,19
49,1,6:31.0,,Clear path foul by J. Clarkson,12,19
50,1,6:31.0,,K. Faried makes clear path free throw 1 of 2,12,20
51,1,6:31.0,,K. Faried makes clear path free throw 2 of 2,12,21
52,1,6:24.0,,W. Chandler misses 2-pt jump shot from 19 ft,12,21
53,1,6:21.0,,Offensive rebound by K. Faried,12,21
54,1,6:21.0,,K. Faried misses 2-pt tip-in from 1 ft,12,21
55,1,6:18.0,Defensive rebound by J. Clarkson,,12,21
56,1,6:10.0,R. Kelly misses 3-pt jump shot from 23 ft,,12,21
57,1,6:08.0,,Defensive rebound by K. Faried,12,21
