,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:32.0,Turnover by Team (shot clock),,0,0
1,1,11:13.0,,D. Howard misses 2-pt jump shot from 3 ft (block by M. Ellis),0,0
2,1,11:12.0,Defensive rebound by M. Ellis,,0,0
3,1,11:06.0,R. Rondo misses 2-pt jump shot from 8 ft,,0,0
4,1,11:05.0,,Defensive rebound by D. Howard,0,0
5,1,10:57.0,,J. Harden makes 2-pt jump shot from 19 ft,0,2
6,1,10:38.0,Personal foul by T. Jones (drawn by M. Ellis),,0,2
7,1,10:24.0,M. Ellis misses 3-pt jump shot from 26 ft,,0,2
8,1,10:23.0,,Defensive rebound by J. Terry,0,2
9,1,10:14.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by T. Ariza),0,5
10,1,10:02.0,Personal foul by T. Ariza (drawn by D. Nowitzki),,0,5
11,1,9:57.0,Turnover by M. Ellis (bad pass),,0,5
12,1,9:48.0,,T. Jones misses 2-pt jump shot from 3 ft,0,5
13,1,9:47.0,Defensive rebound by T. Chandler,,0,5
14,1,9:41.0,R. Rondo misses 2-pt jump shot from 4 ft,,0,5
15,1,9:40.0,,Defensive rebound by T. Jones,0,5
16,1,9:34.0,,T. Ariza misses 3-pt jump shot from 23 ft,0,5
17,1,9:31.0,Defensive rebound by D. Nowitzki,,0,5
18,1,9:25.0,Turnover by R. Rondo (bad pass; steal by T. Jones),,0,5
19,1,9:13.0,,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),0,7
20,1,9:02.0,M. Ellis makes 2-pt hook shot from 6 ft,,2,7
21,1,8:36.0,,D. Howard misses 2-pt hook shot from 6 ft,2,7
22,1,8:35.0,Defensive rebound by D. Nowitzki,,2,7
23,1,8:26.0,R. Rondo makes 2-pt jump shot from 8 ft,,4,7
24,1,8:09.0,,J. Harden misses 2-pt jump shot from 5 ft,4,7
25,1,8:08.0,Defensive rebound by D. Nowitzki,,4,7
26,1,8:01.0,R. Rondo makes 2-pt layup from 1 ft,,6,7
27,1,7:43.0,,Shooting foul by R. Jefferson (drawn by T. Jones),6,7
28,1,7:43.0,,T. Jones makes free throw 1 of 2,6,8
29,1,7:43.0,,T. Jones misses free throw 2 of 2,6,8
30,1,7:43.0,Defensive rebound by T. Chandler,,6,8
31,1,7:30.0,,J. Terry makes 3-pt jump shot from 26 ft (assist by D. Howard),6,11
32,1,7:02.0,R. Jefferson misses 3-pt jump shot from 26 ft,,6,11
33,1,7:01.0,,Defensive rebound by D. Howard,6,11
34,1,6:54.0,,T. Ariza misses 2-pt layup from 2 ft,6,11
35,1,6:54.0,,Offensive rebound by Team,6,11
36,1,6:54.0,Loose ball foul by D. Nowitzki (drawn by D. Howard),,6,11
37,1,6:54.0,J. Barea enters the game for R. Rondo,,6,11
38,1,6:46.0,,D. Howard misses 2-pt layup from 3 ft,6,11
39,1,6:45.0,Defensive rebound by D. Nowitzki,,6,11
40,1,6:41.0,R. Jefferson makes 2-pt dunk at rim (assist by M. Ellis),,8,11
41,1,6:30.0,,J. Harden makes 2-pt jump shot from 5 ft,8,13
42,1,6:30.0,,Shooting foul by R. Jefferson (drawn by J. Harden),8,13
43,1,6:30.0,A. Aminu enters the game for R. Jefferson,,8,13
44,1,6:30.0,,J. Harden makes free throw 1 of 1,8,14
45,1,6:17.0,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),,10,14
46,1,5:56.0,,T. Jones misses 2-pt layup from 1 ft,10,14
47,1,5:55.0,Defensive rebound by T. Chandler,,10,14
48,1,5:49.0,Turnover by J. Barea (bad pass; steal by J. Terry),,10,14
49,1,5:45.0,,J. Harden makes 2-pt dunk at rim (assist by J. Terry),10,16
50,1,5:43.0,Dallas full timeout,,10,16
51,1,5:43.0,,C. Capela enters the game for D. Howard,10,16
