,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:37.0,S. Hill misses 2-pt jump shot from 5 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Gortat,0,0
2,1,11:23.0,,J. Wall misses 2-pt jump shot from 20 ft,0,0
3,1,11:22.0,Defensive rebound by S. Hill,,0,0
4,1,11:08.0,R. Hibbert misses 2-pt jump shot from 9 ft,,0,0
5,1,11:07.0,,Defensive rebound by P. Pierce,0,0
6,1,10:58.0,,Personal foul by R. Hibbert (drawn by M. Gortat),0,0
7,1,10:45.0,,M. Gortat misses 2-pt jump shot from 6 ft,0,0
8,1,10:44.0,Defensive rebound by D. West,,0,0
9,1,10:39.0,S. Hill makes 2-pt layup at rim,,2,0
10,1,10:27.0,,P. Pierce misses 2-pt jump shot from 14 ft,2,0
11,1,10:25.0,Defensive rebound by D. West,,2,0
12,1,10:14.0,G. Hill makes 2-pt layup from 1 ft (assist by D. West),,4,0
13,1,9:52.0,,Turnover by N. Hilário (lost ball; steal by D. West),4,0
14,1,9:46.0,S. Hill misses 2-pt jump shot from 19 ft,,4,0
15,1,9:45.0,,Defensive rebound by M. Gortat,4,0
16,1,9:36.0,,J. Wall misses 2-pt jump shot from 17 ft,4,0
17,1,9:35.0,Defensive rebound by S. Hill,,4,0
18,1,9:26.0,D. West misses 2-pt jump shot from 22 ft,,4,0
19,1,9:25.0,,Defensive rebound by P. Pierce,4,0
20,1,9:14.0,,N. Hilário misses 2-pt jump shot from 15 ft,4,0
21,1,9:13.0,Defensive rebound by R. Hibbert,,4,0
22,1,8:58.0,Shooting foul by N. Hilário (drawn by G. Hill),,4,0
23,1,8:58.0,G. Hill makes free throw 1 of 2,,5,0
24,1,8:58.0,G. Hill makes free throw 2 of 2,,6,0
25,1,8:36.0,,B. Beal makes 2-pt jump shot from 19 ft,6,2
26,1,8:19.0,R. Hibbert misses 2-pt jump shot from 15 ft,,6,2
27,1,8:18.0,,Defensive rebound by N. Hilário,6,2
28,1,8:12.0,,B. Beal misses 3-pt jump shot from 25 ft,6,2
29,1,8:10.0,Defensive rebound by G. Hill,,6,2
30,1,8:00.0,D. West misses 2-pt jump shot from 7 ft,,6,2
31,1,7:59.0,,Defensive rebound by M. Gortat,6,2
32,1,7:48.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),6,5
33,1,7:31.0,C. Miles misses 3-pt jump shot from 27 ft,,6,5
34,1,7:30.0,,Defensive rebound by P. Pierce,6,5
35,1,7:24.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),6,7
36,1,7:00.0,Turnover by G. Hill (step out of bounds),,6,7
37,1,6:50.0,,P. Pierce makes 3-pt jump shot from 22 ft (assist by B. Beal),6,10
38,1,6:50.0,Indiana full timeout,,6,10
39,1,6:27.0,D. West misses 2-pt jump shot from 17 ft,,6,10
40,1,6:26.0,,Defensive rebound by M. Gortat,6,10
41,1,6:07.0,,N. Hilário misses 2-pt jump shot from 17 ft,6,10
42,1,6:06.0,Defensive rebound by D. West,,6,10
43,1,5:45.0,C. Miles makes 3-pt jump shot from 26 ft (assist by G. Hill),,9,10
44,1,5:23.0,,B. Beal misses 2-pt jump shot from 18 ft,9,10
45,1,5:22.0,Defensive rebound by S. Hill,,9,10
46,1,5:17.0,Personal foul by J. Wall (drawn by G. Hill),,9,10
47,1,5:17.0,,M. Webster enters the game for P. Pierce,9,10
48,1,5:07.0,Turnover by S. Hill (bad pass; steal by J. Wall),,9,10
49,1,5:03.0,,J. Wall makes 2-pt dunk at rim,9,12
50,1,4:52.0,G. Hill misses 3-pt jump shot from 28 ft,,9,12
51,1,4:51.0,,Defensive rebound by M. Webster,9,12
