,QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
0,1,11:48.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Jackson),,2,0
1,1,11:29.0,,B. Bass misses 2-pt jump shot from 12 ft,2,0
2,1,11:28.0,Defensive rebound by A. Drummond,,2,0
3,1,11:11.0,R. Jackson makes 2-pt jump shot from 8 ft (assist by A. Drummond),,4,0
4,1,10:51.0,,B. Bass makes 2-pt jump shot from 17 ft (assist by A. Bradley),4,2
5,1,10:25.0,Turnover by C. Butler (bad pass; steal by T. Zeller),,4,2
6,1,10:15.0,,B. Bass makes 2-pt jump shot from 13 ft (assist by A. Bradley),4,4
7,1,9:57.0,A. Drummond makes 2-pt hook shot from 8 ft,,6,4
8,1,9:41.0,,T. Zeller makes 2-pt layup at rim (assist by E. Turner),6,6
9,1,9:24.0,C. Butler makes 2-pt jump shot from 20 ft,,8,6
10,1,9:07.0,,B. Bass makes 2-pt dunk at rim (assist by J. Crowder),8,8
11,1,8:44.0,A. Drummond misses 2-pt hook shot from 13 ft,,8,8
12,1,8:43.0,,Defensive rebound by J. Crowder,8,8
13,1,8:35.0,,B. Bass misses 2-pt jump shot from 14 ft,8,8
14,1,8:34.0,Defensive rebound by R. Jackson,,8,8
15,1,8:28.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,8,8
16,1,8:27.0,,Defensive rebound by A. Bradley,8,8
17,1,8:12.0,,Shooting foul by A. Tolliver (drawn by T. Zeller),8,8
18,1,8:12.0,,T. Zeller makes free throw 1 of 2,8,9
19,1,8:12.0,,T. Zeller makes free throw 2 of 2,8,10
20,1,7:57.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by R. Jackson),,10,10
21,1,7:41.0,,E. Turner makes 2-pt jump shot from 5 ft,10,12
22,1,7:21.0,C. Butler misses 2-pt jump shot from 15 ft,,10,12
23,1,7:20.0,Offensive rebound by A. Drummond,,10,12
24,1,7:16.0,Turnover by K. Caldwell-Pope (traveling),,10,12
25,1,7:01.0,,T. Zeller misses 2-pt hook shot from 7 ft,10,12
26,1,7:00.0,Defensive rebound by R. Jackson,,10,12
27,1,6:48.0,K. Caldwell-Pope misses 2-pt jump shot from 2 ft,,10,12
28,1,6:47.0,,Defensive rebound by E. Turner,10,12
29,1,6:44.0,,Personal foul by C. Butler (drawn by B. Bass),10,12
30,1,6:31.0,,J. Crowder misses 3-pt jump shot from 25 ft,10,12
31,1,6:30.0,Defensive rebound by A. Drummond,,10,12
32,1,6:24.0,C. Butler makes 3-pt jump shot from 23 ft (assist by R. Jackson),,13,12
33,1,6:24.0,Shooting foul by J. Crowder (drawn by C. Butler),,13,12
34,1,6:24.0,C. Butler makes free throw 1 of 1,,14,12
35,1,6:15.0,,A. Bradley makes 2-pt jump shot from 21 ft (assist by T. Zeller),14,14
36,1,5:52.0,A. Tolliver misses 3-pt jump shot from 22 ft,,14,14
37,1,5:51.0,Offensive rebound by A. Drummond,,14,14
38,1,5:46.0,R. Jackson makes 2-pt layup from 1 ft (assist by A. Drummond),,16,14
39,1,5:36.0,,T. Zeller makes 2-pt jump shot from 20 ft (assist by E. Turner),16,16
40,1,5:28.0,C. Butler misses 2-pt jump shot from 17 ft,,16,16
41,1,5:27.0,Offensive rebound by A. Drummond,,16,16
42,1,5:23.0,A. Drummond makes 2-pt hook shot from 6 ft,,18,16
43,1,5:09.0,,T. Zeller misses 2-pt jump shot from 17 ft,18,16
44,1,5:08.0,Defensive rebound by A. Drummond,,18,16
45,1,5:03.0,,Violation by J. Crowder (kicked ball),18,16
46,1,5:03.0,,Boston full timeout,18,16
47,1,5:03.0,,K. Olynyk enters the game for T. Zeller,18,16
48,1,5:03.0,,L. Datome enters the game for J. Crowder,18,16
49,1,4:57.0,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by B. Bass),,18,16
50,1,4:56.0,,Defensive rebound by K. Olynyk,18,16
51,1,4:37.0,,A. Bradley misses 2-pt jump shot from 19 ft,18,16
52,1,4:36.0,Defensive rebound by Team,,18,16
53,1,4:27.0,Personal foul by K. Olynyk (drawn by A. Drummond),,18,16
54,1,4:18.0,R. Jackson misses 2-pt jump shot from 18 ft,,18,16
55,1,4:17.0,,Defensive rebound by E. Turner,18,16
56,1,4:11.0,,Personal foul by R. Jackson (drawn by E. Turner),18,16
57,1,4:11.0,J. Meeks enters the game for C. Butler,,18,16
58,1,4:04.0,,B. Bass misses 2-pt jump shot from 16 ft,18,16
59,1,4:03.0,Defensive rebound by K. Caldwell-Pope,,18,16
60,1,3:46.0,A. Drummond misses 2-pt jump shot from 3 ft (block by B. Bass),,18,16
61,1,3:45.0,,Defensive rebound by B. Bass,18,16
62,1,3:36.0,,Turnover by A. Bradley (lost ball),18,16
63,1,3:19.0,A. Tolliver misses 2-pt layup from 2 ft (block by K. Olynyk),,18,16
64,1,3:18.0,Offensive rebound by Team,,18,16
65,1,3:07.0,A. Tolliver misses 2-pt jump shot from 11 ft,,18,16
66,1,3:06.0,,Defensive rebound by E. Turner,18,16
67,1,2:59.0,Detroit full timeout,,18,16
68,1,2:51.0,,E. Turner misses 3-pt jump shot from 22 ft,18,16
69,1,2:49.0,Defensive rebound by A. Drummond,,18,16
70,1,2:43.0,Turnover by R. Jackson (bad pass),,18,16
71,1,2:22.0,,B. Bass makes 3-pt jump shot from 23 ft (assist by K. Olynyk),18,19
72,1,1:54.0,A. Drummond misses 2-pt jump shot from 9 ft,,18,19
73,1,1:52.0,,Defensive rebound by E. Turner,18,19
74,1,1:42.0,,K. Olynyk misses 2-pt layup from 1 ft (block by A. Drummond),18,19
75,1,1:41.0,Defensive rebound by R. Jackson,,18,19
76,1,1:32.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft,,20,19
77,1,1:15.0,,E. Turner makes 2-pt jump shot from 13 ft,20,21
78,1,1:01.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,20,21
79,1,1:00.0,Offensive rebound by A. Drummond,,20,21
80,1,1:00.0,A. Drummond makes 2-pt tip-in at rim,,22,21
81,1,0:43.0,,Turnover by L. Datome (bad pass; steal by K. Caldwell-Pope),22,21
82,1,0:41.0,K. Caldwell-Pope makes 2-pt dunk at rim (assist by R. Jackson),,24,21
83,1,0:28.0,,Shooting foul by A. Drummond (drawn by A. Bradley),24,21
84,1,0:28.0,,A. Bradley makes free throw 1 of 2,24,22
85,1,0:28.0,,P. Pressey enters the game for E. Turner,24,22
86,1,0:28.0,,J. Crowder enters the game for L. Datome,24,22
87,1,0:28.0,,A. Bradley makes free throw 2 of 2,24,23
88,1,0:08.0,R. Jackson makes 2-pt layup at rim,,26,23
89,1,0:04.0,,J. Crowder misses 3-pt jump shot from 25 ft,26,23
90,1,0:02.0,Defensive rebound by R. Jackson,,26,23
91,1,0:00.0,R. Jackson misses 3-pt jump shot from 61 ft,,26,23
92,1,0:00.0,Offensive rebound by Team,,26,23
93,2,11:51.0,,K. Olynyk misses 3-pt jump shot from 23 ft,26,23
94,2,11:49.0,Defensive rebound by S. Dinwiddie,,26,23
95,2,11:40.0,A. Drummond misses 2-pt hook shot from 6 ft,,26,23
96,2,11:39.0,,Defensive rebound by J. Crowder,26,23
97,2,11:27.0,,J. Crowder misses 2-pt layup from 2 ft (block by A. Drummond),26,23
98,2,11:25.0,Defensive rebound by S. Dinwiddie,,26,23
99,2,11:15.0,T. Prince misses 2-pt jump shot from 20 ft,,26,23
100,2,11:14.0,,Defensive rebound by J. Crowder,26,23
101,2,10:56.0,,K. Olynyk misses 2-pt jump shot from 22 ft,26,23
102,2,10:55.0,,Offensive rebound by J. Jerebko,26,23
103,2,10:50.0,,J. Jerebko misses 2-pt hook shot from 6 ft,26,23
104,2,10:49.0,Defensive rebound by T. Prince,,26,23
105,2,10:26.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,26,23
106,2,10:25.0,,Defensive rebound by G. Wallace,26,23
107,2,10:07.0,,J. Jerebko makes 2-pt jump shot from 19 ft (assist by G. Wallace),26,25
108,2,9:47.0,J. Meeks misses 3-pt jump shot from 25 ft,,26,25
109,2,9:46.0,,Defensive rebound by G. Wallace,26,25
110,2,9:38.0,,Shooting foul by S. Dinwiddie (drawn by P. Pressey),26,25
111,2,9:38.0,,P. Pressey misses free throw 1 of 2,26,25
112,2,9:38.0,,Offensive rebound by Team,26,25
113,2,9:38.0,J. Anthony enters the game for A. Drummond,,26,25
114,2,9:38.0,C. Butler enters the game for K. Caldwell-Pope,,26,25
115,2,9:38.0,,P. Pressey makes free throw 2 of 2,26,26
116,2,9:25.0,J. Meeks misses 3-pt jump shot from 24 ft,,26,26
117,2,9:24.0,,Defensive rebound by K. Olynyk,26,26
118,2,9:14.0,,K. Olynyk makes 2-pt dunk at rim (assist by P. Pressey),26,28
119,2,9:04.0,Detroit full timeout,,26,28
120,2,8:54.0,J. Meeks makes 2-pt jump shot from 12 ft (assist by S. Dinwiddie),,28,28
121,2,8:35.0,,J. Crowder misses 3-pt jump shot from 23 ft,28,28
122,2,8:33.0,,Offensive rebound by G. Wallace,28,28
123,2,8:25.0,,J. Crowder misses 2-pt jump shot from 22 ft,28,28
124,2,8:23.0,,Offensive rebound by K. Olynyk,28,28
