,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:37.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,2,0
1,1,11:14.0,,L. Amundson misses 2-pt layup from 2 ft,2,0
2,1,11:13.0,Defensive rebound by J. Valančiūnas,,2,0
3,1,10:53.0,D. DeRozan misses 2-pt jump shot from 13 ft,,2,0
4,1,10:52.0,,Defensive rebound by T. Hardaway,2,0
5,1,10:46.0,,T. Hardaway misses 3-pt jump shot from 24 ft,2,0
6,1,10:44.0,Defensive rebound by J. Valančiūnas,,2,0
7,1,10:34.0,D. DeRozan misses 2-pt layup from 2 ft,,2,0
8,1,10:33.0,Offensive rebound by A. Johnson,,2,0
9,1,10:22.0,G. Vásquez misses 2-pt jump shot from 23 ft,,2,0
10,1,10:21.0,,Defensive rebound by L. Galloway,2,0
11,1,10:03.0,,Shooting foul by J. Valančiūnas (drawn by A. Bargnani),2,0
12,1,10:03.0,,A. Bargnani makes free throw 1 of 2,2,1
13,1,10:03.0,,A. Bargnani makes free throw 2 of 2,2,2
14,1,9:51.0,Shooting foul by L. Amundson (drawn by D. DeRozan),,2,2
15,1,9:51.0,D. DeRozan makes free throw 1 of 2,,3,2
16,1,9:51.0,D. DeRozan makes free throw 2 of 2,,4,2
17,1,9:30.0,,T. Hardaway misses 2-pt jump shot from 17 ft,4,2
18,1,9:29.0,,Offensive rebound by C. Early,4,2
19,1,9:29.0,,C. Early misses 2-pt tip-in from 2 ft,4,2
20,1,9:28.0,Defensive rebound by J. Valančiūnas,,4,2
21,1,9:18.0,J. Johnson makes 2-pt dunk at rim,,6,2
22,1,8:59.0,,C. Early makes 2-pt jump shot from 19 ft (assist by L. Amundson),6,4
23,1,8:41.0,Turnover by G. Vásquez (bad pass; steal by C. Early),,6,4
24,1,8:37.0,,C. Early misses 2-pt layup from 2 ft (block by J. Johnson),6,4
25,1,8:35.0,,Offensive rebound by Team,6,4
26,1,8:21.0,,A. Bargnani misses 2-pt jump shot from 11 ft (block by J. Johnson),6,4
27,1,8:20.0,,Offensive rebound by L. Galloway,6,4
28,1,8:19.0,,L. Galloway makes 3-pt jump shot from 25 ft,6,7
29,1,7:54.0,J. Johnson misses 2-pt layup from 1 ft,,6,7
30,1,7:53.0,Offensive rebound by Team,,6,7
31,1,7:34.0,A. Johnson misses 3-pt jump shot from 26 ft,,6,7
32,1,7:33.0,,Defensive rebound by L. Galloway,6,7
33,1,7:28.0,,Offensive foul by L. Amundson (drawn by G. Vásquez),6,7
34,1,7:28.0,,Turnover by L. Amundson (offensive foul),6,7
35,1,7:28.0,,C. Aldrich enters the game for L. Amundson,6,7
36,1,7:15.0,A. Johnson makes 2-pt dunk at rim (assist by G. Vásquez),,8,7
37,1,6:48.0,,T. Hardaway makes 3-pt jump shot from 26 ft,8,10
38,1,6:38.0,Shooting foul by C. Early (drawn by J. Valančiūnas),,8,10
39,1,6:38.0,J. Valančiūnas misses free throw 1 of 2,,8,10
40,1,6:38.0,Offensive rebound by Team,,8,10
41,1,6:38.0,J. Valančiūnas misses free throw 2 of 2,,8,10
42,1,6:37.0,,Defensive rebound by C. Early,8,10
43,1,6:14.0,,C. Aldrich misses 2-pt hook shot from 5 ft,8,10
44,1,6:13.0,,Offensive rebound by L. Galloway,8,10
45,1,6:01.0,,Shooting foul by J. Valančiūnas (drawn by C. Early),8,10
46,1,6:01.0,,C. Early misses free throw 1 of 2,8,10
47,1,6:01.0,,Offensive rebound by Team,8,10
48,1,6:01.0,P. Patterson enters the game for J. Valančiūnas,,8,10
49,1,6:01.0,,C. Early makes free throw 2 of 2,8,11
50,1,5:48.0,D. DeRozan misses 2-pt jump shot from 12 ft,,8,11
51,1,5:47.0,Offensive rebound by A. Johnson,,8,11
52,1,5:47.0,A. Johnson makes 2-pt layup from 2 ft,,10,11
53,1,5:34.0,,Shooting foul by A. Johnson (drawn by A. Bargnani),10,11
54,1,5:34.0,,New York full timeout,10,11
55,1,5:34.0,,A. Bargnani makes free throw 1 of 2,10,12
56,1,5:34.0,,A. Bargnani makes free throw 2 of 2,10,13
57,1,5:21.0,G. Vásquez misses 3-pt jump shot from 25 ft,,10,13
58,1,5:20.0,Offensive rebound by A. Johnson,,10,13
59,1,5:14.0,D. DeRozan makes 2-pt jump shot from 13 ft (assist by A. Johnson),,12,13
60,1,4:49.0,,C. Early misses 2-pt layup from 2 ft,12,13
61,1,4:48.0,Defensive rebound by Team,,12,13
62,1,4:48.0,,J. Smith enters the game for A. Bargnani,12,13
63,1,4:32.0,J. Johnson misses 2-pt jump shot from 4 ft,,12,13
64,1,4:31.0,,Defensive rebound by C. Aldrich,12,13
65,1,4:23.0,,Turnover by L. Galloway (bad pass; steal by A. Johnson),12,13
66,1,4:16.0,Turnover by P. Patterson (bad pass),,12,13
67,1,4:16.0,,L. Thomas enters the game for C. Early,12,13
68,1,4:10.0,,Turnover by J. Smith (bad pass; steal by D. DeRozan),12,13
69,1,4:04.0,D. DeRozan misses 2-pt dunk at rim,,12,13
70,1,4:03.0,,Defensive rebound by T. Hardaway,12,13
71,1,3:54.0,T. Ross enters the game for J. Johnson,,12,13
72,1,3:54.0,L. Williams enters the game for G. Vásquez,,12,13
73,1,3:41.0,,T. Hardaway makes 2-pt jump shot from 20 ft (assist by J. Smith),12,15
74,1,3:22.0,Turnover by T. Ross (bad pass; steal by C. Aldrich),,12,15
75,1,3:09.0,,Turnover by L. Thomas (bad pass),12,15
76,1,3:09.0,,S. Larkin enters the game for L. Galloway,12,15
77,1,2:49.0,A. Johnson misses 2-pt hook shot from 5 ft,,12,15
78,1,2:48.0,,Defensive rebound by J. Smith,12,15
79,1,2:40.0,,J. Smith misses 2-pt jump shot from 15 ft,12,15
80,1,2:39.0,Defensive rebound by P. Patterson,,12,15
81,1,2:23.0,D. DeRozan makes 2-pt jump shot from 8 ft,,14,15
82,1,2:12.0,,Personal foul by P. Patterson (drawn by T. Hardaway),14,15
83,1,2:12.0,Toronto full timeout,,14,15
84,1,2:12.0,T. Hansbrough enters the game for A. Johnson,,14,15
85,1,1:57.0,,T. Hardaway makes 3-pt jump shot from 27 ft (assist by L. Thomas),14,18
86,1,1:31.0,L. Williams misses 2-pt layup at rim (block by C. Aldrich),,14,18
87,1,1:30.0,,Defensive rebound by S. Larkin,14,18
88,1,1:15.0,,C. Aldrich makes 2-pt hook shot from 4 ft (assist by T. Hardaway),14,20
89,1,1:02.0,Personal foul by T. Hardaway (drawn by D. DeRozan),,14,20
90,1,1:02.0,,A. Shved enters the game for S. Larkin,14,20
91,1,0:55.0,T. Ross misses 2-pt layup from 2 ft,,14,20
92,1,0:54.0,Offensive rebound by T. Hansbrough,,14,20
93,1,0:53.0,Shooting foul by C. Aldrich (drawn by T. Hansbrough),,14,20
94,1,0:53.0,T. Hansbrough makes free throw 1 of 2,,15,20
95,1,0:53.0,T. Hansbrough misses free throw 2 of 2,,15,20
96,1,0:52.0,,Defensive rebound by J. Smith,15,20
97,1,0:28.0,,A. Shved misses 3-pt jump shot from 24 ft,15,20
98,1,0:27.0,Defensive rebound by T. Ross,,15,20
99,1,0:06.0,L. Williams misses 3-pt jump shot from 25 ft,,15,20
100,1,0:05.0,,Defensive rebound by J. Smith,15,20
101,1,0:00.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by J. Smith),15,22
102,2,11:41.0,,L. Thomas misses 2-pt jump shot from 13 ft,15,22
103,2,11:40.0,,Offensive rebound by L. Thomas,15,22
104,2,11:32.0,,A. Shved makes 3-pt jump shot from 24 ft,15,25
105,2,11:12.0,P. Patterson misses 3-pt jump shot from 23 ft,,15,25
106,2,11:11.0,,Defensive rebound by C. Aldrich,15,25
107,2,11:05.0,,Offensive foul by C. Aldrich (drawn by L. Williams),15,25
