,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:41.0,M. Williams misses 3-pt jump shot from 25 ft,,0,0
1,1,11:39.0,,Defensive rebound by K. Faried,0,0
2,1,11:21.0,,A. Afflalo makes 3-pt jump shot from 23 ft (assist by K. Faried),0,3
3,1,11:04.0,Turnover by R. Hummel (bad pass; steal by W. Chandler),,0,3
4,1,10:51.0,,K. Faried misses 2-pt hook shot from 7 ft,0,3
5,1,10:51.0,Defensive rebound by Team,,0,3
6,1,10:51.0,,Loose ball foul by J. Nurkić (drawn by G. Dieng),0,3
7,1,10:40.0,T. Young misses 2-pt layup from 2 ft,,0,3
8,1,10:39.0,,Defensive rebound by J. Nurkić,0,3
9,1,10:27.0,,W. Chandler makes 2-pt jump shot from 5 ft (assist by A. Afflalo),0,5
10,1,10:12.0,A. Wiggins makes 2-pt dunk at rim (assist by T. Young),,2,5
11,1,9:54.0,,Shooting foul by M. Williams (drawn by T. Lawson),2,5
12,1,9:54.0,,T. Lawson makes free throw 1 of 2,2,6
13,1,9:54.0,,T. Lawson makes free throw 2 of 2,2,7
14,1,9:37.0,G. Dieng makes 2-pt jump shot from 12 ft (assist by A. Wiggins),,4,7
15,1,9:16.0,,T. Lawson makes 3-pt jump shot from 24 ft (assist by J. Nurkić),4,10
16,1,8:56.0,G. Dieng misses 2-pt layup at rim (block by K. Faried),,4,10
17,1,8:55.0,Offensive rebound by Team,,4,10
18,1,8:45.0,M. Williams makes 2-pt jump shot from 22 ft,,6,10
19,1,8:33.0,,A. Afflalo misses 2-pt jump shot from 18 ft,6,10
20,1,8:31.0,Defensive rebound by R. Hummel,,6,10
21,1,8:16.0,T. Young misses 3-pt jump shot from 24 ft,,6,10
22,1,8:14.0,,Defensive rebound by J. Nurkić,6,10
23,1,8:10.0,,W. Chandler misses 2-pt jump shot from 20 ft,6,10
24,1,8:09.0,,Offensive rebound by J. Nurkić,6,10
25,1,8:08.0,,J. Nurkić misses 2-pt layup from 2 ft,6,10
26,1,8:08.0,,Offensive rebound by J. Nurkić,6,10
27,1,8:07.0,,Shooting foul by G. Dieng (drawn by J. Nurkić),6,10
28,1,8:07.0,,J. Nurkić makes free throw 1 of 2,6,11
29,1,8:07.0,,J. Nurkić makes free throw 2 of 2,6,12
30,1,7:53.0,A. Wiggins makes 2-pt jump shot from 21 ft,,8,12
31,1,7:37.0,,T. Lawson misses 3-pt jump shot from 24 ft,8,12
32,1,7:35.0,Defensive rebound by A. Wiggins,,8,12
33,1,7:24.0,A. Wiggins makes 3-pt jump shot from 22 ft (assist by M. Williams),,11,12
34,1,7:06.0,,K. Faried misses 2-pt jump shot from 19 ft,11,12
35,1,7:05.0,Defensive rebound by M. Williams,,11,12
36,1,6:59.0,Shooting foul by T. Lawson (drawn by M. Williams),,11,12
37,1,6:59.0,M. Williams makes free throw 1 of 2,,12,12
38,1,6:59.0,M. Williams makes free throw 2 of 2,,13,12
39,1,6:45.0,,W. Chandler misses 2-pt jump shot from 6 ft,13,12
40,1,6:44.0,,Offensive rebound by Team,13,12
41,1,6:38.0,,A. Afflalo misses 2-pt jump shot from 5 ft (block by A. Wiggins),13,12
42,1,6:36.0,Defensive rebound by R. Hummel,,13,12
43,1,6:29.0,M. Williams misses 3-pt jump shot from 24 ft,,13,12
44,1,6:27.0,,Defensive rebound by A. Afflalo,13,12
45,1,6:18.0,,J. Nurkić misses 2-pt dunk at rim (block by G. Dieng),13,12
46,1,6:16.0,Defensive rebound by T. Young,,13,12
47,1,6:06.0,R. Hummel makes 3-pt jump shot from 25 ft (assist by M. Williams),,16,12
48,1,5:59.0,,Denver full timeout,16,12
49,1,5:59.0,,J. Hickson enters the game for K. Faried,16,12
50,1,5:41.0,,A. Afflalo misses 3-pt jump shot from 23 ft,16,12
51,1,5:40.0,Defensive rebound by A. Wiggins,,16,12
52,1,5:24.0,G. Dieng makes 2-pt jump shot from 14 ft,,18,12
53,1,5:05.0,,Personal block foul by T. Young (drawn by J. Hickson),18,12
54,1,5:05.0,,J. Hickson makes free throw 1 of 2,18,13
55,1,5:05.0,,J. Hickson makes free throw 2 of 2,18,14
56,1,4:46.0,T. Young misses 2-pt dunk at rim,,18,14
57,1,4:45.0,Offensive rebound by M. Williams,,18,14
58,1,4:41.0,M. Williams misses 2-pt jump shot from 18 ft,,18,14
59,1,4:41.0,,Defensive rebound by Team,18,14
60,1,4:33.0,,J. Hickson misses 2-pt jump shot from 6 ft,18,14
61,1,4:32.0,,Offensive rebound by Team,18,14
62,1,4:32.0,Loose ball foul by R. Hummel (drawn by J. Nurkić),,18,14
63,1,4:26.0,,J. Hickson misses 2-pt jump shot from 4 ft,18,14
64,1,4:25.0,,Offensive rebound by J. Nurkić,18,14
65,1,4:24.0,,J. Nurkić makes 2-pt layup from 2 ft,18,16
66,1,4:08.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by M. Williams),,21,16
67,1,3:55.0,,T. Lawson makes 2-pt jump shot from 5 ft,21,18
68,1,3:42.0,Shooting foul by J. Nurkić (drawn by T. Young),,21,18
69,1,3:42.0,T. Young makes free throw 1 of 2,,22,18
70,1,3:42.0,C. Budinger enters the game for R. Hummel,,22,18
71,1,3:42.0,,D. Arthur enters the game for J. Nurkić,22,18
72,1,3:42.0,T. Young makes free throw 2 of 2,,23,18
73,1,3:32.0,Violation by G. Dieng (kicked ball),,23,18
74,1,3:32.0,A. Bennett enters the game for T. Young,,23,18
75,1,3:29.0,,J. Hickson makes 2-pt layup at rim (assist by T. Lawson),23,20
76,1,3:29.0,,Shooting foul by C. Budinger (drawn by J. Hickson),23,20
77,1,3:29.0,,J. Hickson makes free throw 1 of 1,23,21
78,1,3:19.0,Turnover by M. Williams (bad pass),,23,21
79,1,3:00.0,,W. Chandler misses 3-pt jump shot from 26 ft,23,21
80,1,2:59.0,Defensive rebound by A. Wiggins,,23,21
81,1,2:51.0,M. Williams makes 2-pt layup from 1 ft,,25,21
82,1,2:39.0,,D. Arthur makes 2-pt jump shot from 17 ft (assist by T. Lawson),25,23
83,1,2:24.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by M. Williams),,28,23
84,1,2:11.0,,T. Lawson misses 2-pt jump shot from 16 ft,28,23
85,1,2:10.0,Defensive rebound by G. Dieng,,28,23
86,1,1:56.0,A. Bennett misses 2-pt jump shot from 19 ft,,28,23
87,1,1:55.0,,Defensive rebound by A. Afflalo,28,23
88,1,1:49.0,,A. Afflalo makes 2-pt jump shot from 19 ft,28,25
89,1,1:42.0,Minnesota full timeout,,28,25
90,1,1:42.0,,R. Foye enters the game for W. Chandler,28,25
91,1,1:42.0,,K. Faried enters the game for A. Afflalo,28,25
