,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:47.0,,M. Ellis misses 2-pt jump shot from 9 ft,0,0
1,1,11:45.0,Defensive rebound by Ö. Aşık,,0,0
2,1,11:45.0,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),,2,0
3,1,11:15.0,,M. Ellis makes 2-pt layup from 1 ft,2,2
4,1,11:15.0,,Violation by M. Ellis (kicked ball),2,2
5,1,10:56.0,L. Babbitt misses 3-pt jump shot from 25 ft,,2,2
6,1,10:54.0,,Defensive rebound by M. Ellis,2,2
7,1,10:43.0,,C. Parsons makes 3-pt jump shot from 25 ft,2,5
8,1,10:21.0,A. Davis misses 2-pt jump shot from 16 ft,,2,5
9,1,10:20.0,,Defensive rebound by C. Parsons,2,5
10,1,10:14.0,,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by C. Parsons),2,7
11,1,9:58.0,J. Holiday makes 2-pt jump shot from 10 ft,,4,7
12,1,9:50.0,,J. Barea misses 2-pt jump shot from 7 ft,4,7
13,1,9:48.0,Defensive rebound by Ö. Aşık,,4,7
14,1,9:31.0,Turnover by J. Holiday (bad pass; steal by M. Ellis),,4,7
15,1,9:24.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,4,7
16,1,9:22.0,Defensive rebound by Team,,4,7
17,1,9:05.0,J. Holiday misses 2-pt jump shot from 20 ft,,4,7
18,1,9:02.0,Offensive rebound by Ö. Aşık,,4,7
19,1,9:01.0,Ö. Aşık makes 2-pt layup at rim,,6,7
20,1,8:51.0,,Personal foul by T. Evans (drawn by M. Ellis),6,7
21,1,8:35.0,,J. Barea misses 3-pt jump shot from 24 ft,6,7
22,1,8:34.0,Defensive rebound by Ö. Aşık,,6,7
23,1,8:20.0,T. Evans misses 2-pt jump shot from 4 ft,,6,7
24,1,8:19.0,,Defensive rebound by Team,6,7
25,1,8:06.0,,M. Ellis misses 2-pt jump shot from 17 ft,6,7
26,1,8:05.0,Defensive rebound by T. Evans,,6,7
27,1,7:51.0,J. Holiday makes 2-pt jump shot from 13 ft,,8,7
28,1,7:34.0,,J. Barea misses 2-pt jump shot from 6 ft,8,7
29,1,7:33.0,Defensive rebound by J. Holiday,,8,7
30,1,7:14.0,A. Davis misses 2-pt jump shot from 15 ft,,8,7
31,1,7:13.0,Offensive rebound by Ö. Aşık,,8,7
32,1,7:12.0,Ö. Aşık misses 2-pt layup at rim (block by M. Ellis),,8,7
33,1,7:12.0,Offensive rebound by Team,,8,7
34,1,7:05.0,Turnover by T. Evans (bad pass; steal by D. Nowitzki),,8,7
35,1,6:59.0,,J. Barea misses 2-pt jump shot from 17 ft,8,7
36,1,6:59.0,Defensive rebound by A. Davis,,8,7
37,1,6:45.0,L. Babbitt misses 2-pt jump shot from 11 ft,,8,7
38,1,6:44.0,,Defensive rebound by J. Barea,8,7
39,1,6:40.0,,C. Parsons makes 2-pt layup at rim,8,9
40,1,6:39.0,New Orleans full timeout,,8,9
41,1,6:39.0,,A. Aminu enters the game for D. Nowitzki,8,9
42,1,6:39.0,,D. Harris enters the game for J. Barea,8,9
43,1,6:27.0,Turnover by Ö. Aşık (traveling),,8,9
44,1,6:16.0,,T. Chandler misses 2-pt jump shot from 5 ft,8,9
45,1,6:15.0,Defensive rebound by Ö. Aşık,,8,9
46,1,6:11.0,A. Davis misses 2-pt dunk at rim,,8,9
47,1,6:09.0,,Defensive rebound by T. Chandler,8,9
48,1,6:04.0,,Turnover by M. Ellis (bad pass; steal by J. Holiday),8,9
49,1,5:57.0,J. Holiday misses 2-pt jump shot from 11 ft,,8,9
50,1,5:57.0,,Defensive rebound by Team,8,9
51,1,5:57.0,Loose ball foul by Ö. Aşık (drawn by C. Parsons),,8,9
52,1,5:57.0,Technical foul by Ö. Aşık,,8,9
53,1,5:57.0,,M. Ellis misses technical free throw,8,9
54,1,5:57.0,,Offensive rebound by Team,8,9
55,1,5:38.0,,D. Harris misses 3-pt jump shot from 24 ft,8,9
56,1,5:37.0,Defensive rebound by A. Davis,,8,9
57,1,5:20.0,J. Holiday misses 2-pt jump shot from 5 ft,,8,9
58,1,5:19.0,Offensive rebound by Ö. Aşık,,8,9
59,1,5:19.0,Shooting foul by A. Aminu (drawn by Ö. Aşık),,8,9
60,1,5:19.0,Ö. Aşık misses free throw 1 of 2,,8,9
61,1,5:19.0,Offensive rebound by Team,,8,9
62,1,5:19.0,Ö. Aşık makes free throw 2 of 2,,9,9
63,1,5:03.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by D. Harris),9,12
64,1,4:36.0,A. Davis misses 2-pt jump shot from 11 ft,,9,12
65,1,4:35.0,,Defensive rebound by D. Harris,9,12
66,1,4:28.0,,Personal foul by T. Evans (drawn by T. Chandler),9,12
67,1,4:28.0,D. Cunningham enters the game for L. Babbitt,,9,12
68,1,4:28.0,R. Anderson enters the game for Ö. Aşık,,9,12
69,1,4:11.0,,D. Harris makes 3-pt jump shot from 23 ft (assist by M. Ellis),9,15
70,1,3:56.0,A. Davis misses 2-pt layup from 1 ft (block by C. Parsons),,9,15
71,1,3:54.0,,Defensive rebound by C. Parsons,9,15
72,1,3:53.0,A. Rivers enters the game for T. Evans,,9,15
73,1,3:40.0,,C. Parsons makes 2-pt layup from 1 ft,9,17
