,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
0,1,11:39.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by A. Horford),0,3
1,1,11:19.0,R. Jefferson makes 3-pt jump shot from 23 ft (assist by J. Barea),,3,3
2,1,11:12.0,,Turnover by P. Millsap (bad pass),3,3
3,1,11:04.0,R. Jefferson misses 3-pt jump shot from 24 ft,,3,3
4,1,11:03.0,,Defensive rebound by D. Carroll,3,3
5,1,11:00.0,,Personal foul by M. Ellis (drawn by K. Korver),3,3
6,1,10:42.0,,J. Teague misses 2-pt jump shot from 20 ft,3,3
7,1,10:41.0,Defensive rebound by D. Nowitzki,,3,3
8,1,10:27.0,R. Jefferson makes 2-pt layup at rim,,5,3
9,1,10:06.0,,D. Carroll misses 2-pt jump shot from 19 ft,5,3
10,1,10:05.0,Defensive rebound by R. Jefferson,,5,3
11,1,9:57.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,5,3
12,1,9:54.0,Offensive rebound by B. James,,5,3
13,1,9:52.0,J. Barea makes 2-pt jump shot from 16 ft (assist by B. James),,7,3
14,1,9:39.0,,K. Korver misses 3-pt jump shot from 24 ft,7,3
15,1,9:38.0,Defensive rebound by J. Barea,,7,3
16,1,9:35.0,Offensive foul by B. James (drawn by K. Korver),,7,3
17,1,9:35.0,Turnover by B. James (offensive foul),,7,3
18,1,9:21.0,,A. Horford misses 2-pt jump shot from 10 ft,7,3
19,1,9:19.0,Defensive rebound by D. Nowitzki,,7,3
20,1,9:11.0,J. Barea makes 2-pt jump shot from 20 ft,,9,3
21,1,9:00.0,,Turnover by P. Millsap (lost ball),9,3
22,1,8:40.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by M. Ellis),,11,3
23,1,8:24.0,,P. Millsap makes 2-pt jump shot from 19 ft,11,5
24,1,7:51.0,M. Ellis makes 2-pt jump shot from 19 ft (assist by D. Nowitzki),,13,5
25,1,7:31.0,,A. Horford misses 2-pt jump shot from 8 ft (block by B. James),13,5
26,1,7:31.0,,Offensive rebound by Team,13,5
27,1,7:28.0,,Shooting foul by R. Jefferson (drawn by J. Teague),13,5
28,1,7:28.0,,J. Teague makes free throw 1 of 2,13,6
29,1,7:28.0,,J. Teague makes free throw 2 of 2,13,7
30,1,7:18.0,B. James makes 2-pt layup from 2 ft (assist by M. Ellis),,15,7
31,1,7:04.0,,K. Korver makes 2-pt jump shot from 19 ft (assist by D. Carroll),15,9
32,1,6:40.0,R. Jefferson misses 2-pt jump shot from 12 ft (block by K. Korver),,15,9
33,1,6:38.0,,Defensive rebound by A. Horford,15,9
34,1,6:28.0,,D. Carroll makes 2-pt layup from 1 ft (assist by A. Horford),15,11
35,1,6:28.0,Dallas full timeout,,15,11
36,1,6:28.0,A. Aminu enters the game for D. Nowitzki,,15,11
37,1,6:18.0,Shooting foul by A. Horford (drawn by R. Jefferson),,15,11
38,1,6:18.0,R. Jefferson misses free throw 1 of 2,,15,11
39,1,6:18.0,Offensive rebound by Team,,15,11
40,1,6:18.0,R. Jefferson makes free throw 2 of 2,,16,11
41,1,6:16.0,,Turnover by J. Teague (bad pass),16,11
42,1,6:00.0,A. Aminu misses 3-pt jump shot from 23 ft,,16,11
43,1,5:58.0,,Defensive rebound by J. Teague,16,11
44,1,5:50.0,,Personal foul by R. Jefferson (drawn by D. Carroll),16,11
45,1,5:50.0,C. Villanueva enters the game for R. Jefferson,,16,11
46,1,5:47.0,,Offensive foul by A. Horford (drawn by A. Aminu),16,11
47,1,5:47.0,,Turnover by A. Horford (offensive foul),16,11
48,1,5:47.0,,P. Antić enters the game for A. Horford,16,11
49,1,5:47.0,,K. Bazemore enters the game for K. Korver,16,11
50,1,5:35.0,M. Ellis makes 2-pt jump shot from 20 ft (assist by B. James),,18,11
51,1,5:28.0,,Shooting foul by J. Barea (drawn by J. Teague),18,11
52,1,5:28.0,,J. Teague makes free throw 1 of 2,18,12
53,1,5:28.0,D. Harris enters the game for J. Barea,,18,12
54,1,5:28.0,,J. Teague makes free throw 2 of 2,18,13
55,1,5:15.0,M. Ellis makes 2-pt jump shot from 22 ft,,20,13
56,1,5:02.0,,D. Carroll misses 3-pt jump shot from 24 ft,20,13
57,1,5:01.0,Defensive rebound by B. James,,20,13
58,1,4:49.0,C. Villanueva misses 3-pt jump shot from 24 ft,,20,13
59,1,4:48.0,,Defensive rebound by K. Bazemore,20,13
60,1,4:34.0,,P. Millsap misses 2-pt layup from 1 ft,20,13
61,1,4:32.0,Defensive rebound by B. James,,20,13
62,1,4:20.0,B. James makes 2-pt layup from 1 ft (assist by D. Harris),,22,13
63,1,4:14.0,,Atlanta full timeout,22,13
64,1,4:14.0,,D. Schröder enters the game for J. Teague,22,13
65,1,4:04.0,,D. Schröder misses 2-pt layup from 1 ft,22,13
66,1,3:58.0,Defensive rebound by A. Aminu,,22,13
67,1,3:45.0,D. Harris misses 3-pt jump shot from 22 ft,,22,13
68,1,3:43.0,Offensive rebound by M. Ellis,,22,13
69,1,3:36.0,Shooting foul by D. Schröder (drawn by D. Harris),,22,13
70,1,3:36.0,D. Harris makes free throw 1 of 2,,23,13
71,1,3:36.0,D. Harris makes free throw 2 of 2,,24,13
72,1,3:11.0,,D. Schröder misses 2-pt jump shot from 11 ft,24,13
73,1,3:09.0,Defensive rebound by A. Aminu,,24,13
74,1,2:55.0,M. Ellis makes 2-pt jump shot from 20 ft (assist by B. James),,26,13
75,1,2:33.0,,K. Bazemore misses 3-pt jump shot from 23 ft,26,13
76,1,2:32.0,Defensive rebound by D. Harris,,26,13
77,1,2:25.0,M. Ellis misses 3-pt jump shot from 24 ft,,26,13
78,1,2:24.0,,Defensive rebound by P. Millsap,26,13
79,1,2:17.0,,K. Bazemore makes 2-pt layup at rim (assist by P. Millsap),26,15
80,1,1:58.0,D. Harris misses 2-pt jump shot from 15 ft,,26,15
81,1,1:56.0,,Defensive rebound by P. Millsap,26,15
82,1,1:38.0,,P. Millsap misses 2-pt jump shot from 5 ft,26,15
83,1,1:37.0,,Offensive rebound by P. Antić,26,15
84,1,1:37.0,J. Barea enters the game for B. James,,26,15
85,1,1:37.0,D. Nowitzki enters the game for M. Ellis,,26,15
86,1,1:37.0,,K. Korver enters the game for D. Carroll,26,15
87,1,1:37.0,,M. Scott enters the game for P. Millsap,26,15
88,1,1:30.0,,M. Scott makes 2-pt jump shot from 19 ft (assist by K. Korver),26,17
89,1,1:17.0,C. Villanueva makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,29,17
90,1,1:01.0,,P. Antić misses 3-pt jump shot from 25 ft,29,17
91,1,1:00.0,Defensive rebound by A. Aminu,,29,17
92,1,0:49.0,C. Villanueva makes 2-pt jump shot from 9 ft (assist by J. Barea),,31,17
93,1,0:32.0,,M. Scott makes 3-pt jump shot from 24 ft (assist by D. Schröder),31,20
94,1,0:10.0,J. Barea makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,34,20
95,1,0:03.0,,D. Schröder makes 2-pt jump shot from 19 ft,34,22
96,2,11:50.0,Shooting foul by M. Scott (drawn by D. Harris),,34,22
97,2,11:50.0,D. Harris makes free throw 1 of 2,,35,22
98,2,11:50.0,D. Harris makes free throw 2 of 2,,36,22
99,2,11:42.0,,D. Schröder makes 3-pt jump shot from 25 ft,36,25
100,2,11:30.0,,Violation by K. Bazemore (kicked ball),36,25
101,2,11:30.0,,P. Millsap enters the game for P. Antić,36,25
102,2,11:25.0,Personal foul by D. Schröder (drawn by D. Nowitzki),,36,25
103,2,11:10.0,C. Villanueva makes 3-pt jump shot from 22 ft (assist by J. Barea),,39,25
104,2,10:46.0,,K. Bazemore makes 2-pt dunk at rim (assist by M. Scott),39,27
105,2,10:31.0,C. Villanueva misses 3-pt jump shot from 24 ft,,39,27
106,2,10:29.0,,Defensive rebound by P. Millsap,39,27
107,2,10:23.0,,Shooting foul by C. Villanueva (drawn by K. Bazemore),39,27
108,2,10:23.0,,K. Bazemore makes free throw 1 of 2,39,28
109,2,10:23.0,,K. Bazemore misses free throw 2 of 2,39,28
110,2,10:21.0,Defensive rebound by D. Nowitzki,,39,28
111,2,10:03.0,Turnover by C. Villanueva (lost ball; steal by K. Bazemore),,39,28
112,2,9:52.0,,P. Millsap misses 3-pt jump shot from 24 ft,39,28
113,2,9:50.0,Defensive rebound by Team,,39,28
114,2,9:32.0,Turnover by A. Aminu (back court),,39,28
115,2,9:15.0,,D. Schröder makes 2-pt layup from 1 ft (assist by M. Scott),39,30
116,2,9:06.0,J. Barea misses 2-pt jump shot from 4 ft,,39,30
117,2,9:04.0,,Defensive rebound by P. Millsap,39,30
118,2,9:04.0,,Turnover by P. Millsap (bad pass),39,30
119,2,8:51.0,D. Harris makes 2-pt jump shot from 20 ft,,41,30
120,2,8:28.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by D. Schröder),41,32
121,2,8:13.0,D. Harris misses 3-pt jump shot from 25 ft,,41,32
122,2,8:10.0,,Defensive rebound by M. Scott,41,32
123,2,7:57.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by K. Bazemore),41,34
124,2,7:57.0,Dallas full timeout,,41,34
125,2,7:57.0,M. Ellis enters the game for D. Nowitzki,,41,34
126,2,7:57.0,B. James enters the game for A. Aminu,,41,34
127,2,7:57.0,R. Jefferson enters the game for D. Harris,,41,34
128,2,7:32.0,R. Jefferson misses 2-pt jump shot from 5 ft,,41,34
129,2,7:32.0,Offensive rebound by B. James,,41,34
130,2,7:32.0,Shooting foul by P. Millsap (drawn by B. James),,41,34
131,2,7:32.0,B. James makes free throw 1 of 2,,42,34
132,2,7:32.0,,J. Teague enters the game for K. Bazemore,42,34
133,2,7:32.0,B. James makes free throw 2 of 2,,43,34
134,2,7:20.0,,D. Schröder makes 3-pt jump shot from 23 ft (assist by P. Millsap),43,37
135,2,7:07.0,C. Villanueva misses 3-pt jump shot from 27 ft,,43,37
136,2,7:06.0,,Defensive rebound by K. Korver,43,37
137,2,6:59.0,,D. Schröder misses 2-pt jump shot from 3 ft,43,37
138,2,6:58.0,Defensive rebound by B. James,,43,37
139,2,6:49.0,M. Ellis misses 3-pt jump shot from 24 ft,,43,37
140,2,6:48.0,Offensive rebound by J. Barea,,43,37
141,2,6:34.0,J. Barea misses 2-pt jump shot from 8 ft,,43,37
142,2,6:32.0,,Defensive rebound by M. Scott,43,37
143,2,6:20.0,,J. Teague makes 2-pt layup from 1 ft (assist by D. Schröder),43,39
144,2,6:19.0,Dallas full timeout,,43,39
145,2,6:19.0,,A. Horford enters the game for K. Korver,43,39
146,2,6:19.0,,D. Carroll enters the game for M. Scott,43,39
147,2,6:19.0,D. Harris enters the game for J. Barea,,43,39
148,2,6:19.0,A. Aminu enters the game for C. Villanueva,,43,39
149,2,6:06.0,M. Ellis makes 2-pt jump shot from 21 ft (assist by D. Harris),,45,39
150,2,5:56.0,,D. Schröder misses 3-pt jump shot from 23 ft,45,39
151,2,5:53.0,Defensive rebound by R. Jefferson,,45,39
152,2,5:39.0,Turnover by D. Harris (bad pass; steal by A. Horford),,45,39
153,2,5:32.0,,A. Horford misses 2-pt layup from 2 ft,45,39
154,2,5:31.0,,Offensive rebound by Team,45,39
155,2,5:31.0,Official timeout,,45,39
156,2,5:23.0,,J. Teague makes 2-pt jump shot from 10 ft,45,41
157,2,5:05.0,A. Aminu misses 3-pt jump shot from 24 ft,,45,41
158,2,5:03.0,Offensive rebound by B. James,,45,41
159,2,4:43.0,M. Ellis makes 3-pt jump shot from 24 ft (assist by R. Jefferson),,48,41
160,2,4:32.0,,Personal foul by D. Harris (drawn by A. Horford),48,41
161,2,4:26.0,,D. Schröder misses 2-pt layup from 1 ft (block by B. James),48,41
162,2,4:25.0,Defensive rebound by D. Harris,,48,41
163,2,4:18.0,A. Aminu misses 2-pt layup from 1 ft,,48,41
164,2,4:17.0,Offensive rebound by Team,,48,41
165,2,4:17.0,,K. Korver enters the game for D. Schröder,48,41
166,2,4:01.0,Shooting foul by J. Teague (drawn by B. James),,48,41
167,2,4:01.0,B. James misses free throw 1 of 2,,48,41
168,2,4:01.0,Offensive rebound by Team,,48,41
169,2,4:01.0,B. James makes free throw 2 of 2,,49,41
170,2,3:55.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by A. Horford),49,44
171,2,3:39.0,Turnover by A. Aminu (bad pass; steal by J. Teague),,49,44
172,2,3:31.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Teague),49,47
173,2,3:24.0,Dallas full timeout,,49,47
174,2,3:24.0,,M. Scott enters the game for P. Millsap,49,47
175,2,3:24.0,C. Villanueva enters the game for B. James,,49,47
176,2,3:24.0,D. Nowitzki enters the game for A. Aminu,,49,47
177,2,3:12.0,Turnover by R. Jefferson (bad pass),,49,47
178,2,3:00.0,,A. Horford misses 2-pt jump shot from 7 ft,49,47
179,2,2:59.0,Defensive rebound by D. Harris,,49,47
180,2,2:52.0,Dallas full timeout,,49,47
181,2,2:52.0,J. Barea enters the game for D. Harris,,49,47
182,2,2:43.0,M. Ellis makes 2-pt layup from 1 ft (assist by J. Barea),,51,47
183,2,2:33.0,,Personal foul by D. Nowitzki (drawn by A. Horford),51,47
184,2,2:33.0,,P. Millsap enters the game for M. Scott,51,47
185,2,2:22.0,,J. Teague misses 3-pt jump shot from 25 ft,51,47
186,2,2:20.0,,Offensive rebound by Team,51,47
187,2,2:12.0,,A. Horford misses 2-pt jump shot from 19 ft,51,47
188,2,2:11.0,,Offensive rebound by P. Millsap,51,47
189,2,2:11.0,,Personal foul by C. Villanueva (drawn by P. Millsap),51,47
190,2,2:11.0,A. Aminu enters the game for C. Villanueva,,51,47
191,2,1:53.0,,K. Korver misses 3-pt jump shot from 23 ft,51,47
192,2,1:51.0,Defensive rebound by M. Ellis,,51,47
193,2,1:47.0,Turnover by J. Barea (offensive foul),,51,47
194,2,1:47.0,,Offensive charge foul by J. Barea (drawn by J. Teague),51,47
195,2,1:32.0,,K. Korver misses 3-pt jump shot from 24 ft,51,47
196,2,1:30.0,,Offensive rebound by D. Carroll,51,47
197,2,1:27.0,,K. Korver misses 3-pt jump shot from 25 ft,51,47
198,2,1:24.0,,Offensive rebound by D. Carroll,51,47
199,2,1:18.0,,D. Carroll misses 3-pt jump shot from 25 ft,51,47
200,2,1:17.0,Defensive rebound by D. Nowitzki,,51,47
201,2,0:54.0,Turnover by Team (shot clock),,51,47
202,2,0:43.0,,J. Teague misses 2-pt layup from 2 ft,51,47
203,2,0:41.0,Defensive rebound by A. Aminu,,51,47
204,2,0:31.0,M. Ellis misses 3-pt jump shot from 26 ft,,51,47
205,2,0:27.0,,Defensive rebound by K. Korver,51,47
206,2,0:23.0,,Turnover by J. Teague (offensive foul),51,47
207,2,0:23.0,Offensive charge foul by J. Teague (drawn by J. Barea),,51,47
208,2,0:23.0,,M. Scott enters the game for A. Horford,51,47
209,2,0:23.0,,K. Bazemore enters the game for K. Korver,51,47
210,2,0:23.0,C. Villanueva enters the game for A. Aminu,,51,47
211,2,0:23.0,,D. Schröder enters the game for J. Teague,51,47
212,2,0:05.0,J. Barea makes 2-pt jump shot from 19 ft,,53,47
213,2,0:00.0,,D. Carroll misses 3-pt jump shot from 24 ft,53,47
214,2,0:00.0,,Offensive rebound by Team,53,47
215,3,11:46.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,53,47
216,3,11:45.0,,Defensive rebound by J. Teague,53,47
217,3,11:33.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by D. Carroll),53,50
218,3,11:06.0,M. Ellis makes 2-pt layup from 2 ft (assist by D. Nowitzki),,55,50
219,3,10:48.0,,K. Korver misses 3-pt jump shot from 23 ft,55,50
220,3,10:47.0,Defensive rebound by B. James,,55,50
221,3,10:36.0,Turnover by M. Ellis (back court),,55,50
222,3,10:23.0,,D. Carroll makes 2-pt layup from 1 ft (assist by J. Teague),55,52
223,3,9:58.0,M. Ellis misses 2-pt jump shot from 21 ft,,55,52
224,3,9:57.0,,Defensive rebound by A. Horford,55,52
225,3,9:48.0,,A. Horford misses 2-pt jump shot from 16 ft,55,52
226,3,9:47.0,Defensive rebound by D. Nowitzki,,55,52
227,3,9:34.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,55,52
228,3,9:32.0,,Defensive rebound by K. Korver,55,52
229,3,9:21.0,,J. Teague misses 3-pt jump shot from 23 ft,55,52
230,3,9:19.0,,Offensive rebound by A. Horford,55,52
231,3,9:15.0,,Shooting foul by M. Ellis (drawn by D. Carroll),55,52
232,3,9:15.0,,D. Carroll makes free throw 1 of 2,55,53
233,3,9:15.0,,D. Carroll misses free throw 2 of 2,55,53
234,3,9:13.0,Defensive rebound by R. Jefferson,,55,53
235,3,9:02.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by J. Barea),,57,53
236,3,8:48.0,,Shooting foul by D. Nowitzki (drawn by A. Horford),57,53
237,3,8:48.0,,A. Horford misses free throw 1 of 2,57,53
238,3,8:48.0,,Offensive rebound by Team,57,53
239,3,8:48.0,,A. Horford makes free throw 2 of 2,57,54
240,3,8:35.0,J. Barea misses 3-pt jump shot from 24 ft,,57,54
241,3,8:32.0,,Defensive rebound by K. Korver,57,54
242,3,8:23.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by D. Carroll),57,57
243,3,7:58.0,M. Ellis misses 3-pt jump shot from 24 ft,,57,57
244,3,7:55.0,,Defensive rebound by J. Teague,57,57
245,3,7:51.0,,J. Teague misses 2-pt layup from 2 ft,57,57
246,3,7:50.0,,Offensive rebound by A. Horford,57,57
247,3,7:47.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by A. Horford),57,60
248,3,7:47.0,Dallas full timeout,,57,60
249,3,7:24.0,D. Nowitzki misses 2-pt layup from 1 ft,,57,60
250,3,7:23.0,,Defensive rebound by A. Horford,57,60
251,3,7:07.0,,K. Korver makes 2-pt layup from 1 ft (assist by J. Teague),57,62
252,3,6:57.0,Turnover by M. Ellis (bad pass; steal by P. Millsap),,57,62
253,3,6:53.0,,P. Millsap makes 2-pt dunk at rim,57,64
254,3,6:38.0,Turnover by J. Barea (bad pass; steal by A. Horford),,57,64
255,3,6:25.0,,P. Millsap makes 2-pt layup from 2 ft,57,66
256,3,6:23.0,Dallas full timeout,,57,66
257,3,6:23.0,A. Aminu enters the game for D. Nowitzki,,57,66
258,3,6:23.0,C. Villanueva enters the game for B. James,,57,66
259,3,6:09.0,Shooting foul by P. Millsap (drawn by R. Jefferson),,57,66
260,3,6:09.0,R. Jefferson misses free throw 1 of 2,,57,66
261,3,6:09.0,Offensive rebound by Team,,57,66
262,3,6:09.0,R. Jefferson makes free throw 2 of 2,,58,66
263,3,5:57.0,,Turnover by D. Carroll (traveling),58,66
264,3,5:43.0,J. Barea makes 2-pt jump shot from 9 ft,,60,66
265,3,5:21.0,,P. Millsap misses 2-pt hook shot from 4 ft,60,66
266,3,5:19.0,Defensive rebound by R. Jefferson,,60,66
267,3,5:14.0,J. Barea makes 2-pt jump shot from 19 ft,,62,66
268,3,5:13.0,,Atlanta full timeout,62,66
269,3,4:56.0,,K. Korver misses 3-pt jump shot from 24 ft,62,66
270,3,4:55.0,,Offensive rebound by P. Millsap,62,66
271,3,4:55.0,,P. Millsap misses 2-pt dunk at rim,62,66
272,3,4:51.0,,Offensive rebound by K. Korver,62,66
273,3,4:43.0,Violation by A. Aminu (def goaltending),,62,66
274,3,4:43.0,,A. Horford makes 2-pt jump shot from 6 ft,62,68
275,3,4:29.0,Turnover by A. Aminu (traveling),,62,68
276,3,4:29.0,,K. Bazemore enters the game for A. Horford,62,68
277,3,4:29.0,,P. Antić enters the game for K. Korver,62,68
278,3,4:18.0,,P. Millsap makes 2-pt jump shot from 16 ft (assist by J. Teague),62,70
279,3,4:01.0,Turnover by J. Barea (bad pass; steal by K. Bazemore),,62,70
280,3,3:56.0,,Turnover by K. Bazemore (bad pass),62,70
281,3,3:56.0,D. Harris enters the game for J. Barea,,62,70
282,3,3:38.0,A. Aminu misses 3-pt jump shot from 23 ft,,62,70
283,3,3:37.0,,Defensive rebound by D. Carroll,62,70
284,3,3:21.0,Offensive charge foul by P. Millsap (drawn by M. Ellis),,62,70
285,3,3:21.0,,Turnover by P. Millsap (offensive foul),62,70
286,3,3:21.0,,D. Schröder enters the game for J. Teague,62,70
287,3,3:02.0,M. Ellis makes 2-pt jump shot from 21 ft,,64,70
288,3,2:34.0,,D. Schröder misses 2-pt layup from 2 ft,64,70
289,3,2:33.0,,Offensive rebound by P. Millsap,64,70
290,3,2:17.0,,D. Carroll makes 2-pt jump shot from 11 ft,64,72
291,3,2:04.0,Turnover by A. Aminu (back court),,64,72
292,3,2:04.0,D. Nowitzki enters the game for R. Jefferson,,64,72
293,3,2:04.0,,A. Horford enters the game for P. Millsap,64,72
294,3,1:49.0,,D. Schröder makes 2-pt jump shot from 11 ft (assist by A. Horford),64,74
295,3,1:37.0,Shooting foul by P. Antić (drawn by D. Harris),,64,74
296,3,1:37.0,,K. Korver enters the game for D. Carroll,64,74
297,3,1:37.0,D. Harris makes free throw 1 of 2,,65,74
298,3,1:37.0,D. Harris makes free throw 2 of 2,,66,74
299,3,1:25.0,Offensive charge foul by D. Schröder (drawn by D. Harris),,66,74
300,3,1:25.0,,Turnover by D. Schröder (offensive foul),66,74
301,3,1:09.0,D. Harris makes 2-pt jump shot from 19 ft,,68,74
302,3,0:50.0,,Personal foul by M. Ellis (drawn by K. Bazemore),68,74
303,3,0:50.0,,Atlanta full timeout,68,74
304,3,0:43.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by A. Horford),68,77
305,3,0:26.0,D. Harris misses 2-pt jump shot from 8 ft,,68,77
306,3,0:23.0,,Defensive rebound by A. Horford,68,77
307,3,0:00.0,,K. Bazemore misses 3-pt jump shot from 23 ft,68,77
308,3,0:00.0,,Offensive rebound by Team,68,77
309,4,11:38.0,,D. Schröder makes 2-pt jump shot from 16 ft,68,79
310,4,11:19.0,D. Harris misses 3-pt jump shot from 25 ft,,68,79
311,4,11:18.0,Offensive rebound by Team,,68,79
312,4,11:09.0,C. Villanueva misses 3-pt jump shot from 24 ft,,68,79
313,4,11:08.0,,Defensive rebound by K. Bazemore,68,79
314,4,10:52.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by P. Antić),68,81
315,4,10:38.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,68,81
316,4,10:37.0,,Defensive rebound by K. Korver,68,81
317,4,10:31.0,,Shooting foul by C. Villanueva (drawn by A. Horford),68,81
318,4,10:31.0,,A. Horford makes free throw 1 of 2,68,82
319,4,10:31.0,,A. Horford makes free throw 2 of 2,68,83
320,4,10:15.0,R. Jefferson misses 2-pt jump shot from 20 ft,,68,83
321,4,10:14.0,,Defensive rebound by P. Antić,68,83
322,4,10:06.0,,D. Schröder makes 3-pt jump shot from 24 ft,68,86
323,4,9:54.0,J. Barea misses 3-pt jump shot from 25 ft,,68,86
324,4,9:52.0,,Defensive rebound by K. Bazemore,68,86
325,4,9:48.0,,K. Bazemore misses 2-pt layup from 2 ft,68,86
326,4,9:45.0,Defensive rebound by J. Barea,,68,86
327,4,9:44.0,Personal foul by P. Antić (drawn by R. Jefferson),,68,86
328,4,9:44.0,,M. Scott enters the game for P. Antić,68,86
329,4,9:44.0,A. Aminu enters the game for D. Nowitzki,,68,86
