,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:42.0,D. Cousins makes 2-pt hook shot from 4 ft (assist by R. Gay),,2,0
1,1,11:19.0,,Turnover by S. Muhammad (lost ball; steal by R. Gay),2,0
2,1,11:09.0,Shooting foul by S. Muhammad (drawn by R. Gay),,2,0
3,1,11:09.0,R. Gay makes free throw 1 of 2,,3,0
4,1,11:09.0,R. Gay makes free throw 2 of 2,,4,0
5,1,10:51.0,,S. Muhammad misses 2-pt jump shot from 10 ft (block by R. Gay),4,0
6,1,10:50.0,Defensive rebound by D. Collison,,4,0
7,1,10:41.0,D. Collison makes 2-pt jump shot from 12 ft,,6,0
8,1,10:23.0,,A. Wiggins misses 2-pt jump shot from 10 ft,6,0
9,1,10:22.0,Defensive rebound by D. Williams,,6,0
10,1,10:14.0,D. Collison misses 2-pt jump shot from 13 ft,,6,0
11,1,10:13.0,Offensive rebound by R. Gay,,6,0
12,1,10:12.0,R. Gay makes 2-pt layup from 1 ft,,8,0
13,1,9:50.0,,Z. LaVine makes 2-pt jump shot from 16 ft,8,2
14,1,9:33.0,D. Williams makes 3-pt jump shot from 24 ft (assist by R. Gay),,11,2
15,1,9:11.0,,Turnover by G. Dieng (lost ball; steal by R. Gay),11,2
16,1,8:55.0,Turnover by D. Cousins (lost ball; steal by Z. LaVine),,11,2
17,1,8:44.0,,G. Dieng makes 2-pt jump shot from 15 ft (assist by A. Wiggins),11,4
18,1,8:31.0,Shooting foul by T. Young (drawn by D. Williams),,11,4
19,1,8:31.0,D. Williams makes free throw 1 of 2,,12,4
20,1,8:31.0,D. Williams makes free throw 2 of 2,,13,4
21,1,8:22.0,,S. Muhammad makes 2-pt jump shot from 8 ft,13,6
22,1,8:11.0,Personal foul by G. Dieng (drawn by D. Cousins),,13,6
23,1,8:05.0,D. Cousins makes 2-pt layup at rim,,15,6
24,1,7:49.0,,A. Wiggins misses 2-pt jump shot from 16 ft,15,6
25,1,7:48.0,Defensive rebound by D. Cousins,,15,6
26,1,7:39.0,R. Gay misses 2-pt layup from 2 ft,,15,6
27,1,7:36.0,,Defensive rebound by T. Young,15,6
28,1,7:31.0,,Shooting foul by D. Cousins (drawn by S. Muhammad),15,6
29,1,7:31.0,,S. Muhammad misses free throw 1 of 2,15,6
30,1,7:31.0,,Offensive rebound by Team,15,6
31,1,7:31.0,,S. Muhammad makes free throw 2 of 2,15,7
32,1,7:15.0,D. Cousins makes 2-pt jump shot from 4 ft (assist by B. McLemore),,17,7
33,1,6:56.0,Offensive charge foul by A. Wiggins (drawn by D. Cousins),,17,7
34,1,6:56.0,,Turnover by A. Wiggins (offensive foul),17,7
35,1,6:35.0,D. Williams makes 2-pt jump shot from 13 ft (assist by D. Collison),,19,7
36,1,6:33.0,,Minnesota full timeout,19,7
37,1,6:21.0,,Z. LaVine makes 2-pt jump shot from 22 ft,19,9
38,1,6:07.0,Turnover by R. Gay (bad pass),,19,9
39,1,5:59.0,,T. Young misses 2-pt jump shot from 1 ft,19,9
40,1,5:58.0,,Offensive rebound by T. Young,19,9
41,1,5:58.0,,T. Young misses 2-pt tip-in from 1 ft,19,9
42,1,5:56.0,Defensive rebound by R. Gay,,19,9
43,1,5:54.0,Turnover by R. Gay (bad pass),,19,9
44,1,5:44.0,,Z. LaVine makes 2-pt jump shot from 20 ft,19,11
45,1,5:19.0,Turnover by D. Cousins (lost ball; steal by T. Young),,19,11
46,1,5:06.0,,S. Muhammad misses 3-pt jump shot from 22 ft,19,11
47,1,5:05.0,Defensive rebound by R. Gay,,19,11
48,1,5:01.0,B. McLemore makes 2-pt dunk at rim (assist by D. Collison),,21,11
49,1,4:44.0,,Turnover by Z. LaVine (bad pass; steal by D. Williams),21,11
50,1,4:39.0,B. McLemore makes 2-pt dunk at rim (assist by D. Williams),,23,11
51,1,4:14.0,Violation by D. Cousins (def goaltending),,23,11
52,1,4:14.0,,A. Wiggins makes 2-pt jump shot from 4 ft,23,13
53,1,3:57.0,D. Cousins misses 2-pt layup from 1 ft (block by G. Dieng),,23,13
54,1,3:55.0,Offensive rebound by D. Cousins,,23,13
55,1,3:54.0,D. Cousins makes 2-pt dunk at rim,,25,13
56,1,3:40.0,,Turnover by A. Wiggins (bad pass; steal by D. Williams),25,13
57,1,3:35.0,,C. Budinger enters the game for A. Wiggins,25,13
58,1,3:35.0,,J. Adrien enters the game for G. Dieng,25,13
59,1,3:27.0,R. Gay misses 2-pt jump shot from 19 ft,,25,13
60,1,3:26.0,,Defensive rebound by Z. LaVine,25,13
61,1,3:17.0,,S. Muhammad makes 2-pt layup at rim (assist by T. Young),25,15
62,1,3:17.0,,Shooting foul by B. McLemore (drawn by S. Muhammad),25,15
63,1,3:17.0,,S. Muhammad makes free throw 1 of 1,25,16
64,1,3:03.0,Shooting foul by T. Young (drawn by D. Collison),,25,16
65,1,3:03.0,D. Collison makes free throw 1 of 2,,26,16
66,1,3:03.0,J. Thompson enters the game for D. Cousins,,26,16
67,1,3:03.0,N. Stauskas enters the game for B. McLemore,,26,16
68,1,3:03.0,,A. Bennett enters the game for T. Young,26,16
69,1,3:03.0,D. Collison makes free throw 2 of 2,,27,16
70,1,2:52.0,,Turnover by A. Bennett (bad pass; steal by R. Gay),27,16
71,1,2:48.0,R. Gay makes 2-pt dunk at rim,,29,16
72,1,2:35.0,,A. Bennett misses 2-pt layup at rim (block by D. Williams),29,16
73,1,2:34.0,,Offensive rebound by Team,29,16
74,1,2:34.0,Sacramento full timeout,,29,16
75,1,2:32.0,,Personal foul by R. Gay (drawn by S. Muhammad),29,16
76,1,2:28.0,,A. Bennett makes 2-pt jump shot from 21 ft (assist by Z. LaVine),29,18
