,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,,S. Curry misses 2-pt jump shot from 15 ft,0,0
1,1,11:42.0,Defensive rebound by P. Tucker,,0,0
2,1,11:21.0,M. Morris misses 2-pt jump shot from 9 ft,,0,0
3,1,11:20.0,,Defensive rebound by H. Barnes,0,0
4,1,11:07.0,,K. Thompson misses 3-pt jump shot from 25 ft,0,0
5,1,11:06.0,Defensive rebound by E. Bledsoe,,0,0
6,1,10:56.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,0,0
7,1,10:55.0,,Defensive rebound by D. Green,0,0
8,1,10:45.0,,K. Thompson misses 2-pt layup from 2 ft,0,0
9,1,10:44.0,Defensive rebound by A. Len,,0,0
10,1,10:37.0,P. Tucker misses 2-pt jump shot from 17 ft,,0,0
11,1,10:36.0,,Defensive rebound by A. Bogut,0,0
12,1,10:28.0,,Offensive foul by D. Green (drawn by G. Dragić),0,0
13,1,10:28.0,,Turnover by D. Green (offensive foul),0,0
14,1,10:15.0,G. Dragić misses 2-pt jump shot from 17 ft (block by K. Thompson),,0,0
15,1,10:14.0,Offensive rebound by Team,,0,0
16,1,10:11.0,A. Len misses 2-pt jump shot from 18 ft,,0,0
17,1,10:10.0,,Defensive rebound by D. Green,0,0
18,1,10:05.0,,A. Bogut misses 2-pt layup from 1 ft (block by A. Len),0,0
19,1,10:04.0,Defensive rebound by A. Len,,0,0
20,1,9:51.0,M. Morris makes 2-pt jump shot from 14 ft (assist by G. Dragić),,2,0
21,1,9:37.0,,K. Thompson misses 3-pt jump shot from 25 ft,2,0
22,1,9:35.0,Defensive rebound by M. Morris,,2,0
23,1,9:26.0,A. Len misses 2-pt jump shot from 13 ft,,2,0
24,1,9:25.0,,Defensive rebound by H. Barnes,2,0
25,1,9:15.0,,A. Bogut misses 2-pt layup from 2 ft (block by A. Len),2,0
26,1,9:13.0,,Offensive rebound by A. Bogut,2,0
27,1,9:10.0,,K. Thompson misses 3-pt jump shot from 24 ft,2,0
28,1,9:09.0,Defensive rebound by M. Morris,,2,0
29,1,9:04.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,5,0
30,1,8:41.0,,A. Bogut misses 2-pt hook shot from 11 ft,5,0
31,1,8:40.0,,Offensive rebound by D. Green,5,0
32,1,8:40.0,,D. Green misses 2-pt tip-in at rim,5,0
33,1,8:38.0,Defensive rebound by M. Morris,,5,0
34,1,8:25.0,M. Morris makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,8,0
35,1,8:10.0,,S. Curry misses 2-pt jump shot from 21 ft,8,0
36,1,8:09.0,Defensive rebound by P. Tucker,,8,0
37,1,8:00.0,G. Dragić misses 2-pt jump shot from 5 ft (block by K. Thompson),,8,0
38,1,7:58.0,Offensive rebound by G. Dragić,,8,0
39,1,7:57.0,Turnover by A. Len (lost ball; steal by A. Bogut),,8,0
40,1,7:52.0,,H. Barnes makes 2-pt layup from 2 ft,8,2
41,1,7:36.0,E. Bledsoe makes 3-pt jump shot from 26 ft,,11,2
42,1,7:20.0,,S. Curry makes 2-pt jump shot from 6 ft (assist by H. Barnes),11,4
43,1,7:07.0,Turnover by E. Bledsoe (traveling),,11,4
44,1,6:59.0,,Turnover by H. Barnes (bad pass; steal by P. Tucker),11,4
45,1,6:51.0,Turnover by G. Dragić (lost ball; steal by D. Green),,11,4
46,1,6:48.0,,S. Curry misses 3-pt jump shot from 25 ft,11,4
47,1,6:46.0,Defensive rebound by M. Morris,,11,4
48,1,6:34.0,G. Dragić misses 2-pt jump shot from 20 ft,,11,4
49,1,6:33.0,,Defensive rebound by A. Bogut,11,4
50,1,6:22.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),11,7
51,1,6:08.0,A. Len misses 2-pt jump shot from 19 ft,,11,7
52,1,6:07.0,,Defensive rebound by D. Green,11,7
53,1,6:02.0,,S. Curry misses 3-pt jump shot from 25 ft,11,7
54,1,6:01.0,Defensive rebound by M. Morris,,11,7
