,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
0,1,11:45.0,A. Wiggins misses 2-pt jump shot from 9 ft,,0,0
1,1,11:45.0,,Defensive rebound by R. Gobert,0,0
2,1,11:31.0,,R. Gobert misses 2-pt jump shot from 14 ft,0,0
3,1,11:30.0,,Offensive rebound by D. Favors,0,0
4,1,11:30.0,,D. Favors makes 2-pt layup from 2 ft,0,2
5,1,11:07.0,G. Dieng misses 2-pt hook shot from 6 ft,,0,2
6,1,11:07.0,Offensive rebound by Team,,0,2
7,1,11:07.0,,Loose ball foul by D. Exum (drawn by A. Wiggins),0,2
8,1,10:57.0,Shooting foul by D. Exum (drawn by Z. LaVine),,0,2
9,1,10:57.0,Z. LaVine makes free throw 1 of 2,,1,2
10,1,10:57.0,,T. Burke enters the game for D. Exum,1,2
11,1,10:57.0,Z. LaVine makes free throw 2 of 2,,2,2
12,1,10:38.0,,D. Favors misses 2-pt jump shot from 17 ft,2,2
13,1,10:37.0,Defensive rebound by A. Payne,,2,2
14,1,10:22.0,A. Payne misses 2-pt jump shot from 18 ft,,2,2
15,1,10:21.0,,Defensive rebound by R. Gobert,2,2
16,1,10:03.0,,T. Burke misses 3-pt jump shot from 23 ft,2,2
17,1,10:01.0,Defensive rebound by A. Wiggins,,2,2
18,1,9:43.0,Z. LaVine makes 3-pt jump shot from 24 ft (assist by L. Brown),,5,2
19,1,9:19.0,,T. Burke misses 3-pt jump shot from 22 ft,5,2
20,1,9:19.0,Defensive rebound by Z. LaVine,,5,2
21,1,9:13.0,Turnover by Z. LaVine (lost ball; steal by R. Gobert),,5,2
22,1,9:05.0,,Turnover by T. Burke (bad pass; steal by G. Dieng),5,2
23,1,8:50.0,A. Wiggins misses 2-pt layup from 2 ft (block by D. Favors),,5,2
24,1,8:49.0,,Defensive rebound by D. Favors,5,2
25,1,8:35.0,,Turnover by T. Burke (bad pass),5,2
26,1,8:19.0,A. Wiggins makes 2-pt jump shot from 18 ft,,7,2
27,1,8:03.0,,J. Ingles makes 2-pt dunk at rim,7,4
28,1,7:48.0,Turnover by Z. LaVine (bad pass; steal by T. Burke),,7,4
29,1,7:43.0,,R. Hood makes 3-pt jump shot from 22 ft (assist by T. Burke),7,7
30,1,7:24.0,L. Brown makes 2-pt jump shot from 6 ft,,9,7
31,1,7:07.0,,T. Burke misses 2-pt layup from 2 ft (block by G. Dieng),9,7
32,1,7:03.0,Defensive rebound by A. Payne,,9,7
33,1,7:02.0,Turnover by L. Brown (lost ball),,9,7
34,1,6:44.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),9,9
35,1,6:30.0,Turnover by A. Payne (traveling),,9,9
36,1,6:20.0,,R. Gobert makes 2-pt layup from 1 ft (assist by D. Favors),9,11
37,1,6:20.0,,Shooting foul by A. Payne (drawn by R. Gobert),9,11
38,1,6:20.0,Minnesota full timeout,,9,11
39,1,6:20.0,,R. Gobert misses free throw 1 of 1,9,11
40,1,6:19.0,Defensive rebound by A. Wiggins,,9,11
41,1,5:58.0,Z. LaVine misses 2-pt jump shot from 19 ft,,9,11
42,1,5:57.0,,Defensive rebound by D. Favors,9,11
43,1,5:35.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by T. Burke),9,14
44,1,5:14.0,Turnover by A. Payne (bad pass; steal by J. Ingles),,9,14
45,1,5:13.0,,Turnover by J. Ingles (bad pass),9,14
46,1,5:07.0,A. Wiggins misses 2-pt layup at rim,,9,14
47,1,5:05.0,Offensive rebound by A. Payne,,9,14
48,1,5:05.0,A. Payne misses 2-pt tip-in from 1 ft,,9,14
49,1,5:03.0,Offensive rebound by A. Payne,,9,14
50,1,5:03.0,A. Payne makes 2-pt tip-in from 1 ft,,11,14
51,1,4:46.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Gobert),11,17
52,1,4:26.0,C. Budinger enters the game for A. Payne,,11,17
53,1,4:26.0,,T. Booker enters the game for D. Favors,11,17
54,1,4:26.0,,E. Millsap enters the game for R. Hood,11,17
55,1,4:21.0,G. Dieng makes 2-pt jump shot from 22 ft (assist by Z. LaVine),,13,17
56,1,3:56.0,,T. Burke misses 3-pt jump shot from 26 ft,13,17
57,1,3:55.0,,Offensive rebound by R. Gobert,13,17
58,1,3:38.0,,E. Millsap misses 3-pt jump shot from 24 ft,13,17
59,1,3:36.0,,Offensive rebound by Team,13,17
60,1,3:36.0,S. Kilpatrick enters the game for L. Brown,,13,17
61,1,3:36.0,,Utah full timeout,13,17
62,1,3:13.0,,T. Burke misses 3-pt jump shot from 25 ft,13,17
63,1,3:13.0,Defensive rebound by Team,,13,17
64,1,2:59.0,C. Budinger misses 3-pt jump shot from 24 ft,,13,17
65,1,2:58.0,,Defensive rebound by T. Burke,13,17
66,1,2:36.0,,Turnover by T. Booker (lost ball),13,17
67,1,2:22.0,G. Dieng misses 2-pt jump shot from 3 ft (block by R. Gobert),,13,17
