,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,,F. Aldemir misses 2-pt layup from 2 ft (block by M. Carter-Williams),0,0
1,1,11:42.0,,Offensive rebound by F. Aldemir,0,0
2,1,11:40.0,,H. Thompson misses 3-pt jump shot from 27 ft,0,0
3,1,11:38.0,Defensive rebound by M. Carter-Williams,,0,0
4,1,11:25.0,M. Carter-Williams misses 2-pt jump shot from 12 ft,,0,0
5,1,11:24.0,,Defensive rebound by Team,0,0
6,1,11:04.0,,R. Covington makes 2-pt layup from 1 ft,0,2
7,1,10:47.0,Turnover by Z. Pachulia (bad pass; steal by J. Grant),,0,2
8,1,10:40.0,,H. Thompson misses 3-pt jump shot from 25 ft,0,2
9,1,10:38.0,Defensive rebound by G. Antetokounmpo,,0,2
10,1,10:30.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,2
11,1,10:24.0,,J. Grant makes 2-pt layup at rim (assist by I. Smith),2,4
12,1,10:04.0,,Violation by J. Grant (kicked ball),2,4
13,1,9:57.0,K. Middleton misses 2-pt jump shot from 18 ft,,2,4
14,1,9:55.0,,Defensive rebound by H. Thompson,2,4
15,1,9:46.0,,R. Covington misses 3-pt jump shot from 24 ft,2,4
16,1,9:43.0,,Offensive rebound by Team,2,4
17,1,9:30.0,,H. Thompson makes 3-pt jump shot from 25 ft (assist by J. Grant),2,7
18,1,9:18.0,M. Carter-Williams makes 2-pt hook shot from 7 ft,,4,7
19,1,8:55.0,,R. Covington makes 2-pt jump shot from 3 ft (assist by F. Aldemir),4,9
20,1,8:35.0,Shooting foul by F. Aldemir (drawn by G. Antetokounmpo),,4,9
21,1,8:35.0,G. Antetokounmpo misses free throw 1 of 2,,4,9
22,1,8:35.0,Offensive rebound by Team,,4,9
23,1,8:35.0,G. Antetokounmpo misses free throw 2 of 2,,4,9
24,1,8:32.0,,Defensive rebound by J. Grant,4,9
25,1,8:25.0,,Turnover by R. Covington (traveling),4,9
26,1,8:16.0,Personal foul by H. Thompson (drawn by Z. Pachulia),,4,9
27,1,8:09.0,M. Carter-Williams makes 2-pt layup from 2 ft,,6,9
28,1,7:51.0,,Shooting foul by E. İlyasova (drawn by J. Grant),6,9
29,1,7:51.0,,J. Grant makes free throw 1 of 2,6,10
30,1,7:51.0,,J. Grant misses free throw 2 of 2,6,10
31,1,7:49.0,Defensive rebound by G. Antetokounmpo,,6,10
32,1,7:29.0,E. İlyasova makes 2-pt layup from 2 ft (assist by Z. Pachulia),,8,10
33,1,7:19.0,,R. Covington misses 3-pt jump shot from 28 ft,8,10
34,1,7:18.0,Defensive rebound by K. Middleton,,8,10
35,1,7:13.0,Z. Pachulia makes 2-pt layup at rim (assist by K. Middleton),,10,10
36,1,6:58.0,,I. Smith makes 2-pt layup from 2 ft (assist by J. Grant),10,12
37,1,6:49.0,O. Mayo enters the game for K. Middleton,,10,12
38,1,6:49.0,,T. Robinson enters the game for J. Grant,10,12
39,1,6:43.0,M. Carter-Williams makes 2-pt jump shot from 9 ft,,12,12
40,1,6:32.0,,Turnover by H. Thompson (bad pass; steal by Z. Pachulia),12,12
41,1,6:23.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,12,12
42,1,6:21.0,,Defensive rebound by R. Covington,12,12
43,1,6:05.0,,I. Smith misses 2-pt jump shot from 3 ft,12,12
44,1,6:04.0,,Offensive rebound by Team,12,12
45,1,6:04.0,,G. Robinson enters the game for H. Thompson,12,12
46,1,6:04.0,Loose ball foul by O. Mayo (drawn by T. Robinson),,12,12
47,1,5:45.0,,G. Robinson makes 3-pt jump shot from 23 ft (assist by I. Smith),12,15
48,1,5:34.0,Shooting foul by R. Covington (drawn by Z. Pachulia),,12,15
49,1,5:34.0,,Philadelphia full timeout,12,15
50,1,5:34.0,,H. Sims enters the game for F. Aldemir,12,15
