,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
0,1,11:35.0,S. Hawes misses 3-pt jump shot from 25 ft,,0,0
1,1,11:33.0,,Defensive rebound by G. Neal,0,0
2,1,11:19.0,,K. Garnett misses 2-pt jump shot from 17 ft,0,0
3,1,11:18.0,,Offensive rebound by G. Dieng,0,0
4,1,11:06.0,,K. Garnett makes 2-pt jump shot from 20 ft (assist by R. Rubio),0,2
5,1,10:49.0,D. Jordan makes 2-pt dunk at rim (assist by S. Hawes),,2,2
6,1,10:31.0,,G. Neal misses 2-pt jump shot from 18 ft,2,2
7,1,10:30.0,Defensive rebound by D. Jordan,,2,2
8,1,10:17.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,5,2
9,1,9:50.0,,R. Rubio misses 3-pt jump shot from 25 ft,5,2
10,1,9:48.0,Defensive rebound by S. Hawes,,5,2
11,1,9:45.0,Turnover by J. Redick (bad pass; steal by G. Dieng),,5,2
12,1,9:38.0,,A. Wiggins misses 2-pt layup from 1 ft,5,2
13,1,9:37.0,Defensive rebound by S. Hawes,,5,2
14,1,9:31.0,J. Hamilton misses 3-pt jump shot from 24 ft,,5,2
15,1,9:30.0,,Defensive rebound by G. Dieng,5,2
16,1,9:13.0,,Personal foul by J. Hamilton (drawn by A. Wiggins),5,2
17,1,9:05.0,,A. Wiggins misses 2-pt jump shot from 11 ft,5,2
18,1,9:04.0,Defensive rebound by D. Jordan,,5,2
19,1,8:42.0,J. Hamilton makes 2-pt jump shot from 3 ft (assist by C. Paul),,7,2
20,1,8:31.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by G. Neal),7,4
21,1,8:20.0,Turnover by D. Jordan (lost ball; steal by R. Rubio),,7,4
22,1,8:19.0,,Minnesota full timeout,7,4
23,1,8:07.0,,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),7,6
24,1,7:52.0,S. Hawes makes 3-pt jump shot from 25 ft (assist by C. Paul),,10,6
25,1,7:36.0,,K. Garnett misses 2-pt jump shot from 12 ft,10,6
26,1,7:34.0,Defensive rebound by Team,,10,6
27,1,7:23.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,12,6
28,1,7:01.0,,G. Dieng makes 2-pt jump shot from 13 ft,12,8
29,1,6:43.0,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),,15,8
