,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
0,1,11:38.0,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),,2,0
1,1,11:15.0,,P. Millsap misses 2-pt layup from 1 ft (block by S. Ibaka),2,0
2,1,11:15.0,,Offensive rebound by Team,2,0
3,1,11:12.0,,P. Millsap misses 2-pt layup from 2 ft,2,0
4,1,11:10.0,Defensive rebound by R. Westbrook,,2,0
5,1,11:04.0,S. Ibaka misses 3-pt jump shot from 24 ft,,2,0
6,1,11:02.0,,Defensive rebound by D. Carroll,2,0
7,1,10:52.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Teague),2,3
8,1,10:30.0,S. Ibaka misses 2-pt jump shot from 20 ft,,2,3
9,1,10:29.0,,Defensive rebound by D. Carroll,2,3
10,1,10:15.0,,A. Horford misses 2-pt jump shot from 20 ft,2,3
11,1,10:14.0,Defensive rebound by S. Ibaka,,2,3
12,1,10:04.0,S. Ibaka misses 2-pt jump shot from 11 ft,,2,3
13,1,10:03.0,,Defensive rebound by A. Horford,2,3
14,1,9:55.0,,Turnover by J. Teague (lost ball; steal by R. Westbrook),2,3
15,1,9:41.0,Shooting foul by J. Teague (drawn by R. Westbrook),,2,3
16,1,9:41.0,R. Westbrook misses free throw 1 of 2,,2,3
17,1,9:41.0,Offensive rebound by Team,,2,3
18,1,9:41.0,R. Westbrook misses free throw 2 of 2,,2,3
19,1,9:40.0,,Defensive rebound by D. Carroll,2,3
20,1,9:27.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by D. Carroll),2,5
21,1,9:14.0,K. Durant makes 2-pt jump shot from 20 ft (assist by R. Westbrook),,4,5
22,1,8:56.0,,D. Carroll makes 2-pt layup from 1 ft,4,7
23,1,8:37.0,S. Ibaka misses 2-pt jump shot from 3 ft (block by A. Horford),,4,7
24,1,8:37.0,Offensive rebound by Team,,4,7
25,1,8:37.0,Turnover by R. Westbrook (back court),,4,7
26,1,8:24.0,,J. Teague makes 2-pt jump shot from 8 ft (assist by K. Korver),4,9
27,1,8:03.0,S. Adams makes 2-pt dunk at rim (assist by A. Roberson),,6,9
28,1,7:39.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by D. Carroll),6,12
29,1,7:23.0,K. Durant makes 3-pt jump shot from 22 ft (assist by S. Ibaka),,9,12
30,1,7:09.0,,A. Horford misses 2-pt layup at rim,9,12
31,1,7:08.0,Defensive rebound by S. Ibaka,,9,12
32,1,7:02.0,R. Westbrook makes 2-pt jump shot from 19 ft,,11,12
33,1,6:49.0,,Personal foul by A. Roberson (drawn by K. Korver),11,12
34,1,6:42.0,,Turnover by K. Korver (bad pass),11,12
35,1,6:26.0,K. Durant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,14,12
36,1,6:13.0,,Turnover by K. Korver (bad pass; steal by R. Westbrook),14,12
37,1,6:09.0,R. Westbrook makes 2-pt dunk at rim,,16,12
38,1,6:09.0,,Atlanta full timeout,16,12
39,1,5:55.0,,Personal foul by R. Westbrook (drawn by J. Teague),16,12
40,1,5:49.0,,D. Carroll makes 2-pt layup from 1 ft (assist by A. Horford),16,14
41,1,5:27.0,R. Westbrook misses 2-pt jump shot from 17 ft,,16,14
42,1,5:26.0,,Defensive rebound by P. Millsap,16,14
