,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:45.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Jennings),0,2
1,1,11:27.0,K. Garnett misses 2-pt jump shot from 21 ft,,0,2
2,1,11:26.0,,Defensive rebound by K. Caldwell-Pope,0,2
3,1,11:19.0,,A. Drummond misses 2-pt layup at rim,0,2
4,1,11:15.0,Defensive rebound by K. Garnett,,0,2
5,1,11:10.0,M. Plumlee makes 2-pt layup at rim (assist by D. Williams),,2,2
6,1,10:55.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,2,2
7,1,10:54.0,Defensive rebound by K. Garnett,,2,2
8,1,10:46.0,J. Johnson makes 2-pt layup at rim,,4,2
9,1,10:27.0,,K. Singler misses 2-pt layup at rim,4,2
10,1,10:25.0,,Offensive rebound by A. Drummond,4,2
11,1,10:24.0,,A. Drummond makes 2-pt dunk at rim,4,4
12,1,10:09.0,M. Plumlee makes 2-pt hook shot from 5 ft,,6,4
13,1,9:53.0,,Shooting foul by M. Plumlee (drawn by J. Smith),6,4
14,1,9:53.0,,J. Smith misses free throw 1 of 2,6,4
15,1,9:53.0,,Offensive rebound by Team,6,4
16,1,9:53.0,,J. Smith makes free throw 2 of 2,6,5
17,1,9:40.0,D. Williams misses 2-pt jump shot from 5 ft (block by A. Drummond),,6,5
18,1,9:39.0,Offensive rebound by D. Williams,,6,5
19,1,9:32.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,8,5
20,1,9:16.0,,A. Drummond misses 2-pt layup from 1 ft,8,5
21,1,9:15.0,Defensive rebound by M. Plumlee,,8,5
22,1,9:08.0,D. Williams makes 3-pt jump shot from 26 ft (assist by J. Johnson),,11,5
23,1,8:47.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,11,5
24,1,8:46.0,Defensive rebound by J. Johnson,,11,5
25,1,8:37.0,D. Williams misses 3-pt jump shot from 26 ft,,11,5
26,1,8:36.0,,Defensive rebound by K. Caldwell-Pope,11,5
27,1,8:24.0,,B. Jennings makes 2-pt jump shot from 19 ft,11,7
28,1,8:11.0,B. Bogdanović misses 2-pt jump shot from 2 ft,,11,7
29,1,8:10.0,,Defensive rebound by K. Caldwell-Pope,11,7
30,1,7:56.0,,B. Jennings makes 2-pt jump shot from 18 ft,11,9
31,1,7:42.0,K. Garnett misses 2-pt jump shot from 20 ft,,11,9
32,1,7:41.0,,Defensive rebound by A. Drummond,11,9
33,1,7:33.0,,B. Jennings makes 2-pt layup at rim,11,11
34,1,7:31.0,Brooklyn full timeout,,11,11
35,1,7:31.0,,G. Monroe enters the game for J. Smith,11,11
36,1,7:31.0,A. Anderson enters the game for B. Bogdanović,,11,11
37,1,7:19.0,K. Garnett misses 2-pt jump shot from 17 ft,,11,11
38,1,7:18.0,,Defensive rebound by B. Jennings,11,11
39,1,7:14.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by B. Jennings),11,13
40,1,7:00.0,Shooting foul by K. Singler (drawn by J. Johnson),,11,13
41,1,7:00.0,J. Johnson makes free throw 1 of 2,,12,13
42,1,7:00.0,J. Johnson makes free throw 2 of 2,,13,13
43,1,6:39.0,,K. Singler misses 2-pt jump shot from 16 ft,13,13
44,1,6:38.0,Defensive rebound by A. Anderson,,13,13
45,1,6:19.0,K. Garnett misses 2-pt jump shot from 16 ft,,13,13
46,1,6:18.0,,Defensive rebound by B. Jennings,13,13
47,1,6:13.0,,Turnover by B. Jennings (bad pass; steal by K. Garnett),13,13
48,1,6:00.0,Shooting foul by A. Drummond (drawn by M. Plumlee),,13,13
49,1,6:00.0,M. Plumlee misses free throw 1 of 2,,13,13
50,1,6:00.0,Offensive rebound by Team,,13,13
51,1,6:00.0,M. Teletović enters the game for K. Garnett,,13,13
52,1,6:00.0,M. Plumlee misses free throw 2 of 2,,13,13
53,1,6:00.0,,Defensive rebound by A. Drummond,13,13
54,1,5:45.0,,Shooting foul by A. Anderson (drawn by K. Caldwell-Pope),13,13
55,1,5:45.0,,K. Caldwell-Pope makes free throw 1 of 2,13,14
56,1,5:45.0,,K. Caldwell-Pope makes free throw 2 of 2,13,15
57,1,5:32.0,D. Williams makes 2-pt jump shot from 19 ft (assist by J. Johnson),,15,15
58,1,5:18.0,,K. Singler misses 3-pt jump shot from 24 ft,15,15
59,1,5:17.0,Defensive rebound by M. Teletović,,15,15
60,1,5:07.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by J. Johnson),,18,15
61,1,4:38.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,18,15
62,1,4:37.0,Defensive rebound by J. Johnson,,18,15
