,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHARLOTTE_ACTION,DALLAS_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,M. Williams makes 2-pt jump shot from 20 ft (assist by G. Henderson),0,2
1,1,11:34.0,Personal foul by M. Williams (drawn by D. Nowitzki),,0,2
2,1,11:18.0,J. Nelson misses 2-pt jump shot from 21 ft,,0,2
3,1,11:17.0,,Defensive rebound by G. Henderson,0,2
4,1,11:06.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by A. Jefferson),0,5
5,1,10:48.0,M. Ellis makes 2-pt jump shot from 6 ft (assist by J. Nelson),,2,5
6,1,10:30.0,,L. Stephenson misses 2-pt jump shot from 21 ft,2,5
7,1,10:29.0,Defensive rebound by T. Chandler,,2,5
8,1,10:12.0,D. Nowitzki makes 2-pt layup from 1 ft (assist by M. Ellis),,4,5
9,1,9:58.0,,Turnover by A. Jefferson (bad pass),4,5
10,1,9:41.0,J. Nelson makes 3-pt jump shot from 26 ft (assist by D. Nowitzki),,7,5
11,1,9:36.0,,Turnover by M. Williams (bad pass; steal by J. Nelson),7,5
12,1,9:30.0,M. Ellis makes 2-pt layup from 2 ft (assist by J. Nelson),,9,5
13,1,9:14.0,,Shooting foul by J. Nelson (drawn by K. Walker),9,5
14,1,9:14.0,,K. Walker makes free throw 1 of 2,9,6
15,1,9:14.0,,K. Walker makes free throw 2 of 2,9,7
16,1,9:02.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,9,7
17,1,9:01.0,,Defensive rebound by L. Stephenson,9,7
18,1,8:43.0,,Turnover by K. Walker (lost ball; steal by M. Ellis),9,7
19,1,8:34.0,M. Ellis makes 2-pt jump shot from 6 ft (assist by J. Nelson),,11,7
20,1,8:19.0,,M. Williams misses 2-pt jump shot from 20 ft,11,7
21,1,8:18.0,Defensive rebound by M. Ellis,,11,7
22,1,8:03.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by J. Nelson),,14,7
23,1,7:57.0,,Charlotte full timeout,14,7
24,1,7:49.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by K. Walker),14,9
25,1,7:31.0,M. Ellis misses 2-pt jump shot from 19 ft,,14,9
26,1,7:30.0,Offensive rebound by T. Chandler,,14,9
27,1,7:26.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by T. Chandler),,16,9
28,1,7:05.0,,G. Henderson makes 2-pt jump shot from 5 ft (assist by A. Jefferson),16,11
29,1,6:48.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by M. Ellis),,19,11
30,1,6:28.0,,G. Henderson makes 2-pt jump shot from 15 ft (assist by A. Jefferson),19,13
31,1,6:19.0,Turnover by J. Nelson (lost ball),,19,13
32,1,6:04.0,,A. Jefferson makes 2-pt jump shot from 6 ft (assist by L. Stephenson),19,15
33,1,5:46.0,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),,21,15
34,1,5:30.0,,G. Henderson misses 3-pt jump shot from 25 ft,21,15
35,1,5:29.0,Defensive rebound by D. Nowitzki,,21,15
36,1,5:22.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,21,15
37,1,5:20.0,,Defensive rebound by L. Stephenson,21,15
38,1,5:12.0,,G. Henderson misses 2-pt jump shot from 17 ft,21,15
39,1,5:11.0,Defensive rebound by C. Parsons,,21,15
40,1,5:00.0,M. Ellis misses 2-pt jump shot from 13 ft,,21,15
41,1,5:00.0,,Defensive rebound by Team,21,15
42,1,5:00.0,,Personal foul by T. Chandler (drawn by M. Williams),21,15
43,1,5:00.0,,P. Hairston enters the game for G. Henderson,21,15
44,1,5:00.0,B. Wright enters the game for T. Chandler,,21,15
45,1,4:41.0,,A. Jefferson misses 2-pt jump shot from 16 ft,21,15
46,1,4:40.0,Defensive rebound by J. Nelson,,21,15
47,1,4:31.0,C. Parsons makes 2-pt layup from 2 ft,,23,15
48,1,4:31.0,Shooting foul by A. Jefferson (drawn by C. Parsons),,23,15
49,1,4:31.0,,C. Zeller enters the game for M. Williams,23,15
50,1,4:31.0,T. Chandler enters the game for D. Nowitzki,,23,15
51,1,4:31.0,C. Parsons misses free throw 1 of 1,,23,15
52,1,4:29.0,,Defensive rebound by L. Stephenson,23,15
53,1,4:09.0,,A. Jefferson makes 2-pt jump shot from 11 ft (assist by L. Stephenson),23,17
