,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:44.0,,Turnover by R. Lopez (bad pass),0,0
1,1,11:31.0,T. Young misses 2-pt hook shot from 4 ft,,0,0
2,1,11:29.0,,Defensive rebound by R. Lopez,0,0
3,1,11:08.0,,W. Matthews misses 3-pt jump shot from 26 ft,0,0
4,1,11:07.0,Defensive rebound by Team,,0,0
5,1,10:43.0,M. Williams makes 2-pt jump shot from 16 ft (assist by T. Young),,2,0
6,1,10:34.0,,Personal foul by M. Williams (drawn by R. Lopez),2,0
7,1,10:19.0,,N. Batum misses 3-pt jump shot from 26 ft,2,0
8,1,10:17.0,,Offensive rebound by R. Lopez,2,0
9,1,10:17.0,,R. Lopez misses 2-pt tip-in from 1 ft,2,0
10,1,10:16.0,,Offensive rebound by R. Lopez,2,0
11,1,10:11.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by R. Lopez),2,2
12,1,9:51.0,T. Young misses 3-pt jump shot from 26 ft,,2,2
13,1,9:50.0,,Defensive rebound by N. Batum,2,2
14,1,9:41.0,,L. Aldridge misses 2-pt jump shot from 10 ft,2,2
15,1,9:40.0,Defensive rebound by C. Brewer,,2,2
16,1,9:30.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by G. Dieng),,5,2
17,1,9:12.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by N. Batum),5,4
18,1,8:52.0,G. Dieng makes 2-pt layup from 1 ft (assist by C. Brewer),,7,4
19,1,8:38.0,,L. Aldridge makes 2-pt jump shot from 6 ft,7,6
20,1,8:23.0,T. Young misses 2-pt jump shot from 21 ft,,7,6
21,1,8:22.0,,Defensive rebound by D. Lillard,7,6
22,1,8:16.0,,N. Batum makes 2-pt layup from 2 ft (assist by D. Lillard),7,8
23,1,8:01.0,M. Williams makes 2-pt jump shot from 19 ft,,9,8
24,1,7:45.0,,L. Aldridge misses 2-pt jump shot from 20 ft,9,8
25,1,7:44.0,Defensive rebound by T. Young,,9,8
26,1,7:35.0,M. Williams misses 2-pt jump shot from 13 ft,,9,8
27,1,7:34.0,,Defensive rebound by L. Aldridge,9,8
28,1,7:16.0,,R. Lopez makes 2-pt hook shot from 1 ft (assist by L. Aldridge),9,10
29,1,6:59.0,C. Brewer makes 2-pt layup from 1 ft (assist by M. Williams),,11,10
30,1,6:42.0,,Turnover by R. Lopez (lost ball; steal by C. Brewer),11,10
31,1,6:37.0,Shooting foul by W. Matthews (drawn by M. Williams),,11,10
32,1,6:37.0,M. Williams misses free throw 1 of 3,,11,10
33,1,6:37.0,Offensive rebound by Team,,11,10
34,1,6:37.0,M. Williams makes free throw 2 of 3,,12,10
35,1,6:37.0,M. Williams makes free throw 3 of 3,,13,10
36,1,6:22.0,,W. Matthews misses 3-pt jump shot from 26 ft,13,10
37,1,6:21.0,Defensive rebound by M. Williams,,13,10
38,1,6:13.0,C. Brewer misses 2-pt jump shot from 19 ft,,13,10
39,1,6:12.0,,Defensive rebound by W. Matthews,13,10
40,1,6:09.0,,Offensive foul by W. Matthews (drawn by A. Wiggins),13,10
41,1,6:09.0,,Turnover by W. Matthews (offensive foul),13,10
42,1,6:09.0,,S. Blake enters the game for W. Matthews,13,10
43,1,6:01.0,Personal foul by D. Lillard (drawn by C. Brewer),,13,10
44,1,5:52.0,Turnover by C. Brewer (lost ball; steal by R. Lopez),,13,10
45,1,5:41.0,,N. Batum misses 3-pt jump shot from 25 ft,13,10
46,1,5:40.0,Defensive rebound by G. Dieng,,13,10
47,1,5:36.0,A. Wiggins makes 2-pt hook shot from 4 ft (assist by G. Dieng),,15,10
48,1,5:35.0,,Portland full timeout,15,10
49,1,5:10.0,,L. Aldridge makes 2-pt jump shot from 21 ft,15,12
50,1,4:48.0,G. Dieng misses 2-pt layup from 1 ft (block by R. Lopez),,15,12
51,1,4:46.0,Offensive rebound by C. Brewer,,15,12
52,1,4:45.0,C. Brewer makes 2-pt layup from 1 ft,,17,12
53,1,4:23.0,,C. Kaman enters the game for R. Lopez,17,12
54,1,4:23.0,,A. Crabbe enters the game for D. Lillard,17,12
55,1,4:18.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by N. Batum),17,15
56,1,4:00.0,C. Brewer misses 2-pt layup from 1 ft (block by C. Kaman),,17,15
57,1,4:00.0,Offensive rebound by Team,,17,15
58,1,3:54.0,M. Williams makes 3-pt jump shot from 26 ft (assist by G. Dieng),,20,15
59,1,3:40.0,,L. Aldridge misses 2-pt layup from 2 ft,20,15
60,1,3:38.0,Defensive rebound by G. Dieng,,20,15
61,1,3:34.0,A. Wiggins misses 3-pt jump shot from 25 ft,,20,15
62,1,3:30.0,Offensive rebound by C. Brewer,,20,15
63,1,3:26.0,T. Young makes 2-pt hook shot from 9 ft (assist by C. Brewer),,22,15
64,1,3:05.0,,L. Aldridge makes 2-pt dunk at rim (assist by S. Blake),22,17
65,1,2:46.0,G. Dieng misses 2-pt jump shot from 11 ft,,22,17
66,1,2:45.0,,Defensive rebound by N. Batum,22,17
67,1,2:34.0,,N. Batum misses 3-pt jump shot from 25 ft,22,17
68,1,2:33.0,Defensive rebound by G. Dieng,,22,17
69,1,2:29.0,,Violation by C. Kaman (kicked ball),22,17
70,1,2:29.0,Minnesota full timeout,,22,17
71,1,2:29.0,S. Muhammad enters the game for A. Wiggins,,22,17
72,1,2:29.0,,W. Matthews enters the game for N. Batum,22,17
73,1,2:20.0,C. Brewer misses 2-pt jump shot from 10 ft,,22,17
74,1,2:18.0,,Defensive rebound by A. Crabbe,22,17
75,1,2:00.0,,Shooting foul by S. Muhammad (drawn by C. Kaman),22,17
76,1,2:00.0,,C. Kaman makes free throw 1 of 2,22,18
77,1,2:00.0,,C. Kaman makes free throw 2 of 2,22,19
78,1,1:53.0,M. Williams makes 2-pt layup from 2 ft,,24,19
79,1,1:38.0,,C. Kaman misses 2-pt jump shot from 13 ft,24,19
80,1,1:37.0,Defensive rebound by C. Brewer,,24,19
81,1,1:29.0,M. Williams misses 2-pt jump shot from 17 ft,,24,19
82,1,1:26.0,Offensive rebound by C. Brewer,,24,19
83,1,1:26.0,C. Brewer misses 2-pt tip-in from 1 ft,,24,19
84,1,1:25.0,,Defensive rebound by L. Aldridge,24,19
85,1,1:13.0,C. Budinger enters the game for C. Brewer,,24,19
86,1,1:05.0,,S. Blake makes 3-pt jump shot from 25 ft,24,22
87,1,0:49.0,S. Muhammad makes 2-pt jump shot from 7 ft,,26,22
88,1,0:29.0,,C. Kaman misses 2-pt jump shot from 9 ft,26,22
89,1,0:28.0,Defensive rebound by C. Budinger,,26,22
90,1,0:05.0,M. Williams misses 2-pt jump shot from 11 ft,,26,22
91,1,0:04.0,,Defensive rebound by L. Aldridge,26,22
92,1,0:00.0,,S. Blake misses 2-pt layup from 4 ft,26,22
93,1,0:00.0,,Offensive rebound by Team,26,22
94,2,11:44.0,S. Muhammad makes 2-pt dunk at rim (assist by M. Williams),,28,22
95,2,11:24.0,,Turnover by C. Kaman (lost ball; steal by T. Young),28,22
96,2,11:19.0,T. Young misses 2-pt layup from 1 ft,,28,22
97,2,11:18.0,,Defensive rebound by C. Kaman,28,22
98,2,11:07.0,,J. Freeland misses 2-pt jump shot from 12 ft,28,22
99,2,11:06.0,Defensive rebound by C. Budinger,,28,22
100,2,10:58.0,A. Bennett makes 2-pt jump shot from 21 ft (assist by M. Williams),,30,22
101,2,10:44.0,,S. Blake misses 2-pt jump shot from 20 ft,30,22
102,2,10:43.0,Defensive rebound by A. Bennett,,30,22
103,2,10:26.0,A. Bennett misses 2-pt jump shot from 20 ft,,30,22
104,2,10:25.0,,Defensive rebound by J. Freeland,30,22
105,2,10:08.0,,D. Lillard misses 3-pt jump shot from 26 ft,30,22
106,2,10:07.0,Defensive rebound by A. Bennett,,30,22
107,2,10:00.0,M. Williams misses 2-pt jump shot from 21 ft,,30,22
108,2,9:59.0,,Defensive rebound by Team,30,22
109,2,9:59.0,Z. LaVine enters the game for M. Williams,,30,22
110,2,9:42.0,,D. Lillard misses 2-pt layup from 2 ft,30,22
