,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,,T. Duncan misses 2-pt jump shot from 7 ft,0,0
1,1,11:38.0,Defensive rebound by A. Davis,,0,0
2,1,11:22.0,Personal foul by D. Green (drawn by T. Evans),,0,0
3,1,11:09.0,J. Holiday misses 2-pt jump shot from 17 ft,,0,0
4,1,11:08.0,,Defensive rebound by K. Anderson,0,0
5,1,10:56.0,,D. Green makes 2-pt jump shot from 5 ft (assist by T. Duncan),0,2
6,1,10:41.0,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),,2,2
7,1,10:31.0,,D. Green misses 2-pt layup from 2 ft,2,2
8,1,10:31.0,,Offensive rebound by Team,2,2
9,1,10:23.0,,Turnover by D. Green (bad pass; steal by A. Davis),2,2
10,1,10:05.0,J. Holiday misses 2-pt jump shot from 13 ft,,2,2
11,1,10:04.0,,Defensive rebound by T. Duncan,2,2
12,1,9:46.0,,C. Joseph misses 2-pt layup from 2 ft,2,2
13,1,9:46.0,,Offensive rebound by Team,2,2
14,1,9:34.0,,C. Joseph misses 2-pt layup from 2 ft,2,2
15,1,9:33.0,Defensive rebound by Ö. Aşık,,2,2
16,1,9:27.0,T. Evans misses 2-pt layup from 1 ft,,2,2
17,1,9:26.0,,Defensive rebound by T. Duncan,2,2
18,1,9:09.0,,T. Duncan misses 2-pt jump shot from 19 ft,2,2
19,1,9:08.0,Defensive rebound by Ö. Aşık,,2,2
20,1,8:59.0,Turnover by Ö. Aşık (bad pass),,2,2
21,1,8:35.0,T. Evans misses 3-pt jump shot from 22 ft,,2,2
22,1,8:35.0,,Defensive rebound by M. Bonner,2,2
23,1,8:24.0,,M. Bonner misses 2-pt jump shot from 8 ft,2,2
24,1,8:23.0,Defensive rebound by A. Davis,,2,2
25,1,8:14.0,Ö. Aşık misses 2-pt layup from 1 ft,,2,2
26,1,8:13.0,,Defensive rebound by D. Green,2,2
27,1,8:03.0,,Turnover by M. Bonner (bad pass),2,2
28,1,7:44.0,T. Evans misses 2-pt jump shot from 9 ft,,2,2
29,1,7:42.0,,Defensive rebound by T. Duncan,2,2
30,1,7:37.0,,D. Green misses 3-pt jump shot from 25 ft,2,2
31,1,7:36.0,Defensive rebound by A. Davis,,2,2
32,1,7:22.0,J. Holiday makes 3-pt jump shot from 25 ft,,5,2
33,1,7:00.0,,Turnover by C. Joseph (lost ball; steal by J. Holiday),5,2
34,1,6:54.0,T. Evans makes 2-pt layup from 1 ft (assist by J. Holiday),,7,2
35,1,6:54.0,,San Antonio full timeout,7,2
36,1,6:54.0,,T. Splitter enters the game for T. Duncan,7,2
37,1,6:54.0,,M. Belinelli enters the game for K. Anderson,7,2
38,1,6:54.0,,M. Ginóbili enters the game for D. Green,7,2
39,1,6:54.0,,P. Mills enters the game for C. Joseph,7,2
40,1,6:54.0,,B. Diaw enters the game for M. Bonner,7,2
41,1,6:49.0,,Personal foul by L. Babbitt (drawn by M. Belinelli),7,2
42,1,6:39.0,,Turnover by M. Ginóbili (lost ball; steal by T. Evans),7,2
43,1,6:21.0,Turnover by Team (back court),,7,2
44,1,6:21.0,A. Rivers enters the game for L. Babbitt,,7,2
45,1,6:11.0,,T. Splitter misses 2-pt layup from 2 ft,7,2
46,1,6:10.0,Defensive rebound by J. Holiday,,7,2
47,1,5:52.0,T. Evans makes 2-pt jump shot from 18 ft,,9,2
48,1,5:34.0,,B. Diaw makes 2-pt jump shot from 4 ft (assist by P. Mills),9,4
49,1,5:08.0,Turnover by Team (shot clock),,9,4
50,1,5:02.0,,Turnover by B. Diaw (kicked ball),9,4
51,1,4:50.0,Offensive foul by Ö. Aşık (drawn by M. Ginóbili),,9,4
