,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,Turnover by J. Wall (bad pass; steal by M. Kidd-Gilchrist),0,0
1,1,11:36.0,M. Kidd-Gilchrist makes 2-pt dunk at rim,,2,0
2,1,11:19.0,,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),2,2
3,1,10:58.0,A. Jefferson misses 2-pt jump shot from 6 ft,,2,2
4,1,10:57.0,,Defensive rebound by Team,2,2
5,1,10:47.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by J. Wall),2,5
6,1,10:28.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by G. Henderson),,4,5
7,1,10:06.0,,B. Beal misses 3-pt jump shot from 23 ft,4,5
8,1,10:05.0,Defensive rebound by M. Kidd-Gilchrist,,4,5
9,1,9:50.0,A. Jefferson misses 2-pt jump shot from 9 ft (block by M. Gortat),,4,5
10,1,9:50.0,Offensive rebound by Team,,4,5
11,1,9:43.0,C. Zeller makes 2-pt dunk at rim (assist by B. Roberts),,6,5
12,1,9:20.0,,Turnover by M. Gortat (lost ball; steal by A. Jefferson),6,5
13,1,9:16.0,B. Roberts makes 2-pt jump shot from 17 ft,,8,5
14,1,8:54.0,,N. Hilário misses 2-pt jump shot from 16 ft,8,5
15,1,8:54.0,Defensive rebound by A. Jefferson,,8,5
16,1,8:43.0,G. Henderson makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),,11,5
17,1,8:23.0,,Offensive foul by M. Gortat (drawn by G. Henderson),11,5
18,1,8:23.0,,Turnover by M. Gortat (offensive foul),11,5
19,1,8:01.0,Turnover by B. Roberts (bad pass; steal by P. Pierce),,11,5
20,1,7:52.0,,N. Hilário makes 2-pt layup at rim (assist by P. Pierce),11,7
21,1,7:36.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by G. Henderson),,13,7
22,1,7:25.0,,P. Pierce misses 3-pt jump shot from 27 ft,13,7
23,1,7:24.0,Defensive rebound by A. Jefferson,,13,7
24,1,7:13.0,G. Henderson misses 2-pt jump shot from 11 ft,,13,7
25,1,7:12.0,Offensive rebound by G. Henderson,,13,7
26,1,7:08.0,M. Kidd-Gilchrist makes 2-pt jump shot from 3 ft (assist by G. Henderson),,15,7
27,1,7:03.0,,Washington full timeout,15,7
28,1,6:49.0,,M. Gortat misses 2-pt jump shot from 8 ft,15,7
29,1,6:48.0,Defensive rebound by A. Jefferson,,15,7
30,1,6:38.0,C. Zeller misses 2-pt jump shot from 20 ft,,15,7
31,1,6:36.0,,Defensive rebound by B. Beal,15,7
