,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Sampson,0,0
2,1,11:17.0,,R. Covington misses 2-pt layup from 2 ft,0,0
3,1,11:16.0,Defensive rebound by B. Roberts,,0,0
4,1,10:59.0,Personal foul by R. Covington (drawn by M. Kidd-Gilchrist),,0,0
5,1,10:52.0,A. Jefferson makes 2-pt dunk at rim (assist by G. Henderson),,2,0
6,1,10:39.0,,Shooting foul by G. Henderson (drawn by J. Sampson),2,0
7,1,10:39.0,,J. Sampson makes free throw 1 of 2,2,1
8,1,10:39.0,,J. Sampson misses free throw 2 of 2,2,1
9,1,10:37.0,Defensive rebound by M. Kidd-Gilchrist,,2,1
10,1,10:20.0,Personal foul by J. Sampson (drawn by G. Henderson),,2,1
11,1,10:14.0,G. Henderson misses 2-pt jump shot from 15 ft,,2,1
12,1,10:13.0,Offensive rebound by M. Kidd-Gilchrist,,2,1
13,1,10:10.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,4,1
14,1,10:02.0,,Personal foul by C. Zeller (drawn by N. Noel),4,1
15,1,9:52.0,,L. Mbah a Moute misses 2-pt jump shot from 4 ft (block by C. Zeller),4,1
16,1,9:50.0,Defensive rebound by A. Jefferson,,4,1
17,1,9:39.0,G. Henderson misses 2-pt jump shot from 6 ft (block by R. Covington),,4,1
18,1,9:37.0,,Defensive rebound by R. Covington,4,1
19,1,9:34.0,,R. Covington misses 2-pt layup from 2 ft,4,1
20,1,9:34.0,,Offensive rebound by R. Covington,4,1
21,1,9:34.0,,Shooting foul by A. Jefferson (drawn by R. Covington),4,1
22,1,9:34.0,,R. Covington misses free throw 1 of 2,4,1
23,1,9:34.0,,Offensive rebound by Team,4,1
24,1,9:34.0,,R. Covington makes free throw 2 of 2,4,2
25,1,9:16.0,B. Roberts makes 2-pt jump shot from 17 ft (assist by G. Henderson),,6,2
26,1,9:02.0,,N. Noel makes 2-pt jump shot from 15 ft (assist by J. Sampson),6,4
27,1,8:44.0,A. Jefferson misses 2-pt jump shot from 6 ft,,6,4
28,1,8:43.0,,Defensive rebound by N. Noel,6,4
29,1,8:35.0,,N. Noel makes 2-pt jump shot from 17 ft (assist by R. Covington),6,6
30,1,8:24.0,A. Jefferson makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,8,6
31,1,8:15.0,,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by T. Frazier),8,9
32,1,8:03.0,A. Jefferson makes 2-pt layup from 1 ft (assist by G. Henderson),,10,9
33,1,7:52.0,,L. Mbah a Moute makes 2-pt jump shot from 17 ft,10,11
34,1,7:40.0,Personal foul by T. Frazier (drawn by B. Roberts),,10,11
35,1,7:40.0,Personal foul by J. Sampson (drawn by G. Henderson),,10,11
36,1,7:40.0,,H. Thompson enters the game for J. Sampson,10,11
37,1,7:29.0,B. Roberts misses 2-pt jump shot from 20 ft,,10,11
38,1,7:27.0,Offensive rebound by Team,,10,11
39,1,7:11.0,C. Zeller misses 2-pt jump shot from 18 ft,,10,11
40,1,7:09.0,,Defensive rebound by L. Mbah a Moute,10,11
41,1,7:03.0,,Shooting foul by C. Zeller (drawn by L. Mbah a Moute),10,11
42,1,7:03.0,,L. Mbah a Moute makes free throw 1 of 2,10,12
43,1,7:03.0,M. Williams enters the game for C. Zeller,,10,12
44,1,7:03.0,,L. Mbah a Moute makes free throw 2 of 2,10,13
45,1,6:48.0,G. Henderson misses 2-pt jump shot from 15 ft,,10,13
46,1,6:46.0,,Defensive rebound by N. Noel,10,13
47,1,6:40.0,,T. Frazier misses 2-pt jump shot from 18 ft,10,13
48,1,6:36.0,Defensive rebound by A. Jefferson,,10,13
49,1,6:25.0,A. Jefferson makes 2-pt jump shot from 8 ft (assist by G. Henderson),,12,13
50,1,6:24.0,,Philadelphia full timeout,12,13
51,1,6:00.0,,N. Noel misses 2-pt jump shot from 12 ft,12,13
52,1,5:58.0,Defensive rebound by M. Williams,,12,13
53,1,5:38.0,M. Williams makes 2-pt jump shot from 5 ft (assist by G. Henderson),,14,13
54,1,5:20.0,,H. Thompson misses 3-pt jump shot from 25 ft,14,13
55,1,5:19.0,Defensive rebound by M. Williams,,14,13
56,1,5:04.0,G. Henderson makes 2-pt layup from 2 ft (assist by M. Williams),,16,13
57,1,4:50.0,,Turnover by T. Frazier (bad pass),16,13
58,1,4:50.0,,J. Grant enters the game for R. Covington,16,13
59,1,4:50.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,16,13
60,1,4:39.0,B. Roberts makes 3-pt jump shot from 25 ft (assist by A. Jefferson),,19,13
61,1,4:21.0,,T. Frazier misses 3-pt jump shot from 26 ft,19,13
62,1,4:20.0,Defensive rebound by M. Williams,,19,13
63,1,4:08.0,A. Jefferson misses 2-pt jump shot from 14 ft,,19,13
64,1,4:07.0,,Defensive rebound by N. Noel,19,13
65,1,4:01.0,,Turnover by L. Mbah a Moute (step out of bounds),19,13
66,1,3:50.0,,Violation by T. Frazier (kicked ball),19,13
67,1,3:50.0,J. Maxiell enters the game for A. Jefferson,,19,13
68,1,3:50.0,,H. Sims enters the game for N. Noel,19,13
69,1,3:50.0,,K. McDaniels enters the game for L. Mbah a Moute,19,13
70,1,3:44.0,L. Stephenson misses 3-pt jump shot from 26 ft,,19,13
71,1,3:43.0,Offensive rebound by J. Maxiell,,19,13
72,1,3:41.0,J. Maxiell misses 2-pt layup from 2 ft (block by J. Grant),,19,13
73,1,3:41.0,Offensive rebound by Team,,19,13
74,1,3:39.0,G. Henderson misses 2-pt jump shot from 17 ft,,19,13
75,1,3:37.0,,Defensive rebound by H. Sims,19,13
76,1,3:25.0,,H. Sims makes 2-pt jump shot from 19 ft (assist by K. McDaniels),19,15
77,1,3:07.0,B. Roberts misses 2-pt jump shot from 16 ft,,19,15
78,1,3:06.0,,Defensive rebound by J. Grant,19,15
79,1,2:57.0,,H. Thompson misses 3-pt jump shot from 25 ft,19,15
80,1,2:55.0,Defensive rebound by B. Roberts,,19,15
81,1,2:48.0,J. Maxiell makes 2-pt layup from 1 ft (assist by L. Stephenson),,21,15
82,1,2:48.0,Shooting foul by K. McDaniels (drawn by J. Maxiell),,21,15
83,1,2:48.0,Charlotte full timeout,,21,15
84,1,2:48.0,G. Neal enters the game for G. Henderson,,21,15
85,1,2:48.0,,J. Sampson enters the game for T. Frazier,21,15
86,1,2:48.0,J. Maxiell makes free throw 1 of 1,,22,15
87,1,2:39.0,,Turnover by J. Grant (dbl dribble),22,15
88,1,2:28.0,L. Stephenson misses 2-pt jump shot from 5 ft,,22,15
89,1,2:28.0,,Defensive rebound by Team,22,15
90,1,2:28.0,Loose ball foul by J. Maxiell (drawn by K. McDaniels),,22,15
91,1,2:28.0,,K. McDaniels makes free throw 1 of 2,22,16
92,1,2:28.0,,K. McDaniels makes free throw 2 of 2,22,17
93,1,2:16.0,G. Neal misses 3-pt jump shot from 23 ft,,22,17
94,1,2:14.0,,Defensive rebound by K. McDaniels,22,17
95,1,2:07.0,,Turnover by K. McDaniels (bad pass; steal by G. Neal),22,17
96,1,1:55.0,Turnover by B. Roberts (lost ball),,22,17
97,1,1:38.0,,K. McDaniels misses 2-pt layup from 1 ft (block by M. Williams),22,17
98,1,1:35.0,,Offensive rebound by Team,22,17
99,1,1:28.0,,J. Sampson makes 2-pt dunk at rim,22,19
100,1,1:11.0,B. Roberts misses 3-pt jump shot from 25 ft,,22,19
101,1,1:09.0,,Defensive rebound by K. McDaniels,22,19
102,1,1:04.0,,Shooting block foul by G. Neal (drawn by K. McDaniels),22,19
103,1,1:04.0,,K. McDaniels makes free throw 1 of 2,22,20
104,1,1:04.0,,K. McDaniels makes free throw 2 of 2,22,21
105,1,0:49.0,G. Neal misses 2-pt jump shot from 18 ft,,22,21
106,1,0:47.0,,Defensive rebound by J. Grant,22,21
107,1,0:30.0,,H. Thompson makes 2-pt layup at rim (assist by H. Sims),22,23
108,1,0:15.0,Personal foul by H. Thompson (drawn by J. Maxiell),,22,23
109,1,0:15.0,J. Maxiell makes free throw 1 of 2,,23,23
110,1,0:15.0,,T. Frazier enters the game for J. Sampson,23,23
111,1,0:15.0,J. Maxiell makes free throw 2 of 2,,24,23
112,1,0:02.0,,T. Frazier misses 2-pt jump shot from 3 ft,24,23
113,1,0:01.0,Defensive rebound by L. Stephenson,,24,23
114,2,11:42.0,,J. Sampson misses 2-pt jump shot from 4 ft,24,23
115,2,11:40.0,Defensive rebound by J. Maxiell,,24,23
116,2,11:37.0,Turnover by G. Neal (bad pass; steal by J. Sampson),,24,23
117,2,11:31.0,,K. McDaniels makes 2-pt layup from 2 ft,24,25
118,2,11:14.0,L. Stephenson makes 2-pt layup at rim (assist by M. Williams),,26,25
119,2,10:54.0,,H. Sims misses 2-pt jump shot from 17 ft,26,25
120,2,10:53.0,Defensive rebound by G. Neal,,26,25
121,2,10:44.0,M. Williams makes 3-pt jump shot from 27 ft (assist by L. Stephenson),,29,25
122,2,10:24.0,,H. Sims misses 2-pt layup from 1 ft,29,25
123,2,10:21.0,,Offensive rebound by J. Grant,29,25
124,2,10:21.0,,J. Grant misses 2-pt tip-in at rim,29,25
125,2,10:19.0,Defensive rebound by L. Stephenson,,29,25
126,2,10:14.0,L. Stephenson makes 2-pt layup from 1 ft,,31,25
127,2,10:14.0,,Violation by K. McDaniels (def goaltending),31,25
128,2,10:01.0,,H. Thompson misses 3-pt jump shot from 24 ft,31,25
129,2,10:00.0,Defensive rebound by J. Maxiell,,31,25
130,2,9:49.0,L. Stephenson misses 3-pt jump shot from 24 ft,,31,25
131,2,9:48.0,,Defensive rebound by K. McDaniels,31,25
132,2,9:44.0,,Turnover by H. Sims (bad pass),31,25
133,2,9:44.0,,R. Covington enters the game for H. Thompson,31,25
134,2,9:34.0,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by L. Stephenson),,33,25
135,2,9:34.0,Shooting foul by H. Sims (drawn by M. Kidd-Gilchrist),,33,25
136,2,9:34.0,,N. Noel enters the game for H. Sims,33,25
137,2,9:34.0,M. Kidd-Gilchrist makes free throw 1 of 1,,34,25
138,2,9:34.0,,Philadelphia full timeout,34,25
139,2,9:34.0,,T. Frazier enters the game for J. Sampson,34,25
140,2,9:18.0,,K. McDaniels misses 2-pt jump shot from 5 ft (block by L. Stephenson),34,25
141,2,9:16.0,Defensive rebound by L. Stephenson,,34,25
142,2,9:06.0,M. Williams misses 3-pt jump shot from 25 ft,,34,25
143,2,9:04.0,,Defensive rebound by T. Frazier,34,25
144,2,8:57.0,,Turnover by K. McDaniels (lost ball),34,25
145,2,8:38.0,M. Kidd-Gilchrist misses 2-pt jump shot from 6 ft,,34,25
146,2,8:37.0,,Defensive rebound by K. McDaniels,34,25
147,2,8:34.0,,T. Frazier misses 2-pt jump shot from 3 ft,34,25
148,2,8:34.0,Defensive rebound by Team,,34,25
149,2,8:33.0,,Loose ball foul by J. Grant (drawn by M. Williams),34,25
150,2,8:12.0,G. Neal misses 2-pt jump shot from 14 ft,,34,25
151,2,8:10.0,Offensive rebound by J. Maxiell,,34,25
152,2,8:05.0,L. Stephenson makes 2-pt jump shot from 16 ft,,36,25
153,2,7:52.0,,J. Grant misses 3-pt jump shot from 23 ft,36,25
154,2,7:51.0,Defensive rebound by M. Kidd-Gilchrist,,36,25
155,2,7:41.0,Turnover by L. Stephenson (bad pass; steal by N. Noel),,36,25
156,2,7:34.0,,Shooting foul by J. Maxiell (drawn by J. Grant),36,25
157,2,7:34.0,,J. Grant makes free throw 1 of 2,36,26
158,2,7:34.0,,H. Thompson enters the game for K. McDaniels,36,26
159,2,7:34.0,A. Jefferson enters the game for J. Maxiell,,36,26
160,2,7:34.0,,J. Grant makes free throw 2 of 2,36,27
161,2,7:23.0,Turnover by A. Jefferson (lost ball),,36,27
162,2,7:23.0,,L. Mbah a Moute enters the game for J. Grant,36,27
163,2,7:03.0,,N. Noel misses 2-pt jump shot from 4 ft (block by A. Jefferson),36,27
164,2,7:03.0,,Offensive rebound by Team,36,27
165,2,7:00.0,,R. Covington misses 3-pt jump shot from 28 ft,36,27
166,2,6:58.0,Defensive rebound by Team,,36,27
167,2,6:41.0,M. Williams makes 2-pt jump shot from 22 ft (assist by G. Neal),,38,27
168,2,6:25.0,,Turnover by R. Covington (lost ball; steal by L. Stephenson),38,27
