,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHARLOTTE_ACTION,BOSTON_SCORE,CHARLOTTE_SCORE
0,1,11:35.0,,G. Henderson makes 2-pt jump shot from 19 ft,0,2
1,1,11:15.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by E. Turner),,2,2
2,1,11:08.0,,Personal foul by M. Smart (drawn by G. Henderson),2,2
3,1,10:50.0,,K. Walker misses 3-pt jump shot from 28 ft,2,2
4,1,10:49.0,Defensive rebound by T. Zeller,,2,2
5,1,10:38.0,T. Zeller makes 2-pt jump shot from 18 ft (assist by B. Bass),,4,2
6,1,10:21.0,,J. Taylor misses 2-pt layup from 1 ft,4,2
7,1,10:20.0,Defensive rebound by E. Turner,,4,2
8,1,10:08.0,,Violation by M. Williams (kicked ball),4,2
9,1,9:57.0,E. Turner misses 2-pt jump shot from 12 ft,,4,2
10,1,9:56.0,,Defensive rebound by A. Jefferson,4,2
11,1,9:47.0,,G. Henderson misses 2-pt jump shot from 18 ft,4,2
12,1,9:46.0,Defensive rebound by A. Bradley,,4,2
13,1,9:37.0,A. Bradley makes 2-pt jump shot from 19 ft,,6,2
14,1,9:16.0,,J. Taylor misses 2-pt jump shot from 18 ft,6,2
15,1,9:15.0,Defensive rebound by A. Bradley,,6,2
16,1,9:07.0,M. Smart makes 2-pt jump shot from 19 ft (assist by A. Bradley),,8,2
17,1,8:58.0,,Personal foul by A. Bradley (drawn by K. Walker),8,2
18,1,8:47.0,,G. Henderson misses 2-pt layup from 2 ft,8,2
19,1,8:46.0,Defensive rebound by T. Zeller,,8,2
20,1,8:35.0,T. Zeller makes 2-pt hook shot from 11 ft,,10,2
21,1,8:35.0,,Charlotte full timeout,10,2
22,1,8:24.0,,A. Jefferson makes 2-pt hook shot from 6 ft (assist by K. Walker),10,4
23,1,8:10.0,Turnover by A. Bradley (bad pass; steal by K. Walker),,10,4
24,1,8:06.0,,K. Walker makes 2-pt layup at rim,10,6
25,1,7:55.0,Personal foul by M. Williams (drawn by T. Zeller),,10,6
26,1,7:51.0,A. Bradley makes 2-pt jump shot from 16 ft (assist by T. Zeller),,12,6
27,1,7:51.0,Shooting foul by G. Henderson (drawn by A. Bradley),,12,6
28,1,7:51.0,A. Bradley makes free throw 1 of 1,,13,6
29,1,7:34.0,,M. Williams misses 3-pt jump shot from 25 ft,13,6
30,1,7:32.0,,Offensive rebound by A. Jefferson,13,6
31,1,7:22.0,,Turnover by J. Taylor (lost ball; steal by E. Turner),13,6
32,1,7:14.0,B. Bass makes 2-pt dunk at rim (assist by E. Turner),,15,6
33,1,6:50.0,,A. Jefferson misses 2-pt layup from 2 ft,15,6
34,1,6:49.0,Defensive rebound by T. Zeller,,15,6
35,1,6:32.0,E. Turner makes 2-pt jump shot from 10 ft,,17,6
36,1,6:09.0,,A. Jefferson makes 2-pt jump shot from 15 ft (assist by K. Walker),17,8
37,1,5:55.0,T. Zeller misses 2-pt jump shot from 16 ft,,17,8
38,1,5:54.0,,Defensive rebound by G. Henderson,17,8
39,1,5:45.0,,Shooting foul by T. Zeller (drawn by K. Walker),17,8
40,1,5:45.0,,K. Walker makes free throw 1 of 2,17,9
41,1,5:45.0,I. Thomas enters the game for M. Smart,,17,9
42,1,5:45.0,,K. Walker makes free throw 2 of 2,17,10
43,1,5:32.0,A. Bradley misses 2-pt jump shot from 17 ft,,17,10
44,1,5:30.0,Offensive rebound by B. Bass,,17,10
45,1,5:24.0,A. Bradley misses 3-pt jump shot from 23 ft,,17,10
46,1,5:22.0,,Defensive rebound by J. Taylor,17,10
