,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:43.0,Turnover by G. Monroe (lost ball; steal by D. Carroll),,0,0
1,1,11:26.0,Violation by A. Drummond (kicked ball),,0,0
2,1,11:14.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by J. Teague),0,2
3,1,10:51.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,0,2
4,1,10:49.0,,Defensive rebound by P. Millsap,0,2
5,1,10:43.0,,K. Korver misses 3-pt jump shot from 25 ft,0,2
6,1,10:41.0,Defensive rebound by B. Jennings,,0,2
7,1,10:31.0,K. Singler misses 2-pt jump shot from 10 ft,,0,2
8,1,10:30.0,,Defensive rebound by A. Horford,0,2
9,1,10:06.0,,J. Teague misses 3-pt jump shot from 24 ft,0,2
10,1,10:05.0,Defensive rebound by G. Monroe,,0,2
11,1,9:54.0,G. Monroe misses 2-pt layup from 1 ft (block by A. Horford),,0,2
12,1,9:52.0,,Defensive rebound by K. Korver,0,2
13,1,9:39.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),0,4
14,1,9:26.0,B. Jennings misses 2-pt jump shot from 17 ft,,0,4
15,1,9:24.0,,Defensive rebound by P. Millsap,0,4
16,1,9:10.0,,P. Millsap misses 3-pt jump shot from 24 ft,0,4
17,1,9:08.0,Defensive rebound by A. Drummond,,0,4
18,1,9:01.0,Turnover by G. Monroe (bad pass),,0,4
19,1,8:43.0,,P. Millsap makes 2-pt layup from 2 ft (assist by K. Korver),0,6
20,1,8:27.0,Personal foul by J. Teague (drawn by K. Caldwell-Pope),,0,6
21,1,8:18.0,B. Jennings misses 3-pt jump shot from 24 ft,,0,6
22,1,8:17.0,,Defensive rebound by K. Korver,0,6
23,1,8:04.0,,A. Horford makes 2-pt layup at rim (assist by D. Carroll),0,8
24,1,7:50.0,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,,0,8
25,1,7:48.0,Offensive rebound by A. Drummond,,0,8
26,1,7:48.0,A. Drummond misses 2-pt tip-in at rim,,0,8
27,1,7:47.0,,Defensive rebound by P. Millsap,0,8
28,1,7:40.0,,Personal foul by B. Jennings (drawn by J. Teague),0,8
29,1,7:36.0,,Turnover by K. Korver (bad pass; steal by K. Singler),0,8
30,1,7:26.0,A. Drummond makes 2-pt dunk at rim (assist by G. Monroe),,2,8
31,1,7:12.0,,J. Teague misses 3-pt jump shot from 24 ft,2,8
32,1,7:10.0,Defensive rebound by A. Drummond,,2,8
33,1,7:10.0,Turnover by B. Jennings (traveling),,2,8
34,1,6:58.0,,K. Korver misses 2-pt jump shot from 18 ft,2,8
35,1,6:56.0,Defensive rebound by G. Monroe,,2,8
36,1,6:43.0,A. Drummond misses 2-pt hook shot from 10 ft,,2,8
37,1,6:42.0,,Defensive rebound by P. Millsap,2,8
38,1,6:33.0,,J. Teague misses 3-pt jump shot from 24 ft,2,8
39,1,6:32.0,Defensive rebound by K. Singler,,2,8
40,1,6:25.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,2,8
41,1,6:24.0,,Defensive rebound by A. Horford,2,8
42,1,6:18.0,,Personal foul by K. Singler (drawn by J. Teague),2,8
43,1,6:10.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by A. Horford),2,11
44,1,6:02.0,Detroit full timeout,,2,11
45,1,6:02.0,,P. Antić enters the game for A. Horford,2,11
46,1,6:02.0,,T. Sefolosha enters the game for K. Korver,2,11
47,1,6:02.0,A. Tolliver enters the game for G. Monroe,,2,11
48,1,5:50.0,K. Singler misses 3-pt jump shot from 25 ft,,2,11
49,1,5:49.0,,Defensive rebound by P. Antić,2,11
50,1,5:45.0,,Turnover by J. Teague (bad pass; steal by K. Caldwell-Pope),2,11
51,1,5:36.0,B. Jennings makes 2-pt jump shot from 19 ft,,4,11
52,1,5:25.0,,J. Teague misses 2-pt layup from 2 ft,4,11
53,1,5:24.0,Defensive rebound by A. Drummond,,4,11
54,1,5:19.0,A. Drummond makes 2-pt dunk at rim (assist by B. Jennings),,6,11
55,1,4:54.0,,P. Antić misses 3-pt jump shot from 25 ft,6,11
56,1,4:53.0,Defensive rebound by A. Tolliver,,6,11
57,1,4:47.0,C. Butler enters the game for K. Singler,,6,11
58,1,4:35.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,6,11
59,1,4:34.0,Offensive rebound by A. Drummond,,6,11
60,1,4:34.0,A. Drummond misses 2-pt tip-in from 1 ft,,6,11
61,1,4:33.0,,Defensive rebound by P. Antić,6,11
62,1,4:08.0,,P. Antić misses 2-pt layup at rim,6,11
63,1,4:06.0,Defensive rebound by A. Tolliver,,6,11
64,1,3:57.0,B. Jennings misses 2-pt jump shot from 9 ft,,6,11
65,1,3:55.0,Offensive rebound by A. Drummond,,6,11
66,1,3:55.0,A. Drummond makes 2-pt tip-in at rim,,8,11
67,1,3:40.0,,J. Teague misses 2-pt layup from 2 ft,8,11
68,1,3:39.0,Defensive rebound by A. Drummond,,8,11
69,1,3:32.0,C. Butler misses 2-pt jump shot from 21 ft,,8,11
70,1,3:30.0,,Defensive rebound by T. Sefolosha,8,11
71,1,3:23.0,,Personal foul by A. Tolliver (drawn by P. Millsap),8,11
72,1,3:23.0,,Atlanta full timeout,8,11
73,1,3:23.0,,D. Schröder enters the game for J. Teague,8,11
74,1,3:07.0,,Turnover by P. Millsap (bad pass; steal by C. Butler),8,11
75,1,2:53.0,K. Caldwell-Pope makes 2-pt layup at rim,,10,11
76,1,2:39.0,,D. Schröder misses 2-pt jump shot from 21 ft,10,11
77,1,2:38.0,Defensive rebound by A. Drummond,,10,11
78,1,2:30.0,Personal foul by T. Sefolosha (drawn by B. Jennings),,10,11
79,1,2:30.0,,M. Scott enters the game for D. Carroll,10,11
80,1,2:30.0,,A. Horford enters the game for P. Millsap,10,11
81,1,2:30.0,,K. Korver enters the game for P. Antić,10,11
82,1,2:30.0,J. Meeks enters the game for K. Caldwell-Pope,,10,11
83,1,2:19.0,B. Jennings misses 2-pt jump shot from 9 ft,,10,11
84,1,2:16.0,,Defensive rebound by A. Horford,10,11
85,1,2:08.0,,T. Sefolosha misses 2-pt jump shot from 10 ft,10,11
86,1,2:07.0,Defensive rebound by A. Drummond,,10,11
87,1,1:52.0,Turnover by A. Drummond (offensive goaltending),,10,11
88,1,1:45.0,,D. Schröder misses 2-pt layup from 2 ft,10,11
89,1,1:44.0,Defensive rebound by A. Tolliver,,10,11
90,1,1:37.0,A. Tolliver misses 3-pt jump shot from 24 ft,,10,11
91,1,1:36.0,,Defensive rebound by K. Korver,10,11
92,1,1:21.0,,D. Schröder makes 2-pt layup at rim,10,13
93,1,1:13.0,B. Jennings misses 2-pt jump shot from 19 ft,,10,13
94,1,1:12.0,,Defensive rebound by D. Schröder,10,13
95,1,1:02.0,,M. Scott misses 2-pt jump shot from 15 ft,10,13
96,1,1:00.0,Defensive rebound by C. Butler,,10,13
97,1,0:56.0,B. Jennings misses 2-pt layup from 1 ft,,10,13
98,1,0:54.0,Offensive rebound by A. Tolliver,,10,13
99,1,0:44.0,D. Augustin enters the game for B. Jennings,,10,13
100,1,0:44.0,Turnover by B. Jennings (lost ball; steal by A. Horford),,10,13
101,1,0:28.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by D. Schröder),10,16
102,1,0:06.0,A. Tolliver misses 3-pt jump shot from 24 ft,,10,16
103,1,0:05.0,Offensive rebound by A. Drummond,,10,16
104,1,0:05.0,A. Drummond makes 2-pt layup at rim,,12,16
105,1,0:03.0,,Personal take foul by A. Tolliver (drawn by D. Schröder),12,16
106,1,0:00.0,,M. Scott misses 2-pt jump shot from 20 ft,12,16
107,1,0:00.0,Defensive rebound by A. Drummond,,12,16
108,2,11:44.0,,M. Scott makes 2-pt layup from 1 ft (assist by A. Horford),12,18
109,2,11:26.0,D. Augustin misses 3-pt jump shot from 22 ft,,12,18
110,2,11:24.0,,Defensive rebound by K. Korver,12,18
111,2,11:13.0,,D. Schröder misses 2-pt jump shot from 3 ft (block by G. Monroe),12,18
112,2,11:11.0,Defensive rebound by G. Monroe,,12,18
113,2,11:07.0,Turnover by D. Augustin (bad pass),,12,18
114,2,10:55.0,,A. Horford misses 2-pt jump shot from 15 ft,12,18
