,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,K. Martin makes 2-pt jump shot from 17 ft,,2,0
1,1,11:30.0,,Shooting foul by G. Dieng (drawn by E. Freedom),2,0
2,1,11:30.0,,E. Freedom makes free throw 1 of 2,2,1
3,1,11:30.0,,E. Freedom makes free throw 2 of 2,2,2
4,1,11:23.0,Personal foul by D. Waiters (drawn by A. Wiggins),,2,2
5,1,11:17.0,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),,4,2
6,1,10:57.0,,E. Freedom makes 2-pt layup from 1 ft,4,4
7,1,10:44.0,K. Martin makes 2-pt jump shot from 17 ft,,6,4
8,1,10:22.0,,R. Westbrook makes 2-pt layup at rim,6,6
9,1,9:57.0,K. Martin misses 3-pt jump shot from 26 ft,,6,6
10,1,9:56.0,,Defensive rebound by E. Freedom,6,6
11,1,9:47.0,,D. Waiters misses 2-pt jump shot from 4 ft,6,6
12,1,9:46.0,Defensive rebound by G. Dieng,,6,6
13,1,9:34.0,A. Payne makes 2-pt hook shot from 4 ft,,8,6
14,1,9:12.0,,M. McGary makes 2-pt layup from 1 ft (assist by R. Westbrook),8,8
15,1,8:55.0,A. Payne misses 2-pt jump shot from 18 ft,,8,8
16,1,8:54.0,,Defensive rebound by R. Westbrook,8,8
17,1,8:48.0,,R. Westbrook makes 2-pt jump shot from 18 ft,8,10
18,1,8:42.0,Shooting foul by D. Waiters (drawn by A. Wiggins),,8,10
19,1,8:42.0,A. Wiggins makes free throw 1 of 2,,9,10
20,1,8:42.0,,K. Singler enters the game for D. Waiters,9,10
21,1,8:42.0,A. Wiggins makes free throw 2 of 2,,10,10
22,1,8:34.0,,E. Freedom makes 2-pt dunk at rim (assist by K. Singler),10,12
23,1,8:27.0,Minnesota full timeout,,10,12
24,1,8:18.0,Shooting foul by K. Singler (drawn by A. Wiggins),,10,12
25,1,8:18.0,A. Wiggins makes free throw 1 of 2,,11,12
26,1,8:18.0,A. Wiggins makes free throw 2 of 2,,12,12
27,1,8:01.0,,M. McGary misses 2-pt jump shot from 16 ft,12,12
28,1,8:00.0,,Offensive rebound by R. Westbrook,12,12
29,1,7:48.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),12,14
30,1,7:32.0,K. Martin misses 3-pt jump shot from 25 ft,,12,14
31,1,7:30.0,Offensive rebound by A. Wiggins,,12,14
32,1,7:23.0,G. Dieng makes 2-pt layup from 1 ft,,14,14
33,1,7:00.0,,K. Singler makes 2-pt jump shot from 15 ft (assist by A. Roberson),14,16
34,1,6:45.0,A. Payne misses 2-pt jump shot from 21 ft,,14,16
35,1,6:44.0,,Defensive rebound by E. Freedom,14,16
36,1,6:38.0,,M. McGary makes 2-pt layup at rim (assist by R. Westbrook),14,18
37,1,6:23.0,Shooting foul by M. McGary (drawn by G. Dieng),,14,18
38,1,6:23.0,G. Dieng makes free throw 1 of 2,,15,18
39,1,6:23.0,G. Dieng makes free throw 2 of 2,,16,18
40,1,6:11.0,,E. Freedom misses 2-pt layup from 2 ft (block by G. Dieng),16,18
41,1,6:10.0,Defensive rebound by G. Dieng,,16,18
42,1,5:59.0,A. Payne makes 2-pt hook shot from 7 ft,,18,18
43,1,5:51.0,,Turnover by E. Freedom (traveling),18,18
44,1,5:51.0,J. Hamilton enters the game for G. Dieng,,18,18
45,1,5:35.0,A. Wiggins misses 2-pt jump shot from 17 ft,,18,18
46,1,5:34.0,,Defensive rebound by A. Roberson,18,18
47,1,5:28.0,,R. Westbrook makes 2-pt jump shot from 17 ft,18,20
48,1,5:13.0,K. Martin misses 2-pt jump shot from 4 ft,,18,20
49,1,5:13.0,Offensive rebound by A. Wiggins,,18,20
50,1,5:08.0,R. Rubio misses 2-pt jump shot from 17 ft,,18,20
51,1,5:07.0,,Defensive rebound by E. Freedom,18,20
52,1,5:00.0,,M. McGary makes 2-pt layup from 2 ft (assist by R. Westbrook),18,22
53,1,4:46.0,Turnover by R. Rubio (bad pass; steal by K. Singler),,18,22
54,1,4:38.0,,E. Freedom misses 2-pt layup from 1 ft (block by J. Hamilton),18,22
55,1,4:37.0,,Offensive rebound by E. Freedom,18,22
56,1,4:35.0,,E. Freedom misses 2-pt layup from 2 ft (block by J. Hamilton),18,22
57,1,4:33.0,,Offensive rebound by A. Roberson,18,22
58,1,4:32.0,,K. Singler makes 2-pt layup from 2 ft (assist by A. Roberson),18,24
59,1,4:13.0,R. Rubio misses 2-pt jump shot from 18 ft,,18,24
60,1,4:12.0,,Defensive rebound by A. Roberson,18,24
61,1,4:03.0,,Shooting foul by J. Hamilton (drawn by A. Roberson),18,24
62,1,4:03.0,,A. Roberson makes free throw 1 of 2,18,25
63,1,4:03.0,,S. Adams enters the game for M. McGary,18,25
64,1,4:03.0,G. Neal enters the game for A. Payne,,18,25
65,1,4:03.0,G. Dieng enters the game for K. Martin,,18,25
