,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW YORK_ACTION,SAN ANTONIO_SCORE,NEW YORK_SCORE
0,1,11:45.0,,A. Bargnani misses 2-pt jump shot from 11 ft,0,0
1,1,11:44.0,Defensive rebound by D. Green,,0,0
2,1,11:29.0,T. Duncan makes 2-pt dunk at rim (assist by T. Splitter),,2,0
3,1,11:05.0,,L. Thomas misses 2-pt jump shot from 16 ft,2,0
4,1,11:04.0,Defensive rebound by T. Duncan,,2,0
5,1,10:49.0,T. Parker makes 2-pt layup from 2 ft,,4,0
6,1,10:39.0,,L. Thomas misses 2-pt layup from 2 ft,4,0
7,1,10:38.0,Defensive rebound by T. Splitter,,4,0
8,1,10:34.0,Shooting foul by A. Shved (drawn by K. Leonard),,4,0
9,1,10:34.0,K. Leonard makes free throw 1 of 2,,5,0
10,1,10:34.0,K. Leonard makes free throw 2 of 2,,6,0
11,1,10:13.0,,A. Shved misses 2-pt layup from 2 ft (block by K. Leonard),6,0
12,1,10:12.0,,Offensive rebound by L. Thomas,6,0
13,1,10:10.0,,L. Thomas misses 2-pt jump shot from 19 ft,6,0
14,1,10:09.0,,Offensive rebound by L. Amundson,6,0
15,1,10:08.0,,L. Amundson misses 2-pt layup from 2 ft,6,0
16,1,10:07.0,,Offensive rebound by L. Amundson,6,0
17,1,10:06.0,,L. Amundson misses 2-pt layup from 2 ft (block by T. Splitter),6,0
18,1,10:05.0,,Offensive rebound by Team,6,0
19,1,9:54.0,,Shooting foul by T. Splitter (drawn by A. Bargnani),6,0
20,1,9:54.0,,A. Bargnani makes free throw 1 of 2,6,1
21,1,9:54.0,,A. Bargnani makes free throw 2 of 2,6,2
22,1,9:45.0,K. Leonard makes 2-pt dunk at rim (assist by T. Duncan),,8,2
23,1,9:21.0,,A. Bargnani makes 2-pt jump shot from 3 ft,8,4
24,1,9:01.0,T. Duncan misses 2-pt jump shot from 19 ft,,8,4
25,1,9:00.0,,Defensive rebound by A. Bargnani,8,4
26,1,8:53.0,,Shooting foul by D. Green (drawn by A. Shved),8,4
27,1,8:53.0,,A. Shved makes free throw 1 of 2,8,5
28,1,8:53.0,M. Belinelli enters the game for D. Green,,8,5
29,1,8:53.0,,A. Shved makes free throw 2 of 2,8,6
30,1,8:36.0,T. Duncan misses 2-pt jump shot from 10 ft,,8,6
31,1,8:34.0,,Defensive rebound by A. Bargnani,8,6
32,1,8:30.0,,L. Amundson makes 2-pt dunk at rim (assist by A. Shved),8,8
33,1,8:08.0,M. Belinelli misses 2-pt layup at rim,,8,8
34,1,8:07.0,,Defensive rebound by A. Shved,8,8
35,1,8:01.0,,L. Galloway misses 3-pt jump shot from 24 ft,8,8
