,QUARTER,TIME_REMAINING,DALLAS_ACTION,BROOKLYN_ACTION,DALLAS_SCORE,BROOKLYN_SCORE
0,1,11:42.0,,B. Lopez makes 2-pt jump shot from 15 ft,0,2
1,1,11:25.0,M. Ellis misses 2-pt jump shot from 20 ft,,0,2
2,1,11:24.0,,Defensive rebound by B. Lopez,0,2
3,1,11:00.0,,J. Jack misses 3-pt jump shot from 24 ft,0,2
4,1,10:59.0,Defensive rebound by M. Ellis,,0,2
5,1,10:49.0,Turnover by M. Ellis (bad pass; steal by J. Johnson),,0,2
6,1,10:46.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Johnson),0,4
7,1,10:29.0,C. Parsons misses 3-pt jump shot from 23 ft,,0,4
8,1,10:28.0,Offensive rebound by D. Nowitzki,,0,4
9,1,10:18.0,R. Rondo misses 2-pt jump shot from 19 ft,,0,4
10,1,10:17.0,Offensive rebound by Team,,0,4
11,1,10:17.0,,Loose ball foul by S. Karasev (drawn by D. Nowitzki),0,4
12,1,10:06.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by R. Rondo),,2,4
13,1,9:43.0,,S. Karasev misses 3-pt jump shot from 22 ft,2,4
14,1,9:42.0,Defensive rebound by R. Rondo,,2,4
15,1,9:25.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,2,4
16,1,9:24.0,,Defensive rebound by J. Jack,2,4
17,1,9:16.0,,B. Lopez makes 2-pt layup from 2 ft (assist by S. Karasev),2,6
18,1,9:10.0,M. Ellis makes 2-pt layup from 2 ft (assist by R. Rondo),,4,6
19,1,8:58.0,,B. Lopez makes 2-pt jump shot from 20 ft (assist by J. Jack),4,8
20,1,8:45.0,R. Rondo misses 2-pt jump shot from 18 ft,,4,8
21,1,8:44.0,,Defensive rebound by B. Lopez,4,8
22,1,8:36.0,,J. Jack misses 2-pt jump shot from 10 ft,4,8
23,1,8:35.0,,Offensive rebound by Team,4,8
