,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:36.0,L. James misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by Team,0,0
2,1,11:13.0,,M. Gortat makes 2-pt hook shot from 4 ft,0,2
3,1,10:53.0,A. Varejão makes 2-pt layup from 1 ft (assist by L. James),,2,2
4,1,10:37.0,,N. Hilário makes 2-pt jump shot from 17 ft,2,4
5,1,10:09.0,S. Marion misses 2-pt jump shot from 10 ft (block by M. Gortat),,2,4
6,1,10:08.0,,Defensive rebound by G. Temple,2,4
7,1,9:56.0,,N. Hilário makes 2-pt jump shot from 9 ft (assist by J. Wall),2,6
8,1,9:42.0,K. Irving makes 2-pt layup from 2 ft,,4,6
9,1,9:28.0,,Turnover by G. Temple (lost ball; steal by A. Varejão),4,6
10,1,9:24.0,Turnover by A. Varejão (lost ball),,4,6
11,1,9:09.0,,N. Hilário misses 2-pt jump shot from 4 ft,4,6
12,1,9:07.0,,Offensive rebound by M. Gortat,4,6
13,1,9:05.0,,M. Gortat misses 2-pt layup from 1 ft,4,6
14,1,9:04.0,Defensive rebound by S. Marion,,4,6
15,1,8:57.0,Turnover by A. Varejão (lost ball; steal by G. Temple),,4,6
16,1,8:44.0,,N. Hilário misses 2-pt jump shot from 6 ft,4,6
17,1,8:43.0,Defensive rebound by K. Irving,,4,6
18,1,8:39.0,Shooting foul by P. Pierce (drawn by K. Irving),,4,6
19,1,8:39.0,K. Irving misses free throw 1 of 2,,4,6
20,1,8:39.0,Offensive rebound by Team,,4,6
21,1,8:39.0,K. Irving makes free throw 2 of 2,,5,6
22,1,8:23.0,,P. Pierce makes 2-pt jump shot from 16 ft (assist by J. Wall),5,8
23,1,8:13.0,Turnover by K. Love (lost ball),,5,8
24,1,7:58.0,,P. Pierce misses 3-pt jump shot from 24 ft,5,8
25,1,7:56.0,Defensive rebound by A. Varejão,,5,8
26,1,7:35.0,L. James makes 2-pt jump shot from 14 ft,,7,8
27,1,7:28.0,,Turnover by J. Wall (bad pass; steal by A. Varejão),7,8
28,1,7:22.0,L. James misses 2-pt layup from 2 ft,,7,8
29,1,7:20.0,Offensive rebound by K. Love,,7,8
30,1,7:18.0,A. Varejão makes 2-pt layup from 1 ft (assist by K. Love),,9,8
31,1,6:55.0,,G. Temple misses 2-pt jump shot from 18 ft,9,8
32,1,6:54.0,Defensive rebound by A. Varejão,,9,8
33,1,6:51.0,L. James makes 2-pt layup from 2 ft (assist by K. Irving),,11,8
34,1,6:46.0,,Turnover by M. Gortat (bad pass; steal by K. Irving),11,8
35,1,6:37.0,K. Irving misses 3-pt jump shot from 22 ft,,11,8
36,1,6:36.0,Offensive rebound by L. James,,11,8
37,1,6:36.0,L. James makes 2-pt tip-in from 1 ft,,13,8
38,1,6:36.0,,Washington full timeout,13,8
39,1,6:36.0,,B. Beal enters the game for G. Temple,13,8
40,1,6:24.0,,J. Wall misses 2-pt jump shot from 21 ft,13,8
41,1,6:23.0,Defensive rebound by A. Varejão,,13,8
42,1,6:06.0,Turnover by L. James (bad pass; steal by B. Beal),,13,8
43,1,6:01.0,,J. Wall makes 2-pt layup from 1 ft (assist by B. Beal),13,10
44,1,5:57.0,Turnover by K. Irving (bad pass; steal by B. Beal),,13,10
45,1,5:53.0,,J. Wall makes 2-pt layup from 1 ft (assist by B. Beal),13,12
46,1,5:53.0,,Shooting foul by K. Irving (drawn by J. Wall),13,12
47,1,5:53.0,,J. Wall makes free throw 1 of 1,13,13
48,1,5:43.0,Personal foul by N. Hilário (drawn by K. Love),,13,13
49,1,5:43.0,J. Harris enters the game for K. Irving,,13,13
50,1,5:43.0,M. Miller enters the game for S. Marion,,13,13
51,1,5:33.0,L. James misses 2-pt jump shot from 20 ft,,13,13
52,1,5:32.0,,Defensive rebound by J. Wall,13,13
53,1,5:25.0,,Turnover by J. Wall (lost ball; steal by K. Love),13,13
54,1,5:18.0,J. Harris misses 3-pt jump shot from 23 ft,,13,13
55,1,5:16.0,,Defensive rebound by B. Beal,13,13
56,1,5:07.0,T. Thompson enters the game for A. Varejão,,13,13
57,1,5:05.0,,B. Beal makes 2-pt jump shot from 20 ft (assist by P. Pierce),13,15
58,1,4:47.0,L. James makes 3-pt jump shot from 26 ft,,16,15
59,1,4:24.0,,B. Beal makes 2-pt jump shot from 4 ft,16,17
60,1,4:10.0,Turnover by K. Love (lost ball; steal by J. Wall),,16,17
61,1,4:01.0,,Turnover by B. Beal (bad pass; steal by T. Thompson),16,17
62,1,3:56.0,T. Thompson misses 2-pt layup from 1 ft,,16,17
63,1,3:54.0,,Defensive rebound by B. Beal,16,17
64,1,3:47.0,,B. Beal misses 2-pt jump shot from 10 ft,16,17
65,1,3:45.0,Defensive rebound by T. Thompson,,16,17
66,1,3:39.0,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),,19,17
67,1,3:20.0,,Personal foul by J. Harris (drawn by P. Pierce),19,17
68,1,3:20.0,,K. Humphries enters the game for N. Hilário,19,17
69,1,3:20.0,,O. Porter enters the game for P. Pierce,19,17
70,1,3:20.0,B. Haywood enters the game for K. Love,,19,17
71,1,3:13.0,,Personal foul by B. Haywood (drawn by B. Beal),19,17
72,1,3:05.0,,O. Porter misses 2-pt jump shot from 20 ft,19,17
73,1,3:04.0,Defensive rebound by B. Haywood,,19,17
74,1,2:55.0,Cleveland full timeout,,19,17
75,1,2:40.0,L. James makes 2-pt layup from 1 ft,,21,17
76,1,2:21.0,,O. Porter misses 2-pt jump shot from 7 ft,21,17
77,1,2:20.0,Defensive rebound by L. James,,21,17
78,1,2:02.0,M. Miller misses 3-pt jump shot from 27 ft,,21,17
