,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,Turnover by N. Noel (lost ball; steal by A. Davis),,0,0
1,1,11:34.0,,E. Gordon misses 3-pt jump shot from 22 ft,0,0
2,1,11:32.0,,Offensive rebound by A. Davis,0,0
3,1,11:17.0,,E. Gordon makes 2-pt layup from 1 ft,0,2
4,1,11:09.0,H. Sims makes 2-pt jump shot from 17 ft (assist by L. Drew),,2,2
5,1,10:54.0,,Turnover by Ö. Aşık (lost ball; steal by H. Sims),2,2
6,1,10:48.0,R. Covington misses 3-pt jump shot from 25 ft,,2,2
7,1,10:46.0,Offensive rebound by L. Drew,,2,2
8,1,10:33.0,L. Drew makes 2-pt jump shot from 7 ft,,4,2
9,1,10:09.0,,A. Davis misses 2-pt jump shot from 16 ft,4,2
10,1,10:05.0,Defensive rebound by L. Drew,,4,2
11,1,10:02.0,Turnover by L. Drew (bad pass),,4,2
12,1,9:48.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by E. Gordon),4,4
13,1,9:26.0,Turnover by L. Drew (bad pass; steal by E. Gordon),,4,4
14,1,9:15.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),4,7
15,1,9:00.0,H. Sims makes 2-pt jump shot from 20 ft (assist by N. Noel),,6,7
16,1,8:41.0,,A. Davis misses 2-pt jump shot from 17 ft,6,7
17,1,8:40.0,Defensive rebound by N. Noel,,6,7
18,1,8:21.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by N. Noel),,8,7
19,1,8:05.0,,A. Davis misses 2-pt layup from 2 ft,8,7
20,1,8:02.0,,Offensive rebound by Ö. Aşık,8,7
21,1,8:02.0,,Ö. Aşık misses 2-pt layup from 2 ft,8,7
22,1,8:00.0,Defensive rebound by N. Noel,,8,7
23,1,7:56.0,L. Drew makes 2-pt layup from 1 ft,,10,7
24,1,7:35.0,,Ö. Aşık makes 2-pt layup from 1 ft,10,9
25,1,7:14.0,H. Sims misses 2-pt jump shot from 17 ft,,10,9
26,1,7:13.0,,Defensive rebound by A. Davis,10,9
27,1,7:03.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),10,11
28,1,6:48.0,Shooting foul by Ö. Aşık (drawn by L. Mbah a Moute),,10,11
29,1,6:48.0,L. Mbah a Moute makes free throw 1 of 2,,11,11
30,1,6:48.0,L. Mbah a Moute makes free throw 2 of 2,,12,11
31,1,6:25.0,,E. Gordon makes 2-pt jump shot from 6 ft (assist by D. Cunningham),12,13
32,1,6:09.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by A. Davis),,12,13
33,1,6:09.0,Offensive rebound by Team,,12,13
34,1,6:09.0,J. Sampson enters the game for L. Mbah a Moute,,12,13
35,1,6:03.0,H. Sims misses 2-pt jump shot from 20 ft,,12,13
36,1,6:01.0,,Defensive rebound by T. Evans,12,13
37,1,5:39.0,,D. Cunningham makes 2-pt jump shot from 3 ft (assist by T. Evans),12,15
38,1,5:32.0,N. Noel misses 2-pt layup from 1 ft,,12,15
39,1,5:29.0,,Defensive rebound by Ö. Aşık,12,15
40,1,5:19.0,,E. Gordon misses 3-pt jump shot from 24 ft,12,15
41,1,5:17.0,,Offensive rebound by Team,12,15
42,1,5:17.0,,New Orleans full timeout,12,15
43,1,5:17.0,F. Aldemir enters the game for R. Covington,,12,15
44,1,5:17.0,K. McDaniels enters the game for H. Sims,,12,15
45,1,5:00.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),12,17
46,1,4:42.0,N. Noel misses 2-pt layup from 4 ft (block by A. Davis),,12,17
47,1,4:41.0,,Defensive rebound by E. Gordon,12,17
