,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:45.0,D. Rose misses 2-pt jump shot from 17 ft,,0,0
1,1,11:44.0,,Defensive rebound by E. Payton,0,0
2,1,11:38.0,,C. Frye misses 3-pt jump shot from 25 ft,0,0
3,1,11:37.0,Defensive rebound by J. Noah,,0,0
4,1,11:22.0,P. Gasol misses 2-pt jump shot from 16 ft,,0,0
5,1,11:19.0,,Defensive rebound by E. Payton,0,0
6,1,11:12.0,,Turnover by V. Oladipo (lost ball; steal by J. Noah),0,0
7,1,11:07.0,J. Butler makes 2-pt dunk at rim (assist by D. Rose),,2,0
8,1,10:44.0,,T. Harris makes 2-pt jump shot from 13 ft,2,2
9,1,10:26.0,D. Rose misses 2-pt jump shot from 18 ft,,2,2
10,1,10:25.0,Offensive rebound by P. Gasol,,2,2
11,1,10:14.0,P. Gasol misses 2-pt jump shot from 21 ft,,2,2
12,1,10:13.0,,Defensive rebound by E. Payton,2,2
13,1,10:03.0,,Shooting foul by P. Gasol (drawn by N. Vučević),2,2
14,1,10:03.0,,N. Vučević misses free throw 1 of 2,2,2
15,1,10:03.0,,Offensive rebound by Team,2,2
16,1,10:03.0,,N. Vučević makes free throw 2 of 2,2,3
17,1,9:57.0,T. Snell misses 3-pt jump shot from 25 ft,,2,3
18,1,9:55.0,,Defensive rebound by V. Oladipo,2,3
19,1,9:46.0,,V. Oladipo misses 2-pt jump shot from 17 ft,2,3
20,1,9:43.0,Defensive rebound by J. Butler,,2,3
21,1,9:34.0,J. Noah misses 2-pt layup from 1 ft (block by V. Oladipo),,2,3
22,1,9:31.0,,Defensive rebound by V. Oladipo,2,3
23,1,9:24.0,,N. Vučević misses 2-pt jump shot from 19 ft,2,3
24,1,9:23.0,Defensive rebound by T. Snell,,2,3
25,1,9:14.0,Shooting foul by V. Oladipo (drawn by J. Noah),,2,3
26,1,9:14.0,J. Noah makes free throw 1 of 2,,3,3
27,1,9:14.0,J. Noah makes free throw 2 of 2,,4,3
28,1,9:02.0,,C. Frye misses 3-pt jump shot from 25 ft,4,3
29,1,9:01.0,Defensive rebound by P. Gasol,,4,3
30,1,8:46.0,J. Noah makes 2-pt layup from 1 ft (assist by J. Butler),,6,3
31,1,8:32.0,,T. Harris misses 3-pt jump shot from 26 ft,6,3
32,1,8:31.0,,Offensive rebound by E. Payton,6,3
33,1,8:28.0,,Turnover by T. Harris (lost ball; steal by D. Rose),6,3
34,1,8:23.0,J. Butler makes 2-pt dunk at rim (assist by T. Snell),,8,3
35,1,8:04.0,,T. Harris misses 2-pt layup at rim,8,3
36,1,8:02.0,,Offensive rebound by N. Vučević,8,3
37,1,8:02.0,,N. Vučević misses 2-pt tip-in at rim,8,3
38,1,8:00.0,Defensive rebound by P. Gasol,,8,3
39,1,7:49.0,D. Rose misses 3-pt jump shot from 25 ft,,8,3
40,1,7:48.0,,Defensive rebound by T. Harris,8,3
41,1,7:35.0,,C. Frye misses 3-pt jump shot from 25 ft,8,3
42,1,7:34.0,Defensive rebound by P. Gasol,,8,3
43,1,7:28.0,Shooting foul by E. Payton (drawn by D. Rose),,8,3
44,1,7:28.0,D. Rose makes free throw 1 of 2,,9,3
45,1,7:28.0,D. Rose misses free throw 2 of 2,,9,3
46,1,7:25.0,,Defensive rebound by E. Payton,9,3
47,1,7:23.0,,E. Payton makes 2-pt layup from 1 ft,9,5
48,1,7:05.0,D. Rose misses 2-pt jump shot from 15 ft,,9,5
49,1,7:04.0,,Defensive rebound by V. Oladipo,9,5
50,1,6:51.0,,Personal foul by T. Snell (drawn by N. Vučević),9,5
51,1,6:41.0,,V. Oladipo misses 2-pt jump shot from 22 ft,9,5
52,1,6:40.0,Defensive rebound by P. Gasol,,9,5
53,1,6:23.0,T. Snell makes 3-pt jump shot from 24 ft (assist by D. Rose),,12,5
54,1,6:17.0,,Orlando full timeout,12,5
55,1,6:07.0,,E. Payton misses 2-pt layup from 1 ft,12,5
56,1,6:06.0,Defensive rebound by J. Noah,,12,5
57,1,6:06.0,Personal foul by E. Payton (drawn by J. Noah),,12,5
58,1,6:06.0,,W. Green enters the game for E. Payton,12,5
59,1,5:45.0,P. Gasol makes 2-pt jump shot from 16 ft,,14,5
60,1,5:29.0,,T. Harris misses 2-pt jump shot from 18 ft,14,5
61,1,5:27.0,Defensive rebound by P. Gasol,,14,5
62,1,5:15.0,P. Gasol makes 2-pt layup from 2 ft (assist by D. Rose),,16,5
63,1,4:58.0,,C. Frye makes 3-pt jump shot from 27 ft (assist by V. Oladipo),16,8
64,1,4:44.0,J. Butler makes 2-pt jump shot from 20 ft (assist by J. Noah),,18,8
65,1,4:29.0,,V. Oladipo misses 2-pt jump shot from 11 ft,18,8
66,1,4:27.0,,Offensive rebound by T. Harris,18,8
67,1,4:16.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by C. Frye),18,11
68,1,3:51.0,J. Noah makes 2-pt layup at rim (assist by D. Rose),,20,11
69,1,3:35.0,,W. Green misses 2-pt jump shot from 17 ft,20,11
70,1,3:34.0,Defensive rebound by J. Noah,,20,11
71,1,3:26.0,P. Gasol makes 2-pt dunk at rim (assist by D. Rose),,22,11
72,1,3:11.0,,V. Oladipo misses 2-pt layup at rim (block by P. Gasol),22,11
73,1,3:09.0,Defensive rebound by P. Gasol,,22,11
74,1,3:05.0,A. Brooks enters the game for D. Rose,,22,11
75,1,3:05.0,T. Gibson enters the game for J. Noah,,22,11
76,1,3:05.0,,A. Gordon enters the game for C. Frye,22,11
77,1,2:53.0,J. Butler misses 2-pt jump shot from 16 ft,,22,11
78,1,2:52.0,,Defensive rebound by A. Gordon,22,11
79,1,2:34.0,,Turnover by A. Gordon (bad pass; steal by J. Butler),22,11
80,1,2:31.0,J. Butler misses 2-pt layup at rim (block by A. Gordon),,22,11
81,1,2:31.0,Offensive rebound by Team,,22,11
82,1,2:31.0,Chicago full timeout,,22,11
83,1,2:23.0,Turnover by P. Gasol (bad pass; steal by V. Oladipo),,22,11
84,1,2:16.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by V. Oladipo),22,14
85,1,1:57.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),,24,14
86,1,1:38.0,,T. Harris misses 2-pt layup from 1 ft,24,14
87,1,1:36.0,Defensive rebound by P. Gasol,,24,14
88,1,1:26.0,Turnover by J. Butler (bad pass; steal by V. Oladipo),,24,14
