,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,Turnover by N. Noel (bad pass; steal by S. Hill),0,0
1,1,11:38.0,S. Hill misses 2-pt jump shot from 4 ft,,0,0
2,1,11:37.0,,Defensive rebound by Team,0,0
3,1,11:27.0,,J. Richardson misses 2-pt jump shot from 18 ft,0,0
4,1,11:27.0,Defensive rebound by Team,,0,0
5,1,11:04.0,C. Miles misses 3-pt jump shot from 25 ft,,0,0
6,1,11:02.0,,Defensive rebound by J. Richardson,0,0
7,1,10:55.0,,N. Noel misses 2-pt jump shot from 4 ft,0,0
8,1,10:53.0,Defensive rebound by G. Hill,,0,0
9,1,10:35.0,C. Miles makes 2-pt jump shot from 14 ft (assist by S. Hill),,2,0
10,1,10:16.0,,R. Covington misses 2-pt jump shot from 19 ft,2,0
11,1,10:14.0,Defensive rebound by D. West,,2,0
12,1,10:05.0,R. Hibbert misses 2-pt jump shot from 4 ft (block by N. Noel),,2,0
13,1,10:03.0,Offensive rebound by R. Hibbert,,2,0
14,1,10:02.0,R. Hibbert makes 2-pt layup from 1 ft,,4,0
15,1,9:50.0,,T. Frazier misses 2-pt jump shot from 3 ft,4,0
16,1,9:48.0,Defensive rebound by R. Hibbert,,4,0
17,1,9:33.0,D. West misses 2-pt jump shot from 11 ft (block by J. Richardson),,4,0
18,1,9:31.0,,Defensive rebound by L. Mbah a Moute,4,0
19,1,9:24.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,4,0
20,1,9:23.0,Defensive rebound by R. Hibbert,,4,0
21,1,9:12.0,C. Miles misses 3-pt jump shot from 23 ft,,4,0
22,1,9:10.0,,Defensive rebound by L. Mbah a Moute,4,0
23,1,8:48.0,,N. Noel makes 2-pt hook shot from 3 ft (assist by T. Frazier),4,2
24,1,8:26.0,G. Hill misses 2-pt jump shot from 12 ft,,4,2
25,1,8:25.0,,Defensive rebound by J. Richardson,4,2
26,1,8:18.0,,J. Richardson misses 2-pt layup from 2 ft,4,2
27,1,8:16.0,Defensive rebound by G. Hill,,4,2
28,1,8:11.0,G. Hill misses 2-pt jump shot from 5 ft,,4,2
29,1,8:07.0,,Defensive rebound by L. Mbah a Moute,4,2
30,1,8:02.0,,Turnover by T. Frazier (bad pass; steal by S. Hill),4,2
31,1,7:50.0,Personal foul by T. Frazier (drawn by G. Hill),,4,2
32,1,7:50.0,,H. Thompson enters the game for J. Richardson,4,2
33,1,7:43.0,R. Hibbert misses 2-pt jump shot from 3 ft (block by N. Noel),,4,2
34,1,7:41.0,Offensive rebound by R. Hibbert,,4,2
35,1,7:39.0,C. Miles misses 3-pt jump shot from 25 ft,,4,2
36,1,7:37.0,,Defensive rebound by N. Noel,4,2
37,1,7:25.0,,H. Thompson makes 2-pt dunk at rim (assist by L. Mbah a Moute),4,4
