,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
0,1,11:36.0,C. Lee makes 2-pt jump shot from 6 ft (assist by M. Gasol),,2,0
1,1,11:21.0,,Turnover by D. Collison (bad pass; steal by C. Lee),2,0
2,1,11:09.0,M. Gasol misses 2-pt jump shot from 23 ft,,2,0
3,1,11:09.0,,Defensive rebound by R. Gay,2,0
4,1,10:53.0,,B. McLemore misses 3-pt jump shot from 23 ft,2,0
5,1,10:52.0,Defensive rebound by M. Gasol,,2,0
6,1,10:43.0,M. Conley makes 3-pt jump shot from 25 ft,,5,0
7,1,10:18.0,,B. McLemore misses 2-pt jump shot from 20 ft,5,0
8,1,10:18.0,Defensive rebound by M. Gasol,,5,0
9,1,9:56.0,C. Lee makes 2-pt jump shot from 19 ft (assist by M. Gasol),,7,0
10,1,9:40.0,,Personal foul by M. Gasol (drawn by R. Hollins),7,0
11,1,9:33.0,,B. McLemore misses 2-pt jump shot from 5 ft,7,0
12,1,9:32.0,Defensive rebound by Z. Randolph,,7,0
13,1,9:20.0,Turnover by M. Conley (bad pass; steal by B. McLemore),,7,0
14,1,9:17.0,,B. McLemore makes 2-pt layup at rim (assist by R. Gay),7,2
15,1,9:00.0,C. Lee misses 2-pt jump shot from 9 ft,,7,2
16,1,8:59.0,,Defensive rebound by D. Collison,7,2
17,1,8:47.0,,R. Gay makes 2-pt jump shot from 14 ft,7,4
18,1,8:26.0,Z. Randolph misses 2-pt jump shot from 5 ft (block by J. Thompson),,7,4
19,1,8:25.0,Offensive rebound by Z. Randolph,,7,4
20,1,8:22.0,Z. Randolph makes 2-pt jump shot from 4 ft,,9,4
21,1,8:20.0,,Personal foul by M. Conley (drawn by D. Collison),9,4
22,1,8:12.0,,Turnover by J. Thompson (traveling),9,4
23,1,7:56.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by T. Allen),,11,4
24,1,7:56.0,,Sacramento full timeout,11,4
25,1,7:30.0,,J. Thompson makes 2-pt jump shot from 7 ft,11,6
26,1,7:10.0,Z. Randolph misses 2-pt jump shot from 4 ft,,11,6
27,1,7:09.0,Offensive rebound by Z. Randolph,,11,6
28,1,7:09.0,Z. Randolph misses 2-pt jump shot from 4 ft,,11,6
29,1,7:08.0,,Defensive rebound by J. Thompson,11,6
30,1,7:03.0,,Shooting foul by C. Lee (drawn by D. Collison),11,6
31,1,7:03.0,,D. Collison misses free throw 1 of 2,11,6
32,1,7:03.0,,Offensive rebound by Team,11,6
33,1,7:03.0,,D. Collison misses free throw 2 of 2,11,6
34,1,7:03.0,Defensive rebound by Z. Randolph,,11,6
35,1,6:53.0,,Offensive charge foul by M. Gasol (drawn by R. Hollins),11,6
36,1,6:53.0,Turnover by M. Gasol (offensive foul),,11,6
37,1,6:53.0,K. Koufos enters the game for M. Gasol,,11,6
38,1,6:40.0,,R. Gay makes 2-pt layup from 3 ft,11,8
39,1,6:26.0,Z. Randolph makes 2-pt layup from 3 ft (assist by T. Allen),,13,8
40,1,6:26.0,Shooting foul by J. Thompson (drawn by Z. Randolph),,13,8
41,1,6:26.0,Z. Randolph makes free throw 1 of 1,,14,8
42,1,6:13.0,,Turnover by R. Hollins (bad pass; steal by T. Allen),14,8
43,1,6:10.0,T. Allen misses 2-pt dunk from 2 ft (block by R. Hollins),,14,8
44,1,6:08.0,Offensive rebound by M. Conley,,14,8
45,1,5:55.0,M. Conley misses 2-pt jump shot from 7 ft,,14,8
46,1,5:54.0,Offensive rebound by K. Koufos,,14,8
47,1,5:47.0,M. Conley misses 3-pt jump shot from 25 ft,,14,8
48,1,5:46.0,Offensive rebound by T. Allen,,14,8
49,1,5:43.0,T. Allen misses 2-pt jump shot from 14 ft,,14,8
50,1,5:42.0,Offensive rebound by K. Koufos,,14,8
51,1,5:42.0,K. Koufos misses 2-pt tip-in from 2 ft,,14,8
52,1,5:41.0,,Defensive rebound by B. McLemore,14,8
53,1,5:38.0,,D. Collison makes 2-pt layup from 2 ft,14,10
54,1,5:21.0,M. Conley misses 2-pt jump shot from 4 ft,,14,10
55,1,5:20.0,,Defensive rebound by D. Collison,14,10
56,1,5:18.0,,B. McLemore makes 2-pt dunk at rim (assist by D. Collison),14,12
57,1,5:17.0,Memphis full timeout,,14,12
58,1,4:59.0,C. Lee makes 2-pt jump shot from 17 ft (assist by Z. Randolph),,16,12
59,1,4:45.0,,Turnover by R. Gay (lost ball),16,12
60,1,4:36.0,C. Lee misses 2-pt jump shot from 19 ft,,16,12
61,1,4:35.0,,Defensive rebound by D. Collison,16,12
62,1,4:25.0,,R. Gay misses 2-pt jump shot from 1 ft,16,12
63,1,4:24.0,,Offensive rebound by R. Gay,16,12
64,1,4:24.0,,R. Gay makes 2-pt tip-in from 1 ft,16,14
65,1,4:06.0,T. Allen makes 2-pt layup from 3 ft (assist by M. Conley),,18,14
66,1,3:42.0,,Turnover by J. Thompson (lost ball; steal by Z. Randolph),18,14
67,1,3:38.0,Turnover by M. Conley (bad pass; steal by D. Collison),,18,14
68,1,3:32.0,,R. Gay makes 2-pt layup from 2 ft (assist by B. McLemore),18,16
69,1,3:13.0,K. Koufos misses 2-pt jump shot from 16 ft,,18,16
70,1,3:12.0,,Defensive rebound by D. Collison,18,16
71,1,3:01.0,,D. Collison makes 2-pt layup from 1 ft,18,18
72,1,2:51.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),,20,18
73,1,2:51.0,Shooting foul by J. Thompson (drawn by Z. Randolph),,20,18
74,1,2:51.0,Q. Pondexter enters the game for T. Allen,,20,18
75,1,2:51.0,,O. Casspi enters the game for R. Gay,20,18
76,1,2:51.0,,C. Landry enters the game for J. Thompson,20,18
77,1,2:51.0,Z. Randolph misses free throw 1 of 1,,20,18
78,1,2:51.0,,Defensive rebound by R. Hollins,20,18
79,1,2:39.0,,Turnover by B. McLemore (offensive foul),20,18
80,1,2:39.0,,Offensive foul by B. McLemore (drawn by M. Conley),20,18
81,1,2:24.0,Z. Randolph makes 2-pt jump shot from 17 ft,,22,18
82,1,2:07.0,,Turnover by B. McLemore (lost ball; steal by Z. Randolph),22,18
83,1,1:49.0,Z. Randolph makes 2-pt jump shot from 7 ft,,24,18
84,1,1:31.0,,Turnover by C. Landry (lost ball; steal by K. Koufos),24,18
85,1,1:21.0,,N. Stauskas enters the game for R. Hollins,24,18
86,1,1:21.0,,R. Evans enters the game for B. McLemore,24,18
87,1,1:10.0,Z. Randolph makes 2-pt hook shot from 6 ft,,26,18
88,1,0:53.0,,Shooting foul by Q. Pondexter (drawn by O. Casspi),26,18
